t,species,metamer,organ,element,Eabs_direct,Eabs_diffuse
15,Caphorn,1,sheath,StemElement,0.009904622,0.008910641
15,Caphorn,2,blade,LeafElement1,0.018135601,0.035708622
15,Caphorn,2,sheath,StemElement,0.000661426,0.005902924
15,Caphorn,3,blade,LeafElement1,0.073694681,0.080712959
15,Caphorn,3,sheath,StemElement,0.006984087,0.01376764
15,Caphorn,4,blade,LeafElement1,0.247960116,0.208250174
15,Caphorn,4,internode,StemElement,0.015372266,0.018920701
15,Caphorn,4,sheath,StemElement,0.039362985,0.044137882
15,Caphorn,5,internode,StemElement,0.105694206,0.062759876
15,Caphorn,6,internode,StemElement,0.202806731,0.181507719
16,Caphorn,1,blade,LeafElement1,0.003433553,0.022642131
16,Caphorn,1,sheath,StemElement,0.0006639,0.008910641
16,Caphorn,2,blade,LeafElement1,0.006248798,0.035708622
16,Caphorn,2,sheath,StemElement,0.004414839,0.005902924
16,Caphorn,3,blade,LeafElement1,0.05077925,0.080712959
16,Caphorn,3,sheath,StemElement,0.002373684,0.01376764
16,Caphorn,4,blade,LeafElement1,0.231551559,0.208250174
16,Caphorn,4,internode,StemElement,0.010902152,0.018920701
16,Caphorn,4,sheath,StemElement,0.042424,0.044137882
16,Caphorn,5,internode,StemElement,0.069785939,0.062759876
16,Caphorn,6,internode,StemElement,0.256977584,0.181507719
17,Caphorn,1,blade,LeafElement1,0.000207953,0.022642131
17,Caphorn,1,sheath,StemElement,0.000166011,0.008910641
17,Caphorn,2,blade,LeafElement1,0.000744086,0.035708622
17,Caphorn,2,sheath,StemElement,0,0.005902924
17,Caphorn,3,blade,LeafElement1,0.022671928,0.080712959
17,Caphorn,3,sheath,StemElement,0.002594461,0.01376764
17,Caphorn,4,blade,LeafElement1,0.212093686,0.208250174
17,Caphorn,4,internode,StemElement,0.002300765,0.018920701
17,Caphorn,4,sheath,StemElement,0.011371242,0.044137882
17,Caphorn,5,internode,StemElement,0.061989409,0.062759876
17,Caphorn,6,internode,StemElement,0.318070602,0.181507719
18,Caphorn,1,blade,LeafElement1,0,0.022642131
18,Caphorn,1,sheath,StemElement,0,0.008910641
18,Caphorn,2,blade,LeafElement1,0,0.035708622
18,Caphorn,2,sheath,StemElement,0,0.005902924
18,Caphorn,3,blade,LeafElement1,0.000304657,0.080712959
18,Caphorn,3,sheath,StemElement,0,0.01376764
18,Caphorn,4,blade,LeafElement1,0.190510572,0.208250174
18,Caphorn,4,internode,StemElement,0,0.018920701
18,Caphorn,4,sheath,StemElement,0,0.044137882
18,Caphorn,5,internode,StemElement,0.017679692,0.062759876
18,Caphorn,6,internode,StemElement,0.373514369,0.181507719
19,Caphorn,1,blade,LeafElement1,0,0.022642131
19,Caphorn,1,sheath,StemElement,0,0.008910641
19,Caphorn,2,blade,LeafElement1,0,0.035708622
19,Caphorn,2,sheath,StemElement,0,0.005902924
19,Caphorn,3,blade,LeafElement1,0,0.080712959
19,Caphorn,3,sheath,StemElement,0,0.01376764
19,Caphorn,4,blade,LeafElement1,0.083986376,0.208250174
19,Caphorn,4,internode,StemElement,0,0.018920701
19,Caphorn,4,sheath,StemElement,0,0.044137882
19,Caphorn,5,internode,StemElement,0.015154305,0.062759876
19,Caphorn,6,internode,StemElement,0.468067707,0.181507719
20,Caphorn,1,blade,LeafElement1,0,0
20,Caphorn,1,sheath,StemElement,0,0
20,Caphorn,2,blade,LeafElement1,0,0
20,Caphorn,2,sheath,StemElement,0,0
20,Caphorn,3,blade,LeafElement1,0,0
20,Caphorn,3,sheath,StemElement,0,0
20,Caphorn,4,blade,LeafElement1,0,0
20,Caphorn,4,internode,StemElement,0,0
20,Caphorn,4,sheath,StemElement,0,0
20,Caphorn,5,internode,StemElement,0,0
20,Caphorn,6,internode,StemElement,0,0
21,Caphorn,1,blade,LeafElement1,0,0
21,Caphorn,1,sheath,StemElement,0,0
21,Caphorn,2,blade,LeafElement1,0,0
21,Caphorn,2,sheath,StemElement,0,0
21,Caphorn,3,blade,LeafElement1,0,0
21,Caphorn,3,sheath,StemElement,0,0
21,Caphorn,4,blade,LeafElement1,0,0
21,Caphorn,4,internode,StemElement,0,0
21,Caphorn,4,sheath,StemElement,0,0
21,Caphorn,5,internode,StemElement,0,0
21,Caphorn,6,internode,StemElement,0,0
22,Caphorn,1,blade,LeafElement1,0,0
22,Caphorn,1,sheath,StemElement,0,0
22,Caphorn,2,blade,LeafElement1,0,0
22,Caphorn,2,sheath,StemElement,0,0
22,Caphorn,3,blade,LeafElement1,0,0
22,Caphorn,3,sheath,StemElement,0,0
