aaaa,jj,mm,jjmm,heure,PAR_corrige,Rd:PAR
2008,11,5,11/05,03:00,NA,NA
2008,11,5,11/05,03:30,NA,NA
2008,11,5,11/05,04:00,NA,NA
2008,11,5,11/05,04:30,NA,NA
2008,11,5,11/05,05:00,29.965,0.884984482
2008,11,5,11/05,05:30,112.1,0.801783229
2008,11,5,11/05,06:00,244.35,0.63208185
2008,11,5,11/05,06:30,390.1,0.528172264
2008,11,5,11/05,07:00,559.65,0.436737246
2008,11,5,11/05,07:30,712.25,0.423710776
2008,11,5,11/05,08:00,790.5,0.483087919
2008,11,5,11/05,08:30,648.65,0.734474678
2008,11,5,11/05,09:00,992.5,0.518483627
2008,11,5,11/05,09:30,1322.5,0.33961966
2008,11,5,11/05,10:00,1488,0.252228495
2008,11,5,11/05,10:30,1540.5,0.261400195
2008,11,5,11/05,11:00,1621,0.236082048
2008,11,5,11/05,11:30,1665,0.21486006
2008,11,5,11/05,12:00,1667,0.231021596
2008,11,5,11/05,12:30,1663.5,0.257250977
2008,11,5,11/05,13:00,1707.5,0.274873792
2008,11,5,11/05,13:30,1547,0.364827408
2008,11,5,11/05,14:00,1144.5,0.434710354
2008,11,5,11/05,14:30,1060.5,0.457333333
2008,11,5,11/05,15:00,1357,0.314089904
2008,11,5,11/05,15:30,1195,0.304183264
2008,11,5,11/05,16:00,1030,0.287702913
2008,11,5,11/05,16:30,876,0.290086758
2008,11,5,11/05,17:00,686,0.373081633
2008,11,5,11/05,17:30,512.35,0.447092808
2008,11,5,11/05,18:00,356.3,0.541992703
2008,11,5,11/05,18:30,180.9,0.659542841
2008,11,5,11/05,19:00,39.71,0.91131453
2008,11,5,11/05,19:30,13.244,0.746137119
2008,11,5,11/05,20:00,NA,NA
2008,11,5,11/05,20:30,NA,NA
2008,11,5,11/05,21:00,NA,NA
2008,11,5,11/05,21:30,NA,NA
2008,11,5,11/05,22:00,NA,NA
2008,11,5,11/05,22:30,NA,NA
2008,11,5,11/05,23:00,NA,NA
2008,11,5,11/05,23:30,NA,NA
2008,11,5,11/05,24:00:00,NA,NA
2008,12,5,12/05,00:30,NA,NA
2008,12,5,12/05,01:00,NA,NA
2008,12,5,12/05,01:30,NA,NA
2008,12,5,12/05,02:00,NA,NA
2008,12,5,12/05,02:30,NA,NA
2008,12,5,12/05,03:00,NA,NA
2008,12,5,12/05,03:30,NA,NA
2008,12,5,12/05,04:00,NA,NA
2008,12,5,12/05,04:30,NA,NA
2008,12,5,12/05,05:00,30.975,0.888213075
2008,12,5,12/05,05:30,113.3,0.794004413
2008,12,5,12/05,06:00,237.6,0.648805976
2008,12,5,12/05,06:30,406.05,0.488023642
2008,12,5,12/05,07:00,547.65,0.446122524
2008,12,5,12/05,07:30,633.7,0.539346694
2008,12,5,12/05,08:00,883.5,0.377020939
2008,12,5,12/05,08:30,946,0.38617019
2008,12,5,12/05,09:00,1220,0.282220492
2008,12,5,12/05,09:30,1251.5,0.389957651
2008,12,5,12/05,10:00,1428.5,0.352032902
2008,12,5,12/05,10:30,1604,0.256278055
2008,12,5,12/05,11:00,1658.5,0.262654809
2008,12,5,12/05,11:30,1707.5,0.298593265
2008,12,5,12/05,12:00,1532.5,0.346860033
2008,12,5,12/05,12:30,1183,0.557762468
2008,12,5,12/05,13:00,1063,0.540915334
2008,12,5,12/05,13:30,1478,0.309833559
2008,12,5,12/05,14:00,1463.5,0.2877137
2008,12,5,12/05,14:30,1205,0.359241494
2008,12,5,12/05,15:00,1427,0.241494043
2008,12,5,12/05,15:30,1116.5,0.286852665
2008,12,5,12/05,16:00,1073.5,0.278679087
2008,12,5,12/05,16:30,895.5,0.295386935
2008,12,5,12/05,17:00,763,0.296778506
2008,12,5,12/05,17:30,590.05,0.358947547
2008,12,5,12/05,18:00,419.25,0.548543828
2008,12,5,12/05,18:30,198.4,0.882731855
2008,12,5,12/05,19:00,68.575,0.927152752
2008,12,5,12/05,19:30,8.494,0.667784318
2008,12,5,12/05,20:00,NA,NA
2008,12,5,12/05,20:30,NA,NA
2008,12,5,12/05,21:00,NA,NA
2008,12,5,12/05,21:30,NA,NA
2008,12,5,12/05,22:00,NA,NA
2008,12,5,12/05,22:30,NA,NA
2008,12,5,12/05,23:00,NA,NA
2008,12,5,12/05,23:30,NA,NA
2008,12,5,12/05,24:00:00,NA,NA
2008,13,5,13/05,00:30,NA,NA
2008,13,5,13/05,01:00,NA,NA
2008,13,5,13/05,01:30,NA,NA
2008,13,5,13/05,02:00,NA,NA
2008,13,5,13/05,02:30,NA,NA
2008,13,5,13/05,03:00,NA,NA
2008,13,5,13/05,03:30,NA,NA
2008,13,5,13/05,04:00,NA,NA
2008,13,5,13/05,04:30,NA,NA
2008,13,5,13/05,05:00,33.18,0.876063894
2008,13,5,13/05,05:30,130.25,0.686257198
2008,13,5,13/05,06:00,272.45,0.510023124
2008,13,5,13/05,06:30,431.8,0.414245021
2008,13,5,13/05,07:00,600.05,0.328895925
2008,13,5,13/05,07:30,789.5,0.257905003
2008,13,5,13/05,08:00,972.5,0.2114509
2008,13,5,13/05,08:30,1133,0.207437776
2008,13,5,13/05,09:00,1058,0.202668242
