,area,axis,height,metamer,organ,plant,species
73,3.75734481369,MS,42.7,4,internode,6,Soissons
74,18.6767683256,MS,52.25,4,sheath,6,Soissons
76,8.1367249728,MS,63.2,5,internode,6,Soissons
77,47.1238898038,MS,71.4,6,internode,6,Soissons
80,16.0,MS,23.7479191815,1,blade,7,Soissons
78,3.14159265359,MS,2.5,1,internode,7,Soissons
79,6.22035345411,MS,10.5,1,sheath,7,Soissons
82,22.8,MS,31.8804487602,2,blade,7,Soissons
81,10.1536274564,MS,21.05,2,sheath,7,Soissons
85,34.0,MS,49.6296353898,3,blade,7,Soissons
83,0.292168116784,MS,26.25,3,internode,7,Soissons
84,15.8336269741,MS,33.4,3,sheath,7,Soissons
88,34.6,MS,61.5847214771,4,blade,7,Soissons
86,3.75734481369,MS,42.7,4,internode,7,Soissons
87,18.6767683256,MS,52.25,4,sheath,7,Soissons
89,8.1367249728,MS,63.2,5,internode,7,Soissons
90,47.1238898038,MS,71.4,6,internode,7,Soissons
93,16.0,MS,24.247791242,1,blade,8,Soissons
91,3.14159265359,MS,2.5,1,internode,8,Soissons
92,6.22035345411,MS,10.5,1,sheath,8,Soissons
95,22.8,MS,35.2464212503,2,blade,8,Soissons
94,10.1536274564,MS,21.05,2,sheath,8,Soissons
98,34.0,MS,51.779545412,3,blade,8,Soissons
96,0.292168116784,MS,26.25,3,internode,8,Soissons
97,15.8336269741,MS,33.4,3,sheath,8,Soissons
101,34.6,MS,66.9542846314,4,blade,8,Soissons
99,3.75734481369,MS,42.7,4,internode,8,Soissons
100,18.6767683256,MS,52.25,4,sheath,8,Soissons
102,8.1367249728,MS,63.2,5,internode,8,Soissons
103,47.1238898038,MS,71.4,6,internode,8,Soissons
106,16.0,MS,25.157729273,1,blade,9,Soissons
104,3.14159265359,MS,2.5,1,internode,9,Soissons
105,6.22035345411,MS,10.5,1,sheath,9,Soissons
108,22.8,MS,30.771457565,2,blade,9,Soissons
107,10.1536274564,MS,21.05,2,sheath,9,Soissons
111,34.0,MS,46.7509907978,3,blade,9,Soissons
109,0.292168116784,MS,26.25,3,internode,9,Soissons
110,15.8336269741,MS,33.4,3,sheath,9,Soissons
114,34.6,MS,67.4177282347,4,blade,9,Soissons
112,3.75734481369,MS,42.7,4,internode,9,Soissons
113,18.6767683256,MS,52.25,4,sheath,9,Soissons
115,8.1367249728,MS,63.2,5,internode,9,Soissons
116,47.1238898038,MS,71.4,6,internode,9,Soissons
119,16.0,MS,23.6559231177,1,blade,10,Soissons
117,3.14159265359,MS,2.5,1,internode,10,Soissons
118,6.22035345411,MS,10.5,1,sheath,10,Soissons
121,22.8,MS,24.2379240015,2,blade,10,Soissons
120,10.1536274564,MS,21.05,2,sheath,10,Soissons
124,34.0,MS,47.1352222041,3,blade,10,Soissons
122,0.292168116784,MS,26.25,3,internode,10,Soissons
123,15.8336269741,MS,33.4,3,sheath,10,Soissons
127,34.6,MS,61.5847214771,4,blade,10,Soissons
125,3.75734481369,MS,42.7,4,internode,10,Soissons
126,18.6767683256,MS,52.25,4,sheath,10,Soissons
128,8.1367249728,MS,63.2,5,internode,10,Soissons
129,47.1238898038,MS,71.4,6,internode,10,Soissons
132,16.0,MS,24.0638720158,1,blade,11,Soissons
130,3.14159265359,MS,2.5,1,internode,11,Soissons
131,6.22035345411,MS,10.5,1,sheath,11,Soissons
134,22.8,MS,36.0589670434,2,blade,11,Soissons
133,10.1536274564,MS,21.05,2,sheath,11,Soissons
137,34.0,MS,47.9498926896,3,blade,11,Soissons
135,0.292168116784,MS,26.25,3,internode,11,Soissons
136,15.8336269741,MS,33.4,3,sheath,11,Soissons
140,34.6,MS,59.8488063484,4,blade,11,Soissons
138,3.75734481369,MS,42.7,4,internode,11,Soissons
139,18.6767683256,MS,52.25,4,sheath,11,Soissons
141,8.1367249728,MS,63.2,5,internode,11,Soissons
142,47.1238898038,MS,71.4,6,internode,11,Soissons
145,16.0,MS,23.7479191815,1,blade,12,Soissons
143,3.14159265359,MS,2.5,1,internode,12,Soissons
144,6.22035345411,MS,10.5,1,sheath,12,Soissons
147,22.8,MS,30.5218428592,2,blade,12,Soissons
146,10.1536274564,MS,21.05,2,sheath,12,Soissons
150,34.0,MS,49.6296353898,3,blade,12,Soissons
148,0.292168116784,MS,26.25,3,internode,12,Soissons
149,15.8336269741,MS,33.4,3,sheath,12,Soissons
153,34.6,MS,67.7061824855,4,blade,12,Soissons
151,3.75734481369,MS,42.7,4,internode,12,Soissons
152,18.6767683256,MS,52.25,4,sheath,12,Soissons
154,8.1367249728,MS,63.2,5,internode,12,Soissons
155,47.1238898038,MS,71.4,6,internode,12,Soissons
158,16.0,MS,24.7789122834,1,blade,13,Soissons
156,3.14159265359,MS,2.5,1,internode,13,Soissons
157,6.22035345411,MS,10.5,1,sheath,13,Soissons
160,22.8,MS,30.5218428592,2,blade,13,Soissons
159,10.1536274564,MS,21.05,2,sheath,13,Soissons
163,34.0,MS,49.6296353898,3,blade,13,Soissons
161,0.292168116784,MS,26.25,3,internode,13,Soissons
162,15.8336269741,MS,33.4,3,sheath,13,Soissons
166,34.6,MS,60.0186156492,4,blade,13,Soissons
164,3.75734481369,MS,42.7,4,internode,13,Soissons
165,18.6767683256,MS,52.25,4,sheath,13,Soissons
167,8.1367249728,MS,63.2,5,internode,13,Soissons
168,47.1238898038,MS,71.4,6,internode,13,Soissons
171,16.0,MS,25.3043769025,1,blade,14,Soissons
169,3.14159265359,MS,2.5,1,internode,14,Soissons
170,6.22035345411,MS,10.5,1,sheath,14,Soissons
173,22.8,MS,33.7770384667,2,blade,14,Soissons
172,10.1536274564,MS,21.05,2,sheath,14,Soissons
176,34.0,MS,40.6633120358,3,blade,14,Soissons
174,0.292168116784,MS,26.25,3,internode,14,Soissons
175,15.8336269741,MS,33.4,3,sheath,14,Soissons
179,34.6,MS,57.5197632462,4,blade,14,Soissons
177,3.75734481369,MS,42.7,4,internode,14,Soissons
178,18.6767683256,MS,52.25,4,sheath,14,Soissons
180,8.1367249728,MS,63.2,5,internode,14,Soissons
181,47.1238898038,MS,71.4,6,internode,14,Soissons
184,16.0,MS,19.1777896104,1,blade,15,Soissons
182,3.14159265359,MS,2.5,1,internode,15,Soissons
183,6.22035345411,MS,10.5,1,sheath,15,Soissons
186,22.8,MS,34.5610070054,2,blade,15,Soissons
185,10.1536274564,MS,21.05,2,sheath,15,Soissons
189,34.0,MS,46.7509907978,3,blade,15,Soissons
187,0.292168116784,MS,26.25,3,internode,15,Soissons
188,15.8336269741,MS,33.4,3,sheath,15,Soissons
192,34.6,MS,58.9115635031,4,blade,15,Soissons
190,3.75734481369,MS,42.7,4,internode,15,Soissons
191,18.6767683256,MS,52.25,4,sheath,15,Soissons
193,8.1367249728,MS,63.2,5,internode,15,Soissons
194,47.1238898038,MS,71.4,6,internode,15,Soissons
197,16.0,MS,24.7142884214,1,blade,16,Soissons
195,3.14159265359,MS,2.5,1,internode,16,Soissons
196,6.22035345411,MS,10.5,1,sheath,16,Soissons
199,22.8,MS,34.5610070054,2,blade,16,Soissons
198,10.1536274564,MS,21.05,2,sheath,16,Soissons
202,34.0,MS,51.2776126713,3,blade,16,Soissons
200,0.292168116784,MS,26.25,3,internode,16,Soissons
201,15.8336269741,MS,33.4,3,sheath,16,Soissons
205,34.6,MS,68.5515776005,4,blade,16,Soissons
203,3.75734481369,MS,42.7,4,internode,16,Soissons
204,18.6767683256,MS,52.25,4,sheath,16,Soissons
206,8.1367249728,MS,63.2,5,internode,16,Soissons
207,47.1238898038,MS,71.4,6,internode,16,Soissons
210,16.0,MS,25.0132965216,1,blade,17,Soissons
208,3.14159265359,MS,2.5,1,internode,17,Soissons
209,6.22035345411,MS,10.5,1,sheath,17,Soissons
212,22.8,MS,34.5610070054,2,blade,17,Soissons
211,10.1536274564,MS,21.05,2,sheath,17,Soissons
215,34.0,MS,46.8821286358,3,blade,17,Soissons
213,0.292168116784,MS,26.25,3,internode,17,Soissons
214,15.8336269741,MS,33.4,3,sheath,17,Soissons
218,34.6,MS,67.0060920447,4,blade,17,Soissons
216,3.75734481369,MS,42.7,4,internode,17,Soissons
217,18.6767683256,MS,52.25,4,sheath,17,Soissons
219,8.1367249728,MS,63.2,5,internode,17,Soissons
220,47.1238898038,MS,71.4,6,internode,17,Soissons
223,16.0,MS,19.2307208781,1,blade,18,Soissons
221,3.14159265359,MS,2.5,1,internode,18,Soissons
222,6.22035345411,MS,10.5,1,sheath,18,Soissons
225,22.8,MS,30.771457565,2,blade,18,Soissons
224,10.1536274564,MS,21.05,2,sheath,18,Soissons
228,34.0,MS,49.9999484258,3,blade,18,Soissons
226,0.292168116784,MS,26.25,3,internode,18,Soissons
227,15.8336269741,MS,33.4,3,sheath,18,Soissons
231,34.6,MS,68.5515776005,4,blade,18,Soissons
229,3.75734481369,MS,42.7,4,internode,18,Soissons
230,18.6767683256,MS,52.25,4,sheath,18,Soissons
232,8.1367249728,MS,63.2,5,internode,18,Soissons
233,47.1238898038,MS,71.4,6,internode,18,Soissons
236,16.0,MS,22.7876168772,1,blade,19,Soissons
234,3.14159265359,MS,2.5,1,internode,19,Soissons
235,6.22035345411,MS,10.5,1,sheath,19,Soissons
238,22.8,MS,37.4894223497,2,blade,19,Soissons
237,10.1536274564,MS,21.05,2,sheath,19,Soissons
241,34.0,MS,52.3358386849,3,blade,19,Soissons
239,0.292168116784,MS,26.25,3,internode,19,Soissons
240,15.8336269741,MS,33.4,3,sheath,19,Soissons
244,34.6,MS,67.0060920447,4,blade,19,Soissons
242,3.75734481369,MS,42.7,4,internode,19,Soissons
243,18.6767683256,MS,52.25,4,sheath,19,Soissons
245,8.1367249728,MS,63.2,5,internode,19,Soissons
246,47.1238898038,MS,71.4,6,internode,19,Soissons
249,16.0,MS,15.8522169115,1,blade,20,Soissons
247,3.14159265359,MS,2.5,1,internode,20,Soissons
248,6.22035345411,MS,10.5,1,sheath,20,Soissons
251,22.8,MS,37.0078279864,2,blade,20,Soissons
250,10.1536274564,MS,21.05,2,sheath,20,Soissons
254,34.0,MS,49.3652139021,3,blade,20,Soissons
252,0.292168116784,MS,26.25,3,internode,20,Soissons
253,15.8336269741,MS,33.4,3,sheath,20,Soissons
257,34.6,MS,58.9115635031,4,blade,20,Soissons
255,3.75734481369,MS,42.7,4,internode,20,Soissons
256,18.6767683256,MS,52.25,4,sheath,20,Soissons
258,8.1367249728,MS,63.2,5,internode,20,Soissons
259,47.1238898038,MS,71.4,6,internode,20,Soissons
262,16.0,MS,24.3026618089,1,blade,21,Soissons
260,3.14159265359,MS,2.5,1,internode,21,Soissons
261,6.22035345411,MS,10.5,1,sheath,21,Soissons
264,22.8,MS,36.0589670434,2,blade,21,Soissons
263,10.1536274564,MS,21.05,2,sheath,21,Soissons
267,34.0,MS,38.760353583,3,blade,21,Soissons
265,0.292168116784,MS,26.25,3,internode,21,Soissons
266,15.8336269741,MS,33.4,3,sheath,21,Soissons
270,34.6,MS,59.8488063484,4,blade,21,Soissons
268,3.75734481369,MS,42.7,4,internode,21,Soissons
269,18.6767683256,MS,52.25,4,sheath,21,Soissons
271,8.1367249728,MS,63.2,5,internode,21,Soissons
272,47.1238898038,MS,71.4,6,internode,21,Soissons
275,16.0,MS,12.672595127,1,blade,22,Soissons
273,3.14159265359,MS,2.5,1,internode,22,Soissons
274,6.22035345411,MS,10.5,1,sheath,22,Soissons
277,22.8,MS,35.5388411642,2,blade,22,Soissons
276,10.1536274564,MS,21.05,2,sheath,22,Soissons
280,34.0,MS,49.2657236946,3,blade,22,Soissons
278,0.292168116784,MS,26.25,3,internode,22,Soissons
279,15.8336269741,MS,33.4,3,sheath,22,Soissons
283,34.6,MS,66.9804811676,4,blade,22,Soissons
281,3.75734481369,MS,42.7,4,internode,22,Soissons
282,18.6767683256,MS,52.25,4,sheath,22,Soissons
284,8.1367249728,MS,63.2,5,internode,22,Soissons
285,47.1238898038,MS,71.4,6,internode,22,Soissons
288,16.0,MS,24.2963155489,1,blade,23,Soissons
286,3.14159265359,MS,2.5,1,internode,23,Soissons
287,6.22035345411,MS,10.5,1,sheath,23,Soissons
290,22.8,MS,34.3084936023,2,blade,23,Soissons
289,10.1536274564,MS,21.05,2,sheath,23,Soissons
293,34.0,MS,46.7509907978,3,blade,23,Soissons
291,0.292168116784,MS,26.25,3,internode,23,Soissons
292,15.8336269741,MS,33.4,3,sheath,23,Soissons
296,34.6,MS,57.5197632462,4,blade,23,Soissons
294,3.75734481369,MS,42.7,4,internode,23,Soissons
295,18.6767683256,MS,52.25,4,sheath,23,Soissons
297,8.1367249728,MS,63.2,5,internode,23,Soissons
298,47.1238898038,MS,71.4,6,internode,23,Soissons
301,16.0,MS,24.1926888093,1,blade,24,Soissons
299,3.14159265359,MS,2.5,1,internode,24,Soissons
300,6.22035345411,MS,10.5,1,sheath,24,Soissons
303,22.8,MS,36.0589670434,2,blade,24,Soissons
302,10.1536274564,MS,21.05,2,sheath,24,Soissons
306,34.0,MS,49.9999484258,3,blade,24,Soissons
304,0.292168116784,MS,26.25,3,internode,24,Soissons
305,15.8336269741,MS,33.4,3,sheath,24,Soissons
309,34.6,MS,63.3348996245,4,blade,24,Soissons
307,3.75734481369,MS,42.7,4,internode,24,Soissons
308,18.6767683256,MS,52.25,4,sheath,24,Soissons
310,8.1367249728,MS,63.2,5,internode,24,Soissons
311,47.1238898038,MS,71.4,6,internode,24,Soissons
314,16.0,MS,24.8129491893,1,blade,25,Soissons
312,3.14159265359,MS,2.5,1,internode,25,Soissons
313,6.22035345411,MS,10.5,1,sheath,25,Soissons
316,22.8,MS,34.5610070054,2,blade,25,Soissons
315,10.1536274564,MS,21.05,2,sheath,25,Soissons
319,34.0,MS,47.9498926896,3,blade,25,Soissons
317,0.292168116784,MS,26.25,3,internode,25,Soissons
318,15.8336269741,MS,33.4,3,sheath,25,Soissons
322,34.6,MS,60.0186156492,4,blade,25,Soissons
320,3.75734481369,MS,42.7,4,internode,25,Soissons
321,18.6767683256,MS,52.25,4,sheath,25,Soissons
323,8.1367249728,MS,63.2,5,internode,25,Soissons
324,47.1238898038,MS,71.4,6,internode,25,Soissons
327,16.0,MS,24.1926888093,1,blade,26,Soissons
325,3.14159265359,MS,2.5,1,internode,26,Soissons
326,6.22035345411,MS,10.5,1,sheath,26,Soissons
329,22.8,MS,37.0078279864,2,blade,26,Soissons
328,10.1536274564,MS,21.05,2,sheath,26,Soissons
332,34.0,MS,51.3199432164,3,blade,26,Soissons
330,0.292168116784,MS,26.25,3,internode,26,Soissons
331,15.8336269741,MS,33.4,3,sheath,26,Soissons
335,34.6,MS,63.3348996245,4,blade,26,Soissons
333,3.75734481369,MS,42.7,4,internode,26,Soissons
334,18.6767683256,MS,52.25,4,sheath,26,Soissons
336,8.1367249728,MS,63.2,5,internode,26,Soissons
337,47.1238898038,MS,71.4,6,internode,26,Soissons
340,16.0,MS,25.3043769025,1,blade,27,Soissons
338,3.14159265359,MS,2.5,1,internode,27,Soissons
339,6.22035345411,MS,10.5,1,sheath,27,Soissons
342,22.8,MS,30.771457565,2,blade,27,Soissons
341,10.1536274564,MS,21.05,2,sheath,27,Soissons
345,34.0,MS,49.3652139021,3,blade,27,Soissons
343,0.292168116784,MS,26.25,3,internode,27,Soissons
344,15.8336269741,MS,33.4,3,sheath,27,Soissons
348,34.6,MS,67.7061824855,4,blade,27,Soissons
346,3.75734481369,MS,42.7,4,internode,27,Soissons
347,18.6767683256,MS,52.25,4,sheath,27,Soissons
349,8.1367249728,MS,63.2,5,internode,27,Soissons
350,47.1238898038,MS,71.4,6,internode,27,Soissons
353,16.0,MS,22.6505111032,1,blade,28,Soissons
351,3.14159265359,MS,2.5,1,internode,28,Soissons
352,6.22035345411,MS,10.5,1,sheath,28,Soissons
355,22.8,MS,34.5610070054,2,blade,28,Soissons
354,10.1536274564,MS,21.05,2,sheath,28,Soissons
358,34.0,MS,48.3173664836,3,blade,28,Soissons
356,0.292168116784,MS,26.25,3,internode,28,Soissons
357,15.8336269741,MS,33.4,3,sheath,28,Soissons
361,34.6,MS,67.1671821531,4,blade,28,Soissons
359,3.75734481369,MS,42.7,4,internode,28,Soissons
360,18.6767683256,MS,52.25,4,sheath,28,Soissons
362,8.1367249728,MS,63.2,5,internode,28,Soissons
363,47.1238898038,MS,71.4,6,internode,28,Soissons
366,16.0,MS,23.954701729,1,blade,29,Soissons
364,3.14159265359,MS,2.5,1,internode,29,Soissons
365,6.22035345411,MS,10.5,1,sheath,29,Soissons
368,22.8,MS,34.5610070054,2,blade,29,Soissons
367,10.1536274564,MS,21.05,2,sheath,29,Soissons
371,34.0,MS,47.1352222041,3,blade,29,Soissons
369,0.292168116784,MS,26.25,3,internode,29,Soissons
370,15.8336269741,MS,33.4,3,sheath,29,Soissons
374,34.6,MS,67.7061824855,4,blade,29,Soissons
372,3.75734481369,MS,42.7,4,internode,29,Soissons
373,18.6767683256,MS,52.25,4,sheath,29,Soissons
375,8.1367249728,MS,63.2,5,internode,29,Soissons
376,47.1238898038,MS,71.4,6,internode,29,Soissons
379,16.0,MS,23.954701729,1,blade,30,Soissons
377,3.14159265359,MS,2.5,1,internode,30,Soissons
378,6.22035345411,MS,10.5,1,sheath,30,Soissons
381,22.8,MS,30.771457565,2,blade,30,Soissons
380,10.1536274564,MS,21.05,2,sheath,30,Soissons
384,34.0,MS,46.8821286358,3,blade,30,Soissons
382,0.292168116784,MS,26.25,3,internode,30,Soissons
383,15.8336269741,MS,33.4,3,sheath,30,Soissons
387,34.6,MS,63.3348996245,4,blade,30,Soissons
385,3.75734481369,MS,42.7,4,internode,30,Soissons
386,18.6767683256,MS,52.25,4,sheath,30,Soissons
388,8.1367249728,MS,63.2,5,internode,30,Soissons
389,47.1238898038,MS,71.4,6,internode,30,Soissons
392,16.0,MS,24.247791242,1,blade,31,Soissons
390,3.14159265359,MS,2.5,1,internode,31,Soissons
391,6.22035345411,MS,10.5,1,sheath,31,Soissons
394,22.8,MS,24.2379240015,2,blade,31,Soissons
393,10.1536274564,MS,21.05,2,sheath,31,Soissons
397,34.0,MS,49.3652139021,3,blade,31,Soissons
395,0.292168116784,MS,26.25,3,internode,31,Soissons
396,15.8336269741,MS,33.4,3,sheath,31,Soissons
400,34.6,MS,62.0827321211,4,blade,31,Soissons
398,3.75734481369,MS,42.7,4,internode,31,Soissons
399,18.6767683256,MS,52.25,4,sheath,31,Soissons
401,8.1367249728,MS,63.2,5,internode,31,Soissons
402,47.1238898038,MS,71.4,6,internode,31,Soissons
405,16.0,MS,22.6505111032,1,blade,32,Soissons
403,3.14159265359,MS,2.5,1,internode,32,Soissons
404,6.22035345411,MS,10.5,1,sheath,32,Soissons
407,22.8,MS,33.7770384667,2,blade,32,Soissons
406,10.1536274564,MS,21.05,2,sheath,32,Soissons
410,34.0,MS,38.760353583,3,blade,32,Soissons
408,0.292168116784,MS,26.25,3,internode,32,Soissons
409,15.8336269741,MS,33.4,3,sheath,32,Soissons
413,34.6,MS,67.1671821531,4,blade,32,Soissons
411,3.75734481369,MS,42.7,4,internode,32,Soissons
412,18.6767683256,MS,52.25,4,sheath,32,Soissons
414,8.1367249728,MS,63.2,5,internode,32,Soissons
415,47.1238898038,MS,71.4,6,internode,32,Soissons
418,16.0,MS,25.0132965216,1,blade,33,Soissons
416,3.14159265359,MS,2.5,1,internode,33,Soissons
417,6.22035345411,MS,10.5,1,sheath,33,Soissons
420,22.8,MS,30.5218428592,2,blade,33,Soissons
419,10.1536274564,MS,21.05,2,sheath,33,Soissons
423,34.0,MS,38.760353583,3,blade,33,Soissons
421,0.292168116784,MS,26.25,3,internode,33,Soissons
422,15.8336269741,MS,33.4,3,sheath,33,Soissons
426,34.6,MS,66.9543607563,4,blade,33,Soissons
424,3.75734481369,MS,42.7,4,internode,33,Soissons
425,18.6767683256,MS,52.25,4,sheath,33,Soissons
427,8.1367249728,MS,63.2,5,internode,33,Soissons
428,47.1238898038,MS,71.4,6,internode,33,Soissons
431,16.0,MS,24.2889122789,1,blade,34,Soissons
429,3.14159265359,MS,2.5,1,internode,34,Soissons
430,6.22035345411,MS,10.5,1,sheath,34,Soissons
433,22.8,MS,37.4894223497,2,blade,34,Soissons
432,10.1536274564,MS,21.05,2,sheath,34,Soissons
436,34.0,MS,47.1352222041,3,blade,34,Soissons
434,0.292168116784,MS,26.25,3,internode,34,Soissons
435,15.8336269741,MS,33.4,3,sheath,34,Soissons
439,34.6,MS,58.9115635031,4,blade,34,Soissons
437,3.75734481369,MS,42.7,4,internode,34,Soissons
438,18.6767683256,MS,52.25,4,sheath,34,Soissons
440,8.1367249728,MS,63.2,5,internode,34,Soissons
441,47.1238898038,MS,71.4,6,internode,34,Soissons
444,16.0,MS,23.6559231177,1,blade,35,Soissons
442,3.14159265359,MS,2.5,1,internode,35,Soissons
443,6.22035345411,MS,10.5,1,sheath,35,Soissons
446,22.8,MS,34.8468921383,2,blade,35,Soissons
445,10.1536274564,MS,21.05,2,sheath,35,Soissons
449,34.0,MS,51.2776126713,3,blade,35,Soissons
447,0.292168116784,MS,26.25,3,internode,35,Soissons
448,15.8336269741,MS,33.4,3,sheath,35,Soissons
452,34.6,MS,58.9115635031,4,blade,35,Soissons
450,3.75734481369,MS,42.7,4,internode,35,Soissons
451,18.6767683256,MS,52.25,4,sheath,35,Soissons
453,8.1367249728,MS,63.2,5,internode,35,Soissons
454,47.1238898038,MS,71.4,6,internode,35,Soissons
457,16.0,MS,23.954701729,1,blade,36,Soissons
455,3.14159265359,MS,2.5,1,internode,36,Soissons
456,6.22035345411,MS,10.5,1,sheath,36,Soissons
459,22.8,MS,34.8077422808,2,blade,36,Soissons
458,10.1536274564,MS,21.05,2,sheath,36,Soissons
462,34.0,MS,40.6633120358,3,blade,36,Soissons
460,0.292168116784,MS,26.25,3,internode,36,Soissons
461,15.8336269741,MS,33.4,3,sheath,36,Soissons
465,34.6,MS,58.603700885,4,blade,36,Soissons
463,3.75734481369,MS,42.7,4,internode,36,Soissons
464,18.6767683256,MS,52.25,4,sheath,36,Soissons
466,8.1367249728,MS,63.2,5,internode,36,Soissons
467,47.1238898038,MS,71.4,6,internode,36,Soissons
470,16.0,MS,23.8788511329,1,blade,37,Soissons
468,3.14159265359,MS,2.5,1,internode,37,Soissons
469,6.22035345411,MS,10.5,1,sheath,37,Soissons
472,22.8,MS,34.5610070054,2,blade,37,Soissons
471,10.1536274564,MS,21.05,2,sheath,37,Soissons
475,34.0,MS,51.2776126713,3,blade,37,Soissons
473,0.292168116784,MS,26.25,3,internode,37,Soissons
474,15.8336269741,MS,33.4,3,sheath,37,Soissons
478,34.6,MS,58.9115635031,4,blade,37,Soissons
476,3.75734481369,MS,42.7,4,internode,37,Soissons
477,18.6767683256,MS,52.25,4,sheath,37,Soissons
479,8.1367249728,MS,63.2,5,internode,37,Soissons
480,47.1238898038,MS,71.4,6,internode,37,Soissons
483,16.0,MS,22.194383965,1,blade,38,Soissons
481,3.14159265359,MS,2.5,1,internode,38,Soissons
482,6.22035345411,MS,10.5,1,sheath,38,Soissons
485,22.8,MS,34.5610070054,2,blade,38,Soissons
484,10.1536274564,MS,21.05,2,sheath,38,Soissons
488,34.0,MS,49.2657236946,3,blade,38,Soissons
486,0.292168116784,MS,26.25,3,internode,38,Soissons
487,15.8336269741,MS,33.4,3,sheath,38,Soissons
491,34.6,MS,59.8488063484,4,blade,38,Soissons
489,3.75734481369,MS,42.7,4,internode,38,Soissons
490,18.6767683256,MS,52.25,4,sheath,38,Soissons
492,8.1367249728,MS,63.2,5,internode,38,Soissons
