plant,axis,metamer,organ,element,width,height,PARa
3,MS,4,sheath,StemElement,0.004,0.52,0
3,MS,5,internode,HiddenElement,0.0035,0.5,0
3,MS,5,internode,StemElement,0.0035,0.63,0
3,MS,6,internode,StemElement,0.017,0.71,0
4,MS,1,blade,LeafElement1,0.011,0.23,0
4,MS,1,internode,HiddenElement,0.002,0.03,0
4,MS,1,sheath,StemElement,0.002,0.11,0
4,MS,2,blade,LeafElement1,0.014,0.36,0
4,MS,2,internode,HiddenElement,0.0029,0.11,0
4,MS,2,sheath,StemElement,0.003,0.22,0
4,MS,3,blade,LeafElement1,0.019,0.52,0
4,MS,3,internode,HiddenElement,0.0031,0.21,0
4,MS,3,sheath,StemElement,0.004,0.33,0
4,MS,4,blade,LeafElement1,0.025,0.67,0
4,MS,4,internode,HiddenElement,0.0026,0.36,0
4,MS,4,internode,StemElement,0.0026,0.43,0
4,MS,4,sheath,StemElement,0.004,0.52,0
4,MS,5,internode,HiddenElement,0.0035,0.5,0
4,MS,5,internode,StemElement,0.0035,0.63,0
4,MS,6,internode,StemElement,0.017,0.71,0
5,MS,1,blade,LeafElement1,0.011,0.23,0
5,MS,1,internode,HiddenElement,0.002,0.03,0
5,MS,1,sheath,StemElement,0.002,0.11,0
5,MS,2,blade,LeafElement1,0.014,0.36,0
5,MS,2,internode,HiddenElement,0.0029,0.11,0
5,MS,2,sheath,StemElement,0.003,0.22,0
5,MS,3,blade,LeafElement1,0.019,0.52,0
5,MS,3,internode,HiddenElement,0.0031,0.21,0
5,MS,3,sheath,StemElement,0.004,0.33,0
5,MS,4,blade,LeafElement1,0.025,0.67,0
5,MS,4,internode,HiddenElement,0.0026,0.36,0
5,MS,4,internode,StemElement,0.0026,0.43,0
5,MS,4,sheath,StemElement,0.004,0.52,0
5,MS,5,internode,HiddenElement,0.0035,0.5,0
5,MS,5,internode,StemElement,0.0035,0.63,0
5,MS,6,internode,StemElement,0.017,0.71,0
6,MS,1,blade,LeafElement1,0.011,0.23,0
6,MS,1,internode,HiddenElement,0.002,0.03,0
6,MS,1,sheath,StemElement,0.002,0.11,0
6,MS,2,blade,LeafElement1,0.014,0.36,0
6,MS,2,internode,HiddenElement,0.0029,0.11,0
6,MS,2,sheath,StemElement,0.003,0.22,0
6,MS,3,blade,LeafElement1,0.019,0.52,0
6,MS,3,internode,HiddenElement,0.0031,0.21,0
6,MS,3,sheath,StemElement,0.004,0.33,0
6,MS,4,blade,LeafElement1,0.025,0.67,0
6,MS,4,internode,HiddenElement,0.0026,0.36,0
6,MS,4,internode,StemElement,0.0026,0.43,0
6,MS,4,sheath,StemElement,0.004,0.52,0
6,MS,5,internode,HiddenElement,0.0035,0.5,0
6,MS,5,internode,StemElement,0.0035,0.63,0
6,MS,6,internode,StemElement,0.017,0.71,0
7,MS,1,blade,LeafElement1,0.011,0.23,0
7,MS,1,internode,HiddenElement,0.002,0.03,0
7,MS,1,sheath,StemElement,0.002,0.11,0
7,MS,2,blade,LeafElement1,0.014,0.36,0
7,MS,2,internode,HiddenElement,0.0029,0.11,0
7,MS,2,sheath,StemElement,0.003,0.22,0
7,MS,3,blade,LeafElement1,0.019,0.52,0
7,MS,3,internode,HiddenElement,0.0031,0.21,0
7,MS,3,sheath,StemElement,0.004,0.33,0
7,MS,4,blade,LeafElement1,0.025,0.67,0
7,MS,4,internode,HiddenElement,0.0026,0.36,0
7,MS,4,internode,StemElement,0.0026,0.43,0
7,MS,4,sheath,StemElement,0.004,0.52,0
7,MS,5,internode,HiddenElement,0.0035,0.5,0
7,MS,5,internode,StemElement,0.0035,0.63,0
7,MS,6,internode,StemElement,0.017,0.71,0
8,MS,1,blade,LeafElement1,0.011,0.23,0
8,MS,1,internode,HiddenElement,0.002,0.03,0
8,MS,1,sheath,StemElement,0.002,0.11,0
8,MS,2,blade,LeafElement1,0.014,0.36,0
8,MS,2,internode,HiddenElement,0.0029,0.11,0
8,MS,2,sheath,StemElement,0.003,0.22,0
8,MS,3,blade,LeafElement1,0.019,0.52,0
8,MS,3,internode,HiddenElement,0.0031,0.21,0
8,MS,3,sheath,StemElement,0.004,0.33,0
8,MS,4,blade,LeafElement1,0.025,0.67,0
8,MS,4,internode,HiddenElement,0.0026,0.36,0
8,MS,4,internode,StemElement,0.0026,0.43,0
8,MS,4,sheath,StemElement,0.004,0.52,0
8,MS,5,internode,HiddenElement,0.0035,0.5,0
8,MS,5,internode,StemElement,0.0035,0.63,0
8,MS,6,internode,StemElement,0.017,0.71,0
9,MS,1,blade,LeafElement1,0.011,0.23,0
9,MS,1,internode,HiddenElement,0.002,0.03,0
9,MS,1,sheath,StemElement,0.002,0.11,0
9,MS,2,blade,LeafElement1,0.014,0.36,0
9,MS,2,internode,HiddenElement,0.0029,0.11,0
9,MS,2,sheath,StemElement,0.003,0.22,0
9,MS,3,blade,LeafElement1,0.019,0.52,0
9,MS,3,internode,HiddenElement,0.0031,0.21,0
9,MS,3,sheath,StemElement,0.004,0.33,0
9,MS,4,blade,LeafElement1,0.025,0.67,0
9,MS,4,internode,HiddenElement,0.0026,0.36,0
9,MS,4,internode,StemElement,0.0026,0.43,0
9,MS,4,sheath,StemElement,0.004,0.52,0
9,MS,5,internode,HiddenElement,0.0035,0.5,0
9,MS,5,internode,StemElement,0.0035,0.63,0
9,MS,6,internode,StemElement,0.017,0.71,0
10,MS,1,blade,LeafElement1,0.011,0.23,0
10,MS,1,internode,HiddenElement,0.002,0.03,0
10,MS,1,sheath,StemElement,0.002,0.11,0
10,MS,2,blade,LeafElement1,0.014,0.36,0
10,MS,2,internode,HiddenElement,0.0029,0.11,0
10,MS,2,sheath,StemElement,0.003,0.22,0
10,MS,3,blade,LeafElement1,0.019,0.52,0
10,MS,3,internode,HiddenElement,0.0031,0.21,0
10,MS,3,sheath,StemElement,0.004,0.33,0
10,MS,4,blade,LeafElement1,0.025,0.67,0
10,MS,4,internode,HiddenElement,0.0026,0.36,0
10,MS,4,internode,StemElement,0.0026,0.43,0
10,MS,4,sheath,StemElement,0.004,0.52,0
10,MS,5,internode,HiddenElement,0.0035,0.5,0
10,MS,5,internode,StemElement,0.0035,0.63,0
10,MS,6,internode,StemElement,0.017,0.71,0
11,MS,1,blade,LeafElement1,0.011,0.23,0
11,MS,1,internode,HiddenElement,0.002,0.03,0
11,MS,1,sheath,StemElement,0.002,0.11,0
11,MS,2,blade,LeafElement1,0.014,0.36,0
11,MS,2,internode,HiddenElement,0.0029,0.11,0
11,MS,2,sheath,StemElement,0.003,0.22,0
11,MS,3,blade,LeafElement1,0.019,0.52,0
11,MS,3,internode,HiddenElement,0.0031,0.21,0
11,MS,3,sheath,StemElement,0.004,0.33,0
11,MS,4,blade,LeafElement1,0.025,0.67,0
11,MS,4,internode,HiddenElement,0.0026,0.36,0
11,MS,4,internode,StemElement,0.0026,0.43,0
11,MS,4,sheath,StemElement,0.004,0.52,0
11,MS,5,internode,HiddenElement,0.0035,0.5,0
11,MS,5,internode,StemElement,0.0035,0.63,0
11,MS,6,internode,StemElement,0.017,0.71,0
12,MS,1,blade,LeafElement1,0.011,0.23,0
12,MS,1,internode,HiddenElement,0.002,0.03,0
12,MS,1,sheath,StemElement,0.002,0.11,0
12,MS,2,blade,LeafElement1,0.014,0.36,0
12,MS,2,internode,HiddenElement,0.0029,0.11,0
12,MS,2,sheath,StemElement,0.003,0.22,0
12,MS,3,blade,LeafElement1,0.019,0.52,0
12,MS,3,internode,HiddenElement,0.0031,0.21,0
12,MS,3,sheath,StemElement,0.004,0.33,0
12,MS,4,blade,LeafElement1,0.025,0.67,0
12,MS,4,internode,HiddenElement,0.0026,0.36,0
12,MS,4,internode,StemElement,0.0026,0.43,0
12,MS,4,sheath,StemElement,0.004,0.52,0
12,MS,5,internode,HiddenElement,0.0035,0.5,0
12,MS,5,internode,StemElement,0.0035,0.63,0
12,MS,6,internode,StemElement,0.017,0.71,0
13,MS,1,blade,LeafElement1,0.011,0.23,0
13,MS,1,internode,HiddenElement,0.002,0.03,0
13,MS,1,sheath,StemElement,0.002,0.11,0
13,MS,2,blade,LeafElement1,0.014,0.36,0
13,MS,2,internode,HiddenElement,0.0029,0.11,0
13,MS,2,sheath,StemElement,0.003,0.22,0
13,MS,3,blade,LeafElement1,0.019,0.52,0
13,MS,3,internode,HiddenElement,0.0031,0.21,0
13,MS,3,sheath,StemElement,0.004,0.33,0
13,MS,4,blade,LeafElement1,0.025,0.67,0
13,MS,4,internode,HiddenElement,0.0026,0.36,0
13,MS,4,internode,StemElement,0.0026,0.43,0
13,MS,4,sheath,StemElement,0.004,0.52,0
13,MS,5,internode,HiddenElement,0.0035,0.5,0
13,MS,5,internode,StemElement,0.0035,0.63,0
13,MS,6,internode,StemElement,0.017,0.71,0
14,MS,1,blade,LeafElement1,0.011,0.23,0
14,MS,1,internode,HiddenElement,0.002,0.03,0
14,MS,1,sheath,StemElement,0.002,0.11,0
14,MS,2,blade,LeafElement1,0.014,0.36,0
14,MS,2,internode,HiddenElement,0.0029,0.11,0
14,MS,2,sheath,StemElement,0.003,0.22,0
14,MS,3,blade,LeafElement1,0.019,0.52,0
14,MS,3,internode,HiddenElement,0.0031,0.21,0
14,MS,3,sheath,StemElement,0.004,0.33,0
14,MS,4,blade,LeafElement1,0.025,0.67,0
14,MS,4,internode,HiddenElement,0.0026,0.36,0
14,MS,4,internode,StemElement,0.0026,0.43,0
14,MS,4,sheath,StemElement,0.004,0.52,0
14,MS,5,internode,HiddenElement,0.0035,0.5,0
14,MS,5,internode,StemElement,0.0035,0.63,0
14,MS,6,internode,StemElement,0.017,0.71,0
15,MS,1,blade,LeafElement1,0.011,0.23,0
15,MS,1,internode,HiddenElement,0.002,0.03,0
15,MS,1,sheath,StemElement,0.002,0.11,0
15,MS,2,blade,LeafElement1,0.014,0.36,0
15,MS,2,internode,HiddenElement,0.0029,0.11,0
15,MS,2,sheath,StemElement,0.003,0.22,0
15,MS,3,blade,LeafElement1,0.019,0.52,0
15,MS,3,internode,HiddenElement,0.0031,0.21,0
15,MS,3,sheath,StemElement,0.004,0.33,0
15,MS,4,blade,LeafElement1,0.025,0.67,0
15,MS,4,internode,HiddenElement,0.0026,0.36,0
15,MS,4,internode,StemElement,0.0026,0.43,0
15,MS,4,sheath,StemElement,0.004,0.52,0
15,MS,5,internode,HiddenElement,0.0035,0.5,0
15,MS,5,internode,StemElement,0.0035,0.63,0
15,MS,6,internode,StemElement,0.017,0.71,0
16,MS,1,blade,LeafElement1,0.011,0.23,0
16,MS,1,internode,HiddenElement,0.002,0.03,0
16,MS,1,sheath,StemElement,0.002,0.11,0
16,MS,2,blade,LeafElement1,0.014,0.36,0
16,MS,2,internode,HiddenElement,0.0029,0.11,0
16,MS,2,sheath,StemElement,0.003,0.22,0
16,MS,3,blade,LeafElement1,0.019,0.52,0
16,MS,3,internode,HiddenElement,0.0031,0.21,0
16,MS,3,sheath,StemElement,0.004,0.33,0
16,MS,4,blade,LeafElement1,0.025,0.67,0
16,MS,4,internode,HiddenElement,0.0026,0.36,0
16,MS,4,internode,StemElement,0.0026,0.43,0
16,MS,4,sheath,StemElement,0.004,0.52,0
16,MS,5,internode,HiddenElement,0.0035,0.5,0
16,MS,5,internode,StemElement,0.0035,0.63,0
16,MS,6,internode,StemElement,0.017,0.71,0
17,MS,1,blade,LeafElement1,0.011,0.23,0
17,MS,1,internode,HiddenElement,0.002,0.03,0
17,MS,1,sheath,StemElement,0.002,0.11,0
17,MS,2,blade,LeafElement1,0.014,0.36,0
17,MS,2,internode,HiddenElement,0.0029,0.11,0
17,MS,2,sheath,StemElement,0.003,0.22,0
17,MS,3,blade,LeafElement1,0.019,0.52,0
17,MS,3,internode,HiddenElement,0.0031,0.21,0
17,MS,3,sheath,StemElement,0.004,0.33,0
17,MS,4,blade,LeafElement1,0.025,0.67,0
17,MS,4,internode,HiddenElement,0.0026,0.36,0
17,MS,4,internode,StemElement,0.0026,0.43,0
17,MS,4,sheath,StemElement,0.004,0.52,0
17,MS,5,internode,HiddenElement,0.0035,0.5,0
17,MS,5,internode,StemElement,0.0035,0.63,0
17,MS,6,internode,StemElement,0.017,0.71,0
18,MS,1,blade,LeafElement1,0.011,0.23,0
18,MS,1,internode,HiddenElement,0.002,0.03,0
18,MS,1,sheath,StemElement,0.002,0.11,0
18,MS,2,blade,LeafElement1,0.014,0.36,0
18,MS,2,internode,HiddenElement,0.0029,0.11,0
18,MS,2,sheath,StemElement,0.003,0.22,0
18,MS,3,blade,LeafElement1,0.019,0.52,0
18,MS,3,internode,HiddenElement,0.0031,0.21,0
18,MS,3,sheath,StemElement,0.004,0.33,0
18,MS,4,blade,LeafElement1,0.025,0.67,0
18,MS,4,internode,HiddenElement,0.0026,0.36,0
18,MS,4,internode,StemElement,0.0026,0.43,0
18,MS,4,sheath,StemElement,0.004,0.52,0
18,MS,5,internode,HiddenElement,0.0035,0.5,0
18,MS,5,internode,StemElement,0.0035,0.63,0
18,MS,6,internode,StemElement,0.017,0.71,0
19,MS,1,blade,LeafElement1,0.011,0.23,0
19,MS,1,internode,HiddenElement,0.002,0.03,0
19,MS,1,sheath,StemElement,0.002,0.11,0
19,MS,2,blade,LeafElement1,0.014,0.36,0
19,MS,2,internode,HiddenElement,0.0029,0.11,0
19,MS,2,sheath,StemElement,0.003,0.22,0
19,MS,3,blade,LeafElement1,0.019,0.52,0
19,MS,3,internode,HiddenElement,0.0031,0.21,0
19,MS,3,sheath,StemElement,0.004,0.33,0
19,MS,4,blade,LeafElement1,0.025,0.67,0
19,MS,4,internode,HiddenElement,0.0026,0.36,0
19,MS,4,internode,StemElement,0.0026,0.43,0
19,MS,4,sheath,StemElement,0.004,0.52,0
19,MS,5,internode,HiddenElement,0.0035,0.5,0
19,MS,5,internode,StemElement,0.0035,0.63,0
19,MS,6,internode,StemElement,0.017,0.71,0
20,MS,1,blade,LeafElement1,0.011,0.23,0
20,MS,1,internode,HiddenElement,0.002,0.03,0
20,MS,1,sheath,StemElement,0.002,0.11,0
20,MS,2,blade,LeafElement1,0.014,0.36,0
20,MS,2,internode,HiddenElement,0.0029,0.11,0
20,MS,2,sheath,StemElement,0.003,0.22,0
20,MS,3,blade,LeafElement1,0.019,0.52,0
20,MS,3,internode,HiddenElement,0.0031,0.21,0
20,MS,3,sheath,StemElement,0.004,0.33,0
20,MS,4,blade,LeafElement1,0.025,0.67,0
20,MS,4,internode,HiddenElement,0.0026,0.36,0
20,MS,4,internode,StemElement,0.0026,0.43,0
20,MS,4,sheath,StemElement,0.004,0.52,0
20,MS,5,internode,HiddenElement,0.0035,0.5,0
20,MS,5,internode,StemElement,0.0035,0.63,0
20,MS,6,internode,StemElement,0.017,0.71,0
21,MS,1,blade,LeafElement1,0.011,0.23,0
21,MS,1,internode,HiddenElement,0.002,0.03,0
21,MS,1,sheath,StemElement,0.002,0.11,0
21,MS,2,blade,LeafElement1,0.014,0.36,0
21,MS,2,internode,HiddenElement,0.0029,0.11,0
21,MS,2,sheath,StemElement,0.003,0.22,0
21,MS,3,blade,LeafElement1,0.019,0.52,0
21,MS,3,internode,HiddenElement,0.0031,0.21,0
21,MS,3,sheath,StemElement,0.004,0.33,0
21,MS,4,blade,LeafElement1,0.025,0.67,0
21,MS,4,internode,HiddenElement,0.0026,0.36,0
21,MS,4,internode,StemElement,0.0026,0.43,0
21,MS,4,sheath,StemElement,0.004,0.52,0
21,MS,5,internode,HiddenElement,0.0035,0.5,0
21,MS,5,internode,StemElement,0.0035,0.63,0
21,MS,6,internode,StemElement,0.017,0.71,0
22,MS,1,blade,LeafElement1,0.011,0.23,0
22,MS,1,internode,HiddenElement,0.002,0.03,0
22,MS,1,sheath,StemElement,0.002,0.11,0
22,MS,2,blade,LeafElement1,0.014,0.36,0
22,MS,2,internode,HiddenElement,0.0029,0.11,0
22,MS,2,sheath,StemElement,0.003,0.22,0
22,MS,3,blade,LeafElement1,0.019,0.52,0
22,MS,3,internode,HiddenElement,0.0031,0.21,0
22,MS,3,sheath,StemElement,0.004,0.33,0
22,MS,4,blade,LeafElement1,0.025,0.67,0
22,MS,4,internode,HiddenElement,0.0026,0.36,0
22,MS,4,internode,StemElement,0.0026,0.43,0
22,MS,4,sheath,StemElement,0.004,0.52,0
22,MS,5,internode,HiddenElement,0.0035,0.5,0
22,MS,5,internode,StemElement,0.0035,0.63,0
22,MS,6,internode,StemElement,0.017,0.71,0
23,MS,1,blade,LeafElement1,0.011,0.23,0
23,MS,1,internode,HiddenElement,0.002,0.03,0
23,MS,1,sheath,StemElement,0.002,0.11,0
23,MS,2,blade,LeafElement1,0.014,0.36,0
23,MS,2,internode,HiddenElement,0.0029,0.11,0
23,MS,2,sheath,StemElement,0.003,0.22,0
23,MS,3,blade,LeafElement1,0.019,0.52,0
23,MS,3,internode,HiddenElement,0.0031,0.21,0
23,MS,3,sheath,StemElement,0.004,0.33,0
23,MS,4,blade,LeafElement1,0.025,0.67,0
23,MS,4,internode,HiddenElement,0.0026,0.36,0
23,MS,4,internode,StemElement,0.0026,0.43,0
23,MS,4,sheath,StemElement,0.004,0.52,0
23,MS,5,internode,HiddenElement,0.0035,0.5,0
23,MS,5,internode,StemElement,0.0035,0.63,0
23,MS,6,internode,StemElement,0.017,0.71,0
24,MS,1,blade,LeafElement1,0.011,0.23,0
24,MS,1,internode,HiddenElement,0.002,0.03,0
24,MS,1,sheath,StemElement,0.002,0.11,0
24,MS,2,blade,LeafElement1,0.014,0.36,0
24,MS,2,internode,HiddenElement,0.0029,0.11,0
24,MS,2,sheath,StemElement,0.003,0.22,0
24,MS,3,blade,LeafElement1,0.019,0.52,0
24,MS,3,internode,HiddenElement,0.0031,0.21,0
24,MS,3,sheath,StemElement,0.004,0.33,0
24,MS,4,blade,LeafElement1,0.025,0.67,0
24,MS,4,internode,HiddenElement,0.0026,0.36,0
24,MS,4,internode,StemElement,0.0026,0.43,0
24,MS,4,sheath,StemElement,0.004,0.52,0
24,MS,5,internode,HiddenElement,0.0035,0.5,0
24,MS,5,internode,StemElement,0.0035,0.63,0
24,MS,6,internode,StemElement,0.017,0.71,0
25,MS,1,blade,LeafElement1,0.011,0.23,0
25,MS,1,internode,HiddenElement,0.002,0.03,0
25,MS,1,sheath,StemElement,0.002,0.11,0
25,MS,2,blade,LeafElement1,0.014,0.36,0
25,MS,2,internode,HiddenElement,0.0029,0.11,0
25,MS,2,sheath,StemElement,0.003,0.22,0
25,MS,3,blade,LeafElement1,0.019,0.52,0
25,MS,3,internode,HiddenElement,0.0031,0.21,0
25,MS,3,sheath,StemElement,0.004,0.33,0
25,MS,4,blade,LeafElement1,0.025,0.67,0
25,MS,4,internode,HiddenElement,0.0026,0.36,0
25,MS,4,internode,StemElement,0.0026,0.43,0
25,MS,4,sheath,StemElement,0.004,0.52,0
25,MS,5,internode,HiddenElement,0.0035,0.5,0
25,MS,5,internode,StemElement,0.0035,0.63,0
25,MS,6,internode,StemElement,0.017,0.71,0
26,MS,1,blade,LeafElement1,0.011,0.23,0
26,MS,1,internode,HiddenElement,0.002,0.03,0
26,MS,1,sheath,StemElement,0.002,0.11,0
26,MS,2,blade,LeafElement1,0.014,0.36,0
26,MS,2,internode,HiddenElement,0.0029,0.11,0
26,MS,2,sheath,StemElement,0.003,0.22,0
26,MS,3,blade,LeafElement1,0.019,0.52,0
26,MS,3,internode,HiddenElement,0.0031,0.21,0
26,MS,3,sheath,StemElement,0.004,0.33,0
26,MS,4,blade,LeafElement1,0.025,0.67,0
26,MS,4,internode,HiddenElement,0.0026,0.36,0
26,MS,4,internode,StemElement,0.0026,0.43,0
26,MS,4,sheath,StemElement,0.004,0.52,0
26,MS,5,internode,HiddenElement,0.0035,0.5,0
26,MS,5,internode,StemElement,0.0035,0.63,0
26,MS,6,internode,StemElement,0.017,0.71,0
27,MS,1,blade,LeafElement1,0.011,0.23,0
27,MS,1,internode,HiddenElement,0.002,0.03,0
27,MS,1,sheath,StemElement,0.002,0.11,0
27,MS,2,blade,LeafElement1,0.014,0.36,0
27,MS,2,internode,HiddenElement,0.0029,0.11,0
27,MS,2,sheath,StemElement,0.003,0.22,0
27,MS,3,blade,LeafElement1,0.019,0.52,0
27,MS,3,internode,HiddenElement,0.0031,0.21,0
27,MS,3,sheath,StemElement,0.004,0.33,0
27,MS,4,blade,LeafElement1,0.025,0.67,0
27,MS,4,internode,HiddenElement,0.0026,0.36,0
27,MS,4,internode,StemElement,0.0026,0.43,0
27,MS,4,sheath,StemElement,0.004,0.52,0
27,MS,5,internode,HiddenElement,0.0035,0.5,0
27,MS,5,internode,StemElement,0.0035,0.63,0
27,MS,6,internode,StemElement,0.017,0.71,0
28,MS,1,blade,LeafElement1,0.011,0.23,0
28,MS,1,internode,HiddenElement,0.002,0.03,0
28,MS,1,sheath,StemElement,0.002,0.11,0
28,MS,2,blade,LeafElement1,0.014,0.36,0
28,MS,2,internode,HiddenElement,0.0029,0.11,0
28,MS,2,sheath,StemElement,0.003,0.22,0
28,MS,3,blade,LeafElement1,0.019,0.52,0
28,MS,3,internode,HiddenElement,0.0031,0.21,0
28,MS,3,sheath,StemElement,0.004,0.33,0
28,MS,4,blade,LeafElement1,0.025,0.67,0
28,MS,4,internode,HiddenElement,0.0026,0.36,0
28,MS,4,internode,StemElement,0.0026,0.43,0
28,MS,4,sheath,StemElement,0.004,0.52,0
28,MS,5,internode,HiddenElement,0.0035,0.5,0
28,MS,5,internode,StemElement,0.0035,0.63,0
28,MS,6,internode,StemElement,0.017,0.71,0
29,MS,1,blade,LeafElement1,0.011,0.23,0
29,MS,1,internode,HiddenElement,0.002,0.03,0
29,MS,1,sheath,StemElement,0.002,0.11,0
29,MS,2,blade,LeafElement1,0.014,0.36,0
29,MS,2,internode,HiddenElement,0.0029,0.11,0
29,MS,2,sheath,StemElement,0.003,0.22,0
29,MS,3,blade,LeafElement1,0.019,0.52,0
29,MS,3,internode,HiddenElement,0.0031,0.21,0
29,MS,3,sheath,StemElement,0.004,0.33,0
29,MS,4,blade,LeafElement1,0.025,0.67,0
29,MS,4,internode,HiddenElement,0.0026,0.36,0
29,MS,4,internode,StemElement,0.0026,0.43,0
29,MS,4,sheath,StemElement,0.004,0.52,0
29,MS,5,internode,HiddenElement,0.0035,0.5,0
29,MS,5,internode,StemElement,0.0035,0.63,0
29,MS,6,internode,StemElement,0.017,0.71,0
30,MS,1,blade,LeafElement1,0.011,0.23,0
30,MS,1,internode,HiddenElement,0.002,0.03,0
30,MS,1,sheath,StemElement,0.002,0.11,0
30,MS,2,blade,LeafElement1,0.014,0.36,0
30,MS,2,internode,HiddenElement,0.0029,0.11,0
30,MS,2,sheath,StemElement,0.003,0.22,0
30,MS,3,blade,LeafElement1,0.019,0.52,0
30,MS,3,internode,HiddenElement,0.0031,0.21,0
30,MS,3,sheath,StemElement,0.004,0.33,0
30,MS,4,blade,LeafElement1,0.025,0.67,0
30,MS,4,internode,HiddenElement,0.0026,0.36,0
30,MS,4,internode,StemElement,0.0026,0.43,0
30,MS,4,sheath,StemElement,0.004,0.52,0
30,MS,5,internode,HiddenElement,0.0035,0.5,0
30,MS,5,internode,StemElement,0.0035,0.63,0
30,MS,6,internode,StemElement,0.017,0.71,0
