t,species,metamer,organ,Eabs,plant
24,Caphorn,4,sheath,0.0,1
24,Caphorn,5,internode,0.0,1
24,Caphorn,6,internode,0.0,1
24,Soissons,1,blade,0.0,2
24,Soissons,1,sheath,0.0,2
24,Soissons,2,blade,0.0,2
24,Soissons,2,sheath,0.0,2
24,Soissons,3,blade,0.0,2
24,Soissons,3,sheath,0.0,2
24,Soissons,4,blade,0.0,2
24,Soissons,4,internode,0.0,2
24,Soissons,4,sheath,0.0,2
24,Soissons,5,internode,0.0,2
24,Soissons,6,internode,0.0,2
25,Caphorn,1,blade,0.0,1
25,Caphorn,1,sheath,0.0,1
25,Caphorn,2,blade,0.0,1
25,Caphorn,2,sheath,0.0,1
25,Caphorn,3,blade,0.0,1
25,Caphorn,3,sheath,0.0,1
25,Caphorn,4,blade,0.0,1
25,Caphorn,4,internode,0.0,1
25,Caphorn,4,sheath,0.0,1
25,Caphorn,5,internode,0.0,1
25,Caphorn,6,internode,0.0,1
25,Soissons,1,blade,0.0,2
25,Soissons,1,sheath,0.0,2
25,Soissons,2,blade,0.0,2
25,Soissons,2,sheath,0.0,2
25,Soissons,3,blade,0.0,2
25,Soissons,3,sheath,0.0,2
25,Soissons,4,blade,0.0,2
25,Soissons,4,internode,0.0,2
25,Soissons,4,sheath,0.0,2
25,Soissons,5,internode,0.0,2
25,Soissons,6,internode,0.0,2
26,Caphorn,1,blade,0.0,1
26,Caphorn,1,sheath,0.0,1
26,Caphorn,2,blade,0.0,1
26,Caphorn,2,sheath,0.0,1
26,Caphorn,3,blade,0.0,1
26,Caphorn,3,sheath,0.0,1
26,Caphorn,4,blade,0.0,1
26,Caphorn,4,internode,0.0,1
26,Caphorn,4,sheath,0.0,1
26,Caphorn,5,internode,0.0,1
26,Caphorn,6,internode,0.0,1
26,Soissons,1,blade,0.0,2
26,Soissons,1,sheath,0.0,2
26,Soissons,2,blade,0.0,2
26,Soissons,2,sheath,0.0,2
26,Soissons,3,blade,0.0,2
26,Soissons,3,sheath,0.0,2
26,Soissons,4,blade,0.0,2
26,Soissons,4,internode,0.0,2
26,Soissons,4,sheath,0.0,2
26,Soissons,5,internode,0.0,2
26,Soissons,6,internode,0.0,2
27,Caphorn,1,blade,0.0,1
27,Caphorn,1,sheath,0.0,1
27,Caphorn,2,blade,0.0,1
27,Caphorn,2,sheath,0.0,1
27,Caphorn,3,blade,0.0,1
27,Caphorn,3,sheath,0.0,1
27,Caphorn,4,blade,0.0,1
27,Caphorn,4,internode,0.0,1
27,Caphorn,4,sheath,0.0,1
27,Caphorn,5,internode,0.0,1
27,Caphorn,6,internode,0.0,1
27,Soissons,1,blade,0.0,2
27,Soissons,1,sheath,0.0,2
27,Soissons,2,blade,0.0,2
27,Soissons,2,sheath,0.0,2
27,Soissons,3,blade,0.0,2
27,Soissons,3,sheath,0.0,2
27,Soissons,4,blade,0.0,2
27,Soissons,4,internode,0.0,2
27,Soissons,4,sheath,0.0,2
27,Soissons,5,internode,0.0,2
27,Soissons,6,internode,0.0,2
28,Caphorn,1,blade,0.0,1
28,Caphorn,1,sheath,0.0,1
28,Caphorn,2,blade,0.0,1
28,Caphorn,2,sheath,0.0,1
28,Caphorn,3,blade,0.0,1
28,Caphorn,3,sheath,0.0,1
28,Caphorn,4,blade,0.0,1
28,Caphorn,4,internode,0.0,1
28,Caphorn,4,sheath,0.0,1
28,Caphorn,5,internode,0.0,1
28,Caphorn,6,internode,0.0,1
28,Soissons,1,blade,0.0,2
28,Soissons,1,sheath,0.0,2
28,Soissons,2,blade,0.0,2
28,Soissons,2,sheath,0.0,2
28,Soissons,3,blade,0.0,2
28,Soissons,3,sheath,0.0,2
28,Soissons,4,blade,0.0,2
28,Soissons,4,internode,0.0,2
28,Soissons,4,sheath,0.0,2
28,Soissons,5,internode,0.0,2
28,Soissons,6,internode,0.0,2
29,Caphorn,1,blade,0.0174869550714,1
29,Caphorn,1,sheath,0.00760363804634,1
29,Caphorn,2,blade,0.0271128196312,1
29,Caphorn,2,sheath,0.00512673906836,1
29,Caphorn,3,blade,0.0665935156806,1
29,Caphorn,3,sheath,0.0112972974836,1
29,Caphorn,4,blade,0.212030365484,1
29,Caphorn,4,internode,0.0181358413242,1
29,Caphorn,4,sheath,0.0404365471646,1
29,Caphorn,5,internode,0.0641657366143,1
29,Caphorn,6,internode,0.192153755381,1
29,Soissons,1,blade,0.0165471880799,2
29,Soissons,1,sheath,0.00676865504899,2
29,Soissons,2,blade,0.0342091651941,2
29,Soissons,2,sheath,0.00461994415031,2
29,Soissons,3,blade,0.0854530427094,2
29,Soissons,3,sheath,0.0109606692747,2
29,Soissons,4,blade,0.234673593512,2
29,Soissons,4,internode,0.0182415869887,2
29,Soissons,4,sheath,0.0380783281145,2
29,Soissons,5,internode,0.0733933517519,2
