t,plant,axis,organ,C_exudation,Conc_Amino_Acids,Conc_Nitrates,Conc_Sucrose,Conc_cytokinins,Dry_Mass,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,Proteins_N_Mass,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_growth,R_maintenance,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,mstruct,nitrates,proteins,rate_mstruct_death,rate_mstruct_growth,regul_transpiration,starch,structure,sucrose,total_organic_nitrogen
14,1,MS,phloem,NA,66.73059037769875,NA,186.6920526972736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.70017595444904,NA,NA,NA,NA,NA,NA,NA,NA,NA,4812.045955800426,NA
14,1,MS,roots,14.933960089974754,102.98728580793131,658.7655419236498,111.51668946909969,3.270083623718634,NA,0.1283941448218672,0.02339835707540999,0.023229686261606923,38.361779545893086,1.3446936263699096,0.009942396798777358,NA,NA,2.818148553167142,2.290692287036531,NA,NA,NA,5.368010587023911,3.5775293697579538,7.080961843958173,2.8407065554377815,NA,0.7502267201949578,NA,NA,2.602248355262127,74.66980044987376,5.770005760797306,NA,60.372865994498085,1.6384423967058195,0.5010399076102633,330.06782626225055,NA,1.7549642657789525e-07,1.229333653464961e-07,0.01969153948041641,NA,NA,670.4917414632016,770.5440659071666
15,1,MS,grains,NA,NA,NA,NA,NA,0.08861104045618448,NA,NA,NA,NA,NA,NA,0.0016055528633987645,1.3275466769453478e-06,NA,NA,0.0,4.99761783105532,NA,NA,NA,NA,NA,0.41714111585185054,NA,0.0,12.235547103618195,NA,NA,NA,0.0,NA,NA,NA,NA,114.68234738562603,NA,NA,NA,0.0,2560.183489863315,NA,NA
15,1,MS,phloem,NA,67.293517645502,NA,192.45014439713566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.13290024249298,NA,NA,NA,NA,NA,NA,NA,NA,NA,4960.991590250116,NA
15,1,MS,roots,15.073140541946493,100.36452170659122,666.1059024179236,114.3238709994291,2.831142312235712,NA,0.12512434747533768,0.0236590755935731,0.020111579776791264,37.694927361977314,1.2901840312845405,0.009942396798777358,NA,NA,2.832709825679912,2.293063127715668,NA,NA,NA,5.368010587023911,3.619733287564032,7.080961843958173,2.8553843843393327,NA,0.8120157695530366,NA,NA,2.5694096928448755,75.36570270973246,5.775977651676746,NA,58.83535789936592,1.4185152825540885,0.5010399076102633,333.7456398061275,NA,1.7549642657789525e-07,1.229333653464961e-07,0.01969153948041641,NA,NA,687.3698611584193,769.0065578120344
16,1,MS,grains,NA,NA,NA,NA,NA,0.08887150788250044,NA,NA,NA,NA,NA,NA,0.001611353076988102,1.33194791766653e-06,NA,NA,0.0,5.02840665600827,NA,NA,NA,NA,NA,0.41167211670008674,NA,0.0,12.31092664057197,NA,NA,NA,0.0,NA,NA,NA,NA,115.096648356293,NA,NA,NA,0.0,2567.4441164294017,NA,NA
16,1,MS,phloem,NA,67.957821288653,NA,198.14510763150082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.7613352422434,NA,NA,NA,NA,NA,NA,NA,NA,NA,5106.56463222381,NA
16,1,MS,roots,15.205194082253431,95.89862417905341,673.5180867618451,111.41180527707762,2.4789607725746134,NA,0.11998430094358346,0.024007901210634605,0.017672768260506722,37.007737261372235,1.276079549654786,0.009935014811711931,NA,NA,2.815747041459734,2.2082807726674805,NA,NA,NA,5.3639503166216445,3.5537332008985305,7.069141146996387,2.8404342760963863,NA,0.751350952893262,NA,NA,2.542275904742976,76.02597041126715,5.562420082285844,NA,56.17485237445066,1.2411188050534712,0.50066092968646,337.2041914788312,NA,1.7536396766359215e-07,1.2272814491313172e-07,0.019776923347695558,NA,NA,669.3544560968223,765.8187674967315
17,1,MS,grains,NA,NA,NA,NA,NA,0.08913276960220315,NA,NA,NA,NA,NA,NA,0.0016170853022240796,1.3358451481133545e-06,NA,NA,0.0,5.057466062011215,NA,NA,NA,NA,NA,0.40738273356342913,NA,0.0,12.382072082855041,NA,NA,NA,0.0,NA,NA,NA,NA,115.50609301600569,NA,NA,NA,0.0,2574.7478832538113,NA,NA
17,1,MS,phloem,NA,68.65103305185936,NA,203.44283655956167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.52191361454095,NA,NA,NA,NA,NA,NA,NA,NA,NA,5243.665463093897,NA
