t,species,metamer,organ,Eabs
12,Soissons,2,blade,0.013427695
12,Soissons,2,sheath,0.001063792
12,Soissons,3,blade,0.046360958
12,Soissons,3,sheath,0.003299184
12,Soissons,4,blade,0.171470231
12,Soissons,4,internode,0.007464697
12,Soissons,4,sheath,0.020639477
12,Soissons,5,internode,0.046057722
12,Soissons,6,internode,0.151485993
13,Caphorn,1,blade,0.005661565
13,Caphorn,1,sheath,0.002652056
13,Caphorn,2,blade,0.01078264
13,Caphorn,2,sheath,0.001159698
13,Caphorn,3,blade,0.035326641
13,Caphorn,3,sheath,0.003716257
13,Caphorn,4,blade,0.163851824
13,Caphorn,4,internode,0.007484106
13,Caphorn,4,sheath,0.023188396
13,Caphorn,5,internode,0.043373265
13,Caphorn,6,internode,0.148379805
13,Soissons,1,blade,0.005710503
13,Soissons,1,sheath,0.002348058
13,Soissons,2,blade,0.013427695
13,Soissons,2,sheath,0.001063792
13,Soissons,3,blade,0.046360958
13,Soissons,3,sheath,0.003299184
13,Soissons,4,blade,0.171470231
13,Soissons,4,internode,0.007464697
13,Soissons,4,sheath,0.020639477
13,Soissons,5,internode,0.046057722
13,Soissons,6,internode,0.151485993
14,Caphorn,1,blade,0.005661565
14,Caphorn,1,sheath,0.002652056
14,Caphorn,2,blade,0.01078264
14,Caphorn,2,sheath,0.001159698
14,Caphorn,3,blade,0.035326641
14,Caphorn,3,sheath,0.003716257
14,Caphorn,4,blade,0.163851824
14,Caphorn,4,internode,0.007484106
14,Caphorn,4,sheath,0.023188396
14,Caphorn,5,internode,0.043373265
14,Caphorn,6,internode,0.148379805
14,Soissons,1,blade,0.005710503
14,Soissons,1,sheath,0.002348058
14,Soissons,2,blade,0.013427695
14,Soissons,2,sheath,0.001063792
14,Soissons,3,blade,0.046360958
14,Soissons,3,sheath,0.003299184
14,Soissons,4,blade,0.171470231
14,Soissons,4,internode,0.007464697
14,Soissons,4,sheath,0.020639477
14,Soissons,5,internode,0.046057722
14,Soissons,6,internode,0.151485993
15,Caphorn,1,blade,0.005661565
15,Caphorn,1,sheath,0.002652056
15,Caphorn,2,blade,0.01078264
15,Caphorn,2,sheath,0.001159698
15,Caphorn,3,blade,0.035326641
15,Caphorn,3,sheath,0.003716257
15,Caphorn,4,blade,0.163851824
15,Caphorn,4,internode,0.007484106
15,Caphorn,4,sheath,0.023188396
15,Caphorn,5,internode,0.043373265
15,Caphorn,6,internode,0.148379805
15,Soissons,1,blade,0.005710503
15,Soissons,1,sheath,0.002348058
15,Soissons,2,blade,0.013427695
15,Soissons,2,sheath,0.001063792
15,Soissons,3,blade,0.046360958
15,Soissons,3,sheath,0.003299184
15,Soissons,4,blade,0.171470231
15,Soissons,4,internode,0.007464697
15,Soissons,4,sheath,0.020639477
15,Soissons,5,internode,0.046057722
15,Soissons,6,internode,0.151485993
16,Caphorn,1,blade,0.005661565
16,Caphorn,1,sheath,0.002652056
16,Caphorn,2,blade,0.01078264
16,Caphorn,2,sheath,0.001159698
16,Caphorn,3,blade,0.035326641
16,Caphorn,3,sheath,0.003716257
16,Caphorn,4,blade,0.163851824
16,Caphorn,4,internode,0.007484106
16,Caphorn,4,sheath,0.023188396
16,Caphorn,5,internode,0.043373265
16,Caphorn,6,internode,0.148379805
16,Soissons,1,blade,0.005710503
16,Soissons,1,sheath,0.002348058
16,Soissons,2,blade,0.013427695
16,Soissons,2,sheath,0.001063792
16,Soissons,3,blade,0.046360958
16,Soissons,3,sheath,0.003299184
16,Soissons,4,blade,0.171470231
16,Soissons,4,internode,0.007464697
16,Soissons,4,sheath,0.020639477
16,Soissons,5,internode,0.046057722
16,Soissons,6,internode,0.151485993
17,Caphorn,1,blade,0.005661565
17,Caphorn,1,sheath,0.002652056
17,Caphorn,2,blade,0.01078264
17,Caphorn,2,sheath,0.001159698
17,Caphorn,3,blade,0.035326641
17,Caphorn,3,sheath,0.003716257
17,Caphorn,4,blade,0.163851824
17,Caphorn,4,internode,0.007484106
17,Caphorn,4,sheath,0.023188396
17,Caphorn,5,internode,0.043373265
17,Caphorn,6,internode,0.148379805
17,Soissons,1,blade,0.005710503
17,Soissons,1,sheath,0.002348058
17,Soissons,2,blade,0.013427695
17,Soissons,2,sheath,0.001063792
17,Soissons,3,blade,0.046360958
17,Soissons,3,sheath,0.003299184
17,Soissons,4,blade,0.171470231
17,Soissons,4,internode,0.007464697
17,Soissons,4,sheath,0.020639477
17,Soissons,5,internode,0.046057722
17,Soissons,6,internode,0.151485993
18,Caphorn,1,blade,0.005661565
18,Caphorn,1,sheath,0.002652056
18,Caphorn,2,blade,0.01078264
