t,species,metamer,organ,Eabs_diffuse,Eabs_direct,plant
19,Caphorn,1,sheath,0.0327928706447,0.0,1
19,Caphorn,2,blade,0.0983305564204,0.000236723931611,1
19,Caphorn,2,sheath,0.0283792903689,0.0,1
19,Caphorn,3,blade,0.165936168886,0.00338933787498,1
19,Caphorn,3,sheath,0.0446174034927,0.0,1
19,Caphorn,4,blade,0.341832494353,0.385315386381,1
19,Caphorn,4,internode,0.0539218444116,0.0,1
19,Caphorn,4,sheath,0.0913390274092,0.00320728167199,1
19,Caphorn,5,internode,0.117624825731,0.0299139810166,1
19,Caphorn,6,internode,0.263113181729,0.852072310412,1
19,Soissons,1,blade,0.0728061190779,0.0,2
19,Soissons,1,sheath,0.0336636086289,0.0,2
19,Soissons,2,blade,0.117904486223,2.54204816131e-05,2
19,Soissons,2,sheath,0.0286672573804,0.0,2
19,Soissons,3,blade,0.202341865132,0.00214999330256,2
19,Soissons,3,sheath,0.0434628955007,0.0,2
19,Soissons,4,blade,0.367511031877,0.186958985792,2
19,Soissons,4,internode,0.0559941980709,0.0,2
19,Soissons,4,sheath,0.0866336004102,0.00460433347242,2
19,Soissons,5,internode,0.129851860008,0.0398662155378,2
19,Soissons,6,internode,0.267304236884,0.839806139519,2
20,Caphorn,1,blade,0.0,0.0,1
20,Caphorn,1,sheath,0.0,0.0,1
20,Caphorn,2,blade,0.0,0.0,1
20,Caphorn,2,sheath,0.0,0.0,1
20,Caphorn,3,blade,0.0,0.0,1
20,Caphorn,3,sheath,0.0,0.0,1
20,Caphorn,4,blade,0.0,0.0,1
20,Caphorn,4,internode,0.0,0.0,1
20,Caphorn,4,sheath,0.0,0.0,1
20,Caphorn,5,internode,0.0,0.0,1
20,Caphorn,6,internode,0.0,0.0,1
20,Soissons,1,blade,0.0,0.0,2
20,Soissons,1,sheath,0.0,0.0,2
20,Soissons,2,blade,0.0,0.0,2
20,Soissons,2,sheath,0.0,0.0,2
20,Soissons,3,blade,0.0,0.0,2
20,Soissons,3,sheath,0.0,0.0,2
20,Soissons,4,blade,0.0,0.0,2
20,Soissons,4,internode,0.0,0.0,2
20,Soissons,4,sheath,0.0,0.0,2
20,Soissons,5,internode,0.0,0.0,2
20,Soissons,6,internode,0.0,0.0,2
21,Caphorn,1,blade,0.0,0.0,1
21,Caphorn,1,sheath,0.0,0.0,1
21,Caphorn,2,blade,0.0,0.0,1
21,Caphorn,2,sheath,0.0,0.0,1
21,Caphorn,3,blade,0.0,0.0,1
21,Caphorn,3,sheath,0.0,0.0,1
21,Caphorn,4,blade,0.0,0.0,1
21,Caphorn,4,internode,0.0,0.0,1
21,Caphorn,4,sheath,0.0,0.0,1
