t,species,metamer,organ,Eabs
67,Caphorn,2,blade,0.035840924
67,Caphorn,2,sheath,0.006694624
67,Caphorn,3,blade,0.077039278
67,Caphorn,3,sheath,0.014746333
67,Caphorn,4,blade,0.206157968
67,Caphorn,4,internode,0.02218708
67,Caphorn,4,sheath,0.046331114
67,Caphorn,5,internode,0.060816833
67,Caphorn,6,internode,0.184084828
68,Caphorn,1,blade,0
68,Caphorn,1,sheath,0
68,Caphorn,2,blade,0
68,Caphorn,2,sheath,0
68,Caphorn,3,blade,0
68,Caphorn,3,sheath,0
68,Caphorn,4,blade,0
68,Caphorn,4,internode,0
68,Caphorn,4,sheath,0
68,Caphorn,5,internode,0
68,Caphorn,6,internode,0
69,Caphorn,1,blade,0
69,Caphorn,1,sheath,0
69,Caphorn,2,blade,0
69,Caphorn,2,sheath,0
69,Caphorn,3,blade,0
69,Caphorn,3,sheath,0
69,Caphorn,4,blade,0
69,Caphorn,4,internode,0
69,Caphorn,4,sheath,0
69,Caphorn,5,internode,0
69,Caphorn,6,internode,0
70,Caphorn,1,blade,0
70,Caphorn,1,sheath,0
70,Caphorn,2,blade,0
70,Caphorn,2,sheath,0
70,Caphorn,3,blade,0
70,Caphorn,3,sheath,0
70,Caphorn,4,blade,0
70,Caphorn,4,internode,0
70,Caphorn,4,sheath,0
