mstruct,Dry_Mass,nitrates,organ,S_grain_structure,Unloading_Sucrose,starch,Respi_growth,S_cytokinins,axis,N_tot,Conc_Nitrates,AA_consumption_mstruct,cytokinins,R_residual,Conc_Amino_Acids,regul_transpiration,sucrose_consumption_mstruct,RGR_Structure,R_Nnit_upt,Conc_cytokinins,S_Proteins,plant,synthetized_mstruct,amino_acids,HATS_LATS,Export_cytokinins,Conc_Sucrose,R_grain_growth_starch,Export_Amino_Acids,Uptake_Nitrates,N_exudation,sum_respi,R_Nnit_red,S_grain_starch,sucrose,S_Amino_Acids,Total_Organic_Nitrogen,Nstruct,Unloading_Amino_Acids,R_grain_growth_struct,senesced_mstruct,structure,age_from_flowering,t,Export_Nitrates,Proteins_N_Mass,WSC_g,C_exudation,proteins
NA,NA,NA,phloem,NA,NA,NA,NA,NA,MS,0.00008700,NA,NA,NA,NA,90.82118667273855,NA,NA,NA,NA,NA,NA,1,NA,6.21451130,NA,NA,250.34936528495933,NA,NA,NA,NA,NA,NA,NA,164.45138590,NA,NA,NA,NA,NA,NA,NA,NA,5.00000000,NA,NA,0.004698611025806096,NA,NA
0.03473272,NA,22.33476798,roots,NA,-105.03976043,NA,0.64567097,0.92530523,MS,0.00051127,643.0468173939261,0.01869704,8.68257267,0.05466046,40.679623413737644,0.00000935,1.87493876,NA,0.08750616,249.98248145560547,NA,1,NA,1.76614269,1.02150086,0.00048831,327.60100261003555,NA,0.00267649,0.22041855,0.00000000,0.21366565,0.07162832,NA,136.54170461,1.04155149,14.18475860,0.00017386,0.00000000,NA,0.00000000,NA,NA,5.00000000,0.00376079,NA,0.003901191560329273,0.00000000,NA
NA,NA,NA,phloem,NA,NA,NA,NA,NA,MS,0.00008771,NA,NA,NA,NA,91.46571072374606,NA,NA,NA,NA,NA,NA,1,NA,6.26497405,NA,NA,255.13991471233285,NA,NA,NA,NA,NA,NA,NA,167.76856982,NA,NA,NA,NA,NA,NA,NA,NA,6.00000000,NA,NA,0.004793387709036901,NA,NA
0.03478329,NA,22.50937314,roots,NA,-76.55318744,NA,0.62361095,0.91115219,MS,0.00051419,647.1318467938681,0.01805823,8.71395472,0.05356571,40.984618911189955,0.00000628,1.81087952,NA,0.08384521,250.52130837408382,NA,1,NA,1.78197473,1.00564529,0.00032920,314.1288421013749,NA,0.00181404,0.21119699,0.00000000,0.20790311,0.07061987,NA,131.11720628,1.02539470,14.21864887,0.00017411,0.00000000,NA,0.00000000,NA,NA,6.00000000,0.00254605,NA,0.0037462058937318414,0.00000000,NA
NA,NA,NA,phloem,NA,NA,NA,NA,NA,MS,0.00008781,NA,NA,NA,NA,91.48361626715406,NA,NA,NA,NA,NA,NA,1,NA,6.27242300,NA,NA,257.81063120724633,NA,NA,NA,NA,NA,NA,NA,169.69305573,NA,NA,NA,NA,NA,NA,NA,NA,7.00000000,NA,NA,0.004848373020967818,NA,NA
0.03483269,NA,22.67801067,roots,NA,-56.01381785,NA,0.60931626,0.90207593,MS,0.00051704,651.055362718462,0.01764429,8.74522398,0.05278241,41.31272046439412,0.00000319,1.76936972,NA,0.08099093,251.0636867160387,NA,1,NA,1.79879156,0.99556449,0.00016759,302.55486022874214,NA,0.00092889,0.20400738,0.00000000,0.20366628,0.07002056,NA,126.46560172,1.01525080,14.25311000,0.00017436,0.00000000,NA,0.00000000,NA,NA,7.00000000,0.00130120,NA,0.0036133029062516285,0.00000000,NA
NA,NA,NA,phloem,NA,NA,NA,NA,NA,MS,0.00008757,NA,NA,NA,NA,91.14472273111642,NA,NA,NA,NA,NA,NA,1,NA,6.25530534,NA,NA,259.2012967366994,NA,NA,NA,NA,NA,NA,NA,170.77543042,NA,NA,NA,NA,NA,NA,NA,NA,8.00000000,NA,NA,0.0048792980120239545,NA,NA
0.03488140,NA,22.84085100,roots,NA,-40.15311948,NA,0.60072968,0.89670447,MS,0.00051980,654.8146397827245,0.01739565,8.77634649,0.05222580,41.642674012531174,0.00000319,1.74443550,NA,0.07872344,251.605343753428,NA,1,NA,1.81569343,0.98976790,0.00016831,292.42372622625624,NA,0.00093827,0.19829583,0.00000000,0.20054693,0.06972306,NA,122.40178556,1.00952558,14.28740751,0.00017460,0.00000000,NA,0.00000000,NA,NA,8.00000000,0.00131146,NA,0.003497193873171229,0.00000000,NA
NA,NA,NA,phloem,NA,NA,NA,NA,NA,MS,0.00008707,NA,NA,NA,NA,90.53399313489493,NA,NA,NA,NA,NA,NA,1,NA,6.21939603,NA,NA,259.75155784820714,NA,NA,NA,NA,NA,NA,NA,171.30337912,NA,NA,NA,NA,NA,NA,NA,NA,9.00000000,NA,NA,0.004894382260500275,NA,NA
0.03492949,NA,22.99845531,roots,NA,-28.18921715,NA,0.59309131,0.89176319,MS,0.00052248,658.4252069041481,0.01717446,8.80733049,0.05172863,41.97356831688611,0.00000330,1.72225472,NA,0.07668876,252.14599518638417,NA,1,NA,1.83264406,0.98464220,0.00017489,283.3972804967552,NA,0.00098060,0.19317069,0.00000000,0.19776586,0.06947172,NA,118.78706260,1.00450163,14.32153260,0.00017484,0.00000000,NA,0.00000000,NA,NA,9.00000000,0.00136732,NA,0.003393916074370253,0.00000000,NA
NA,NA,NA,phloem,NA,NA,NA,NA,NA,MS,0.00008639,NA,NA,NA,NA,89.73813073461602,NA,NA,NA,NA,NA,NA,1,NA,6.17062790,NA,NA,259.68358596967147,NA,NA,NA,NA,NA,NA,NA,171.42259788,NA,NA,NA,NA,NA,NA,NA,NA,10.00000000,NA,NA,0.004897788510744708,NA,NA
0.03497715,NA,23.15152861,roots,NA,-18.39656542,NA,0.58783173,0.88830277,MS,0.00052510,661.9043761432562,0.01702215,8.83822904,0.05133422,42.30535905556975,0.00000337,1.70698162,NA,0.07494140,252.68579778499318,NA,1,NA,1.84965111,0.98133451,0.00017924,275.2668887119335,NA,0.00101078,0.18876927,0.00000000,0.19550135,0.06934742,NA,115.53661489,1.00133796,14.35556180,0.00017508,0.00000000,NA,0.00000000,NA,NA,10.00000000,0.00140574,NA,0.003301046139843552,0.00000000,NA
NA,NA,NA,phloem,NA,NA,NA,NA,NA,MS,0.00008561,NA,NA,NA,NA,88.83500945795055,NA,NA,NA,NA,NA,NA,1,NA,6.11497316,NA,NA,258.83425806669214,NA,NA,NA,NA,NA,NA,NA,171.04224661,NA,NA,NA,NA,NA,NA,NA,NA,11.00000000,NA,NA,0.0048869213316782125,NA,NA
0.03502458,NA,23.30073125,roots,NA,-10.55295792,NA,0.58498037,0.88636388,MS,0.00052766,665.267955412793,0.01693959,8.86910221,0.05103800,42.63866305746429,0.00000331,1.69870167,NA,0.07344861,253.22507826446852,NA,1,NA,1.86675162,0.97989886,0.00017636,267.84283126975623,NA,0.00100024,0.18500909,0.00000000,0.19371945,0.06935358,NA,112.57299458,1.00007077,14.38960190,0.00017532,0.00000000,NA,0.00000000,NA,NA,11.00000000,0.00138722,NA,0.003216371273639679,0.00000000,NA
NA,NA,NA,phloem,NA,NA,NA,NA,NA,MS,0.00008474,NA,NA,NA,NA,87.82414875555347,NA,NA,NA,NA,NA,NA,1,NA,6.05253086,NA,NA,257.23137385851174,NA,NA,NA,NA,NA,NA,NA,170.18380671,NA,NA,NA,NA,NA,NA,NA,NA,12.00000000,NA,NA,0.004862394477522274,NA,NA
0.03507147,NA,23.44430664,roots,NA,-4.71505752,NA,0.57828152,0.88155377,MS,0.00053013,668.4723410190322,0.01674560,8.89965008,0.05062592,42.94821224984538,0.00000697,1.67924917,NA,0.07183076,253.75755482385213,NA,1,NA,1.88282109,0.97554202,0.00037267,260.99662986529796,NA,0.00212450,0.18093389,0.00000000,0.19148716,0.06914568,NA,109.84242092,0.99573991,14.42241697,0.00017555,0.00000000,NA,0.00000000,NA,NA,12.00000000,0.00293929,NA,0.0031383548834300347,0.00000000,NA
NA,NA,NA,phloem,NA,NA,NA,NA,NA,MS,0.00008380,NA,NA,NA,NA,86.75656107030699,NA,NA,NA,NA,NA,NA,1,NA,5.98589319,NA,NA,255.4427992019703,NA,NA,NA,NA,NA,NA,NA,169.19656121,NA,NA,NA,NA,NA,NA,NA,NA,13.00000000,NA,NA,0.004834187463153112,NA,NA
0.03511749,NA,23.58055184,roots,NA,0.04362767,NA,0.56757908,0.87378132,MS,0.00053247,671.4760342530022,0.01643569,8.92957790,0.05008998,43.21084386884046,0.00001414,1.64817074,NA,0.07008731,254.2772363833292,NA,1,NA,1.89682039,0.96818074,0.00075884,254.67772580893916,NA,0.00434351,0.17654235,0.00015421,0.18878516,0.06871335,NA,107.32370499,0.98821731,14.45285196,0.00017578,0.00154347,NA,0.00000000,NA,NA,13.00000000,0.00599965,NA,0.003066391571008111,0.00872553,NA
NA,NA,NA,phloem,NA,NA,NA,NA,NA,MS,0.00008280,NA,NA,NA,NA,85.616040069786,NA,NA,NA,NA,NA,NA,1,NA,5.91395937,NA,NA,253.50805765702344,NA,NA,NA,NA,NA,NA,NA,168.10715574,NA,NA,NA,NA,NA,NA,NA,NA,14.00000000,NA,NA,0.004803061592580216,NA,NA
0.03516283,NA,23.71299018,roots,NA,4.06950670,NA,0.55925007,0.86750454,MS,0.00053481,674.3765549688079,0.01619450,8.95932016,0.04965531,43.576236394453765,0.00001414,1.62398446,NA,0.06854876,254.7951742299336,NA,1,NA,1.91532990,0.96268287,0.00076188,248.73231216584975,NA,0.00438884,0.17266691,0.01485313,0.18649215,0.06840702,NA,104.95359306,0.98254313,14.48755598,0.00017601,0.14316403,NA,0.00000000,NA,NA,14.00000000,0.00603740,NA,0.0029986740873004926,0.81390134,NA
NA,NA,NA,phloem,NA,NA,NA,NA,NA,MS,0.00008167,NA,NA,NA,NA,84.35267123271598,NA,NA,NA,NA,NA,NA,1,NA,5.83331387,NA,NA,251.4157532043154,NA,NA,NA,NA,NA,NA,NA,166.90918006,NA,NA,NA,NA,NA,NA,NA,NA,15.00000000,NA,NA,0.004768833715940248,NA,NA
0.03520784,NA,23.84198716,roots,NA,7.70043702,NA,0.55513900,0.86406850,MS,0.00053715,677.1782723991663,0.01607545,8.98894340,0.04937901,44.02716154708396,0.00001476,1.61204649,NA,0.06730359,255.31081446147869,NA,1,NA,1.93762681,0.96057905,0.00079741,243.0890628887444,NA,0.00463171,0.16953044,0.02905557,0.18488734,0.06833518,NA,102.70370244,0.98025652,14.52592833,0.00017624,0.26912280,NA,0.00000000,NA,NA,15.00000000,0.00633244,NA,0.002934391498347167,1.54008740,NA
NA,NA,NA,phloem,NA,NA,NA,NA,NA,MS,0.00008045,NA,NA,NA,NA,83.0049813265806,NA,NA,NA,NA,NA,NA,1,NA,5.74666047,NA,NA,249.17610684150193,NA,NA,NA,NA,NA,NA,NA,165.61093588,NA,NA,NA,NA,NA,NA,NA,NA,16.00000000,NA,NA,0.004731741025039102,NA,NA
0.03525296,NA,23.96669264,roots,NA,10.94894083,NA,0.55646435,0.86434935,MS,0.00053946,679.8490282956485,0.01611383,9.01838249,0.04929298,44.52510606789942,0.00001898,1.61589512,NA,0.06640125,255.81913456950045,NA,1,NA,1.96205240,0.96296605,0.00102901,237.66542002160654,NA,0.00603252,0.16725755,0.04273364,0.18412900,0.06857196,NA,100.54092311,0.98239409,14.56646775,0.00017646,0.37992567,NA,0.00000000,NA,NA,16.00000000,0.00818755,NA,0.0028725978030345522,2.18978817,NA
NA,NA,NA,phloem,NA,NA,NA,NA,NA,MS,0.00007918,NA,NA,NA,NA,81.60209130385083,NA,NA,NA,NA,NA,NA,1,NA,5.65603507,NA,NA,246.79931434143094,NA,NA,NA,NA,NA,NA,NA,164.21997690,NA,NA,NA,NA,NA,NA,NA,NA,17.00000000,NA,NA,0.004691999339896559,NA,NA
0.03529846,NA,24.08917582,roots,NA,13.85937300,NA,0.56110920,0.86690561,MS,0.00054179,682.4427171062273,0.01624834,9.04792358,0.04933037,45.0861508925308,0.00001939,1.62938313,NA,0.06570848,256.3263102029413,NA,1,NA,1.98933952,0.96824696,0.00105470,232.4042063657072,NA,0.00624862,0.16551255,0.05601464,0.18389937,0.06900752,NA,98.44212236,0.98735986,14.61000322,0.00017669,0.47734205,NA,0.00000000,NA,NA,17.00000000,0.00840726,NA,0.0028126320675565765,2.77187460,NA
NA,NA,NA,phloem,NA,NA,NA,NA,NA,MS,0.00007786,NA,NA,NA,NA,80.1414571232866,NA,NA,NA,NA,NA,NA,1,NA,5.56126886,NA,NA,244.28450378180662,NA,NA,NA,NA,NA,NA,NA,162.73606421,NA,NA,NA,NA,NA,NA,NA,NA,18.00000000,NA,NA,0.004649601834625955,NA,NA
0.03534450,NA,24.20791951,roots,NA,16.53182908,NA,0.56783252,0.87089565,MS,0.00054408,684.9133618768788,0.01644303,9.07739269,0.04944567,45.67185808723297,0.00002393,1.64890672,NA,0.06515542,256.82618204156137,NA,1,NA,2.01781117,0.97561349,0.00130590,227.2680171577681,NA,0.00782211,0.16411945,0.06921337,0.18402886,0.06957931,NA,96.39208996,0.99424421,14.65491789,0.00017692,0.56495127,NA,0.00000000,NA,NA,18.00000000,0.01042697,NA,0.00275405971325657,3.30636582,NA
NA,NA,NA,phloem,NA,NA,NA,NA,NA,MS,0.00007649,NA,NA,NA,NA,78.6364997612186,NA,NA,NA,NA,NA,NA,1,NA,5.46327363,NA,NA,241.645115663,NA,NA,NA,NA,NA,NA,NA,161.16770921,NA,NA,NA,NA,NA,NA,NA,NA,19.00000000,NA,NA,0.004604791691592158,NA,NA
0.03539107,NA,24.32461812,roots,NA,18.95904952,NA,0.57432732,0.87467690,MS,0.00054637,687.309565404868,0.01663110,9.10699254,0.04956582,46.30234846634862,0.00002461,1.66776671,NA,0.06461122,257.3246187425496,NA,1,NA,2.04836183,0.98320699,0.00134730,222.24287491947916,NA,0.00816567,0.16274866,0.08229065,0.18417650,0.07015852,NA,94.38494678,1.00120177,14.70209965,0.00017715,0.64267511,NA,0.00000000,NA,NA,19.00000000,0.01077429,NA,0.0026967127650825338,3.79180990,NA
NA,NA,NA,phloem,NA,NA,NA,NA,NA,MS,0.00007506,NA,NA,NA,NA,77.08001482039712,NA,NA,NA,NA,NA,NA,1,NA,5.36154700,NA,NA,238.8787805336099,NA,NA,NA,NA,NA,NA,NA,159.51338615,NA,NA,NA,NA,NA,NA,NA,NA,20.00000000,NA,NA,0.004557525318434159,NA,NA
0.03543826,NA,24.43749813,roots,NA,21.21576324,NA,0.58206326,0.87932138,MS,0.00054862,689.5795105099568,0.01685511,9.13651102,0.04973474,46.93808394320506,0.00002972,1.69023080,NA,0.06415733,257.81488602157157,NA,1,NA,2.07925504,0.99236542,0.00163245,217.30469058932462,NA,0.01001070,0.16160536,0.09547149,0.18456581,0.07083474,NA,92.41080205,1.00950554,14.74984798,0.00017739,0.71310198,NA,0.00000000,NA,NA,20.00000000,0.01307287,NA,0.002640308630114438,4.24315265,NA
NA,NA,NA,phloem,NA,NA,NA,NA,NA,MS,0.00007404,NA,NA,NA,NA,75.93423411404534,NA,NA,NA,NA,NA,NA,1,NA,5.28829310,NA,NA,236.44044566815543,NA,NA,NA,NA,NA,NA,NA,158.07780709,NA,NA,NA,NA,NA,NA,NA,NA,21.00000000,NA,NA,0.004516508773942345,NA,NA
0.03548631,NA,24.54891937,roots,NA,23.52162110,NA,0.59263799,0.88607044,MS,0.00055088,691.7855935671075,0.01716133,9.16627705,0.05001515,47.61525539347161,0.00003019,1.72093834,NA,0.06387360,258.3045840892958,NA,1,NA,2.11211226,1.00450252,0.00166365,212.42777266557565,NA,0.01032959,0.16089067,0.10984008,0.18543282,0.07171311,NA,90.45933848,1.02063978,14.79986652,0.00017763,0.78688608,NA,0.00000000,NA,NA,21.00000000,0.01334000,NA,0.0025845525279151477,4.70432422,NA
NA,NA,NA,phloem,NA,NA,NA,NA,NA,MS,0.00007276,NA,NA,NA,NA,74.53087135204161,NA,NA,NA,NA,NA,NA,1,NA,5.19705045,NA,NA,235.41823580257156,NA,NA,NA,NA,NA,NA,NA,157.59123832,NA,NA,NA,NA,NA,NA,NA,NA,22.00000000,NA,NA,0.004502606809175609,NA,NA
0.03553550,NA,24.65016413,roots,NA,27.54897233,NA,0.60669284,0.89562086,MS,0.00055295,693.6770798096375,0.01756833,9.19524662,0.05042516,48.204593254185774,0.00005137,1.76175167,NA,0.06383940,258.76224552092594,NA,1,NA,2.14121810,1.02074796,0.00283963,207.69143314595374,NA,0.01781788,0.16080453,0.13320913,0.18695932,0.07285329,NA,88.56503518,1.03543176,14.84654069,0.00017787,0.90851116,NA,0.00000000,NA,NA,22.00000000,0.02279148,NA,0.002530429576686903,5.50979447,NA
NA,NA,NA,phloem,NA,NA,NA,NA,NA,MS,0.00007150,NA,NA,NA,NA,73.14219573819327,NA,NA,NA,NA,NA,NA,1,NA,5.10715714,NA,NA,234.57990597638457,NA,NA,NA,NA,NA,NA,NA,157.24370496,NA,NA,NA,NA,NA,NA,NA,NA,23.00000000,NA,NA,0.004492677284565657,NA,NA
0.03558601,NA,24.75099341,roots,NA,31.24349982,NA,0.62294788,0.90700493,MS,0.00055507,695.5259003071154,0.01803903,9.22466603,0.05094158,48.85855601139993,0.00005110,1.80895404,NA,0.06395173,259.2216820268536,NA,1,NA,2.17335148,1.03977603,0.00283401,203.05130588322015,NA,0.01799191,0.16108749,0.15662219,0.18890504,0.07418330,NA,86.70943582,1.05283823,14.89671311,0.00017813,1.01476535,NA,0.00000000,NA,NA,23.00000000,0.02276657,NA,0.0024774124518701776,6.24869996,NA
NA,NA,NA,phloem,NA,NA,NA,NA,NA,MS,0.00007024,NA,NA,NA,NA,71.7551485797591,NA,NA,NA,NA,NA,NA,1,NA,5.01728377,NA,NA,233.38756511173122,NA,NA,NA,NA,NA,NA,NA,156.66231625,NA,NA,NA,NA,NA,NA,NA,NA,24.00000000,NA,NA,0.004476066178550646,NA,NA
0.03563750,NA,24.85537070,roots,NA,34.56322337,NA,0.63501760,0.91525971,MS,0.00055732,697.4498879954706,0.01838854,9.25496930,0.05134747,49.643809468115535,0.00004104,1.84400283,NA,0.06385352,259.6974867457176,NA,1,NA,2.21147660,1.05573556,0.00228332,198.5254878461635,NA,0.01470176,0.16084010,0.18006190,0.19030466,0.07529773,NA,84.89942596,1.06711063,14.95322677,0.00017838,1.10692542,NA,0.00000000,NA,NA,24.00000000,0.01835966,NA,0.0024256978846619887,6.91264467,NA
NA,NA,NA,phloem,NA,NA,NA,NA,NA,MS,0.00006894,NA,NA,NA,NA,70.32188311538017,NA,NA,NA,NA,NA,NA,1,NA,4.92400442,NA,NA,233.10938938075893,NA,NA,NA,NA,NA,NA,NA,156.69637224,NA,NA,NA,NA,NA,NA,NA,NA,25.00000000,NA,NA,0.004477039206933289,NA,NA
0.03568957,NA,24.95201559,roots,NA,38.83868172,NA,0.64216993,0.91976481,MS,0.00055944,699.1403030221728,0.01859565,9.28467021,0.05159219,50.37782555289549,0.00005530,1.86477222,NA,0.06355206,260.1508131452535,NA,1,NA,2.24745356,1.06809789,0.00308687,194.22780305218785,NA,0.02013440,0.16008077,0.20987044,0.19109097,0.07613431,NA,83.18287729,1.07739246,15.00779937,0.00017864,1.22046119,NA,0.00000000,NA,NA,25.00000000,0.02483769,NA,0.00237665363673112,7.76773634,NA
NA,NA,NA,phloem,NA,NA,NA,NA,NA,MS,0.00006761,NA,NA,NA,NA,68.87274837552027,NA,NA,NA,NA,NA,NA,1,NA,4.82943666,NA,NA,233.67624746227852,NA,NA,NA,NA,NA,NA,NA,157.30222420,NA,NA,NA,NA,NA,NA,NA,NA,26.00000000,NA,NA,0.004494349262851666,NA,NA
0.03574228,NA,25.03799198,roots,NA,44.14487081,NA,0.65009647,0.92504980,MS,0.00056135,700.5147072994033,0.01882519,9.31339803,0.05187938,51.012225948707005,0.00007659,1.88778978,NA,0.06338025,260.5709077248411,NA,1,NA,2.27911650,1.08205269,0.00428828,190.21875142729073,NA,0.02827728,0.15964798,0.24663798,0.19214367,0.07705798,NA,81.58621979,1.08885541,15.05828751,0.00017891,1.35532004,NA,0.00000000,NA,NA,26.00000000,0.03451660,NA,0.0023310348510472943,8.82897416,NA
NA,NA,NA,phloem,NA,NA,NA,NA,NA,MS,0.00006636,NA,NA,NA,NA,67.4873744951829,NA,NA,NA,NA,NA,NA,1,NA,4.73990833,NA,NA,233.42166545910706,NA,NA,NA,NA,NA,NA,NA,157.38371982,NA,NA,NA,NA,NA,NA,NA,NA,27.00000000,NA,NA,0.00449667770906984,NA,NA
0.03579601,NA,25.13701224,roots,NA,47.99768243,NA,0.66264229,0.93410198,MS,0.00056363,702.2295124735775,0.01918848,9.34416804,0.05240126,51.9386447539421,0.00004636,1.92422109,NA,0.06346363,261.0393990439605,NA,1,NA,2.32399509,1.10041900,0.00260460,186.35440254304265,NA,0.01745547,0.15985802,0.27869552,0.19397185,0.07832896,NA,80.04892100,1.10515341,15.12235457,0.00017918,1.44554097,NA,0.00000000,NA,NA,27.00000000,0.02097817,NA,0.0022871120286595712,9.59953649,NA
NA,NA,NA,phloem,NA,NA,NA,NA,NA,MS,0.00006502,NA,NA,NA,NA,66.01867385378601,NA,NA,NA,NA,NA,NA,1,NA,4.64397502,NA,NA,231.42877496073305,NA,NA,NA,NA,NA,NA,NA,156.28297456,NA,NA,NA,NA,NA,NA,NA,NA,28.00000000,NA,NA,0.004465227844683407,NA,NA
0.03585039,NA,25.24341515,roots,NA,50.01768263,NA,0.67069959,0.93931689,MS,0.00056613,704.1322794472791,0.01942180,9.37620462,0.05278694,53.03216096354685,0.00002776,1.94761837,NA,0.06328817,261.5370499787872,NA,1,NA,2.37652941,1.11467097,0.00156465,182.55820891054532,NA,0.01068632,0.15941605,0.30270548,0.19514687,0.07932175,NA,78.53739062,1.11746316,15.19431070,0.00017945,1.48628390,NA,0.00000000,NA,NA,28.00000000,0.01261219,NA,0.002243925446179217,10.00353653,NA
NA,NA,NA,phloem,NA,NA,NA,NA,NA,MS,0.00006357,NA,NA,NA,NA,64.45538015343466,NA,NA,NA,NA,NA,NA,1,NA,4.54094255,NA,NA,228.08013568926046,NA,NA,NA,NA,NA,NA,NA,154.25723011,NA,NA,NA,NA,NA,NA,NA,NA,29.00000000,NA,NA,0.004407349431836454,NA,NA
0.03590505,NA,25.34980334,roots,NA,50.18326199,NA,0.67414424,0.94034446,MS,0.00056863,706.0233805793532,0.01952155,9.40850568,0.05299423,54.13405705140162,0.00002444,1.95762116,NA,0.06284699,262.03852151021584,NA,1,NA,2.42960739,1.12484577,0.00138238,178.75331492556927,NA,0.00961922,0.15830476,0.31661692,0.19560309,0.08001388,NA,77.01775614,1.12549770,15.26691023,0.00017972,1.47726826,NA,0.00000000,NA,NA,29.00000000,0.01115157,NA,0.00220050731820966,10.03665240,NA
