Cont_WSC_DM,mstruct,S_Fructan,S_Sucrose,nitrates,SLN,is_growing,organ,Tr,Nitrates_import,Regul_S_Fructan,PARa,starch,Ts,Conc_Starch,axis,Photosynthesis,Conc_Nitrates,Cont_Fructan_DM,N_tot,Conc_Proteins,cytokinins,element,R_residual,Conc_Amino_Acids,R_phloem_loading,Conc_cytokinins,S_Proteins,plant,Transpiration,sum_dry_mass,SLN_nonstruct,amino_acids,Amino_Acids_import,Ag,Conc_Fructan,Surfacic_NS,D_Proteins,S_Starch,sum_respi,Loading_Sucrose,R_Nnit_red,metamer,green_area,length,sucrose,cytokinins_import,Conc_TriosesP,S_Amino_Acids,fructan,Total_Organic_Nitrogen,N_content,Photosynthetic_efficiency,Nstruct,D_Fructan,senesced_mstruct,NS,triosesP,D_Starch,N_content_total_DM,t,D_cytokinins,nb_replications,Conc_Sucrose,SLA,Loading_Amino_Acids,proteins
8.55286018,0.00483764,0.00000004,1951.84387259,-0.00000000,1.56089090,False,blade,1.14737952,0.00000000,0.00000000,362.40481278,0.86296408,10.49866491,29.73087224,MS,10.51453273,-0.00000000,0.00000000,0.00037628,0.50680848,0.48041331,LeafElement1,0.15762875,249.18315394,0.00030717,99.30730976,2.81279027,1,0.00027660,0.00814204,1.46050484,1.50682393,0.00000000,12.11561611,0.00000000,13.70725643,1.93603856,221.63869449,0.15793592,10.58272206,0.00000000,2,0.00024107,0.09200000,23.50537004,0.00000000,0.16805316,0.00000000,0.00000000,26.87735234,4.62148099,0.03343117,0.00002420,0.00000000,0.00000000,40.58440284,0.00243894,80.39860476,4.62148099,1.00000000,1.67842560,1.00000000,404.90396591,29.60796936,0.49170082,23.64195698
13.13534474,0.00228000,0.00000032,0.00000000,0.00000000,0.28064070,False,sheath,0.00000000,0.00000000,0.00000000,NA,0.00000000,5.84000000,0.00000000,MS,0.00000000,0.00000000,6.13495428,0.00006960,0.17389048,0.07846261,HiddenElement,0.01854919,117.17803416,0.00003101,34.41342432,1.87320470,1,0.00000000,0.00312107,0.23467295,0.33395740,0.00000000,0.00000000,489.88729904,3.39139370,3.37984776,0.00000000,0.01858020,2.26679138,0.00000000,2,0.00024800,0.02850000,7.64703734,0.00000000,0.00000000,0.00000000,6.70165825,4.97134946,2.22997209,NA,0.00001140,2.28354663,0.00000000,26.94802788,0.00000000,0.00000000,2.22997209,1.00000000,0.58163264,1.00000000,279.49697869,79.46003985,0.03673165,3.82310635
5.08373863,0.00004000,0.00000084,552.44516404,-0.00000000,0.25527260,False,sheath,0.27940912,0.00000000,0.00000000,81.27513763,0.00133183,7.16024044,5.54927368,MS,0.02375238,-0.00000000,0.00000000,0.00000120,0.17387100,0.00137654,StemElement,0.00030302,91.48628148,0.00000001,34.41342432,1.59140233,1,0.00000132,0.00004997,0.21283128,0.00457431,0.00000000,1.40011415,0.00000002,2.11560075,3.37955182,41.36426138,0.00030303,0.02632055,0.00000000,2,0.00000471,0.00050000,0.08757202,0.00000000,0.03073349,0.00000000,0.00000000,0.08592456,2.40735442,0.01722684,0.00000020,0.00000000,0.00000000,19.95122415,0.00000369,15.00641682,2.40735442,1.00000000,0.58163264,1.00000000,182.44169849,94.30524231,0.00087645,0.06706453
3.43301067,0.00417081,0.00000016,1889.18991730,-0.00000000,NA,True,blade,1.04469721,0.00000000,0.00000000,326.65653630,0.70385561,10.16291812,28.12625564,MS,8.75396561,-0.00000000,0.00000031,0.00034016,0.55791936,0.45520102,LeafElement1,0.10079312,70.08593431,0.00011403,109.13971712,1.31574289,1,0.00019188,0.00676803,NA,0.36539389,0.00000000,13.23901307,0.00002935,14.14038534,1.73189512,209.67471897,0.10090716,4.55680858,0.00000000,3,0.00018367,0.06391294,7.42431676,0.00000000,0.15876568,0.00000000,0.00000073,24.29694494,5.02594493,0.04052885,0.00002090,0.00000073,0.00000000,38.37478800,0.00198654,76.05938005,5.02594493,1.00000000,1.84460636,1.00000000,148.33882711,NA,-0.05063425,22.43869390
NA,0.00000000,NA,NA,0.00000000,NA,True,internode,NA,NA,NA,NA,0.00000000,NA,NA,MS,NA,NA,NA,0.00000000,NA,0.00000000,HiddenElement,NA,NA,NA,NA,NA,1,NA,0.00000000,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.00000000,0.00001008,0.00000000,NA,NA,NA,0.00000000,NA,NA,NA,0.00000000,NA,0.00000000,NA,NA,NA,NA,1.00000000,NA,NA,NA,NA,NA,0.00000000
NA,0.00000000,NA,NA,0.00000000,NA,True,internode,NA,NA,NA,NA,0.00000000,NA,NA,MS,NA,NA,NA,0.00000000,NA,0.00000000,HiddenElement,NA,NA,NA,NA,NA,1,NA,0.00000000,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.00000000,0.00005042,0.00000000,NA,NA,NA,0.00000000,NA,NA,NA,0.00000000,NA,0.00000000,NA,NA,NA,NA,1.00000000,NA,NA,NA,NA,NA,0.00000000
8.40382354,0.00410677,0.00000013,1394.91137130,0.00011039,1.39311321,False,blade,0.78449031,0.09526803,0.00000000,276.24302027,0.87346145,8.91356990,35.44804796,MS,6.60122902,0.02687959,0.00000000,0.00027212,0.42774276,0.35027817,LeafElement1,0.09728598,201.37918084,0.00014200,85.29290351,2.37602284,1,0.00015324,0.00651842,1.28816415,1.03377197,0.07514754,9.38743596,0.00000002,12.34635704,2.10700603,135.47435329,0.19174333,5.76276163,0.09431535,1,0.00019533,0.08200000,18.29672191,0.01252927,0.10902915,23.19781156,0.00000000,19.43708880,4.17464514,0.03398253,0.00002050,0.00000000,0.00000000,36.99746666,0.00134327,89.53275240,4.17464514,2.00000000,1.34642612,1.00000000,371.27172160,29.96630224,0.23716617,16.93903112
7.38314103,0.00171000,0.00000251,390.90927988,0.00014943,0.15085682,False,sheath,0.30802561,0.05143836,0.00000001,112.18727155,0.07693855,7.58827324,7.49888357,MS,0.88769973,0.08738851,0.00000000,0.00004052,0.12242727,0.04643019,StemElement,0.01149057,123.86452185,0.00000848,27.15216074,1.81123348,1,0.00008274,0.00210201,0.11902584,0.26476042,0.04057464,0.91801040,0.00000016,1.45942585,2.70893005,28.34535346,0.06243389,0.82623367,0.05093485,1,0.00026861,0.02850000,5.35463512,0.00676497,0.02252096,30.08733328,0.00000000,2.89421299,1.92772911,0.00818284,0.00000855,0.00000000,0.00000000,18.64932339,0.00011553,18.94027243,1.92772911,2.00000000,0.42862157,1.00000000,260.94713079,127.78534401,0.02951110,2.01873829
8.34256144,0.00483764,0.00000010,1506.97748909,0.00011975,1.54963736,False,blade,0.72042288,0.10797265,0.00000000,258.86058056,1.16570810,8.56178945,40.16102110,MS,8.38459468,0.02475281,0.00000000,0.00037357,0.50688594,0.48697573,LeafElement1,0.13208044,216.52087969,0.00021263,100.66384089,2.46180636,1,0.00017367,0.00810143,1.44925130,1.30931340,0.08516896,9.66134521,0.00000001,13.53879377,1.76712237,152.12084969,0.23918599,7.32553960,0.10689292,2,0.00024107,0.09200000,22.48607136,0.01420013,0.12267269,22.31926800,0.00000000,26.68345525,4.61116127,0.03732258,0.00002420,0.00000000,0.00000000,40.28656192,0.00178034,101.43652372,4.61116127,2.00000000,1.58907035,1.00000000,387.34550692,29.75638939,0.31982198,23.64557042
12.16292355,0.00228000,0.00002070,0.00000000,0.00000000,0.27909687,False,sheath,0.00000000,0.00000000,0.00000005,NA,0.00000000,6.26400000,0.00000000,MS,0.00000000,0.00000000,6.20513782,0.00006922,0.17373816,0.07723410,HiddenElement,0.01778534,108.75732206,0.00000730,33.87460740,1.66813857,1,0.00000000,0.00308328,0.23312913,0.30995837,0.00000000,0.00000000,489.49353349,3.23904984,3.18718455,0.00000000,0.01779264,0.53373553,0.00000000,2,0.00024800,0.02850000,6.42934164,0.00000000,0.00000000,0.00000000,6.69627154,4.94400167,2.24487966,NA,0.00001140,2.52296027,0.00000000,26.05287952,0.00000000,0.00000000,2.24487966,2.00000000,0.53474151,1.00000000,234.99055700,80.43371000,0.02064516,3.81975759
5.51903968,0.00004000,0.04953408,427.75475444,0.00000139,0.25579412,False,sheath,0.17861416,0.00052329,0.00014605,58.05366974,0.00189386,5.99780900,7.89109782,MS,0.02009983,0.03469851,0.00000130,0.00000121,0.17370430,0.00142324,StemElement,0.00028225,96.25529260,0.00000000,35.58109706,1.53868381,1,0.00000084,0.00005022,0.21335280,0.00481276,0.00041277,1.18481036,0.00009544,2.16853121,3.08400461,31.30820159,0.00080032,0.00067217,0.00051807,2,0.00000471,0.00050000,0.09510630,0.00006882,0.02488379,13.08246592,0.00000002,0.08609871,2.40029126,0.02040888,0.00000020,0.00000002,0.00000000,20.34881257,0.00000299,19.93090587,2.40029126,2.00000000,0.56168000,1.00000000,198.13812085,93.83684448,0.00070233,0.06700023
4.51951343,0.00417081,0.00000029,1410.29869597,0.00008593,NA,True,blade,0.65281881,0.07477840,0.00000000,233.32609736,0.92968997,8.31480074,37.15065614,MS,6.70460985,0.02060310,0.00000031,0.00034085,0.55788693,0.45782822,LeafElement1,0.09366733,79.80844672,0.00009790,109.76961705,1.35076227,1,0.00012028,0.00685041,NA,0.41608233,0.05898529,10.10815300,0.00002929,14.54356196,1.60124346,137.68492673,0.16779586,3.91230366,0.07403062,3,0.00018425,0.06405924,9.90371780,0.00983456,0.11083779,17.92898860,0.00000073,24.34632908,4.97561174,0.04332200,0.00002090,0.00000073,0.00000000,39.11590799,0.00138685,93.83310757,4.97561174,2.00000000,1.73281332,1.00000000,197.87758643,NA,0.09184955,22.43738960
NA,0.00000000,NA,NA,0.00000000,NA,True,internode,NA,NA,NA,NA,0.00000000,NA,NA,MS,NA,NA,NA,0.00000000,NA,0.00000000,HiddenElement,NA,NA,NA,NA,NA,1,NA,0.00000000,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.00000000,0.00001012,0.00000000,NA,NA,NA,0.00000000,NA,NA,NA,0.00000000,NA,0.00000000,NA,NA,NA,NA,2.00000000,NA,NA,NA,NA,NA,0.00000000
NA,0.00000000,NA,NA,0.00000000,NA,True,internode,NA,NA,NA,NA,0.00000000,NA,NA,MS,NA,NA,NA,0.00000000,NA,0.00000000,HiddenElement,NA,NA,NA,NA,NA,1,NA,0.00000000,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.00000000,0.00005060,0.00000000,NA,NA,NA,0.00000000,NA,NA,NA,0.00000000,NA,0.00000000,NA,NA,NA,NA,2.00000000,NA,NA,NA,NA,NA,0.00000000
7.97073776,0.00410677,0.00000040,777.84685750,0.00010177,1.38659230,False,blade,0.24419236,0.05870379,0.00000000,110.49720809,0.81714924,5.43644113,33.16270597,MS,3.65224956,0.02478092,0.00000000,0.00027085,0.42776314,0.35299283,LeafElement1,0.07480802,183.50027870,0.00009221,85.95392595,2.04390008,1,0.00004770,0.00647749,1.28164324,0.94199134,0.04291540,5.19376904,0.00000006,12.13683086,1.87738974,64.02031770,0.13301699,3.74219960,0.05811676,1,0.00019533,0.08200000,17.25208479,0.00772342,0.05668097,14.29440314,0.00000000,19.34611545,4.18135798,0.04700362,0.00002050,0.00000000,0.00000000,36.59939169,0.00069833,75.55049343,4.18135798,3.00000000,1.22386377,1.00000000,350.07425113,30.15564122,0.16824253,16.93983839
7.31518237,0.00171000,0.00002003,302.89266228,0.00013912,0.15250261,False,sheath,0.11534551,0.03813076,0.00000006,44.87490861,0.08335648,4.75071737,8.12441343,MS,0.68158245,0.08135383,0.00000002,0.00004096,0.12235652,0.05075192,StemElement,0.00964892,139.18769724,0.00000409,29.67948583,1.75286866,1,0.00003098,0.00210400,0.12067162,0.29751370,0.02787548,0.70485520,0.00000175,1.46684285,2.33788274,21.66191381,0.04740247,0.39891309,0.03774946,1,0.00026861,0.02850000,5.30335592,0.00501671,0.01907129,22.29869549,0.00000002,2.92579953,1.94691454,0.01570711,0.00000855,0.00000002,0.00000000,18.72635324,0.00009784,18.50884676,1.94691454,3.00000000,0.42259440,1.00000000,258.44814409,127.66434579,0.03889542,2.01757154
7.86104433,0.00483764,0.00000032,816.06125199,0.00011078,1.54155988,False,blade,0.22260114,0.06604320,0.00000000,103.54423221,1.07254745,5.27849625,36.95144677,MS,4.49599030,0.02289956,0.00000000,0.00037162,0.50694399,0.48871726,LeafElement1,0.10259607,193.07361415,0.00013836,101.02383642,2.09815540,1,0.00005366,0.00804344,1.44117382,1.16752652,0.04828087,5.18060992,0.00000005,13.29823175,1.58432049,67.99071165,0.16811721,4.76675729,0.06538278,2,0.00024107,0.09200000,21.05614481,0.00868904,0.06022796,13.65194081,0.00000000,26.54437616,4.62019817,0.05003282,0.00002420,0.00000000,0.00000000,39.85603597,0.00087408,84.18191321,4.62019817,3.00000000,1.43843824,1.00000000,362.71356413,29.97092901,0.21678456,23.64827820
11.98593298,0.00228000,3.09049252,0.00000000,0.00000000,0.27822100,False,sheath,0.00000000,0.00000000,0.00923284,NA,0.00000000,5.41500000,0.00000000,MS,0.00000000,0.00000000,6.21670549,0.00006900,0.17359226,0.07614295,HiddenElement,0.01646005,104.43883975,0.00000010,33.39603244,1.46538114,1,0.00000000,0.00307526,0.23225326,0.29765069,0.00000000,0.00000000,489.12910815,3.20667724,2.89903165,0.00000000,0.01646015,0.00701638,0.00000000,2,0.00024800,0.02850000,6.20964792,0.00000000,0.00000000,0.00000000,6.69128620,4.92848629,2.24367692,NA,0.00001140,2.35332424,0.00000000,25.85982979,0.00000000,0.00000000,2.24367692,3.00000000,0.47551283,1.00000000,226.96081580,80.64369392,0.01235758,3.81654989
6.16601520,0.00004000,4.96491412,250.65269223,0.00000164,0.25601507,False,sheath,0.06690537,0.00038803,0.01500000,23.22146789,0.00188392,4.09717568,7.84965292,MS,0.01202120,0.04107851,0.01016020,0.00000121,0.17356343,0.00145379,StemElement,0.00025990,98.82435117,0.00000000,36.34476025,1.41265660,1,0.00000032,0.00005057,0.21357375,0.00494122,0.00028367,0.70860507,0.74934462,2.24375046,2.73890580,17.67112399,0.00064403,-0.00299812,0.00038413,2,0.00000471,0.00050000,0.10707529,0.00005105,0.01554958,9.70027686,0.00017984,0.08617283,2.38552676,0.03051509,0.00000020,0.00017984,0.00000000,20.90707710,0.00000187,17.88289386,2.38552676,3.00000000,0.51749859,1.00000000,223.07351280,93.17915457,0.00055211,0.06694590
5.05281587,0.00417081,0.00000247,724.63057819,0.00008211,NA,True,blade,0.19854277,0.04518577,0.00000001,93.33043893,0.84087332,5.17766787,33.60151927,MS,3.41692780,0.01968593,0.00000031,0.00034127,0.55786707,0.45725876,LeafElement1,0.07969967,85.78771463,0.00004756,109.63308237,1.28224248,1,0.00003671,0.00689220,NA,0.44725532,0.03303305,5.13268331,0.00002968,14.71643951,1.44743538,58.64914265,0.12448112,1.90050988,0.04473389,3,0.00018492,0.06423247,11.34659242,0.00594491,0.05188854,10.83380568,0.00000074,24.37670303,4.95160826,0.05499474,0.00002090,0.00000074,0.00000000,39.48511398,0.00064925,76.55018752,4.95160826,3.00000000,1.56102187,1.00000000,226.70641162,NA,0.05102071,22.43659057
NA,0.00000000,NA,NA,0.00000000,NA,True,internode,NA,NA,NA,NA,0.00000000,NA,NA,MS,NA,NA,NA,0.00000000,NA,0.00000000,HiddenElement,NA,NA,NA,NA,NA,1,NA,0.00000000,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.00000000,0.00001016,0.00000000,NA,NA,NA,0.00000000,NA,NA,NA,0.00000000,NA,0.00000000,NA,NA,NA,NA,3.00000000,NA,NA,NA,NA,NA,0.00000000
NA,0.00000000,NA,NA,0.00000000,NA,True,internode,NA,NA,NA,NA,0.00000000,NA,NA,MS,NA,NA,NA,0.00000000,NA,0.00000000,HiddenElement,NA,NA,NA,NA,NA,1,NA,0.00000000,NA,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.00000000,0.00005082,0.00000000,NA,NA,NA,0.00000000,NA,NA,NA,0.00000000,NA,0.00000000,NA,NA,NA,NA,3.00000000,NA,NA,NA,NA,NA,0.00000000
7.13173952,0.00410677,0.00000286,137.86245234,0.00011872,1.37897222,False,blade,0.03430735,0.01644667,0.00000001,15.72618551,0.59603875,3.76259162,24.18928740,MS,0.65951115,0.02890860,0.00000000,0.00026936,0.42777137,0.35018720,LeafElement1,0.06410387,162.72272583,0.00004678,85.27075254,1.89981281,1,0.00000670,0.00640710,1.27402316,0.83533060,0.01173666,0.93787364,0.00000029,11.77645867,1.88498607,9.43299154,0.08043285,1.89846833,0.01628220,1,0.00019533,0.08200000,15.39656749,0.00215566,0.00836350,4.00477115,0.00000001,19.23978053,4.20406580,0.05963771,0.00002050,0.00000001,0.00000000,35.90283145,0.00010304,54.63351843,4.20406580,4.00000000,1.20369431,1.00000000,312.42263763,30.48695067,0.11196310,16.94016422
7.17760010,0.00171000,0.00040142,87.36182464,0.00019741,0.15218124,False,sheath,0.02630719,0.01734227,0.00000113,6.35329557,0.06585544,3.61799917,6.41865880,MS,0.21705107,0.11544609,0.00000035,0.00004088,0.12229736,0.05229665,StemElement,0.00896154,136.73221802,0.00000150,30.58283483,1.71958463,1,0.00000707,0.00210019,0.12035025,0.29226512,0.01237578,0.22446231,0.00002500,1.45265806,2.27970852,5.89824948,0.02613190,0.14590390,0.01716886,1,0.00026861,0.02850000,5.21011139,0.00227304,0.00522706,10.14168794,0.00000026,2.91957545,1.94633644,0.03533006,0.00000855,0.00000026,0.00000000,18.57890843,0.00002681,14.49707500,1.94633644,4.00000000,0.43171173,1.00000000,253.90406383,127.89595156,0.03391902,2.01659605
6.97578859,0.00483764,0.00000223,139.17289036,0.00013686,1.53346187,False,blade,0.03233272,0.01912932,0.00000001,14.71136177,0.77841054,3.73660633,26.81783034,MS,0.78286141,0.02829036,0.00000000,0.00036967,0.50698732,0.48435928,LeafElement1,0.08852644,169.67557496,0.00007084,100.12299048,1.94373001,1,0.00000779,0.00795135,1.43307581,1.02603732,0.01365106,0.90207036,0.00000023,12.91622219,1.59496511,9.52598043,0.10753531,2.44057023,0.01893803,2,0.00024107,0.09200000,18.63476750,0.00250727,0.00844605,3.95426545,0.00000001,26.40490847,4.64915672,0.06131794,0.00002420,0.00000001,0.00000000,39.15946160,0.00012258,60.57030139,4.64915672,4.00000000,1.41335066,1.00000000,321.00287088,30.31804582,0.14252901,23.65029972
12.05727469,0.00228000,5.01657622,0.00000000,0.00000000,0.27765683,False,sheath,0.00000000,0.00000000,0.01500000,NA,0.00000000,6.22300000,0.00000000,MS,0.00000000,0.00000000,6.22072355,0.00006886,0.17344222,0.07507632,HiddenElement,0.01743283,102.08974097,0.00000000,32.92821182,1.43114452,1,0.00000000,0.00307657,0.23168909,0.29095576,0.00000000,0.00000000,489.65473728,3.21198470,2.89752639,0.00000000,0.01743283,-0.17257754,0.00000000,2,0.00024800,0.02850000,6.28479985,0.00000000,0.00000000,0.00000000,6.69847681,4.91849248,2.23816931,NA,0.00001140,2.30616305,0.00000000,25.89154915,0.00000000,0.00000000,2.23816931,4.00000000,0.46481942,1.00000000,229.70759691,80.60919215,0.00832670,3.81325101
6.48049600,0.00004000,5.10550480,33.53038103,0.00000642,0.25581425,False,sheath,0.01907159,0.00022057,0.01500000,3.27678587,0.00137484,3.53186569,5.72850043,MS,0.00216298,0.16040475,0.02143006,0.00000121,0.17342731,0.00146211,StemElement,0.00025554,98.42706801,0.00000000,36.55285514,1.39673400,1,0.00000009,0.00005074,0.21337294,0.00492135,0.00015740,0.12749940,1.58560291,2.27820234,2.70264928,2.23223250,0.00047347,-0.00558187,0.00021793,2,0.00000471,0.00050000,0.11332169,0.00002891,0.00197725,5.50325200,0.00038054,0.08610046,2.37602807,0.03890990,0.00000020,0.00038054,0.00000000,21.16016849,0.00000024,12.93829490,2.37602807,4.00000000,0.51598541,1.00000000,236.08684880,92.88098831,0.00038819,0.06689339
