t,species,metamer,organ,element,Eabs_direct,Eabs_diffuse
30,Soissons,4,blade,LeafElement1,0.046754985,0.138217677
30,Soissons,4,internode,StemElement,0,0.000438254
30,Soissons,4,sheath,StemElement,0,0.004984751
30,Soissons,5,internode,StemElement,0.000219623,0.047219619
30,Soissons,6,internode,StemElement,0.236257216,0.131138906
31,Soissons,1,blade,LeafElement1,0,0.000273246
31,Soissons,1,sheath,StemElement,0,5.53E-05
31,Soissons,2,blade,LeafElement1,0,0.001402713
31,Soissons,2,sheath,StemElement,0,0
31,Soissons,3,blade,LeafElement1,0.002991709,0.0120609
31,Soissons,3,sheath,StemElement,0,0.000170922
31,Soissons,4,blade,LeafElement1,0.057467614,0.138217677
31,Soissons,4,internode,StemElement,0,0.000438254
31,Soissons,4,sheath,StemElement,0.007241802,0.004984751
31,Soissons,5,internode,StemElement,0.032072965,0.047219619
31,Soissons,6,internode,StemElement,0.215622118,0.131138906
32,Soissons,1,blade,LeafElement1,0,0.000273246
32,Soissons,1,sheath,StemElement,5.53E-05,5.53E-05
32,Soissons,2,blade,LeafElement1,0.000840631,0.001402713
32,Soissons,2,sheath,StemElement,0,0
32,Soissons,3,blade,LeafElement1,0.001874435,0.0120609
32,Soissons,3,sheath,StemElement,5.52E-05,0.000170922
32,Soissons,4,blade,LeafElement1,0.087550862,0.138217677
32,Soissons,4,internode,StemElement,0.0022716,0.000438254
32,Soissons,4,sheath,StemElement,0.005138721,0.004984751
32,Soissons,5,internode,StemElement,0.059243392,0.047219619
32,Soissons,6,internode,StemElement,0.183692842,0.131138906
33,Soissons,1,blade,LeafElement1,0,0.000273246
33,Soissons,1,sheath,StemElement,0,5.53E-05
33,Soissons,2,blade,LeafElement1,0.000893028,0.001402713
33,Soissons,2,sheath,StemElement,0,0
33,Soissons,3,blade,LeafElement1,0.004201326,0.0120609
33,Soissons,3,sheath,StemElement,5.52E-05,0.000170922
33,Soissons,4,blade,LeafElement1,0.130959324,0.138217677
33,Soissons,4,internode,StemElement,5.48E-05,0.000438254
33,Soissons,4,sheath,StemElement,0.003416637,0.004984751
33,Soissons,5,internode,StemElement,0.100753413,0.047219619
33,Soissons,6,internode,StemElement,0.136637445,0.131138906
34,Soissons,1,blade,LeafElement1,0.000221659,0.000273246
34,Soissons,1,sheath,StemElement,0.000110646,5.53E-05
34,Soissons,2,blade,LeafElement1,0.00313964,0.001402713
34,Soissons,2,sheath,StemElement,5.51E-05,0
34,Soissons,3,blade,LeafElement1,0.011356972,0.0120609
34,Soissons,3,sheath,StemElement,0.003091067,0.000170922
34,Soissons,4,blade,LeafElement1,0.159864851,0.138217677
34,Soissons,4,internode,StemElement,0,0.000438254
34,Soissons,4,sheath,StemElement,0.018773758,0.004984751
34,Soissons,5,internode,StemElement,0.048427565,0.047219619
34,Soissons,6,internode,StemElement,0.105824835,0.131138906
35,Soissons,1,blade,LeafElement1,0.000170326,0.000273246
35,Soissons,1,sheath,StemElement,0,5.53E-05
35,Soissons,2,blade,LeafElement1,0.003269628,0.001402713
35,Soissons,2,sheath,StemElement,0.000440954,0
35,Soissons,3,blade,LeafElement1,0.026840352,0.0120609
35,Soissons,3,sheath,StemElement,0.000110397,0.000170922
35,Soissons,4,blade,LeafElement1,0.170622724,0.138217677
35,Soissons,4,internode,StemElement,0.005234669,0.000438254
35,Soissons,4,sheath,StemElement,0.012103642,0.004984751
35,Soissons,5,internode,StemElement,0.025586497,0.047219619
35,Soissons,6,internode,StemElement,0.088475952,0.131138906
36,Soissons,1,blade,LeafElement1,0.00477075,0.000273246
36,Soissons,1,sheath,StemElement,0,5.53E-05
36,Soissons,2,blade,LeafElement1,0.013604739,0.001402713
36,Soissons,2,sheath,StemElement,0,0
36,Soissons,3,blade,LeafElement1,0.025664972,0.0120609
36,Soissons,3,sheath,StemElement,0,0.000170922
36,Soissons,4,blade,LeafElement1,0.171863786,0.138217677
36,Soissons,4,internode,StemElement,0.000164343,0.000438254
36,Soissons,4,sheath,StemElement,0.005025964,0.004984751
36,Soissons,5,internode,StemElement,0.022291654,0.047219619
36,Soissons,6,internode,StemElement,0.078804529,0.131138906
37,Soissons,1,blade,LeafElement1,0.002654819,0.000273246
37,Soissons,1,sheath,StemElement,0.000387272,5.53E-05
