t,plant,axis,organ,C_exudation,Conc_Amino_Acids,Conc_Nitrates,Conc_Sucrose,Conc_cytokinins,Dry_Mass,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,Proteins_N_Mass,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_growth,R_maintenance,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,mstruct,nitrates,proteins,rate_mstruct_death,rate_mstruct_growth,regul_transpiration,starch,structure,sucrose,total_organic_nitrogen
3,1,MS,phloem,NA,65.5576774485,NA,161.002750217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.906770126,NA,NA,NA,NA,NA,NA,NA,NA,NA,4153.78109515,NA
3,1,MS,roots,14.2330979287,110.371392059,549.698947643,117.753620118,6.5159329901,NA,0.00675050509077,0.000957850076084,0.00227080184057,49.7053663399,1.30072745056,0.00998607896911,NA,NA,2.85962721993,3.09071555105,NA,NA,NA,5.39205121194,3.72292760349,7.24439361349,2.86966544903,NA,0.839022357243,NA,NA,2.82529839025,71.1654896435,7.78517771044,NA,64.991318109,3.27936360609,0.503283813857,276.654582843,NA,1.76276609686e-07,1.25770722456e-07,0.000961738868898,NA,NA,711.161892339,778.282673045
4,1,MS,grains,NA,NA,NA,NA,NA,0.0857914971057,NA,NA,NA,NA,NA,NA,0.00153858763253,1.30457140369e-06,NA,NA,0.0,4.76232261381,NA,NA,NA,NA,NA,0.447192721536,NA,0.0,11.6594795028,NA,NA,NA,0.0,NA,NA,NA,NA,109.899116609,NA,NA,NA,0.0,2482.6117583,NA,NA
4,1,MS,phloem,NA,65.6493904339,NA,166.885940477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.096325915,NA,NA,NA,NA,NA,NA,NA,NA,NA,4304.49140893,NA
4,1,MS,roots,14.4063095517,111.262184406,561.938265705,114.344322334,6.98799776292,NA,0.0066701360676,0.000959773161783,0.00238705677003,48.2882219183,1.36675394221,0.00997891569572,NA,NA,2.8410565508,2.93786717965,NA,NA,NA,5.38810648914,3.66359092316,7.20065824436,2.85311687717,NA,0.782639127231,NA,NA,2.76272914849,72.0315477583,7.40016921826,NA,65.4679239506,3.51437323397,0.502915620927,282.607531819,NA,1.7614933485e-07,1.25011427853e-07,0.000943370667918,NA,NA,690.066550392,778.247616502
5,1,MS,grains,NA,NA,NA,NA,NA,0.086044658839,NA,NA,NA,NA,NA,NA,0.00154479701689,1.30802299045e-06,NA,NA,0.0,4.78822602551,NA,NA,NA,NA,NA,0.440543660553,NA,0.0,11.7228982004,NA,NA,NA,0.0,NA,NA,NA,NA,110.342644063,NA,NA,NA,0.0,2489.52857481,NA,NA
5,1,MS,phloem,NA,65.6531412884,NA,170.335889892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.123329661,NA,NA,NA,NA,NA,NA,NA,NA,NA,4393.94356894,NA
5,1,MS,roots,14.5041451024,114.19245242,573.598746313,116.849530743,7.50337760257,NA,0.00684580479525,0.000979688901686,0.00256310733231,47.0027709837,1.38199725043,0.00997891569572,NA,NA,2.85379816541,2.90605100108,NA,NA,NA,5.38810648914,3.71543614087,7.20065824436,2.86591258012,NA,0.832105253794,NA,NA,2.72531121031,72.5207255118,7.32002771052,NA,67.1921266934,3.77356580604,0.502915620927,288.471769665,NA,1.7614933485e-07,1.25011427853e-07,0.000943370667918,NA,NA,705.185451703,779.971819245
6,1,MS,grains,NA,NA,NA,NA,NA,0.0862983239023,NA,NA,NA,NA,NA,NA,0.00155093819643,1.31000134772e-06,NA,NA,0.0,4.80885619161,NA,NA,NA,NA,NA,0.437147866149,NA,0.0,11.7734065381,NA,NA,NA,0.0,NA,NA,NA,NA,110.781299745,NA,NA,NA,0.0,2496.47888585,NA,NA
6,1,MS,phloem,NA,65.6421560609,NA,172.369821051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.056034569,NA,NA,NA,NA,NA,NA,NA,NA,NA,4445.34206163,NA
6,1,MS,roots,14.5605874267,114.878412842,584.989890521,113.561687804,7.89884902227,NA,0.00749683616369,0.00108762914694,0.00293715107324,45.7469910605,1.43611791602,0.00997169229766,NA,NA,2.83558226262,2.76904882705,NA,NA,NA,5.38412982912,3.65710817065,7.16938779913,2.84972257139,NA,0.774250522712,NA,NA,2.70318097947,72.8029371336,6.97493407317,NA,67.5458648959,3.96952271412,0.502544447037,293.983421054,NA,1.76020467324e-07,1.24468538179e-07,0.00102767430354,NA,NA,684.837547222,779.809600443
7,1,MS,grains,NA,NA,NA,NA,NA,0.0865525555903,NA,NA,NA,NA,NA,NA,0.00155704636375,1.31099097577e-06,NA,NA,0.0,4.8259391922,NA,NA,NA,NA,NA,0.435705096826,NA,0.0,11.8152304361,NA,NA,NA,0.0,NA,NA,NA,NA,111.217597411,NA,NA,NA,0.0,2503.45617562,NA,NA
7,1,MS,phloem,NA,65.584769903,NA,173.403225202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.927695769,NA,NA,NA,NA,NA,NA,NA,NA,NA,4472.42583344,NA
7,1,MS,roots,14.5889221454,117.630623203,595.824792049,116.134611096,8.34418704291,NA,0.00767644231991,0.00110777369114,0.00310274799016,44.609687897,1.44074310658,0.00997169229766,NA,NA,2.84874255891,2.74557864414,NA,NA,NA,5.38412982912,3.70995736944,7.16938779913,2.86294849465,NA,0.826643158625,NA,NA,2.689946578,72.9446107272,6.91581522454,NA,69.1641012956,4.19332486345,0.502544447037,299.428440651,NA,1.76020467324e-07,1.24468538179e-07,0.00102767430354,NA,NA,700.353646983,781.427836843
8,1,MS,grains,NA,NA,NA,NA,NA,0.0868074163983,NA,NA,NA,NA,NA,NA,0.0015631443538,1.31149110462e-06,NA,NA,0.0,4.84128081395,NA,NA,NA,NA,NA,0.435582126196,NA,0.0,11.8527909583,NA,NA,NA,0.0,NA,NA,NA,NA,111.653168128,NA,NA,NA,0.0,2510.45693048,NA,NA
8,1,MS,phloem,NA,65.5568864596,NA,173.929604486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.818083,NA,NA,NA,NA,NA,NA,NA,NA,NA,4484.9275635,NA
8,1,MS,roots,14.6032673371,117.014746812,606.276659231,112.911294521,8.1293678658,NA,0.0220940659291,0.00326136030328,0.00874610534468,43.506574623,1.47556335829,0.00996442212961,NA,NA,2.83065058368,2.6221711478,NA,NA,NA,5.38012838512,3.64875037301,7.14339861598,2.84688208038,NA,0.766982989211,NA,NA,2.68330145131,73.0163366854,6.6049651078,NA,68.7508470371,4.0823324642,0.502170959857,304.454531905,NA,1.75890556463e-07,1.24017337083e-07,0.00297559511402,NA,NA,680.409277782,780.495284867
9,1,MS,grains,NA,NA,NA,NA,NA,0.0870629422785,NA,NA,NA,NA,NA,NA,0.00156924676857,1.31162892839e-06,NA,NA,0.0,4.85533224285,NA,NA,NA,NA,NA,0.436308874746,NA,0.0,11.8871927325,NA,NA,NA,0.0,NA,NA,NA,NA,112.089054898,NA,NA,NA,0.0,2517.47876993,NA,NA
9,1,MS,phloem,NA,65.5310178834,NA,174.075153523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.770626181,NA,NA,NA,NA,NA,NA,NA,NA,NA,4489.15963766,NA
9,1,MS,roots,14.6072235691,118.477923451,616.18750912,115.519714019,8.00525797053,NA,0.0223703347072,0.00331467400406,0.00861257980663,42.5106456371,1.46067508242,0.00996442212961,NA,NA,2.84405794849,2.60610185358,NA,NA,NA,5.38012838512,3.69887892808,7.14339861598,2.86036632562,NA,0.821504772321,NA,NA,2.68072598049,73.0361178455,6.56448829618,NA,69.6105218732,4.02000807897,0.502170959857,309.431472907,NA,1.75890556463e-07,1.24017337083e-07,0.00297559511402,NA,NA,696.127748054,781.354959703
10,1,MS,grains,NA,NA,NA,NA,NA,0.0873191822699,NA,NA,NA,NA,NA,NA,0.00157536229759,1.31188884571e-06,NA,NA,0.0,4.86987945681,NA,NA,NA,NA,NA,0.437254563667,NA,0.0,11.9228083253,NA,NA,NA,0.0,NA,NA,NA,NA,112.525878399,NA,NA,NA,0.0,2524.5211988,NA,NA
10,1,MS,phloem,NA,65.5803413562,NA,174.350220042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.854895705,NA,NA,NA,NA,NA,NA,NA,NA,NA,4495.16937338,NA
10,1,MS,roots,14.6146880683,116.176741797,625.701778838,112.339990381,7.13553545578,NA,0.0478100858467,0.00733602164873,0.0167320740804,41.5441356882,1.47359783944,0.00995711226845,NA,NA,2.82601639016,2.49441797762,NA,NA,NA,5.37610594745,3.63356756021,7.12019304331,2.8443478821,NA,0.760086447326,NA,NA,2.67987997462,73.0734403415,6.28316870938,NA,68.2074522886,3.58057967577,0.501795513169,313.974345203,NA,1.7575983595e-07,1.23614462557e-07,0.00649028757428,NA,NA,676.460437474,779.429757178
11,1,MS,grains,NA,NA,NA,NA,NA,0.0875761516013,NA,NA,NA,NA,NA,NA,0.00158148834639,1.31243186689e-06,NA,NA,0.0,4.88552783986,NA,NA,NA,NA,NA,0.437836391487,NA,0.0,11.9611198838,NA,NA,NA,0.0,NA,NA,NA,NA,112.963453314,NA,NA,NA,0.0,2531.58536063,NA,NA
11,1,MS,phloem,NA,65.6739467636,NA,174.927351086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.106602852,NA,NA,NA,NA,NA,NA,NA,NA,NA,4510.49731981,NA
11,1,MS,roots,14.6302980338,116.000271033,634.686350034,114.977480239,6.49567060955,NA,0.0477374630291,0.00744136098293,0.0152316588593,40.6753605178,1.43914318729,0.00995711226845,NA,NA,2.83963340624,2.48488755097,NA,NA,NA,5.37610594745,3.67979211076,7.12019304331,2.85805322755,NA,0.816488796908,NA,NA,2.67770783995,73.1514901688,6.25916259689,NA,68.1038461712,3.25949836689,0.501795513169,318.482762716,NA,1.7575983595e-07,1.23614462557e-07,0.00649028757428,NA,NA,692.342204395,779.326151061
12,1,MS,grains,NA,NA,NA,NA,NA,0.087833866373,NA,NA,NA,NA,NA,NA,0.00158761089536,1.31436799108e-06,NA,NA,0.0,4.90643748173,NA,NA,NA,NA,NA,0.436039528454,NA,0.0,12.0123124553,NA,NA,NA,0.0,NA,NA,NA,NA,113.40077824,NA,NA,NA,0.0,2538.67522828,NA,NA
12,1,MS,phloem,NA,65.902022573,NA,177.012574331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.640325982,NA,NA,NA,NA,NA,NA,NA,NA,NA,4563.17196275,NA
12,1,MS,roots,14.6861213985,110.705590621,643.043871624,111.847944527,4.95696962927,NA,0.133984930332,0.0221727667653,0.0341842092903,39.8505926297,1.41727222299,0.00994976788629,NA,NA,2.82169724044,2.3848861804,NA,NA,NA,5.37206528606,3.60713926149,7.09901630198,2.84213685497,NA,0.753772623509,NA,NA,2.66548571445,73.4306069923,6.00726997582,NA,64.946485074,2.48551560941,0.501418365513,322.434007063,NA,1.75628429609e-07,1.23246810798e-07,0.0191018991307,NA,NA,672.99136237,775.644191238
13,1,MS,grains,NA,NA,NA,NA,NA,0.0880922564212,NA,NA,NA,NA,NA,NA,0.00159367875761,1.31830575654e-06,NA,NA,0.0,4.93494995257,NA,NA,NA,NA,NA,0.430245020777,NA,0.0,12.0821188494,NA,NA,NA,0.0,NA,NA,NA,NA,113.834196972,NA,NA,NA,0.0,2545.80100875,NA,NA
13,1,MS,phloem,NA,66.2495790249,NA,181.390688474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.531054664,NA,NA,NA,NA,NA,NA,NA,NA,NA,4676.51662984,NA
13,1,MS,roots,14.8004659505,107.718818189,650.886042534,114.547191122,3.98090535362,NA,0.130370094857,0.0224431723071,0.0274530836279,39.1144068566,1.35702278518,0.00994976788629,NA,NA,2.83567605457,2.38287231753,NA,NA,NA,5.37206528606,3.64663215201,7.09901630198,2.85621692786,NA,0.812488583968,NA,NA,2.63522766982,74.0023297525,6.00219727338,NA,63.1942666888,1.99609905567,0.501418365513,326.366215583,NA,1.75628429609e-07,1.23246810798e-07,0.0191018991307,NA,NA,689.232784156,773.891972853
14,1,MS,grains,NA,NA,NA,NA,NA,0.0883512921871,NA,NA,NA,NA,NA,NA,0.00159965171819,1.32316547299e-06,NA,NA,0.0,4.96709296947,NA,NA,NA,NA,NA,0.423045512934,NA,0.0,12.1608138218,NA,NA,NA,0.0,NA,NA,NA,NA,114.260837013,NA,NA,NA,0.0,2552.97157335,NA,NA
14,1,MS,phloem,NA,66.7431870906,NA,187.062659002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.732549213,NA,NA,NA,NA,NA,NA,NA,NA,NA,4821.61904682,NA
14,1,MS,roots,14.9430966027,102.792757829,658.726323943,111.522275156,3.24079386065,NA,0.130049041361,0.0237433798154,0.0233624789961,38.3649967107,1.34290755406,0.00994239710569,NA,NA,2.81817714244,2.29097037363,NA,NA,NA,5.36801075143,3.57709949052,7.08105378756,2.84073528655,NA,0.750343447159,NA,NA,2.59917225102,74.7154830133,5.77070623081,NA,60.2588322918,1.62376710625,0.501039922956,330.048186597,NA,1.7549642793e-07,1.2293496159e-07,0.0199830920146,NA,NA,670.525345825,770.430054127
15,1,MS,grains,NA,NA,NA,NA,NA,0.0886109973926,NA,NA,NA,NA,NA,NA,0.00160552610536,1.32796075186e-06,NA,NA,0.0,4.99918664066,NA,NA,NA,NA,NA,0.416245586113,NA,0.0,12.2393879823,NA,NA,NA,0.0,NA,NA,NA,NA,114.680436097,NA,NA,NA,0.0,2560.18861275,NA,NA
15,1,MS,phloem,NA,67.3105339969,NA,192.973517116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.175439324,NA,NA,NA,NA,NA,NA,NA,NA,NA,4974.47638616,NA
15,1,MS,roots,15.0855035368,100.140681956,666.059537933,114.333048197,2.80514200882,NA,0.126693747348,0.0240077009434,0.0202219190977,37.6986607913,1.2882590115,0.00994239710569,NA,NA,2.83275524631,2.29342731464,NA,NA,NA,5.36801075143,3.61927523993,7.08105378756,2.85543008109,NA,0.812188178059,NA,NA,2.56519127859,75.4275176841,5.7768949991,NA,58.704141099,1.40548813598,0.501039922956,333.72241957,NA,1.7549642793e-07,1.2293496159e-07,0.0199830920146,NA,NA,687.425059919,768.875362934
16,1,MS,grains,NA,NA,NA,NA,NA,0.088871437341,NA,NA,NA,NA,NA,NA,0.00161131219272,1.33245885143e-06,NA,NA,0.0,5.03035057354,NA,NA,NA,NA,NA,0.41055266533,NA,0.0,12.3156858869,NA,NA,NA,0.0,NA,NA,NA,NA,115.093728052,NA,NA,NA,0.0,2567.4517857,NA,NA
16,1,MS,phloem,NA,67.979502675,NA,198.825611325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.815940865,NA,NA,NA,NA,NA,NA,NA,NA,NA,5124.1062349,NA
16,1,MS,roots,15.2206169109,95.6524186042,673.465831754,111.425373228,2.45681639838,NA,0.121240776271,0.024319867408,0.0177438694696,37.011865327,1.273939282,0.00993501579383,NA,NA,2.81581748696,2.20872867417,NA,NA,NA,5.36395084273,3.55330460536,7.06941153777,2.84050506064,NA,0.751647882541,NA,NA,2.53695364517,76.1030845544,5.56354829765,NA,56.030637221,1.23003210272,0.500660978792,337.178062509,NA,1.75363973035e-07,1.22732839197e-07,0.0200354633815,NA,NA,669.43603707,765.674622494
17,1,MS,grains,NA,NA,NA,NA,NA,0.0891326651854,NA,NA,NA,NA,NA,NA,0.00161702727773,1.33644560217e-06,NA,NA,0.0,5.05976046925,NA,NA,NA,NA,NA,0.406056510532,NA,0.0,12.3876894247,NA,NA,NA,0.0,NA,NA,NA,NA,115.50194841,NA,NA,NA,0.0,2574.75862438,NA,NA
17,1,MS,phloem,NA,68.6784717291,NA,204.281514267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.590563503,NA,NA,NA,NA,NA,NA,NA,NA,NA,5265.27279544,NA
17,1,MS,roots,15.3416304651,93.4219254053,680.371468789,114.341690957,2.2834425014,NA,0.118413594995,0.0245692403816,0.0164917108633,36.4034958533,1.22213824966,0.00993501579383,NA,NA,2.83092329394,2.21475960136,NA,NA,NA,5.36395084273,3.59820762267,7.06941153777,2.8557433072,NA,0.815990829324,NA,NA,2.51441924275,76.7081523256,5.57873955002,NA,54.7240737585,1.14323055777,0.500660978792,340.635445506,NA,1.75363973035e-07,1.22732839197e-07,0.0200354633815,NA,NA,686.957074933,764.368059032
18,1,MS,grains,NA,NA,NA,NA,NA,0.0893947587078,NA,NA,NA,NA,NA,NA,0.00162269480486,1.33937745229e-06,NA,NA,0.0,5.08533065043,NA,NA,NA,NA,NA,0.404184060569,NA,0.0,12.4502922821,NA,NA,NA,0.0,NA,NA,NA,NA,115.906771776,NA,NA,NA,0.0,2582.10597534,NA,NA
18,1,MS,phloem,NA,69.4115115494,NA,208.466599396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.391914987,NA,NA,NA,NA,NA,NA,NA,NA,NA,5371.885052,NA
18,1,MS,roots,15.4313899419,90.919360837,687.797394395,111.52693927,2.33948455146,NA,0.0595116601594,0.0128262323051,0.00872546845212,35.7396228038,1.22655281005,0.00992764035168,NA,NA,2.81447978262,2.13426273643,NA,NA,NA,5.35989434506,3.53959654325,7.06431906097,2.84130436966,NA,0.757275091079,NA,NA,2.50480940752,77.1569497093,5.37597666608,NA,53.217861575,1.17040283623,0.500282353008,344.092898861,NA,1.75231342577e-07,1.22644428142e-07,0.0103543034999,NA,NA,669.539515221,762.335029552
19,1,MS,grains,NA,NA,NA,NA,NA,0.0896578083477,NA,NA,NA,NA,NA,NA,0.00162835678416,1.34107320674e-06,NA,NA,0.0,5.10632316351,NA,NA,NA,NA,NA,0.404977418989,NA,0.0,12.5016877452,NA,NA,NA,0.0,NA,NA,NA,NA,116.311198869,NA,NA,NA,0.0,2589.48655665,NA,NA
19,1,MS,phloem,NA,70.0894931097,NA,210.95769618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.114257948,NA,NA,NA,NA,NA,NA,NA,NA,NA,5436.66228559,NA
19,1,MS,roots,15.4836056166,90.5573170281,694.720208326,114.515410905,2.44487982479,NA,0.0592746828213,0.0129553308164,0.00911855637905,35.1517174592,1.19381306602,0.00992764035168,NA,NA,2.82991142025,2.14102077275,NA,NA,NA,5.35989434506,3.59062990087,7.06431906097,2.85688308502,NA,0.823035718348,NA,NA,2.50786564465,77.418028083,5.39299942758,NA,53.0059463446,1.22313023157,0.500282353008,347.556260504,NA,1.75231342577e-07,1.22644428142e-07,0.0103543034999,NA,NA,687.480470681,762.123114322
20,1,MS,grains,NA,NA,NA,NA,NA,0.0899218879719,NA,NA,NA,NA,NA,NA,0.00163404383765,1.3418591379e-06,NA,NA,0.0,5.12393394645,NA,NA,NA,NA,NA,0.407760075007,NA,0.0,12.5448037999,NA,NA,NA,0.0,NA,NA,NA,NA,116.717416975,NA,NA,NA,0.0,2596.89532513,NA,NA
20,1,MS,phloem,NA,70.7194779566,NA,212.130362785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.655828862,NA,NA,NA,NA,NA,NA,NA,NA,NA,5465.60993485,NA
20,1,MS,roots,15.5078809896,90.6605109571,702.440004007,111.743495368,2.90525864732,NA,0.0143721322478,0.00317252580027,0.00262428334448,34.4895836919,1.22674129667,0.00992028289427,NA,NA,2.81373996526,2.06260932357,NA,NA,NA,5.35584774762,3.54007542301,7.06407851308,2.84270367732,NA,0.76551096866,NA,NA,2.52036413497,77.5394049481,5.19548948002,NA,53.0262850058,1.452352311,0.499904651293,351.153025257,NA,1.75098823553e-07,1.22640251963e-07,0.00250961006557,NA,NA,670.333117037,761.617920311
21,1,MS,grains,NA,NA,NA,NA,NA,0.0901870191055,NA,NA,NA,NA,NA,NA,0.00163978040296,1.34181996595e-06,NA,NA,0.0,5.13844739314,NA,NA,NA,NA,NA,0.411898176641,NA,0.0,12.5803367211,NA,NA,NA,0.0,NA,NA,NA,NA,117.12717164,NA,NA,NA,0.0,2604.32700867,NA,NA
21,1,MS,phloem,NA,71.21567288,NA,212.071639442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.922309902,NA,NA,NA,NA,NA,NA,NA,NA,NA,5464.70713673,NA
21,1,MS,roots,15.5066699417,92.8489552339,709.647594489,114.758346381,3.39287158202,NA,0.014719059595,0.0032050784263,0.00306473793336,33.9021929876,1.22325189839,0.00992028289427,NA,NA,2.82924647969,2.06817341202,NA,NA,NA,5.35584774762,3.59845922881,7.06407851308,2.85836981069,NA,0.831509262374,NA,NA,2.53855251108,77.5333497083,5.20950481618,NA,54.3062807693,1.69611228509,0.499904651293,354.756133264,NA,1.75098823553e-07,1.22640251963e-07,0.00250961006557,NA,NA,688.418773564,762.897916075
