t,plant,axis,Conc_Nitrates_Soil,Tsoil,nitrates,volume
695,1,MS,0.4303084068060638,15.0,0.4303084068060638,1.0
696,1,MS,0.43199695417238143,15.0,0.43199695417238143,1.0
697,1,MS,0.43346054293957403,15.0,0.43346054293957403,1.0
698,1,MS,0.4352181480947819,15.0,0.4352181480947819,1.0
699,1,MS,0.43678970805945966,15.0,0.43678970805945966,1.0
700,1,MS,0.4386832225457316,15.0,0.4386832225457316,1.0
701,1,MS,0.44041909148119024,15.0,0.44041909148119024,1.0
702,1,MS,0.4424857722892393,15.0,0.4424857722892393,1.0
703,1,MS,0.44439703084006826,15.0,0.44439703084006826,1.0
704,1,MS,0.4466115193294215,15.0,0.4466115193294215,1.0
705,1,MS,0.4486359850465509,15.0,0.4486359850465509,1.0
706,1,MS,0.45090132454346327,15.0,0.45090132454346327,1.0
707,1,MS,0.4528958320866286,15.0,0.4528958320866286,1.0
708,1,MS,0.45504325445427873,15.0,0.45504325445427873,1.0
709,1,MS,0.4568251647420604,15.0,0.4568251647420604,1.0
710,1,MS,0.4586900400373336,15.0,0.4586900400373336,1.0
711,1,MS,0.4601143821642617,15.0,0.4601143821642617,1.0
712,1,MS,0.4615863822258068,15.0,0.4615863822258068,1.0
713,1,MS,0.46257446899969606,15.0,0.46257446899969606,1.0
714,1,MS,0.4636147281237538,15.0,0.4636147281237538,1.0
715,1,MS,0.464171624428882,15.0,0.464171624428882,1.0
716,1,MS,0.46483231317530826,15.0,0.46483231317530826,1.0
717,1,MS,0.4650592579362186,15.0,0.4650592579362186,1.0
718,1,MS,0.46547437976335754,15.0,0.46547437976335754,1.0
719,1,MS,0.4655348508893544,15.0,0.4655348508893544,1.0
720,1,MS,0.46587294681729857,15.0,0.46587294681729857,1.0
721,1,MS,0.4659372076144926,15.0,0.4659372076144926,1.0
722,1,MS,0.4663531704717602,15.0,0.4663531704717602,1.0
723,1,MS,0.46656594071836494,15.0,0.46656594071836494,1.0
724,1,MS,0.46718146767120977,15.0,0.46718146767120977,1.0
725,1,MS,0.46764148686055257,15.0,0.46764148686055257,1.0
726,1,MS,0.46852552239484474,15.0,0.46852552239484474,1.0
727,1,MS,0.4692774797213069,15.0,0.4692774797213069,1.0
728,1,MS,0.4704383678944115,15.0,0.4704383678944115,1.0
729,1,MS,0.4714423945711462,15.0,0.4714423945711462,1.0
