t,plant,axis,Total_transpiration
197,1,MS,0.00040942418111787355
198,1,MS,0.011290833532221916
199,1,MS,0.011290833532221916
200,1,MS,0.021421955596477322
201,1,MS,0.021421955596477322
202,1,MS,0.025438029350249816
203,1,MS,0.025438029350249816
204,1,MS,0.03381265452802152
205,1,MS,0.03381265452802152
206,1,MS,0.029412522439149588
207,1,MS,0.029412522439149588
208,1,MS,0.017404012687491293
209,1,MS,0.017404012687491293
210,1,MS,0.0073337853757607565
211,1,MS,0.0073337853757607565
212,1,MS,0.001439497335968194
213,1,MS,0.001439497335968194
214,1,MS,0.001692620651946712
215,1,MS,0.001692620651946712
216,1,MS,0.0024206237374316936
217,1,MS,0.0024206237374316936
218,1,MS,0.0020283019179527413
219,1,MS,0.0020283019179527413
220,1,MS,0.0025866562600787885
221,1,MS,0.0025866562600787885
222,1,MS,0.008471126455866836
223,1,MS,0.008471126455866836
224,1,MS,0.013090512725073744
225,1,MS,0.013090512725073744
226,1,MS,0.015232088602581814
227,1,MS,0.015232088602581814
228,1,MS,0.026330260878348485
229,1,MS,0.026330260878348485
230,1,MS,0.0270017403295228
231,1,MS,0.0270017403295228
232,1,MS,0.022799222862628178
233,1,MS,0.022799222862628178
234,1,MS,0.013210223455901489
235,1,MS,0.013210223455901489
236,1,MS,0.004597399921436891
237,1,MS,0.004597399921436891
238,1,MS,0.003508305852448128
239,1,MS,0.003508305852448128
240,1,MS,0.001332392664096532
241,1,MS,0.001332392664096532
242,1,MS,0.0015012111323380714
243,1,MS,0.0015012111323380714
244,1,MS,0.0016477565021486458
245,1,MS,0.0016477565021486458
246,1,MS,0.009164853165988108
247,1,MS,0.009164853165988108
248,1,MS,0.01986684662584136
249,1,MS,0.01986684662584136
250,1,MS,0.026712600140629244
251,1,MS,0.026712600140629244
252,1,MS,0.011469680053092306
253,1,MS,0.011469680053092306
254,1,MS,0.016056974632408506
255,1,MS,0.016056974632408506
256,1,MS,0.02181574991729732
257,1,MS,0.02181574991729732
258,1,MS,0.009747485168364545
259,1,MS,0.009747485168364545
260,1,MS,0.0038740010782349777
261,1,MS,0.0038740010782349777
262,1,MS,0.0022355560692775976
263,1,MS,0.0022355560692775976
264,1,MS,0.0017522026678575752
265,1,MS,0.0017522026678575752
266,1,MS,0.0018682334433867925
267,1,MS,0.0018682334433867925
268,1,MS,0.00252626720652267
269,1,MS,0.00252626720652267
270,1,MS,0.007283686108675137
271,1,MS,0.007283686108675137
272,1,MS,0.018718230174633404
273,1,MS,0.018718230174633404
274,1,MS,0.020228345956127068
275,1,MS,0.020228345956127068
276,1,MS,0.025863083567888044
277,1,MS,0.025863083567888044
278,1,MS,0.023668834803507555
279,1,MS,0.023668834803507555
280,1,MS,0.02975536877539594
281,1,MS,0.02975536877539594
282,1,MS,0.012645854195259449
283,1,MS,0.012645854195259449
284,1,MS,0.006202298315805095
285,1,MS,0.006202298315805095
286,1,MS,0.0030080453383746052
287,1,MS,0.0030080453383746052
288,1,MS,0.004122429041462495
289,1,MS,0.004122429041462495
290,1,MS,0.0017803020665047625
291,1,MS,0.0017803020665047625
292,1,MS,0.0023943211731092613
293,1,MS,0.0023943211731092613
294,1,MS,0.010571060227165625
295,1,MS,0.010571060227165625
296,1,MS,0.016554452598217282
297,1,MS,0.016554452598217282
298,1,MS,0.01567452761745759
299,1,MS,0.01567452761745759
300,1,MS,0.02608436795960255
301,1,MS,0.02608436795960255
302,1,MS,0.006320669561245355
303,1,MS,0.006320669561245355
304,1,MS,0.0018244844967982218
305,1,MS,0.0018244844967982218
306,1,MS,0.0034156799791418306
307,1,MS,0.0034156799791418306
308,1,MS,0.0011634932056948087
309,1,MS,0.0011634932056948087
310,1,MS,0.0005513382073570317
311,1,MS,0.0005513382073570317
312,1,MS,0.002417708242808141
313,1,MS,0.002417708242808141
314,1,MS,0.0029865188698954873
315,1,MS,0.0029865188698954873
316,1,MS,0.0029120090952827003
317,1,MS,0.0029120090952827003
318,1,MS,0.006969870191310062
319,1,MS,0.006969870191310062
320,1,MS,0.0053606200308184545
321,1,MS,0.0053606200308184545
322,1,MS,0.013923636055441507
323,1,MS,0.013923636055441507
324,1,MS,0.015163834559894555
325,1,MS,0.015163834559894555
326,1,MS,0.017713242082745884
327,1,MS,0.017713242082745884
328,1,MS,0.016161642447198792
329,1,MS,0.016161642447198792
330,1,MS,0.00671175449747885
