t,hour,air_temperature,PARi_original,soil_temperature,DOY,humidity,ambient_CO2,Wind,PARi
143,11,6.651046786,265.0164021,5.696922547,353,0.75,360,2.2,132.5082011
144,12,7.005517593,323.8371242,5.961184995,353,0.75,360,2.2,161.9185621
145,13,7.356301676,312.9568785,6.245609513,353,0.75,360,2.2,156.4784393
146,14,7.449377759,249.188981,6.424162121,353,0.75,360,2.2,124.5944905
147,15,7.293336733,153.0203311,6.534442115,353,0.75,360,2.2,76.51016555
148,16,6.881693765,44.55900047,6.363071752,353,0.75,360,2.2,22.27950024
149,17,6.595930341,9.449177011,6.129744899,353,0.75,360,2.2,4.724588505
150,18,6.245545057,4.22039407,5.863618937,353,0.75,360,2.2,2.110197035
151,19,6.032563309,0,5.571789392,353,0.75,360,2.2,0
152,20,5.973968955,0,5.3601253,353,0.75,360,2.2,0
153,21,5.935922113,0,5.261551273,353,0.75,360,2.2,0
154,22,5.862080808,0,5.194817499,353,0.75,360,2.2,0
155,23,5.748953264,0,5.139526436,353,0.75,360,2.2,0
156,24,5.684471874,0,5.114518581,353,0.75,360,2.2,0
157,1,5.434527046,0,5.06298034,354,0.75,360,2.2,0
158,2,5.404849698,0,5.037735259,354,0.75,360,2.2,0
159,3,5.297617354,0,5.023711972,354,0.75,360,2.2,0
160,4,5.307171238,0,5.023169221,354,0.75,360,2.2,0
161,5,5.176239714,0,5.02110184,354,0.75,360,2.2,0
162,6,5.028118439,0,5.003635927,354,0.75,360,2.2,0
163,7,5.060523405,7.567634273,5.092893938,354,0.75,360,2.2,3.783817136
164,8,5.008157207,13.46780627,5.204602157,354,0.75,360,2.2,6.733903135
165,9,5.317523066,78.35584176,5.309133667,354,0.75,360,2.2,39.17792088
166,10,5.954952603,184.3695318,5.41309801,354,0.75,360,2.2,92.18476591
167,11,6.609202913,263.2345652,5.562283278,354,0.75,360,2.2,131.6172826
168,12,6.960861329,319.929844,5.803698802,354,0.75,360,2.2,159.964922
169,13,7.316284698,312.6314316,6.097736552,354,0.75,360,2.2,156.3157158
170,14,7.411383381,250.3712785,6.286635359,354,0.75,360,2.2,125.1856392
171,15,7.256226364,153.8328803,6.405652814,354,0.75,360,2.2,76.91644016
172,16,6.833888412,44.37397347,6.264477714,354,0.75,360,2.2,22.18698673
173,17,6.525934752,6.285108089,6.042639035,354,0.75,360,2.2,3.142554044
174,18,6.19014792,3.535237827,5.795928661,354,0.75,360,2.2,1.767618913
175,19,5.991777293,0,5.540091341,354,0.75,360,2.2,0
176,20,5.927968111,0,5.344290118,354,0.75,360,2.2,0
177,21,5.898978438,0,5.249666406,354,0.75,360,2.2,0
178,22,5.819027247,0,5.185621715,354,0.75,360,2.2,0
179,23,5.715882083,0,5.135944453,354,0.75,360,2.2,0
180,24,5.65788205,0,5.11525268,354,0.75,360,2.2,0
181,1,5.424566703,0,5.069949814,355,0.75,360,2.2,0
182,2,5.389371808,0,5.047349709,355,0.75,360,2.2,0
183,3,5.286950838,0,5.02864733,355,0.75,360,2.2,0
184,4,5.293010085,0,5.027139772,355,0.75,360,2.2,0
185,5,5.168051748,0,5.026726412,355,0.75,360,2.2,0
186,6,5.029142587,0,5.017014007,355,0.75,360,2.2,0
187,7,5.04455202,6.643314025,5.085152849,355,0.75,360,2.2,3.321657013
188,8,4.969542061,10.15379595,5.157889362,355,0.75,360,2.2,5.076897974
189,9,5.27992469,75.73441342,5.210845696,355,0.75,360,2.2,37.86720671
190,10,5.915703598,181.283959,5.285885324,355,0.75,360,2.2,90.64197948
191,11,6.568629838,261.7174398,5.434534498,355,0.75,360,2.2,130.8587199
192,12,6.918135005,316.4336737,5.655269478,355,0.75,360,2.2,158.2168369
193,13,7.277919834,312.5824538,5.958808231,355,0.75,360,2.2,156.2912269
194,14,7.375027906,251.702052,6.157700007,355,0.75,360,2.2,125.851026
195,15,7.220653192,154.8024986,6.285083636,355,0.75,360,2.2,77.40124932
196,16,6.788370484,44.36298557,6.172306776,355,0.75,360,2.2,22.18149278
197,17,6.459293721,3.375534777,5.960996826,355,0.75,360,2.2,1.687767389
198,18,6.136799721,2.862131854,5.732056528,355,0.75,360,2.2,1.431065927
199,19,5.951892513,0,5.509663542,355,0.75,360,2.2,0
200,20,5.88308921,0,5.328937312,355,0.75,360,2.2,0
201,21,5.862443625,0,5.237887454,355,0.75,360,2.2,0
202,22,5.776634635,0,5.176197807,355,0.75,360,2.2,0
203,23,5.682729204,0,5.131653533,355,0.75,360,2.2,0
204,24,5.630551087,0,5.114850504,355,0.75,360,2.2,0
205,1,5.41286357,0,5.075174399,356,0.75,360,2.2,0
206,2,5.372304952,0,5.054875353,356,0.75,360,2.2,0
207,3,5.274355194,0,5.03178606,356,0.75,360,2.2,0
208,4,5.276985044,0,5.029327326,356,0.75,360,2.2,0
209,5,5.157729733,0,5.030338629,356,0.75,360,2.2,0
210,6,5.027360969,0,5.027665408,356,0.75,360,2.2,0
211,7,5.026762358,5.715663815,5.075626505,356,0.75,360,2.2,2.857831907
212,8,4.931350981,7.045154751,5.111590361,356,0.75,360,2.2,3.522577375
213,9,5.243229932,73.38469184,5.116425563,356,0.75,360,2.2,36.69234592
214,10,5.877753166,178.5323858,5.164994632,356,0.75,360,2.2,89.26619292
215,11,6.529364481,260.4620197,5.313592852,356,0.75,360,2.2,130.2310098
216,12,6.877351301,313.3416603,5.515752887,356,0.75,360,2.2,156.6708301
217,13,7.241228447,312.8047226,5.828673935,356,0.75,360,2.2,156.4023613
218,14,7.340333035,253.1806083,6.037212659,356,0.75,360,2.2,126.5903042
219,15,7.186642212,155.9274464,6.172593335,356,0.75,360,2.2,77.96372322
220,16,6.745143655,44.52337579,6.086455569,356,0.75,360,2.2,22.26168789
221,17,6.395982395,0.715366134,5.884734464,356,0.75,360,2.2,0.357683067
222,18,6.085512005,2.202277961,5.671958905,356,0.75,360,2.2,1.101138981
223,19,5.912948695,0,5.48052514,356,0.75,360,2.2,0
224,20,5.839364413,0,5.314098437,356,0.75,360,2.2,0
225,21,5.826367265,0,5.226254639,356,0.75,360,2.2,0
226,22,5.734944889,0,5.166595145,356,0.75,360,2.2,0
227,23,5.649555221,0,5.126715355,356,0.75,360,2.2,0
228,24,5.602558778,0,5.113384323,356,0.75,360,2.2,0
229,1,5.39952425,0,5.078745783,357,0.75,360,2.2,0
230,2,5.353752223,0,5.060415135,357,0.75,360,2.2,0
231,3,5.259941436,0,5.033220734,357,0.75,360,2.2,0
232,4,5.259204784,0,5.029822472,357,0.75,360,2.2,0
233,5,5.145386641,0,5.032034313,357,0.75,360,2.2,0
234,6,5.022910407,0.925506952,5.035710441,357,0.75,360,2.2,0.462753476
235,7,5.007273687,4.787361234,5.064423911,357,0.75,360,2.2,2.393680617
236,8,4.893641949,4.140044325,5.065772636,357,0.75,360,2.2,2.070022163
237,9,5.207483271,71.30250236,5.025860193,357,0.75,360,2.2,35.65125118
238,10,5.841134513,176.1096049,5.050350935,357,0.75,360,2.2,88.05480246
239,11,6.491442906,259.4652986,5.199375127,357,0.75,360,2.2,129.7326493
240,12,6.838522357,310.6468925,5.385005687,357,0.75,360,2.2,155.3234462
241,13,7.206231249,313.2930538,5.707183993,357,0.75,360,2.2,156.6465269
242,14,7.307319813,254.8062295,5.925030778,357,0.75,360,2.2,127.4031148
243,15,7.154217727,157.2059814,6.068041589,357,0.75,360,2.2,78.60299071
244,16,6.704211159,44.8524969,6.00682135,357,0.75,360,2.2,22.42624845
