t,species,metamer,organ,element,Eabs_direct,Eabs_diffuse,plant
8,Soissons,6,internode,StemElement,0.224473810788,0.152942753909,2
9,Caphorn,1,blade,LeafElement1,0.00163659331831,0.00564705202661,1
9,Caphorn,1,sheath,StemElement,0.000464777043009,0.00233834778202,1
9,Caphorn,2,blade,LeafElement1,0.00505661241412,0.0103513240554,1
9,Caphorn,2,sheath,StemElement,0.000962364380565,0.0010574272002,1
9,Caphorn,3,blade,LeafElement1,0.0227859335954,0.0357538379789,1
9,Caphorn,3,sheath,StemElement,0.00262439098695,0.00334651540142,1
9,Caphorn,4,blade,LeafElement1,0.203888397225,0.159513131783,1
9,Caphorn,4,internode,StemElement,0.0050978658962,0.00730758965327,1
9,Caphorn,4,sheath,StemElement,0.0144549010093,0.0228702487216,1
9,Caphorn,5,internode,StemElement,0.0763651063157,0.0419655558359,1
9,Caphorn,6,internode,StemElement,0.162371523205,0.148079574974,1
9,Soissons,1,blade,LeafElement1,0.00136315729867,0.0056470716946,2
9,Soissons,1,sheath,StemElement,0.000272226121137,0.00230377230893,2
9,Soissons,2,blade,LeafElement1,0.00511847237744,0.013359511581,2
9,Soissons,2,sheath,StemElement,0.000568842366093,0.000915442306594,2
9,Soissons,3,blade,LeafElement1,0.0224241081922,0.0482446301527,2
9,Soissons,3,sheath,StemElement,0.00202599656696,0.00338148835396,2
9,Soissons,4,blade,LeafElement1,0.148173342565,0.172600403573,2
9,Soissons,4,internode,StemElement,0.00590989186126,0.00781848581809,2
9,Soissons,4,sheath,StemElement,0.0172918354211,0.0212451039087,2
9,Soissons,5,internode,StemElement,0.0908540568648,0.0482788840211,2
9,Soissons,6,internode,StemElement,0.174174464677,0.152942753909,2
10,Caphorn,1,blade,LeafElement1,0.00594051591587,0.00564705202661,1
10,Caphorn,1,sheath,StemElement,0.00144068171102,0.00233834778202,1
10,Caphorn,2,blade,LeafElement1,0.0161362431587,0.0103513240554,1
10,Caphorn,2,sheath,StemElement,0.0015086023553,0.0010574272002,1
10,Caphorn,3,blade,LeafElement1,0.0403265997148,0.0357538379789,1
10,Caphorn,3,sheath,StemElement,0.00787605150492,0.00334651540142,1
10,Caphorn,4,blade,LeafElement1,0.172382846393,0.159513131783,1
10,Caphorn,4,internode,StemElement,0.00220551880264,0.00730758965327,1
10,Caphorn,4,sheath,StemElement,0.0411828146247,0.0228702487216,1
10,Caphorn,5,internode,StemElement,0.0631543005108,0.0419655558359,1
10,Caphorn,6,internode,StemElement,0.122969172254,0.148079574974,1
10,Soissons,1,blade,LeafElement1,0.0062673149963,0.0056470716946,2
10,Soissons,1,sheath,StemElement,0.0020216179921,0.00230377230893,2
10,Soissons,2,blade,LeafElement1,0.0163304323747,0.013359511581,2
10,Soissons,2,sheath,StemElement,0.00177700203211,0.000915442306594,2
10,Soissons,3,blade,LeafElement1,0.0451923521926,0.0482446301527,2
10,Soissons,3,sheath,StemElement,0.00714574375301,0.00338148835396,2
10,Soissons,4,blade,LeafElement1,0.189977295219,0.172600403573,2
10,Soissons,4,internode,StemElement,0.00254457531996,0.00781848581809,2
10,Soissons,4,sheath,StemElement,0.0389029991883,0.0212451039087,2
10,Soissons,5,internode,StemElement,0.0686780695591,0.0482788840211,2
10,Soissons,6,internode,StemElement,0.129854660663,0.152942753909,2
11,Caphorn,1,blade,LeafElement1,0.00842188749017,0.00564705202661,1
11,Caphorn,1,sheath,StemElement,0.000986015070087,0.00233834778202,1
11,Caphorn,2,blade,LeafElement1,0.0318430858948,0.0103513240554,1
11,Caphorn,2,sheath,StemElement,0.00183588658812,0.0010574272002,1
11,Caphorn,3,blade,LeafElement1,0.0636645593455,0.0357538379789,1
11,Caphorn,3,sheath,StemElement,0.0133395313782,0.00334651540142,1
11,Caphorn,4,blade,LeafElement1,0.13481113941,0.159513131783,1
11,Caphorn,4,internode,StemElement,0.0222158240295,0.00730758965327,1
11,Caphorn,4,sheath,StemElement,0.037351823618,0.0228702487216,1
11,Caphorn,5,internode,StemElement,0.031803747712,0.0419655558359,1
11,Caphorn,6,internode,StemElement,0.0968776178651,0.148079574974,1
11,Soissons,1,blade,LeafElement1,0.00674654478717,0.0056470716946,2
11,Soissons,1,sheath,StemElement,0.000883009438805,0.00230377230893,2
11,Soissons,2,blade,LeafElement1,0.0291937194735,0.013359511581,2
11,Soissons,2,sheath,StemElement,0.00158455070874,0.000915442306594,2
11,Soissons,3,blade,LeafElement1,0.0951408787895,0.0482446301527,2
11,Soissons,3,sheath,StemElement,0.0141906323856,0.00338148835396,2
11,Soissons,4,blade,LeafElement1,0.204455729323,0.172600403573,2
11,Soissons,4,internode,StemElement,0.022826367608,0.00781848581809,2
11,Soissons,4,sheath,StemElement,0.0329605548775,0.0212451039087,2
11,Soissons,5,internode,StemElement,0.0303082313029,0.0482788840211,2
