t,plant,axis,organ,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,mstruct,nitrates,proteins,rate_mstruct_death,rate_mstruct_growth,regul_transpiration,starch,structure,sucrose,sum_respi
3,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.8282055694454,NA,NA,NA,NA,NA,NA,NA,NA,NA,4153.688903643243,NA
3,1,MS,roots,14.233522266082142,0.3557913594970331,0.050265578854385984,0.12218412834502093,49.92094288634532,1.3070115294325635,0.00998607898157029,NA,2.8596231496774167,3.1040769434864366,NA,NA,3.7153424228617173,7.244398598275451,2.869661360937249,NA,0.8390694295203269,NA,NA,778.5934802922038,2.824099238622914,71.16761133041071,7.818833610797069,NA,65.30212446575459,3.363860424353346,0.5032838144801145,276.77308617043764,NA,1.7627660968577367e-07,1.257708089978377e-07,0.05044804386900088,NA,NA,711.1484647800444,9.67904251602557
4,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,1.3045844217682181e-06,NA,NA,0.0,4.762369996936756,NA,NA,NA,0.4469341184473318,NA,0.0,11.659595509741711,NA,NA,NA,NA,17999.999999999985,NA,NA,NA,NA,109.89849735047963,NA,NA,NA,0.0,2482.611685715218,NA,NA
4,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.99531489048331,NA,NA,NA,NA,NA,NA,NA,NA,NA,4304.389737146916,NA
4,1,MS,roots,14.406677036828441,0.35733429552738344,0.05117641708622194,0.13065511709478453,48.541144516708044,1.3740455955266684,0.009978915548830347,NA,2.8410444244268733,2.953176561412496,NA,NA,3.65668573688675,7.200594517445967,2.8531047409863084,NA,0.7826613654933045,NA,NA,778.592849322002,2.7611744746336284,72.0333851841422,7.43873189272669,NA,65.81316726269156,3.6095725414746775,0.5029156135823054,282.76732514268446,NA,1.7614933506804006e-07,1.2501032148343697e-07,0.05027338786638873,NA,NA,690.0419088064866,9.450906722726119
5,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,1.3080367245424181e-06,NA,NA,0.0,4.788276119934383,NA,NA,NA,0.4402306501868523,NA,0.0,11.723020845356592,NA,NA,NA,NA,21599.99999999997,NA,NA,NA,NA,110.34173299850896,NA,NA,NA,0.0,2489.52848048275,NA,NA
5,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.00021309506897,NA,NA,NA,NA,NA,NA,NA,NA,NA,4393.83522428703,NA
5,1,MS,roots,14.504536012574443,0.3668849630970706,0.05224633279662597,0.14045543743621425,47.28938359693651,1.3899281747167862,0.009978915548830347,NA,2.853777474298012,2.92365257125717,NA,NA,3.708756623520816,7.200594517445967,2.8658918430260414,NA,0.8321305408657176,NA,NA,780.3518735469411,2.7234197583140234,72.52268006287221,7.36436415933796,NA,67.57219148763058,3.88032326282926,0.5029156135823054,288.6789778292993,NA,1.7614933506804006e-07,1.2501032148343697e-07,0.05027338786638873,NA,NA,705.1467138441317,9.486186669075998
6,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,1.3100141791113398e-06,NA,NA,0.0,4.808903067320066,NA,NA,NA,0.4367819753360819,NA,0.0,11.773521302749124,NA,NA,NA,NA,25200.000000000007,NA,NA,NA,NA,110.78004278959568,NA,NA,NA,0.0,2496.4787681271514,NA,NA
6,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.91153807891013,NA,NA,NA,NA,NA,NA,NA,NA,NA,4445.214354706867,NA
6,1,MS,roots,14.560954380131797,0.4174359138573835,0.06025623273910119,0.1672072908056347,46.062157370422874,1.4447889875320423,0.009971691687568235,NA,2.8355492839205785,2.787962741176318,NA,NA,3.6510699716762276,7.169202368376154,2.849689601213865,NA,0.774221939166245,NA,NA,780.2103467937957,2.700960168750654,72.80477190065898,7.022576174247652,NA,67.94665482463604,4.082486327379538,0.5025444165321251,294.23985654157866,NA,1.7602046475380689e-07,1.2446531889541937e-07,0.056885027828182444,NA,NA,684.7838332946495,9.274581996773124
7,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,1.3110014226024936e-06,NA,NA,0.0,4.825977364410599,NA,NA,NA,0.4352916212475065,NA,0.0,11.815323892177672,NA,NA,NA,NA,28800.00000000001,NA,NA,NA,NA,111.21594462505935,NA,NA,NA,0.0,2503.456028276895,NA,NA
7,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.76353411168083,NA,NA,NA,NA,NA,NA,NA,NA,NA,4472.253602240741,NA
7,1,MS,roots,14.589221615538888,0.42750635125400605,0.0613823995679538,0.176652697194543,44.951019115101126,1.4497062619786,0.009971691687568235,NA,2.84869868736912,2.7663765981038444,NA,NA,3.7039706096112006,7.169202368376154,2.8629045781081,NA,0.8266205664750651,NA,NA,781.8495266319617,2.6874277792636208,72.94610807769443,6.968203017893814,NA,69.58583466280204,4.313102721278803,0.5025444165321251,299.7390912447872,NA,1.7602046475380689e-07,1.2446531889541937e-07,0.056885027828182444,NA,NA,700.2819742340693,9.319045895084166
8,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,1.3114977910372936e-06,NA,NA,0.0,4.841305129399082,NA,NA,NA,0.43512322346508475,NA,0.0,11.85285048921844,NA,NA,NA,NA,32400.00000000004,NA,NA,NA,NA,111.65107366414132,NA,NA,NA,0.0,2510.4567401697745,NA,NA
8,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.6334913451477,NA,NA,NA,NA,NA,NA,NA,NA,NA,4484.651825504451,NA
8,1,MS,roots,14.60345924043968,1.1151387149145258,0.1636773691567733,0.4526915097568527,43.868840127610994,1.4859913910966225,0.009964420657427852,NA,2.8305897904776804,2.643742011850343,NA,NA,3.6464220812922883,7.143053164916122,2.846821355878684,NA,0.7668743528121513,NA,NA,780.9709086471919,2.680496250341248,73.0172962021984,6.659299777960562,NA,69.22657597377398,4.215388109173564,0.5021708862480787,304.82729223477764,NA,1.758905457862438e-07,1.240113396686827e-07,0.1491531009036542,NA,NA,680.3185312144752,9.120753883620312
9,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,1.3116297475917053e-06,NA,NA,0.0,4.855334770216691,NA,NA,NA,0.43580401526102425,NA,0.0,11.887198920185691,NA,NA,NA,NA,36000.000000000015,NA,NA,NA,NA,112.0864728879888,NA,NA,NA,0.0,2517.478508027445,NA,NA
9,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.5631018903028,NA,NA,NA,NA,NA,NA,NA,NA,NA,4488.7019361699895,NA
9,1,MS,roots,14.607247088213846,1.1298452826846241,0.16638528866761276,0.44725456524590285,42.892499118094484,1.472018388104963,0.009964420657427852,NA,2.843983575185947,2.629192898611932,NA,NA,3.6967314956480464,7.143053164916122,2.860291945107758,NA,0.8214081899354139,NA,NA,781.8838760811386,2.677626990048744,73.03623544106922,6.622652137561541,NA,70.13954340772071,4.164760185415938,0.5021708862480787,309.8704315296688,NA,1.758905457862438e-07,1.240113396686827e-07,0.1491531009036542,NA,NA,696.0141595310162,9.169907969445926
10,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,1.311875079627219e-06,NA,NA,0.0,4.869827610943023,NA,NA,NA,0.43672784325371333,NA,0.0,11.92268139230878,NA,NA,NA,NA,39599.999999999935,NA,NA,NA,NA,112.52277074428076,NA,NA,NA,0.0,2524.520812796511,NA,NA
10,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.62682701405672,NA,NA,NA,NA,NA,NA,NA,NA,NA,4494.316626327537,NA
10,1,MS,roots,14.614292606547696,2.1693950823826933,0.33096602678949455,0.7780077484959476,41.94433781686988,1.4846929166262872,0.009957109423096201,NA,2.8259188225032013,2.5180655401000833,NA,NA,3.6362391122651085,7.119642290027333,2.8442504879515678,NA,0.759854292982269,NA,NA,779.9310223391591,2.6766078370816566,73.07146303273848,6.342734357934718,NA,68.70892068943046,3.696150585106319,0.501795370900987,314.4699460726967,NA,1.7575981018682755e-07,1.236049008685301e-07,0.2923491055017176,NA,NA,676.3232048800609,8.980223474868394
11,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,1.3123923886727594e-06,NA,NA,0.0,4.885379687775143,NA,NA,NA,0.43733065053533837,NA,0.0,11.9607571666219,NA,NA,NA,NA,43199.99999999997,NA,NA,NA,NA,112.95982051209471,NA,NA,NA,0.0,2531.5847416974757,NA,NA
11,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.8642498979274,NA,NA,NA,NA,NA,NA,NA,NA,NA,4508.948220465604,NA
11,1,MS,roots,14.629162484448209,2.1652901586407634,0.33577438214402283,0.7055355246021737,41.09320368231993,1.4494170377221278,0.009957109423096201,NA,2.839518269758279,2.5099669155530675,NA,NA,3.6821652441716104,7.119642290027333,2.8579381544843465,NA,0.8162647953788686,NA,NA,779.8010114978371,2.674488352612312,73.14581242224104,6.322334799881782,NA,68.57890984810845,3.351850347394325,0.501795370900987,319.0386423334722,NA,1.7575981018682755e-07,1.236049008685301e-07,0.2923491055017176,NA,NA,692.1762260715473,9.031650429482957
12,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,1.31427118739274e-06,NA,NA,0.0,4.9060740778559,NA,NA,NA,0.4356864899954386,NA,0.0,12.011422742336856,NA,NA,NA,NA,46800.00000000003,NA,NA,NA,NA,113.39669228519011,NA,NA,NA,0.0,2538.67417114635,NA,NA
12,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.40282731303608,NA,NA,NA,NA,NA,NA,NA,NA,NA,4559.983674626719,NA
12,1,MS,roots,14.683324107156006,4.124448885424113,0.6816509164060147,1.0502322122559777,40.290715562996425,1.421814210415925,0.009949763025482441,NA,2.821548459101776,2.410697220998075,NA,NA,3.6175484309656283,7.098207252977068,2.8419883734272773,NA,0.7533346963025308,NA,NA,775.8452895072752,2.6630175620925605,73.41662053578003,6.072285191430918,NA,65.14793054424366,2.4883490056518496,0.5014181224729387,323.01149407654236,NA,1.7562837981534546e-07,1.2323276480862968e-07,0.5861942384458302,NA,NA,672.794076809646,8.84979411106548
13,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,1.318110442485e-06,NA,NA,0.0,4.934215075160427,NA,NA,NA,0.4302285596862037,NA,0.0,12.080319666772079,NA,NA,NA,NA,50399.99999999986,NA,NA,NA,NA,113.82990821664609,NA,NA,NA,0.0,2545.7990800488783,NA,NA
13,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.32870944901595,NA,NA,NA,NA,NA,NA,NA,NA,NA,4670.317519997497,NA
13,1,MS,roots,14.794768699371161,3.9978884895179934,0.6900028037575384,0.8241941501875437,39.576393028528415,1.355992276129832,0.009949763025482441,NA,2.835500711348098,2.410399648291268,NA,NA,3.6551465988579848,7.098207252977068,2.8560416988412927,NA,0.8120279366270946,NA,NA,773.846198692674,2.63450479954136,73.9738434968558,6.07153563801327,NA,63.14883972964237,1.9527897451153162,0.5014181224729387,326.96917321529935,NA,1.7562837981534546e-07,1.2323276480862968e-07,0.5861942384458302,NA,NA,688.9954270980415,8.90104695849735
14,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,1.3228660002680103e-06,NA,NA,0.0,4.965962195652649,NA,NA,NA,0.4234018364936018,NA,0.0,12.158045375563379,NA,NA,NA,NA,53999.99999999984,NA,NA,NA,NA,114.256717826385,NA,NA,NA,0.0,2552.9681962202985,NA,NA
14,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.57181009258463,NA,NA,NA,NA,NA,NA,NA,NA,NA,4811.84892262913,NA
14,1,MS,roots,14.93425832219526,3.6623106456284304,0.6704684062950245,0.6465368684904854,38.839011768011424,1.3417167332056523,0.009942389352410442,NA,2.817960211822974,2.3185606476262386,NA,NA,3.583825747281981,7.079891900886495,2.840518817271023,NA,0.7496271494897558,NA,NA,770.3868468189123,2.600414871372499,74.6712916109763,5.840203142635361,NA,60.216178789595,1.5945662493251216,0.5010395352919177,330.71781178170573,NA,1.7549634286552854e-07,1.229147899459461e-07,0.5631424052048666,NA,NA,670.2487544227926,8.720346606731194
15,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,1.3275679017295278e-06,NA,NA,0.0,4.997697251195574,NA,NA,NA,0.41692079646299607,NA,0.0,12.235741546030543,NA,NA,NA,NA,57599.99999999982,NA,NA,NA,NA,114.6768312769318,NA,NA,NA,0.0,2560.1832431257844,NA,NA
15,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.04613765918987,NA,NA,NA,NA,NA,NA,NA,NA,NA,4961.145779486511,NA
15,1,MS,roots,15.073773942938596,3.5679586863688844,0.6780582290857807,0.5618213430698178,38.18506899564643,1.2870102890328716,0.009942389352410442,NA,2.832506380360595,2.3221931284721595,NA,NA,3.6254402878466494,7.079891900886495,2.8551814321926083,NA,0.8114698552903812,NA,NA,768.835499869493,2.5681197230060504,75.36886971469298,5.849352968443727,NA,58.66483184017573,1.3856307280685658,0.5010395352919177,334.4615968155755,NA,1.7549634286552854e-07,1.229147899459461e-07,0.5631424052048666,NA,NA,687.0966153843463,8.780139796679403
16,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,1.3319833764457477e-06,NA,NA,0.0,5.028540166425602,NA,NA,NA,0.411489255858418,NA,0.0,12.311253510904058,NA,NA,NA,NA,61199.999999999825,NA,NA,NA,NA,115.09092922216998,NA,NA,NA,0.0,2567.4439354064143,NA,NA
16,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.70343605770128,NA,NA,NA,NA,NA,NA,NA,NA,NA,5107.237301019238,NA
16,1,MS,roots,15.206263798207514,3.3540417145476686,0.6741411673173285,0.4882374403781686,37.506213114186465,1.2739990424185275,0.009935004031567324,NA,2.81551610989022,2.2372867582821105,NA,NA,3.5585571219099466,7.067800129982294,2.8402043775596812,NA,0.7506021598555558,NA,NA,765.6977190009841,2.5412579511782476,76.03131899103757,5.635483018342848,NA,56.05457388903243,1.2239535464794153,0.5006603906792298,337.9984426948967,NA,1.7536383735217118e-07,1.227048633677482e-07,0.5540304679301766,NA,NA,669.0590881721577,8.611359990082278
17,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,1.3358955309552218e-06,NA,NA,0.0,5.057656746078282,NA,NA,NA,0.40720288774193886,NA,0.0,12.382538930053723,NA,NA,NA,NA,64799.999999999876,NA,NA,NA,NA,115.50018995078948,NA,NA,NA,0.0,2574.7478508126233,NA,NA
17,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.47994550040002,NA,NA,NA,NA,NA,NA,NA,NA,NA,5244.902981055855,NA
17,1,MS,roots,15.324862533577672,3.2793245822907373,0.6812038555129215,0.456997606103831,36.90655345650051,1.2234095156937097,0.009935004031567324,NA,2.83058536173155,2.2442976712416858,NA,NA,3.603203257363222,7.067800129982294,2.855405766355132,NA,0.8149668255070389,NA,NA,764.4490055479858,2.519809674401726,76.62431266788836,5.6531427487196115,NA,54.805860436034244,1.1456389749424833,0.5006603906792298,341.53950757430397,NA,1.7536383735217118e-07,1.227048633677482e-07,0.5540304679301766,NA,NA,686.5176921077192,8.67808629033646
18,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,1.3387625488761561e-06,NA,NA,0.0,5.082968241855887,NA,NA,NA,0.4054773707199953,NA,0.0,12.444508454198893,NA,NA,NA,NA,68399.99999999971,NA,NA,NA,NA,115.90623434614017,NA,NA,NA,0.0,2582.091877940569,NA,NA
18,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.2643703333461,NA,NA,NA,NA,NA,NA,NA,NA,NA,5348.348851202686,NA
18,1,MS,roots,15.412510243828743,2.1661488549704315,0.46637776977875317,0.32120747743842215,36.24568045720295,1.230797188267794,0.009927623228519653,NA,2.8140820096095234,2.1632922996222512,NA,NA,3.5396653149064337,7.062162844751401,2.840907667292919,NA,0.7558629276342398,NA,NA,762.5440401806404,2.510916422638637,77.06255121914371,5.449098991491817,NA,53.428095286379566,1.1883881159805076,0.5002814968503121,345.0964489261088,NA,1.7523113673773045e-07,1.226069938324896e-07,0.37540050295283367,NA,NA,669.0469183379516,8.517039624138208
19,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,1.3404009701094185e-06,NA,NA,0.0,5.103728491019591,NA,NA,NA,0.4063571616001599,NA,0.0,12.495335271116927,NA,NA,NA,NA,71999.99999999974,NA,NA,NA,NA,116.31199746390685,NA,NA,NA,0.0,2589.4687795666177,NA,NA
19,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.9515126951008,NA,NA,NA,NA,NA,NA,NA,NA,NA,5410.445170765278,NA
19,1,MS,roots,15.46287970303478,2.1624756558909057,0.47119549519482024,0.33884592339086284,35.66186536012979,1.2006530677712937,0.009927623228519653,NA,2.8294765869551854,2.170774747351189,NA,NA,3.5910058963842664,7.062162844751401,2.85644899574983,NA,0.821694923224964,NA,NA,762.4534406680648,2.514319051852169,77.31439851517389,5.467946466879569,NA,53.33749577380385,1.2536459976506606,0.5002814968503121,348.66132710152976,NA,1.7523113673773045e-07,1.226069938324896e-07,0.37540050295283367,NA,NA,686.918896848692,8.59125723069064
20,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,1.341138036133346e-06,NA,NA,0.0,5.12113745894031,NA,NA,NA,0.4091878479475604,NA,0.0,12.537957227060756,NA,NA,NA,NA,75599.99999999977,NA,NA,NA,NA,116.71961636803871,NA,NA,NA,0.0,2596.873552588947,NA,NA
20,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.44973533223376,NA,NA,NA,NA,NA,NA,NA,NA,NA,5437.251381507122,NA
20,1,MS,roots,15.485606227308702,0.7308523672011477,0.160702700463257,0.13584405738067296,35.002546883869336,1.2350634502979687,0.009920258932976147,NA,2.8132391833050976,2.091848403898153,NA,NA,3.5338537944552026,7.061325996945575,2.8422045520627037,NA,0.7637108733955188,NA,NA,762.0035696686786,2.5269355173104397,77.42803113654351,5.269139556418521,NA,53.41364588466808,1.4892049411268031,0.4999034532278675,352.34409247901584,NA,1.7509852389760922e-07,1.225924652247496e-07,0.1266933090987752,NA,NA,669.7167559572127,8.438941381658452
21,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,1.3410577030470363e-06,NA,NA,0.0,5.135476982858574,NA,NA,NA,0.4133535761665846,NA,0.0,12.573064337343403,NA,NA,NA,NA,79199.99999999974,NA,NA,NA,NA,117.13080913452143,NA,NA,NA,0.0,2604.3009659829545,NA,NA
21,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.67393780457368,NA,NA,NA,NA,NA,NA,NA,NA,NA,5434.7634687405025,NA
21,1,MS,roots,15.48312722657729,0.7491264544839936,0.16238620495164618,0.1587790580027739,34.419101260211164,1.2325888330903605,0.009920258932976147,NA,2.8287100199834616,2.0981481772782047,NA,NA,3.5922745261350846,7.061325996945575,2.8578346778950214,NA,0.8298296361604223,NA,NA,763.3391138507812,2.545125769514757,77.41563613288645,5.285008003219659,NA,54.74919006677075,1.740632327129176,0.4999034532278675,356.035211915316,NA,1.7509852389760922e-07,1.225924652247496e-07,0.1266933090987752,NA,NA,687.730289775982,8.519132723396751
22,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,1.3405997516720452e-06,NA,NA,0.0,5.148403545089268,NA,NA,NA,0.41824605013440613,NA,0.0,12.604712127632345,NA,NA,NA,NA,82799.99999999968,NA,NA,NA,NA,117.5465729228044,NA,NA,NA,0.0,2611.7481522545095,NA,NA
22,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179.7130434409642,NA,NA,NA,NA,NA,NA,NA,NA,NA,5416.02527370215,NA
22,1,MS,roots,15.469004775569696,0.9847181698827315,0.21621510465243904,0.22687887971309628,33.81502148895685,1.2589688675021837,0.009912916111473456,NA,2.8125361853719046,2.0239303242439144,NA,NA,3.541930380350397,7.0624924033634935,2.843638521538376,NA,0.7720962300979849,NA,NA,762.6401190777514,2.566441058462943,77.34502387784848,5.098061270135805,NA,54.574682543933044,1.8860994772351871,0.4995265080761537,359.4897827166736,NA,1.749662086297536e-07,1.226127153361718e-07,0.16706942500137578,NA,NA,670.5614782772506,8.378396889966217
23,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,1.3398422046622223e-06,NA,NA,0.0,5.160201130458913,NA,NA,NA,0.4234842524215419,NA,0.0,12.633595871123543,NA,NA,NA,NA,86399.99999999965,NA,NA,NA,NA,117.96741424806191,NA,NA,NA,0.0,2619.213049276887,NA,NA
23,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.60654313993734,NA,NA,NA,NA,NA,NA,NA,NA,NA,5387.945513117601,NA
23,1,MS,roots,15.445678660060928,1.0044047815839798,0.2183001997542219,0.24681284602288725,33.283402443074145,1.2486898289441426,0.009912916111473456,NA,2.8279332632834997,2.031873139330792,NA,NA,3.5991335739618044,7.0624924033634935,2.859205867514673,NA,0.8377055471679999,NA,NA,763.7311831170076,2.588733147404989,77.22839330030463,5.11806836103474,NA,55.66574658318932,2.051815402329956,0.4995265080761537,362.95656357034454,NA,1.749662086297536e-07,1.226127153361718e-07,0.16706942500137578,NA,NA,688.5578901714493,8.458939976576096
