t,air_temperature,PARi,soil_temperature,humidity,ambient_CO2,Wind
150,0.8,0,1.6365,0.75,360,2.2
151,0.6,0,1.512,0.75,360,2.2
152,0.3,0,1.4535,0.75,360,2.2
153,0.2,0,1.407,0.75,360,2.2
154,0.5,0,1.3765,0.75,360,2.2
155,0.9,0,1.3615,0.75,360,2.2
156,1.6,0,1.3635,0.75,360,2.2
157,1.7,0,1.3785,0.75,360,2.2
158,1.8,0,1.4075,0.75,360,2.2
159,2,0,1.4735,0.75,360,2.2
160,2,0,1.5835,0.75,360,2.2
161,2.4,0,1.697,0.75,360,2.2
162,2.4,0,1.8395,0.75,360,2.2
163,1.3,0,1.896,0.75,360,2.2
164,1.3,0,1.677,0.75,360,2.2
165,1.8,112.2222222,1.459,0.75,360,2.2
166,3.1,370.3333333,1.43,0.75,360,2.2
167,4.5,448.8888889,1.8615,0.75,360,2.2
168,5.5,516.2222222,2.5705,0.75,360,2.2
169,6.6,572.3333333,3.346,0.75,360,2.2
170,6.1,404,4.05,0.75,360,2.2
171,6.3,224.4444444,4.233,0.75,360,2.2
172,4.7,67.33333333,4.016,0.75,360,2.2
173,3.9,0,3.58,0.75,360,2.2
174,3.8,0,3.0645,0.75,360,2.2
175,4.2,0,2.8445,0.75,360,2.2
176,4.4,0,2.8645,0.75,360,2.2
177,4.6,0,2.9695,0.75,360,2.2
178,4.4,0,3.0845,0.75,360,2.2
179,4.3,0,3.187,0.75,360,2.2
180,4.2,0,3.2895,0.75,360,2.2
181,4.8,0,3.4215,0.75,360,2.2
182,5,0,3.6025,0.75,360,2.2
183,5,0,3.8075,0.75,360,2.2
184,5,0,3.949,0.75,360,2.2
185,5.3,0,4.072,0.75,360,2.2
186,5.7,0,4.2125,0.75,360,2.2
187,5.7,0,4.358,0.75,360,2.2
188,5.8,0,4.4785,0.75,360,2.2
189,6,33.66666667,4.617,0.75,360,2.2
190,6.5,89.77777778,4.808,0.75,360,2.2
191,7,157.1111111,5.0925,0.75,360,2.2
192,7.4,179.5555556,5.4285,0.75,360,2.2
193,8.3,224.4444444,5.865,0.75,360,2.2
194,8.7,134.6666667,6.272,0.75,360,2.2
195,9.1,112.2222222,6.5055,0.75,360,2.2
196,8.7,22.44444444,6.6535,0.75,360,2.2
197,8.4,0,6.688,0.75,360,2.2
198,8.7,0,6.6845,0.75,360,2.2
199,9,0,6.6835,0.75,360,2.2
200,8.9,0,6.668,0.75,360,2.2
201,9.2,0,6.6455,0.75,360,2.2
202,8.7,0,6.6425,0.75,360,2.2
203,9,0,6.7215,0.75,360,2.2
204,8.8,0,6.7995,0.75,360,2.2
205,9,0,6.8615,0.75,360,2.2
206,8.8,0,6.9095,0.75,360,2.2
207,8.6,0,6.9625,0.75,360,2.2
208,8.4,0,7.035,0.75,360,2.2
209,8.8,0,7.065,0.75,360,2.2
210,8.6,0,7.1,0.75,360,2.2
211,8,0,7.135,0.75,360,2.2
212,6.9,0,7.09,0.75,360,2.2
213,6.9,11.22222222,6.9455,0.75,360,2.2
214,6.8,33.66666667,6.8315,0.75,360,2.2
215,6.9,78.55555556,6.8295,0.75,360,2.2
216,6.9,89.77777778,6.871,0.75,360,2.2
217,7.3,89.77777778,6.896,0.75,360,2.2
218,8.1,78.55555556,6.8945,0.75,360,2.2
219,8.9,33.66666667,7.007,0.75,360,2.2
220,9,11.22222222,7.2,0.75,360,2.2
221,9.3,0,7.335,0.75,360,2.2
222,9.5,0,7.475,0.75,360,2.2
223,8.9,0,7.565,0.75,360,2.2
224,8.9,0,7.54,0.75,360,2.2
225,9.2,0,7.51,0.75,360,2.2
226,9.4,0,7.545,0.75,360,2.2
227,9.9,0,7.615,0.75,360,2.2
228,10.3,0,7.745,0.75,360,2.2
229,10.2,0,7.925,0.75,360,2.2
230,10.2,0,8.07,0.75,360,2.2
231,9.4,0,8.175,0.75,360,2.2
232,9.1,0,8.26,0.75,360,2.2
233,7.6,0,8.215,0.75,360,2.2
234,7.1,0,8.055,0.75,360,2.2
235,9.5,0,7.85,0.75,360,2.2
236,9.8,0,7.785,0.75,360,2.2
237,9.4,0,7.99,0.75,360,2.2
238,9.6,33.66666667,8.025,0.75,360,2.2
239,10.3,190.7777778,7.975,0.75,360,2.2
240,10.9,235.6666667,8.155,0.75,360,2.2
241,10.4,224.4444444,8.38,0.75,360,2.2
242,10.7,145.8888889,8.435,0.75,360,2.2
243,10.7,89.77777778,8.395,0.75,360,2.2
244,11.1,11.22222222,8.295,0.75,360,2.2
245,11.1,0,8.215,0.75,360,2.2
246,10.9,0,8.235,0.75,360,2.2
247,10.7,0,8.3,0.75,360,2.2
248,10.4,0,8.35,0.75,360,2.2
249,9.8,0,8.42,0.75,360,2.2
250,10.2,0,8.4,0.75,360,2.2
251,10,0,8.395,0.75,360,2.2
252,9.2,0,8.45,0.75,360,2.2
253,9.4,0,8.36,0.75,360,2.2
254,9.7,0,8.155,0.75,360,2.2
255,9.6,0,8.065,0.75,360,2.2
256,9.9,0,8.045,0.75,360,2.2
257,9.8,0,8.085,0.75,360,2.2
258,8.1,0,8.135,0.75,360,2.2
259,7.6,0,8.075,0.75,360,2.2
260,7.2,0,7.82,0.75,360,2.2
261,7,11.22222222,7.58,0.75,360,2.2
262,7.2,33.66666667,7.425,0.75,360,2.2
263,7.1,67.33333333,7.32,0.75,360,2.2
264,7.2,134.6666667,7.315,0.75,360,2.2
265,7,78.55555556,7.36,0.75,360,2.2
266,7,89.77777778,7.265,0.75,360,2.2
267,6.8,56.11111111,7.185,0.75,360,2.2
268,6.5,11.22222222,7.0285,0.75,360,2.2
269,6,0,6.779,0.75,360,2.2
270,5.4,0,6.4385,0.75,360,2.2
271,4.8,0,5.987,0.75,360,2.2
272,4.3,0,5.5705,0.75,360,2.2
273,4.6,0,5.2655,0.75,360,2.2
274,5,0,5.235,0.75,360,2.2
275,5.1,0,5.374,0.75,360,2.2
276,4.9,0,5.471,0.75,360,2.2
277,4.5,0,5.504,0.75,360,2.2
278,4.1,0,5.4945,0.75,360,2.2
279,3.8,0,5.4365,0.75,360,2.2
280,3.6,0,5.3495,0.75,360,2.2
281,3.7,0,5.2615,0.75,360,2.2
282,3.1,0,5.2075,0.75,360,2.2
283,3,0,5.144,0.75,360,2.2
284,2.8,0,5.0225,0.75,360,2.2
285,3.1,56.11111111,4.9075,0.75,360,2.2
286,4.4,213.2222222,4.9445,0.75,360,2.2
287,5.6,303,5.1615,0.75,360,2.2
288,6.1,291.7777778,5.599,0.75,360,2.2
289,8.1,460.1111111,6.054,0.75,360,2.2
290,8.5,404,6.5455,0.75,360,2.2
291,8.6,190.7777778,6.815,0.75,360,2.2
292,8.4,44.88888889,6.7465,0.75,360,2.2
293,8.3,0,6.533,0.75,360,2.2
294,7.6,0,6.2865,0.75,360,2.2
295,7.6,0,6.091,0.75,360,2.2
296,7.9,0,5.9525,0.75,360,2.2
297,8.3,0,5.841,0.75,360,2.2
298,7.9,0,5.7395,0.75,360,2.2
299,7.8,0,5.663,0.75,360,2.2
300,7.5,0,5.5615,0.75,360,2.2
301,7.1,0,5.3945,0.75,360,2.2
302,7.2,0,5.241,0.75,360,2.2
303,7.2,0,5.163,0.75,360,2.2
304,8.2,0,5.1765,0.75,360,2.2
305,8.4,0,5.2415,0.75,360,2.2
306,8.5,0,5.4285,0.75,360,2.2
307,8.7,0,5.641,0.75,360,2.2
308,9.3,0,5.804,0.75,360,2.2
309,9.3,33.66666667,5.967,0.75,360,2.2
310,9.6,89.77777778,6.176,0.75,360,2.2
311,9.5,134.6666667,6.4075,0.75,360,2.2
312,9.6,123.4444444,6.671,0.75,360,2.2
313,9.8,145.8888889,6.8835,0.75,360,2.2
314,9.8,134.6666667,7.05,0.75,360,2.2
315,9.7,78.55555556,7.13,0.75,360,2.2
316,9.7,11.22222222,7.09,0.75,360,2.2
317,9.6,0,7.025,0.75,360,2.2
318,9.3,0,6.957,0.75,360,2.2
319,9.5,0,6.896,0.75,360,2.2
320,9.1,0,6.8285,0.75,360,2.2
321,8.7,0,6.805,0.75,360,2.2
322,8.6,0,6.7765,0.75,360,2.2
323,8.6,0,6.833,0.75,360,2.2
324,8.5,0,6.949,0.75,360,2.2
325,8.4,0,7.075,0.75,360,2.2
326,8.3,0,7.15,0.75,360,2.2
327,8.3,0,7.19,0.75,360,2.2
328,8,0,7.22,0.75,360,2.2
329,8.2,0,7.235,0.75,360,2.2
330,8.1,0,7.23,0.75,360,2.2
331,7.8,0,7.195,0.75,360,2.2
332,7.6,0,7.17,0.75,360,2.2
333,7.9,22.44444444,7.13,0.75,360,2.2
334,8.2,89.77777778,7.145,0.75,360,2.2
335,8.8,190.7777778,7.24,0.75,360,2.2
336,8.8,224.4444444,7.495,0.75,360,2.2
337,9.2,168.3333333,7.705,0.75,360,2.2
338,9.9,280.5555556,7.835,0.75,360,2.2
339,9.9,179.5555556,8.02,0.75,360,2.2
340,10.1,101,8.01,0.75,360,2.2
341,10.3,0,7.765,0.75,360,2.2
342,9.9,0,7.51,0.75,360,2.2
343,10,0,7.35,0.75,360,2.2
344,9.7,0,7.27,0.75,360,2.2
345,9.7,0,7.125,0.75,360,2.2
346,9.7,0,6.923,0.75,360,2.2
347,9.3,0,6.8595,0.75,360,2.2
348,9.4,0,6.8585,0.75,360,2.2
349,8.9,0,6.797,0.75,360,2.2
350,9.1,0,6.639,0.75,360,2.2
351,8.6,0,6.5375,0.75,360,2.2
352,8.2,0,6.4845,0.75,360,2.2
353,7.5,0,6.297,0.75,360,2.2
354,7.2,0,5.943,0.75,360,2.2
355,6.9,0,5.6455,0.75,360,2.2
356,6.9,0,5.421,0.75,360,2.2
357,7.7,101,5.1035,0.75,360,2.2
358,8.9,269.3333333,5.152,0.75,360,2.2
359,9.2,460.1111111,5.7205,0.75,360,2.2
360,9.5,280.5555556,6.477,0.75,360,2.2
361,9.4,224.4444444,7.0025,0.75,360,2.2
362,10.4,370.3333333,7.365,0.75,360,2.2
363,10.2,291.7777778,7.605,0.75,360,2.2
364,9,67.33333333,7.495,0.75,360,2.2
365,7.8,0,7.0565,0.75,360,2.2
366,7.8,0,6.549,0.75,360,2.2
367,8,0,6.15,0.75,360,2.2
368,7.3,0,5.9585,0.75,360,2.2
369,7.4,0,5.7675,0.75,360,2.2
370,7,0,5.6445,0.75,360,2.2
371,6.6,0,5.564,0.75,360,2.2
372,6.7,0,5.5145,0.75,360,2.2
373,7,0,5.539,0.75,360,2.2
374,7.2,0,5.5765,0.75,360,2.2
375,7.9,0,5.6785,0.75,360,2.2
376,7.6,0,5.825,0.75,360,2.2
377,7.5,0,5.924,0.75,360,2.2
378,7.5,0,6.017,0.75,360,2.2
379,7.4,0,6.051,0.75,360,2.2
380,7,0,6.067,0.75,360,2.2
381,7.4,11.22222222,6.127,0.75,360,2.2
382,7.7,56.11111111,6.2235,0.75,360,2.2
383,8.1,101,6.391,0.75,360,2.2
384,8.6,179.5555556,6.6205,0.75,360,2.2
385,9.1,291.7777778,6.9485,0.75,360,2.2
386,9.9,314.2222222,7.33,0.75,360,2.2
387,9.5,224.4444444,7.44,0.75,360,2.2
388,8.6,44.88888889,7.34,0.75,360,2.2
389,8.4,0,7.085,0.75,360,2.2
390,5,0,6.95,0.75,360,2.2
391,5.3,0,6.5075,0.75,360,2.2
392,4.9,0,6.125,0.75,360,2.2
393,5.2,0,5.72,0.75,360,2.2
394,5.5,0,5.403,0.75,360,2.2
395,5.6,0,5.246,0.75,360,2.2
396,5.4,0,5.076,0.75,360,2.2
397,4.7,0,4.863,0.75,360,2.2
398,4.2,0,4.598,0.75,360,2.2
399,4.7,0,4.3625,0.75,360,2.2
400,5.1,0,4.2815,0.75,360,2.2
401,5.6,0,4.3165,0.75,360,2.2
402,6,0,4.506,0.75,360,2.2
403,6.4,0,4.8245,0.75,360,2.2
404,7.2,0,5.1275,0.75,360,2.2
405,8,33.66666667,5.5085,0.75,360,2.2
406,9.1,67.33333333,5.9545,0.75,360,2.2
407,11.1,101,6.4845,0.75,360,2.2
408,11.3,381.5555556,7.029,0.75,360,2.2
409,10.2,213.2222222,7.375,0.75,360,2.2
410,9.8,235.6666667,7.32,0.75,360,2.2
411,9.3,246.8888889,7.12,0.75,360,2.2
412,8.8,145.8888889,6.895,0.75,360,2.2
413,7.4,0,6.5675,0.75,360,2.2
414,7.4,0,6.1745,0.75,360,2.2
415,7.6,0,5.9965,0.75,360,2.2
416,7.2,0,5.9835,0.75,360,2.2
417,7.3,0,6.056,0.75,360,2.2
418,7.5,0,6.1365,0.75,360,2.2
419,7.8,0,6.234,0.75,360,2.2
420,8.1,0,6.355,0.75,360,2.2
421,8.8,0,6.525,0.75,360,2.2
422,9.5,0,6.7965,0.75,360,2.2
423,10.5,0,7.145,0.75,360,2.2
424,11.8,0,7.535,0.75,360,2.2
425,12.1,0,8,0.75,360,2.2
426,11.9,0,8.455,0.75,360,2.2
427,11.9,0,8.71,0.75,360,2.2
428,12.1,0,8.885,0.75,360,2.2
429,12.4,67.33333333,9.035,0.75,360,2.2
430,12.4,157.1111111,9.27,0.75,360,2.2
431,12.9,134.6666667,9.58,0.75,360,2.2
432,13.3,213.2222222,9.86,0.75,360,2.2
433,13.5,303,10.205,0.75,360,2.2
434,13.4,168.3333333,10.515,0.75,360,2.2
435,13.3,78.55555556,10.595,0.75,360,2.2
436,12.6,22.44444444,10.58,0.75,360,2.2
437,12.7,0,10.48,0.75,360,2.2
438,12.5,0,10.38,0.75,360,2.2
439,12.6,0,10.27,0.75,360,2.2
440,12.6,0,10.27,0.75,360,2.2
441,12.5,0,10.29,0.75,360,2.2
442,12.5,0,10.275,0.75,360,2.2
443,12.4,0,10.245,0.75,360,2.2
444,12.2,0,10.19,0.75,360,2.2
445,12.2,0,10.205,0.75,360,2.2
446,10.9,0,10.175,0.75,360,2.2
447,10.4,0,9.845,0.75,360,2.2
448,9.5,0,9.395,0.75,360,2.2
449,8.9,0,9.025,0.75,360,2.2
450,7.9,0,8.69,0.75,360,2.2
451,8.3,0,8.335,0.75,360,2.2
452,9.2,0,7.99,0.75,360,2.2
453,8.9,112.2222222,7.69,0.75,360,2.2
454,12.4,347.8888889,7.85,0.75,360,2.2
455,12.4,392.7777778,8.495,0.75,360,2.2
456,13.9,583.5555556,9.155,0.75,360,2.2
457,14.6,583.5555556,9.865,0.75,360,2.2
458,14.8,505,10.38,0.75,360,2.2
459,13.8,314.2222222,10.58,0.75,360,2.2
460,12.6,112.2222222,10.305,0.75,360,2.2
461,12,0,9.785,0.75,360,2.2
462,11.9,0,9.29,0.75,360,2.2
463,11.6,0,8.98,0.75,360,2.2
464,11.4,0,8.755,0.75,360,2.2
465,11.1,0,8.515,0.75,360,2.2
466,10.6,0,8.235,0.75,360,2.2
467,9.9,0,8,0.75,360,2.2
468,10.4,0,7.675,0.75,360,2.2
469,10.1,0,7.31,0.75,360,2.2
470,9.7,0,6.9955,0.75,360,2.2
471,7.2,0,6.7715,0.75,360,2.2
472,7.9,0,6.656,0.75,360,2.2
473,6.8,0,6.5255,0.75,360,2.2
474,7,0,6.248,0.75,360,2.2
475,8.1,0,6.001,0.75,360,2.2
476,7.5,0,5.8715,0.75,360,2.2
477,8.3,145.8888889,5.7445,0.75,360,2.2
478,9.7,347.8888889,5.9005,0.75,360,2.2
479,11.1,527.4444444,6.6025,0.75,360,2.2
480,11.9,628.4444444,7.475,0.75,360,2.2
481,12.6,617.2222222,8.27,0.75,360,2.2
482,12.5,505,8.79,0.75,360,2.2
483,11.9,325.4444444,8.99,0.75,360,2.2
484,10.5,112.2222222,8.805,0.75,360,2.2
485,10.2,0,8.38,0.75,360,2.2
486,9.8,0,7.955,0.75,360,2.2
487,9.9,0,7.67,0.75,360,2.2
488,9.8,0,7.43,0.75,360,2.2
489,9.8,0,7.305,0.75,360,2.2
490,9.4,0,7.165,0.75,360,2.2
491,9.3,0,7.0195,0.75,360,2.2
492,9.1,0,6.943,0.75,360,2.2
493,8.9,0,6.9005,0.75,360,2.2
494,9.3,0,6.8355,0.75,360,2.2
495,9.2,0,6.697,0.75,360,2.2
496,8.9,0,6.693,0.75,360,2.2
497,8.8,0,6.755,0.75,360,2.2
498,8.8,0,6.8775,0.75,360,2.2
499,8.6,0,6.984,0.75,360,2.2
500,8,0,7.06,0.75,360,2.2
501,7.8,11.22222222,7.165,0.75,360,2.2
502,7.5,11.22222222,7.295,0.75,360,2.2
503,7.4,101,7.405,0.75,360,2.2
504,7.9,179.5555556,7.63,0.75,360,2.2
505,7.7,101,7.94,0.75,360,2.2
506,8,123.4444444,8.02,0.75,360,2.2
507,8,168.3333333,8.105,0.75,360,2.2
508,7.5,78.55555556,8.13,0.75,360,2.2
509,7,0,7.85,0.75,360,2.2
510,7.4,0,7.365,0.75,360,2.2
511,7.3,0,7.17,0.75,360,2.2
512,7.2,0,7.125,0.75,360,2.2
513,7.1,0,7.09,0.75,360,2.2
514,7.2,0,7.08,0.75,360,2.2
515,7.6,0,7.11,0.75,360,2.2
516,7.7,0,7.19,0.75,360,2.2
517,7.9,0,7.28,0.75,360,2.2
518,7.5,0,7.38,0.75,360,2.2
519,6.6,0,7.46,0.75,360,2.2
520,6.3,0,7.34,0.75,360,2.2
521,6.2,0,7.1,0.75,360,2.2
522,5.7,0,6.8195,0.75,360,2.2
523,5.1,0,6.296,0.75,360,2.2
524,4.8,0,5.831,0.75,360,2.2
525,5.8,145.8888889,5.5465,0.75,360,2.2
526,6.2,202,5.6165,0.75,360,2.2
527,7.2,460.1111111,5.851,0.75,360,2.2
528,6.8,258.1111111,6.41,0.75,360,2.2
529,7.1,303,6.681,0.75,360,2.2
530,7.1,258.1111111,6.925,0.75,360,2.2
531,7,101,7.035,0.75,360,2.2
532,6.6,33.66666667,6.917,0.75,360,2.2
533,6.3,0,6.6785,0.75,360,2.2
534,6.2,0,6.374,0.75,360,2.2
535,6.2,0,6.0615,0.75,360,2.2
536,6.6,0,5.842,0.75,360,2.2
537,6.1,0,5.871,0.75,360,2.2
538,5.9,0,5.7845,0.75,360,2.2
539,6.1,0,5.5535,0.75,360,2.2
540,5.8,0,5.5685,0.75,360,2.2
541,5.7,0,5.5615,0.75,360,2.2
542,5.4,0,5.6035,0.75,360,2.2
543,4.9,0,5.612,0.75,360,2.2
544,5,0,5.558,0.75,360,2.2
545,4.8,0,5.495,0.75,360,2.2
546,4.6,0,5.434,0.75,360,2.2
547,4.1,0,5.3855,0.75,360,2.2
548,3.8,0,5.2845,0.75,360,2.2
549,4,78.55555556,5.1075,0.75,360,2.2
550,4.4,112.2222222,4.99,0.75,360,2.2
551,5.2,224.4444444,5.033,0.75,360,2.2
552,5.1,303,5.4325,0.75,360,2.2
553,5.5,381.5555556,5.8865,0.75,360,2.2
554,5.2,269.3333333,6.191,0.75,360,2.2
555,4.2,258.1111111,6.2545,0.75,360,2.2
556,3.6,56.11111111,6.271,0.75,360,2.2
557,2.3,0,5.6725,0.75,360,2.2
558,1.5,0,5.025,0.75,360,2.2
559,1.9,0,4.388,0.75,360,2.2
560,1,0,3.809,0.75,360,2.2
561,0.7,0,3.34,0.75,360,2.2
562,0.5,0,2.984,0.75,360,2.2
563,0.7,0,2.8125,0.75,360,2.2
564,1,0,2.7975,0.75,360,2.2
565,1.1,0,2.863,0.75,360,2.2
566,1.1,0,3.005,0.75,360,2.2
567,1.1,0,3.106,0.75,360,2.2
568,1.1,0,3.1305,0.75,360,2.2
569,0.8,0,3.1715,0.75,360,2.2
570,0.8,0,3.1805,0.75,360,2.2
571,0.7,0,3.141,0.75,360,2.2
572,0.3,0,3.1155,0.75,360,2.2
573,-0.1,56.11111111,2.985,0.75,360,2.2
574,-0.6,101,2.808,0.75,360,2.2
575,-0.7,112.2222222,2.8325,0.75,360,2.2
576,-0.2,190.7777778,2.9165,0.75,360,2.2
577,0.3,258.1111111,3.137,0.75,360,2.2
578,0.6,213.2222222,3.31,0.75,360,2.2
579,0.6,190.7777778,3.2315,0.75,360,2.2
580,0.1,56.11111111,3.068,0.75,360,2.2
581,0.4,0,2.8235,0.75,360,2.2
582,0.8,0,2.6055,0.75,360,2.2
583,0.8,0,2.5245,0.75,360,2.2
584,0.3,0,2.4175,0.75,360,2.2
585,0,0,2.2365,0.75,360,2.2
586,-0.3,0,2.085,0.75,360,2.2
587,-0.5,0,2.016,0.75,360,2.2
588,-0.4,0,1.9345,0.75,360,2.2
589,-0.6,0,1.866,0.75,360,2.2
590,-0.7,0,1.8135,0.75,360,2.2
591,-0.7,0,1.759,0.75,360,2.2
592,-0.8,0,1.7115,0.75,360,2.2
593,-0.7,0,1.671,0.75,360,2.2
594,-0.8,0,1.6245,0.75,360,2.2
