t,species,metamer,organ,Eabs,plant
19,Soissons,4,sheath,0.0871593113713,1
19,Soissons,5,internode,0.138847983154,1
19,Soissons,6,internode,0.271952097354,1
20,Soissons,1,blade,0.0,1
20,Soissons,1,sheath,0.0,1
20,Soissons,2,blade,0.0,1
20,Soissons,2,sheath,0.0,1
20,Soissons,3,blade,0.0,1
20,Soissons,3,sheath,0.0,1
20,Soissons,4,blade,0.0,1
20,Soissons,4,internode,0.0,1
20,Soissons,4,sheath,0.0,1
20,Soissons,5,internode,0.0,1
20,Soissons,6,internode,0.0,1
21,Soissons,1,blade,0.0,1
21,Soissons,1,sheath,0.0,1
21,Soissons,2,blade,0.0,1
21,Soissons,2,sheath,0.0,1
21,Soissons,3,blade,0.0,1
21,Soissons,3,sheath,0.0,1
21,Soissons,4,blade,0.0,1
21,Soissons,4,internode,0.0,1
21,Soissons,4,sheath,0.0,1
21,Soissons,5,internode,0.0,1
21,Soissons,6,internode,0.0,1
22,Soissons,1,blade,0.0,1
22,Soissons,1,sheath,0.0,1
22,Soissons,2,blade,0.0,1
22,Soissons,2,sheath,0.0,1
22,Soissons,3,blade,0.0,1
22,Soissons,3,sheath,0.0,1
22,Soissons,4,blade,0.0,1
22,Soissons,4,internode,0.0,1
22,Soissons,4,sheath,0.0,1
22,Soissons,5,internode,0.0,1
22,Soissons,6,internode,0.0,1
23,Soissons,1,blade,0.0,1
23,Soissons,1,sheath,0.0,1
23,Soissons,2,blade,0.0,1
23,Soissons,2,sheath,0.0,1
23,Soissons,3,blade,0.0,1
23,Soissons,3,sheath,0.0,1
23,Soissons,4,blade,0.0,1
23,Soissons,4,internode,0.0,1
23,Soissons,4,sheath,0.0,1
23,Soissons,5,internode,0.0,1
23,Soissons,6,internode,0.0,1
24,Soissons,1,blade,0.0,1
24,Soissons,1,sheath,0.0,1
24,Soissons,2,blade,0.0,1
24,Soissons,2,sheath,0.0,1
24,Soissons,3,blade,0.0,1
24,Soissons,3,sheath,0.0,1
24,Soissons,4,blade,0.0,1
24,Soissons,4,internode,0.0,1
24,Soissons,4,sheath,0.0,1
24,Soissons,5,internode,0.0,1
24,Soissons,6,internode,0.0,1
25,Soissons,1,blade,0.0,1
25,Soissons,1,sheath,0.0,1
25,Soissons,2,blade,0.0,1
25,Soissons,2,sheath,0.0,1
25,Soissons,3,blade,0.0,1
25,Soissons,3,sheath,0.0,1
25,Soissons,4,blade,0.0,1
25,Soissons,4,internode,0.0,1
25,Soissons,4,sheath,0.0,1
25,Soissons,5,internode,0.0,1
25,Soissons,6,internode,0.0,1
26,Soissons,1,blade,0.0,1
26,Soissons,1,sheath,0.0,1
26,Soissons,2,blade,0.0,1
26,Soissons,2,sheath,0.0,1
26,Soissons,3,blade,0.0,1
26,Soissons,3,sheath,0.0,1
26,Soissons,4,blade,0.0,1
26,Soissons,4,internode,0.0,1
26,Soissons,4,sheath,0.0,1
26,Soissons,5,internode,0.0,1
26,Soissons,6,internode,0.0,1
27,Soissons,1,blade,0.0,1
27,Soissons,1,sheath,0.0,1
27,Soissons,2,blade,0.0,1
27,Soissons,2,sheath,0.0,1
27,Soissons,3,blade,0.0,1
27,Soissons,3,sheath,0.0,1
27,Soissons,4,blade,0.0,1
27,Soissons,4,internode,0.0,1
27,Soissons,4,sheath,0.0,1
27,Soissons,5,internode,0.0,1
27,Soissons,6,internode,0.0,1
28,Soissons,1,blade,0.0,1
28,Soissons,1,sheath,0.0,1
28,Soissons,2,blade,0.0,1
28,Soissons,2,sheath,0.0,1
28,Soissons,3,blade,0.0,1
28,Soissons,3,sheath,0.0,1
28,Soissons,4,blade,0.0,1
28,Soissons,4,internode,0.0,1
28,Soissons,4,sheath,0.0,1
28,Soissons,5,internode,0.0,1
28,Soissons,6,internode,0.0,1
29,Soissons,1,blade,0.0629251644581,1
29,Soissons,1,sheath,0.028582723888,1
29,Soissons,2,blade,0.103737207289,1
