t,PARi,air_temperature,humidity,Wind,ambient_CO2
713,570.8,27.65,0.4151,1.85,400
714,220.6,25.82,0.4921,0.37,400
715,0,23.48,0.5896,0.2,400
716,0,22.13,0.6438,0.18,400
717,0,20.61,0.7034,0.01,400
718,0,17.48,0.856,0.05,400
719,0,16.95,0.8795,0,400
720,0,17.12,0.8545,0.02,400
721,0,17.64,0.8205,0.13,400
722,0,15.35,0.9065,0.19,400
723,0,15.09,0.9245,0.09,400
724,44.525,15.53,0.924,0.42,400
725,276.45,18.07,0.865,0.54,400
726,531.05,19.44,0.8405,1.33,400
727,970,22.37,0.736,0.61,400
728,1255.5,25.26,0.61,0.56,400
729,1499.5,27.07,0.5195,1.16,400
730,1645.5,28.61,0.4369,2.68,400
731,1736,29.49,0.4073,1.97,400
732,1713,30.28,0.3587,1.67,400
733,1499.5,29.86,0.3771,0.97,400
734,1593,31.35,0.3106,1.57,400
735,1265.5,31.3,0.2974,1.81,400
736,754.7,30.75,0.3294,1.57,400
737,232.8,28.45,0.5332,1.07,400
738,242.6,27,0.5414,1.83,400
739,0,24.81,0.6159,1.28,400
740,0,23.67,0.643,1.21,400
741,0,21.26,0.7515,0,400
742,0,19.48,0.8415,0,400
743,0,18.8,0.8705,0,400
744,0,18.46,0.8865,0,400
745,0,18.42,0.883,0,400
746,0,19.55,0.8215,0,400
747,0,19.12,0.831,0,400
748,45.59,19.22,0.843,0,400
749,285.5,21.4,0.77,0.02,400
750,628.05,24.16,0.6682,0.41,400
751,960.5,27.36,0.5673,0.29,400
752,1197,28.53,0.5058,0.71,400
753,1473.5,30.09,0.3638,0.9,400
754,1592,30.22,0.371,1.37,400
755,1738.5,31.42,0.3456,1.56,400
756,712.2,30.82,0.3521,0.66,400
757,1147.5,31.44,0.3521,2.95,400
758,1464,28.91,0.4599,2.39,400
759,1054,28.78,0.4937,3.32,400
760,157.25,25.7,0.6259,1.59,400
761,20.51,21.57,0.7935,2.83,400
762,38.33,20.97,0.859,0.39,400
763,0,20.38,0.918,0.41,400
764,0,20.51,0.888,0.52,400
765,0,20.29,0.9295,1.51,400
766,0,20.23,0.8905,0.76,400
767,0,20.08,0.908,0.54,400
768,0,19.98,0.896,0.71,400
769,0,19.06,0.9405,0.89,400
770,0,18.74,0.93,0.03,400
771,0,18.58,0.9295,0.02,400
772,54.78,18.82,0.938,0.02,400
773,264.6,21.05,0.858,0.02,400
774,598.1,23.18,0.773,0.1,400
775,932,25.69,0.6838,1.39,400
776,1241,27.96,0.5806,1.91,400
777,1493,29.34,0.477,2.12,400
778,1664,29.95,0.4196,2.31,400
779,1643,30.9,0.3694,1.93,400
780,1751,31.16,0.3291,2.35,400
781,1566.5,31.7,0.2995,1.85,400
782,1460.5,31.77,0.2906,1.99,400
783,1212.5,31.81,0.2834,1.8,400
784,897.5,31.52,0.2972,1.01,400
785,557.5,30.34,0.3276,0.05,400
786,75.04,27.19,0.4686,0,400
787,0,23.01,0.6927,0,400
788,0,22.73,0.6435,0,400
789,0,22.34,0.635,0,400
790,0,22.49,0.6129,0,400
791,0,19.75,0.757,0,400
792,0,20.38,0.7107,0,400
793,0,18.37,0.803,0,400
794,0,19.15,0.767,0,400
795,0,17.23,0.8565,0,400
796,65.57,18.66,0.8585,0,400
797,419.7,21.64,0.7042,3.56,400
798,598.2,23.68,0.6886,4.61,400
799,687.4,23.06,0.694,3.73,400
800,789,24.1,0.6293,0.35,400
801,482.25,24.7,0.5892,1.71,400
802,644.3,24.06,0.6234,3.71,400
803,947,23.97,0.6628,3.64,400
804,1204,25.11,0.579,3.88,400
805,1641,25.72,0.5507,4.1,400
806,1324,25.87,0.5255,3.99,400
807,1059.5,25.97,0.5195,3.6,400
808,831.5,25.86,0.5145,3.51,400
809,560.1,25.15,0.5513,3.31,400
810,244.4,23.3,0.6782,3.41,400
811,0,20.97,0.805,2.42,400
812,0,19.9,0.8605,2.3,400
813,0,18.84,0.9115,1.18,400
814,0,18.09,0.9395,0.87,400
815,0,17.43,0.954,1.07,400
816,0,17,0.969,1.25,400
817,0,16.95,0.97,0.82,400
818,0,16.87,0.968,0,400
819,0,16.52,0.956,0,400
820,33.07,16.72,0.951,0,400
821,251.75,17.99,0.8495,0.76,400
822,603.45,19.23,0.725,1,400
823,967,20.65,0.6131,1.04,400
824,1249.5,21.79,0.5483,1.54,400
825,1514.5,23,0.5221,1.3,400
826,1718.5,24.16,0.4988,1.17,400
827,1257,24.39,0.5033,0.79,400
828,1035.5,25.04,0.4877,0.74,400
829,900.5,25.02,0.489,1.67,400
830,546.9,24.45,0.479,2.19,400
831,290.15,23.77,0.5141,2.07,400
832,228.1,23.88,0.5053,1.93,400
833,320.55,23.61,0.5115,1.19,400
834,75.075,22.93,0.5437,0,400
835,0,21.57,0.5941,0.05,400
836,0,19.54,0.723,0,400
837,0,18.42,0.796,0.12,400
838,0,17.6,0.8305,0,400
839,0,16.79,0.863,0,400
840,0,16.25,0.8875,0,400
841,0,14.82,0.929,0,400
842,0,14.82,0.9045,0,400
843,0,15.16,0.878,0,400
844,54.705,15.44,0.883,0,400
845,190.65,17.11,0.841,0,400
846,549.3,20.4,0.6875,0.35,400
847,693.7,23.01,0.5716,1.49,400
848,1106,25.25,0.4869,1.12,400
849,929,24.79,0.5023,1.38,400
850,492.45,24.55,0.5381,1.21,400
851,1179,25.98,0.4709,1.08,400
852,1410,26.62,0.4522,1.13,400
853,596.95,25.96,0.478,1.13,400
854,799,26.15,0.4811,3.22,400
855,776,26.06,0.475,3.02,400
856,735.2,26.42,0.4641,2.75,400
857,388.6,25.99,0.463,3.31,400
858,226.05,23,0.6552,3.28,400
859,0,21.59,0.6841,2.33,400
860,0,20.68,0.6936,1.52,400
861,0,19.32,0.737,1.6,400
862,0,18.43,0.7215,1.22,400
863,0,17.61,0.76,1.03,400
864,0,17.43,0.7735,1.42,400
865,0,16.02,0.828,0.06,400
866,0,15.41,0.8485,0.13,400
867,0,14.63,0.8795,0,400
868,51.25,14.28,0.9175,0,400
869,298.6,17.19,0.8185,0.35,400
870,553.35,18.26,0.7735,0.43,400
871,933,20.15,0.6434,0.63,400
872,1095.5,20.85,0.5823,1.48,400
873,1237,21.35,0.5677,2.62,400
874,1249.5,22.35,0.5323,1.49,400
875,1464,22.83,0.5055,2.04,400
876,1281.5,23.37,0.5004,2,400
877,722,22.45,0.5676,3.32,400
878,581.9,22.64,0.5262,2.99,400
879,590.45,22.31,0.5307,3.1,400
880,690.2,22.9,0.5346,3.43,400
881,545.3,22.28,0.5633,3.17,400
882,253.5,21.01,0.5819,1.12,400
883,0,18.63,0.7038,2.51,400
884,0,16.87,0.7715,1.79,400
885,0,16.07,0.823,1.62,400
886,0,15.39,0.893,1.71,400
887,0,15.09,0.9195,1.28,400
888,0,15.54,0.9145,1.62,400
889,0,15.45,0.921,0.67,400
890,0,15.12,0.9525,0.92,400
891,0,15.29,0.955,0.99,400
892,28.23,15.44,0.9595,0.43,400
893,162.5,16.04,0.942,1.34,400
894,571.1,17.55,0.807,1.32,400
895,739.35,18.69,0.708,2.81,400
896,960.15,20.3,0.6054,3.12,400
897,1168,20.88,0.5463,2.97,400
898,944.95,21.5,0.557,4.71,400
899,1578.5,22.63,0.4405,4.51,400
900,1530.5,22.75,0.4167,5.21,400
901,1104,21.95,0.4847,5,400
902,1084.5,21.84,0.4432,5.19,400
903,1186,21.42,0.4715,5.27,400
904,542.85,20.82,0.4695,5.27,400
905,529.45,20.04,0.522,4.4,400
906,157.2,18.31,0.6031,2.79,400
907,0,17.7,0.6575,2.6,400
908,0,17.1,0.6928,2.63,400
909,0,16.55,0.765,2.92,400
910,0,16.09,0.8045,2.26,400
911,0,15.74,0.8195,2.25,400
912,0,15.23,0.848,2.25,400
913,0,14.99,0.8715,2.54,400
914,0,14.88,0.886,2.42,400
915,0,14.68,0.8955,1.69,400
916,10.985,14.54,0.8775,1.12,400
917,134.75,15.21,0.83,1.55,400
918,566.4,16.72,0.7475,2.88,400
919,626.6,17.66,0.6696,3.43,400
920,1027,19.08,0.5818,3.11,400
921,959,19.37,0.5992,4.35,400
922,484,15.68,0.8265,2.97,400
923,1801.5,19.89,0.62,4.48,400
924,1842.5,21.18,0.4632,5.55,400
925,1541,21.25,0.4492,6.18,400
926,1211.5,20.52,0.5109,6.24,400
927,1249.5,20.31,0.5433,6,400
928,433.5,19.87,0.5624,5.81,400
929,400.2,19.33,0.5915,3.9,400
930,227.2,18.37,0.5842,3.95,400
931,0,16.6,0.6412,2.25,400
932,0,14.98,0.768,2.1,400
933,0,14.03,0.83,1.64,400
934,0,13.2,0.8745,1.94,400
935,0,12.52,0.917,2.12,400
936,0,12.36,0.9365,1.77,400
937,0,12.11,0.954,1.78,400
938,0,12.11,0.9595,1.16,400
939,0,12.99,0.959,2.07,400
940,30.735,13.04,0.9555,2.54,400
941,127.3,13.8,0.928,1.5,400
942,450.4,14.95,0.861,3.05,400
943,797.5,16.19,0.794,3.05,400
944,1211.5,18.13,0.6897,2.83,400
945,1068,19.09,0.5898,3.3,400
946,1155,20.63,0.521,3.51,400
947,879.7,20.9,0.5082,3.63,400
948,1307,20.67,0.5339,3.92,400
949,1567,21.53,0.4639,4.04,400
950,922.5,22.01,0.4643,4.86,400
951,566.95,21.5,0.4787,5.02,400
952,914.5,22.13,0.4075,4.58,400
953,567.3,21.27,0.4145,4.57,400
954,242.9,19.41,0.5826,3.95,400
955,0,17.11,0.716,2.54,400
956,0,15.65,0.7485,2.31,400
957,0,14.2,0.8225,1.98,400
958,0,13.36,0.8505,1.88,400
959,0,12.89,0.887,1.68,400
960,0,12.39,0.921,0.9,400
961,0,13.07,0.886,0.71,400
962,0,12.63,0.8965,0.39,400
963,0,12.74,0.869,0.75,400
964,15.965,12.84,0.8545,1.18,400
965,276.15,14.69,0.752,1.39,400
966,613.45,16.74,0.5659,1.44,400
967,946.5,17.78,0.4816,2.66,400
968,950.5,18.33,0.5047,3.18,400
969,1394.5,19.24,0.5227,2.89,400
970,906.4,19.07,0.5251,2.69,400
971,841,20.02,0.472,3.74,400
972,965.4,20.77,0.4098,3.65,400
973,961,21.34,0.384,3.46,400
974,1440,21.78,0.3751,3.71,400
975,1063,21.39,0.3941,3.11,400
976,515.8,20.87,0.4202,3.13,400
977,289.3,20.18,0.4643,2.24,400
978,270.3,19.4,0.4965,2.86,400
979,0,17.1,0.6105,2.06,400
980,0,15.9,0.6737,1.86,400
981,0,14.44,0.7425,1.33,400
982,0,13.22,0.797,1.21,400
983,0,12.63,0.8305,1.4,400
984,0,12.58,0.8635,1.47,400
985,0,12.01,0.898,1.24,400
986,0,11.27,0.9295,0.88,400
987,0,11.3,0.9325,0.54,400
988,44.505,12.06,0.9115,0.66,400
989,208.45,13.33,0.8275,0.67,400
990,338.8,14.96,0.735,0.93,400
991,603.5,16.8,0.6275,1.46,400
992,1133,18.68,0.5488,2.4,400
993,1163.5,18.98,0.5401,2.45,400
994,856.5,19.66,0.5446,2.36,400
995,1023.5,20.51,0.5056,2.42,400
996,978,20.57,0.4972,3.14,400
997,880,20.95,0.5015,3.05,400
998,630.65,20.85,0.5215,2.89,400
999,663.05,20.96,0.5154,3.35,400
1000,428.8,20.17,0.5648,3.02,400
1001,245.05,19.78,0.595,2.43,400
1002,144.25,19.32,0.6211,1.93,400
1003,0,16.15,0.762,0.22,400
1004,0,14.44,0.8215,0.72,400
1005,0,14.97,0.803,1.56,400
1006,0,13.7,0.8655,0.89,400
1007,0,12.92,0.889,0.55,400
1008,0,11.94,0.904,0.01,400
1009,0,11.53,0.941,0,400
1010,0,11.65,0.942,0.04,400
1011,0,10.52,0.95,0,400
1012,39.84,10.35,0.9605,0,400
1013,283.2,14.36,0.8935,0.47,400
1014,589.65,17.56,0.7247,0.15,400
1015,870,18.75,0.6039,0.47,400
1016,1273,19.85,0.5534,1.14,400
1017,1409,20.93,0.5349,1.37,400
1018,1502.5,21.98,0.5031,1.41,400
1019,1734,23.15,0.4651,1.52,400
1020,1568.5,24.07,0.4487,1.67,400
1021,1622.5,24.7,0.4207,1.64,400
1022,1454,25.82,0.4004,1.8,400
1023,1259.5,26.38,0.3732,2.03,400
1024,650.45,25.44,0.3907,2.16,400
1025,464.85,25.67,0.4014,2.37,400
1026,269.3,23.88,0.4857,1.14,400
1027,0,18.91,0.734,0,400
1028,0,20.29,0.6205,2.03,400
1029,0,19.01,0.7054,1.03,400
1030,0,18.19,0.742,0.31,400
1031,0,17.67,0.7605,1.99,400
1032,0,17.22,0.7725,1.74,400
1033,0,16.71,0.7625,1.65,400
1034,0,16.28,0.7825,1.8,400
1035,0,16.01,0.8495,1.93,400
1036,27.57,16.43,0.8735,2.95,400
1037,130.45,17.32,0.8685,3.07,400
1038,248.95,18.8,0.851,3.09,400
1039,255.1,19.75,0.835,3.62,400
1040,236.5,19.05,0.9385,3.4,400
1041,661.35,19.5,0.9455,3.74,400
1042,861.5,20.15,0.923,3.51,400
1043,880.5,20.46,0.905,3.81,400
1044,494.4,19.89,0.9495,2.81,400
1045,770.65,20.68,0.926,3.35,400
1046,417.8,20.07,0.9405,3.46,400
1047,373.35,19.93,0.942,3.47,400
1048,407.45,20.36,0.923,2.54,400
1049,235.45,20.19,0.9245,1.45,400
1050,217.35,19.9,0.8995,1.28,400
1051,0,18.9,0.9335,0.21,400
1052,0,17.93,0.9645,0.31,400
1053,0,17.31,0.952,0.77,400
1054,0,16.8,0.948,0.93,400
1055,0,16.96,0.939,0.17,400
1056,0,16.9,0.942,0.19,400
1057,0,16.72,0.95,0.09,400
1058,0,16.6,0.957,0,400
1059,0,16.35,0.9575,0.02,400
1060,8.882,15.91,0.9435,0.03,400
1061,63.145,15.86,0.9,0.04,400
1062,141.5,16.09,0.903,0.03,400
1063,380.5,17.16,0.867,0.03,400
1064,260.2,17.54,0.878,0,400
1065,428.3,17.93,0.888,0.02,400
1066,438.35,19.02,0.871,0.02,400
1067,963.05,20.8,0.777,0.01,400
1068,920,21.55,0.714,1.98,400
1069,794,20.74,0.756,1.95,400
1070,274.75,20.11,0.799,2.4,400
1071,127.25,19.71,0.8035,1.73,400
1072,92.7,19.75,0.807,1.12,400
1073,103.2,19.98,0.79,0.84,400
1074,162.25,19.94,0.801,0.37,400
1075,0,19.12,0.8485,0.86,400
1076,0,18.67,0.87,0.32,400
1077,0,17.74,0.8685,1.08,400
1078,0,16.53,0.9195,1.12,400
1079,0,15.61,0.955,0.27,400
1080,0,15.41,0.9605,0.35,400
1081,0,15.07,0.9565,0.26,400
1082,0,14.76,0.949,0.02,400
1083,0,13.81,0.9625,0,400
1084,25.105,14.27,0.961,0.16,400
1085,233.75,16.3,0.8925,1.2,400
1086,587.25,18.5,0.7985,2.82,400
1087,711.05,18.9,0.758,2.82,400
1088,633.8,20.29,0.6654,3.15,400
1089,1087,22.18,0.5758,3.36,400
1090,1534.5,23.13,0.5097,3.27,400
1091,1271,23.05,0.542,3.43,400
1092,675.8,23.14,0.5574,4.62,400
1093,1681.5,23.3,0.4717,4.5,400
1094,820.5,23.23,0.4236,4.73,400
1095,1229.5,22.4,0.4602,4.6,400
1096,799.5,22.12,0.4857,3.82,400
1097,431.75,21.28,0.5628,3,400
1098,225.85,20.13,0.5949,2.87,400
1099,0,18.01,0.6928,1.57,400
1100,0,16.78,0.7555,1.64,400
1101,0,15.95,0.81,1.77,400
1102,0,15.09,0.867,1.32,400
1103,0,13.27,0.9315,1.2,400
1104,0,13.51,0.9315,1.27,400
1105,0,14.61,0.905,1.89,400
1106,0,13.87,0.913,1.96,400
1107,0,14.23,0.9045,2.09,400
1108,23.56,14.62,0.903,2.16,400
1109,147.7,15.62,0.871,2.06,400
1110,329.95,17.42,0.8245,1.8,400
1111,543.95,18.93,0.7595,2.18,400
1112,1196.5,21.43,0.5632,3.01,400
1113,1520.5,22.31,0.5266,3.31,400
1114,1577,22.63,0.514,2.85,400
1115,1147,23.26,0.4942,3.08,400
1116,1474,23.74,0.4808,2.5,400
1117,1333,25,0.4305,2.95,400
1118,1448,24.7,0.4384,2.95,400
1119,845,24.01,0.4746,2.63,400
1120,580.4,24.13,0.4684,2.94,400
1121,506.4,23.32,0.4797,2.66,400
1122,217.5,21.69,0.5188,2.17,400
1123,0,19.43,0.6085,1.45,400
1124,0,17.74,0.6795,0.57,400
1125,0,14.92,0.8315,0,400
1126,0,14.51,0.8485,0,400
1127,0,14.63,0.8235,0,400
1128,0,13.46,0.884,0,400
1129,0,13.2,0.897,0,400
1130,0,13.05,0.8845,0.04,400
1131,0,13.96,0.8295,0.56,400
1132,35.28,14.73,0.805,0.5,400
1133,245.05,16.81,0.748,1.18,400
1134,562.95,19.12,0.6593,1.96,400
1135,887.5,21.57,0.6053,1.71,400
1136,1198,24.92,0.506,2.37,400
1137,1445.5,27.09,0.3992,2.12,400
1138,1615,28.6,0.3768,1.78,400
1139,1699,29.45,0.3568,2.25,400
1140,1658.5,30.4,0.3364,2.26,400
1141,1608,31.59,0.3166,2.69,400
1142,1357,32.08,0.3099,3.46,400
1143,873.4,31.58,0.3366,3.52,400
1144,687.15,30.36,0.3631,3.46,400
1145,336.35,27.79,0.4372,5.52,400
1146,201.15,23.39,0.5718,4.74,400
1147,0,22.16,0.5267,5.24,400
1148,0,20.44,0.5977,5.66,400
1149,0,18.25,0.7545,4.63,400
1150,0,16.97,0.893,4.74,400
1151,0,15.93,0.8475,4.37,400
1152,0,15.59,0.857,3.62,400
1153,0,14.78,0.877,3.12,400
1154,0,14.09,0.903,1.93,400
1155,0,14.06,0.901,2.18,400
1156,6.987,14.23,0.9215,1.88,400
1157,53.79,14.45,0.9345,1.69,400
1158,93.66,14.24,0.938,3.18,400
1159,111.5,14.42,0.89,3.75,400
1160,147.05,12.47,0.9415,1.67,400
1161,1156,15.52,0.801,3.62,400
1162,1114,15.89,0.7475,3.31,400
1163,811.6,15.73,0.757,3.91,400
1164,1254,16.99,0.6625,6.26,400
1165,371,15.83,0.7155,5.61,400
1166,1075,17.72,0.6169,6.5,400
1167,322.75,17.17,0.6644,3.59,400
1168,543.1,17.28,0.6057,5.66,400
1169,218.7,15.62,0.739,3.55,400
1170,201.45,15.5,0.7555,2.48,400
1171,0,14.45,0.723,2.76,400
1172,0,13.57,0.796,2.99,400
1173,0,13.03,0.831,3.06,400
1174,0,12.18,0.873,2.53,400
1175,0,11.47,0.9045,2.25,400
1176,0,10.85,0.93,2.15,400
1177,0,10.54,0.939,2.39,400
1178,0,10.19,0.9475,2.39,400
1179,0,9.86,0.9505,1.13,400
1180,29.59,10.03,0.947,1.75,400
1181,243.6,11.68,0.9055,1.92,400
1182,554.05,13.48,0.8415,2.9,400
1183,446.15,14.2,0.8285,2.44,400
1184,894.5,16.76,0.6975,3.59,400
1185,1210.5,18.4,0.5855,4.8,400
1186,971,19.34,0.5463,5.05,400
1187,988,19.43,0.5573,4.99,400
1188,1200,19.31,0.5628,5.61,400
1189,472.85,18.84,0.5696,5.49,400
1190,398.1,18.3,0.6013,5.91,400
1191,913,17.58,0.7092,5.61,400
1192,420.85,17.04,0.734,5.91,400
1193,169.9,15.25,0.916,5.02,400
1194,63.71,15.51,0.937,4.43,400
1195,0,15.87,0.944,3.09,400
1196,0,15.93,0.943,2.3,400
1197,0,15.38,0.93,2.92,400
1198,0,14.7,0.9205,2.32,400
1199,0,13.78,0.9435,0.82,400
