t,species,metamer,organ,Eabs_diffuse,Eabs_direct
16,Caphorn,4,sheath,0.040642991,0.032106332
16,Caphorn,5,internode,0.066593708,0.067098233
16,Caphorn,6,internode,0.189017344,0.271257366
16,Soissons,1,blade,0.016566714,0.003634127
16,Soissons,1,sheath,0.007723921,0.002200922
16,Soissons,2,blade,0.034612533,0.007820308
16,Soissons,2,sheath,0.004868506,0.001670129
16,Soissons,3,blade,0.084535412,0.036697914
16,Soissons,3,sheath,0.010599798,0.004409871
16,Soissons,4,blade,0.235000624,0.187801616
16,Soissons,4,internode,0.017878496,0.01235676
16,Soissons,4,sheath,0.037837728,0.030769756
16,Soissons,5,internode,0.071528529,0.083872617
16,Soissons,6,internode,0.192944768,0.27777024
17,Caphorn,1,blade,0.016900681,0.000627618
17,Caphorn,1,sheath,0.007521279,0.000195874
17,Caphorn,2,blade,0.026281063,0.002004642
17,Caphorn,2,sheath,0.00466392,0.000271216
17,Caphorn,3,blade,0.065940859,0.020212155
17,Caphorn,3,sheath,0.010798044,0.001155933
17,Caphorn,4,blade,0.217939776,0.254764462
17,Caphorn,4,internode,0.017110265,0.004023346
17,Caphorn,4,sheath,0.040642991,0.014131917
17,Caphorn,5,internode,0.066593708,0.048812861
17,Caphorn,6,internode,0.189017344,0.330407711
17,Soissons,1,blade,0.016566714,0.00060238
17,Soissons,1,sheath,0.007723921,3.99E-05
17,Soissons,2,blade,0.034612533,0.002407497
17,Soissons,2,sheath,0.004868506,0.000168667
17,Soissons,3,blade,0.084535412,0.011905138
17,Soissons,3,sheath,0.010599798,0.001503683
17,Soissons,4,blade,0.235000624,0.139324046
17,Soissons,4,internode,0.017878496,0.002379779
17,Soissons,4,sheath,0.037837728,0.014044274
17,Soissons,5,internode,0.071528529,0.059404605
17,Soissons,6,internode,0.192944768,0.340241591
18,Caphorn,1,blade,0.016900681,1.18E-05
18,Caphorn,1,sheath,0.007521279,6.64E-05
18,Caphorn,2,blade,0.026281063,2.56E-05
18,Caphorn,2,sheath,0.00466392,7.94E-05
18,Caphorn,3,blade,0.065940859,0.003989686
18,Caphorn,3,sheath,0.010798044,6.29E-05
18,Caphorn,4,blade,0.217939776,0.210804619
18,Caphorn,4,internode,0.017110265,6.25E-05
18,Caphorn,4,sheath,0.040642991,0.002385083
18,Caphorn,5,internode,0.066593708,0.017305621
18,Caphorn,6,internode,0.189017344,0.395531862
18,Soissons,1,blade,0.016566714,0
18,Soissons,1,sheath,0.007723921,0
18,Soissons,2,blade,0.034612533,7.84E-05
18,Soissons,2,sheath,0.004868506,0
18,Soissons,3,blade,0.084535412,0.001761877
18,Soissons,3,sheath,0.010599798,0
18,Soissons,4,blade,0.235000624,0.099398133
18,Soissons,4,internode,0.017878496,0.000167635
18,Soissons,4,sheath,0.037837728,0.002763832
18,Soissons,5,internode,0.071528529,0.019196091
18,Soissons,6,internode,0.192944768,0.395615244
19,Caphorn,1,blade,0.016900681,0
19,Caphorn,1,sheath,0.007521279,0
19,Caphorn,2,blade,0.026281063,5.59E-06
19,Caphorn,2,sheath,0.00466392,0
19,Caphorn,3,blade,0.065940859,3.84E-06
19,Caphorn,3,sheath,0.010798044,0
19,Caphorn,4,blade,0.217939776,0.138314642
19,Caphorn,4,internode,0.017110265,0
19,Caphorn,4,sheath,0.040642991,0
19,Caphorn,5,internode,0.066593708,0
19,Caphorn,6,internode,0.189017344,0.446944929
19,Soissons,1,blade,0.016566714,0
19,Soissons,1,sheath,0.007723921,0
19,Soissons,2,blade,0.034612533,0
19,Soissons,2,sheath,0.004868506,0
19,Soissons,3,blade,0.084535412,0
19,Soissons,3,sheath,0.010599798,0
19,Soissons,4,blade,0.235000624,0.058070107
19,Soissons,4,internode,0.017878496,0
19,Soissons,4,sheath,0.037837728,0
19,Soissons,5,internode,0.071528529,0.000293165
19,Soissons,6,internode,0.192944768,0.459119819
20,Caphorn,1,blade,0,0
20,Caphorn,1,sheath,0,0
20,Caphorn,2,blade,0,0
20,Caphorn,2,sheath,0,0
20,Caphorn,3,blade,0,0
20,Caphorn,3,sheath,0,0
20,Caphorn,4,blade,0,0
20,Caphorn,4,internode,0,0
20,Caphorn,4,sheath,0,0
20,Caphorn,5,internode,0,0
20,Caphorn,6,internode,0,0
20,Soissons,1,blade,0,0
20,Soissons,1,sheath,0,0
20,Soissons,2,blade,0,0
20,Soissons,2,sheath,0,0
20,Soissons,3,blade,0,0
20,Soissons,3,sheath,0,0
20,Soissons,4,blade,0,0
20,Soissons,4,internode,0,0
20,Soissons,4,sheath,0,0
20,Soissons,5,internode,0,0
20,Soissons,6,internode,0,0
21,Caphorn,1,blade,0,0
21,Caphorn,1,sheath,0,0
21,Caphorn,2,blade,0,0
21,Caphorn,2,sheath,0,0
21,Caphorn,3,blade,0,0
21,Caphorn,3,sheath,0,0
21,Caphorn,4,blade,0,0
21,Caphorn,4,internode,0,0
21,Caphorn,4,sheath,0,0
21,Caphorn,5,internode,0,0
21,Caphorn,6,internode,0,0
21,Soissons,1,blade,0,0
21,Soissons,1,sheath,0,0
21,Soissons,2,blade,0,0
21,Soissons,2,sheath,0,0
21,Soissons,3,blade,0,0
21,Soissons,3,sheath,0,0
21,Soissons,4,blade,0,0
21,Soissons,4,internode,0,0
21,Soissons,4,sheath,0,0
21,Soissons,5,internode,0,0
21,Soissons,6,internode,0,0
22,Caphorn,1,blade,0,0
22,Caphorn,1,sheath,0,0
22,Caphorn,2,blade,0,0
22,Caphorn,2,sheath,0,0
22,Caphorn,3,blade,0,0
22,Caphorn,3,sheath,0,0
22,Caphorn,4,blade,0,0
22,Caphorn,4,internode,0,0
22,Caphorn,4,sheath,0,0
22,Caphorn,5,internode,0,0
22,Caphorn,6,internode,0,0
22,Soissons,1,blade,0,0
22,Soissons,1,sheath,0,0
22,Soissons,2,blade,0,0
22,Soissons,2,sheath,0,0
22,Soissons,3,blade,0,0
22,Soissons,3,sheath,0,0
22,Soissons,4,blade,0,0
22,Soissons,4,internode,0,0
22,Soissons,4,sheath,0,0
22,Soissons,5,internode,0,0
22,Soissons,6,internode,0,0
23,Caphorn,1,blade,0,0
23,Caphorn,1,sheath,0,0
23,Caphorn,2,blade,0,0
23,Caphorn,2,sheath,0,0
23,Caphorn,3,blade,0,0
23,Caphorn,3,sheath,0,0
23,Caphorn,4,blade,0,0
23,Caphorn,4,internode,0,0
23,Caphorn,4,sheath,0,0
23,Caphorn,5,internode,0,0
23,Caphorn,6,internode,0,0
23,Soissons,1,blade,0,0
23,Soissons,1,sheath,0,0
23,Soissons,2,blade,0,0
23,Soissons,2,sheath,0,0
23,Soissons,3,blade,0,0
23,Soissons,3,sheath,0,0
23,Soissons,4,blade,0,0
23,Soissons,4,internode,0,0
23,Soissons,4,sheath,0,0
23,Soissons,5,internode,0,0
23,Soissons,6,internode,0,0
24,Caphorn,1,blade,0,0
24,Caphorn,1,sheath,0,0
24,Caphorn,2,blade,0,0
24,Caphorn,2,sheath,0,0
24,Caphorn,3,blade,0,0
24,Caphorn,3,sheath,0,0
24,Caphorn,4,blade,0,0
24,Caphorn,4,internode,0,0
24,Caphorn,4,sheath,0,0
24,Caphorn,5,internode,0,0
24,Caphorn,6,internode,0,0
24,Soissons,1,blade,0,0
24,Soissons,1,sheath,0,0
24,Soissons,2,blade,0,0
24,Soissons,2,sheath,0,0
24,Soissons,3,blade,0,0
24,Soissons,3,sheath,0,0
24,Soissons,4,blade,0,0
24,Soissons,4,internode,0,0
24,Soissons,4,sheath,0,0
24,Soissons,5,internode,0,0
24,Soissons,6,internode,0,0
25,Caphorn,1,blade,0,0
25,Caphorn,1,sheath,0,0
25,Caphorn,2,blade,0,0
25,Caphorn,2,sheath,0,0
25,Caphorn,3,blade,0,0
25,Caphorn,3,sheath,0,0
25,Caphorn,4,blade,0,0
25,Caphorn,4,internode,0,0
25,Caphorn,4,sheath,0,0
25,Caphorn,5,internode,0,0
25,Caphorn,6,internode,0,0
25,Soissons,1,blade,0,0
25,Soissons,1,sheath,0,0
25,Soissons,2,blade,0,0
25,Soissons,2,sheath,0,0
25,Soissons,3,blade,0,0
25,Soissons,3,sheath,0,0
25,Soissons,4,blade,0,0
25,Soissons,4,internode,0,0
25,Soissons,4,sheath,0,0
25,Soissons,5,internode,0,0
25,Soissons,6,internode,0,0
26,Caphorn,1,blade,0,0
26,Caphorn,1,sheath,0,0
26,Caphorn,2,blade,0,0
26,Caphorn,2,sheath,0,0
26,Caphorn,3,blade,0,0
26,Caphorn,3,sheath,0,0
26,Caphorn,4,blade,0,0
26,Caphorn,4,internode,0,0
26,Caphorn,4,sheath,0,0
26,Caphorn,5,internode,0,0
26,Caphorn,6,internode,0,0
26,Soissons,1,blade,0,0
26,Soissons,1,sheath,0,0
26,Soissons,2,blade,0,0
26,Soissons,2,sheath,0,0
26,Soissons,3,blade,0,0
26,Soissons,3,sheath,0,0
26,Soissons,4,blade,0,0
26,Soissons,4,internode,0,0
26,Soissons,4,sheath,0,0
26,Soissons,5,internode,0,0
26,Soissons,6,internode,0,0
27,Caphorn,1,blade,0,0
27,Caphorn,1,sheath,0,0
27,Caphorn,2,blade,0,0
27,Caphorn,2,sheath,0,0
27,Caphorn,3,blade,0,0
27,Caphorn,3,sheath,0,0
27,Caphorn,4,blade,0,0
27,Caphorn,4,internode,0,0
27,Caphorn,4,sheath,0,0
27,Caphorn,5,internode,0,0
27,Caphorn,6,internode,0,0
27,Soissons,1,blade,0,0
27,Soissons,1,sheath,0,0
27,Soissons,2,blade,0,0
27,Soissons,2,sheath,0,0
27,Soissons,3,blade,0,0
27,Soissons,3,sheath,0,0
27,Soissons,4,blade,0,0
27,Soissons,4,internode,0,0
27,Soissons,4,sheath,0,0
27,Soissons,5,internode,0,0
27,Soissons,6,internode,0,0
28,Caphorn,1,blade,0,0
28,Caphorn,1,sheath,0,0
28,Caphorn,2,blade,0,0
28,Caphorn,2,sheath,0,0
28,Caphorn,3,blade,0,0
