ID,plant,leaf,xn,ph_em,Ln,Lgn,Len,L,Lg,Le
502,1,8,3.456967095,3.671054187,1.015553522,0.369624886,0.96969697,27.75,10.1,2.4
513,1,8,3.527900982,3.741988074,1.028362306,0.395242452,1.131313131,28.1,10.8,2.8
522,1,8,3.777112859,3.99119995,1.039341263,0.380603843,0.96969697,28.4,10.4,2.4
53,1,8,3.992932985,4.207020076,1.028362306,0.358645929,0.565656566,28.1,9.8,1.4
542,1,8,4.209979361,4.424066453,1.010064044,0.387923147,1.01010101,27.6,10.6,2.5
551,1,8,4.511165402,4.725252494,NA,0.358645929,0.727272727,NA,9.8,1.8
562,1,8,4.774149017,4.988236109,1.032021958,0.373284538,0.848484848,28.2,10.2,2.1
571,1,8,5.03251061,5.246597702,1.03568161,0.365965233,0.888888889,28.3,10,2.2
581,1,8,5.518954836,5.733041928,1.021043001,0.37694419,0.808080808,27.9,10.3,2
592,1,8,5.808350005,6.022437097,1.03568161,0.380603843,1.090909091,28.3,10.4,2.7
601,1,8,6.127741153,6.341828245,NA,0.333028362,0.484848485,NA,9.1,1.2
614,1,8,6.572398528,6.78648562,NA,0.384263495,1.131313131,NA,10.5,2.8
621,1,8,6.856322732,7.070409824,NA,0.354986276,0.96969697,NA,9.7,2.4
63,1,8,7.444357114,7.658444205,NA,0.307410796,NA,NA,8.4,NA
641,1,8,7.732714686,7.946801777,NA,0.3915828,1.494949495,NA,10.7,3.7
65,1,8,7.990604644,8.204691736,NA,0.344007319,0.767676768,NA,9.4,1.9
66,1,8,8.557698436,8.771785528,NA,0.318389753,0.121212121,NA,8.7,0.3
68,1,8,9.865636315,10.07972341,NA,0.347666972,0.646464646,NA,9.5,1.6
691,1,8,10.31755687,10.53164396,NA,0.351326624,0.606060606,NA,9.6,1.5
615,1,9,-5.099661449,-4.829618858,0.000261818,NA,NA,0.009,NA,NA
76,1,9,-5.057119982,-4.787077391,0.000232727,NA,NA,0.008,NA,NA
86,1,9,-4.792815789,-4.522773199,0.000203636,NA,NA,0.007,NA,NA
96,1,9,-4.612934242,-4.342891651,0.00032,NA,NA,0.011,NA,NA
106,1,9,-4.365042943,-4.095000353,0.000349091,NA,NA,0.012,NA,NA
119,1,9,-4.200914001,-3.930871411,0.000494545,NA,NA,0.017,NA,NA
126,1,9,-4.061970363,-3.791927772,0.000523636,NA,NA,0.018,NA,NA
136,1,9,-3.955852512,-3.685809922,0.000930909,NA,NA,0.032,NA,NA
146,1,9,-3.912650756,-3.642608166,0.000581818,NA,NA,0.02,NA,NA
156,1,9,-3.72088401,-3.450841419,0.001163636,NA,NA,0.04,NA,NA
166,1,9,-3.614954813,-3.344912223,0.001105455,NA,NA,0.038,NA,NA
176,1,9,-3.486953104,-3.216910514,0.000872727,NA,NA,0.03,NA,NA
186,1,9,-3.278207501,-3.008164911,0.001047273,NA,NA,0.036,NA,NA
196,1,9,-3.143319923,-2.873277332,0.001425455,NA,NA,0.049,NA,NA
206,1,9,-3.0313538,-2.761311209,0.001250909,NA,NA,0.043,NA,NA
226,1,9,-2.9205196,-2.65047701,0.003287273,NA,NA,0.113,NA,NA
236,1,9,-2.801478954,-2.531436364,0.002676364,NA,NA,0.092,NA,NA
246,1,9,-2.664799163,-2.394756572,0.002181818,NA,NA,0.075,NA,NA
256,1,9,-2.63367126,-2.36362867,0.003141818,NA,NA,0.108,NA,NA
266,1,9,-2.607825668,-2.337783078,0.003054545,NA,NA,0.105,NA,NA
276,1,9,-2.42266181,-2.152619219,0.003403636,NA,NA,0.117,NA,NA
285,1,9,-2.091102482,-1.821059891,0.001890909,NA,NA,0.065,NA,NA
296,1,9,-2.016961477,-1.746918887,0.004247273,NA,NA,0.146,NA,NA
306,1,9,-1.938764412,-1.668721822,0.005381818,NA,NA,0.185,NA,NA
316,1,9,-1.767372293,-1.497329703,0.007272727,NA,NA,0.25,NA,NA
326,1,9,-1.603714986,-1.333672395,0.014545455,NA,NA,0.5,NA,NA
336,1,9,-1.476467892,-1.206425302,0.010181818,NA,NA,0.35,NA,NA
345,1,9,-1.34639099,-1.076348399,0.014545455,NA,NA,0.5,NA,NA
356,1,9,-1.226784381,-0.956741791,0.016,NA,NA,0.55,NA,NA
365,1,9,-1.072371118,-0.802328528,0.014545455,NA,NA,0.5,NA,NA
375,1,9,-0.766280074,-0.496237484,0.046545455,NA,NA,1.6,NA,NA
384,1,9,-0.593190069,-0.323147479,0.219636364,0.007272727,NA,7.55,0.25,NA
395,1,9,-0.439059787,-0.169017197,0.244363636,0.008727273,NA,8.4,0.3,NA
405,1,9,-0.210033884,0.060008706,0.221090909,0.008727273,NA,7.6,0.3,NA
417,1,9,-0.064958992,0.205083598,0.247272727,0.011636364,0.0456621,8.5,0.4,0.25
424,1,9,0.12133679,0.39137938,0.312727273,0.016,0.00913242,10.75,0.55,0.05
434,1,9,0.346966921,0.617009512,0.512,0.026181818,0.0456621,17.6,0.9,0.25
444,1,9,0.567975031,0.838017622,0.654545455,0.052363636,NA,22.5,1.8,NA
