t,species,metamer,organ,Eabs_diffuse,Eabs_direct
9,Soissons,5,internode,0.13387267,0.17955799
9,Soissons,6,internode,0.266855008,0.263021717
10,Caphorn,1,blade,0.073853653,0.098851595
10,Caphorn,1,sheath,0.031099698,0.044585399
10,Caphorn,2,blade,0.098464093,0.126951996
10,Caphorn,2,sheath,0.028427148,0.040443777
10,Caphorn,3,blade,0.16399339,0.189480741
10,Caphorn,3,sheath,0.043191565,0.065398586
10,Caphorn,4,blade,0.34013048,0.294912973
10,Caphorn,4,internode,0.051950171,0.047645008
10,Caphorn,4,sheath,0.087963329,0.117522989
10,Caphorn,5,internode,0.117905025,0.121565278
10,Caphorn,6,internode,0.264067376,0.19379351
10,Soissons,1,blade,0.072611566,0.089967328
10,Soissons,1,sheath,0.032613275,0.038788726
10,Soissons,2,blade,0.116501113,0.153183066
10,Soissons,2,sheath,0.029266887,0.035386618
10,Soissons,3,blade,0.198794675,0.209917127
10,Soissons,3,sheath,0.044053435,0.065371697
10,Soissons,4,blade,0.374763977,0.389436482
10,Soissons,4,internode,0.056313026,0.043313193
10,Soissons,4,sheath,0.088679393,0.106298808
10,Soissons,5,internode,0.13387267,0.144324538
10,Soissons,6,internode,0.266855008,0.194359865
11,Caphorn,1,blade,0.073853653,0.09824421
11,Caphorn,1,sheath,0.031099698,0.02988234
11,Caphorn,2,blade,0.098464093,0.143885273
11,Caphorn,2,sheath,0.028427148,0.036363671
11,Caphorn,3,blade,0.16399339,0.19076413
11,Caphorn,3,sheath,0.043191565,0.071774499
11,Caphorn,4,blade,0.34013048,0.234524433
11,Caphorn,4,internode,0.051950171,0.071483771
11,Caphorn,4,sheath,0.087963329,0.095905753
11,Caphorn,5,internode,0.117905025,0.082095595
11,Caphorn,6,internode,0.264067376,0.152579111
11,Soissons,1,blade,0.072611566,0.092324372
11,Soissons,1,sheath,0.032613275,0.036354324
11,Soissons,2,blade,0.116501113,0.167212377
11,Soissons,2,sheath,0.029266887,0.036229491
11,Soissons,3,blade,0.198794675,0.258800527
11,Soissons,3,sheath,0.044053435,0.07209114
11,Soissons,4,blade,0.374763977,0.373361915
11,Soissons,4,internode,0.056313026,0.077258691
11,Soissons,4,sheath,0.088679393,0.093642463
11,Soissons,5,internode,0.13387267,0.09369685
11,Soissons,6,internode,0.266855008,0.151799304
12,Caphorn,1,blade,0.073853653,0.071697717
12,Caphorn,1,sheath,0.031099698,0.00877076
12,Caphorn,2,blade,0.098464093,0.075143961
12,Caphorn,2,sheath,0.028427148,0.009527334
12,Caphorn,3,blade,0.16399339,0.143453466
12,Caphorn,3,sheath,0.043191565,0.01527423
12,Caphorn,4,blade,0.34013048,0.206447148
12,Caphorn,4,internode,0.051950171,0.021426251
12,Caphorn,4,sheath,0.087963329,0.039575009
12,Caphorn,5,internode,0.117905025,0.05265711
12,Caphorn,6,internode,0.264067376,0.136792014
12,Soissons,1,blade,0.072611566,0.061301087
12,Soissons,1,sheath,0.032613275,0.008149846
12,Soissons,2,blade,0.116501113,0.145493887
12,Soissons,2,sheath,0.029266887,0.008796575
12,Soissons,3,blade,0.198794675,0.232619021
12,Soissons,3,sheath,0.044053435,0.016248621
12,Soissons,4,blade,0.374763977,0.367665639
12,Soissons,4,internode,0.056313026,0.020445142
12,Soissons,4,sheath,0.088679393,0.035731413
12,Soissons,5,internode,0.13387267,0.062520674
12,Soissons,6,internode,0.266855008,0.137418867
13,Caphorn,1,blade,0.073853653,0.094719078
13,Caphorn,1,sheath,0.031099698,0.032678933
13,Caphorn,2,blade,0.098464093,0.135593768
13,Caphorn,2,sheath,0.028427148,0.036904742
13,Caphorn,3,blade,0.16399339,0.191071527
13,Caphorn,3,sheath,0.043191565,0.071877325
13,Caphorn,4,blade,0.34013048,0.236100619
13,Caphorn,4,internode,0.051950171,0.077189822
13,Caphorn,4,sheath,0.087963329,0.100657975
13,Caphorn,5,internode,0.117905025,0.084166716
13,Caphorn,6,internode,0.264067376,0.154478807
13,Soissons,1,blade,0.072611566,0.092884515
13,Soissons,1,sheath,0.032613275,0.028703711
13,Soissons,2,blade,0.116501113,0.170900524
13,Soissons,2,sheath,0.029266887,0.036132487
13,Soissons,3,blade,0.198794675,0.259961729
13,Soissons,3,sheath,0.044053435,0.072387063
13,Soissons,4,blade,0.374763977,0.377685863
13,Soissons,4,internode,0.056313026,0.077181285
13,Soissons,4,sheath,0.088679393,0.093229026
13,Soissons,5,internode,0.13387267,0.086251553
13,Soissons,6,internode,0.266855008,0.152456897
14,Caphorn,1,blade,0.073853653,0.086898989
14,Caphorn,1,sheath,0.031099698,0.046378632
14,Caphorn,2,blade,0.098464093,0.11807905
14,Caphorn,2,sheath,0.028427148,0.035514324
14,Caphorn,3,blade,0.16399339,0.1711479
14,Caphorn,3,sheath,0.043191565,0.066999545
14,Caphorn,4,blade,0.34013048,0.293995609
14,Caphorn,4,internode,0.051950171,0.048399026
14,Caphorn,4,sheath,0.087963329,0.11537584
14,Caphorn,5,internode,0.117905025,0.128720317
14,Caphorn,6,internode,0.264067376,0.195085791
14,Soissons,1,blade,0.072611566,0.095877841
14,Soissons,1,sheath,0.032613275,0.044327959
14,Soissons,2,blade,0.116501113,0.151838176
14,Soissons,2,sheath,0.029266887,0.040951047
14,Soissons,3,blade,0.198794675,0.214480214
14,Soissons,3,sheath,0.044053435,0.069025825
14,Soissons,4,blade,0.374763977,0.393579722
14,Soissons,4,internode,0.056313026,0.051487341
14,Soissons,4,sheath,0.088679393,0.107190324
14,Soissons,5,internode,0.13387267,0.1383186
14,Soissons,6,internode,0.266855008,0.19365885
15,Caphorn,1,blade,0.073853653,0.078338392
15,Caphorn,1,sheath,0.031099698,0.031058496
15,Caphorn,2,blade,0.098464093,0.107012148
15,Caphorn,2,sheath,0.028427148,0.036181173
15,Caphorn,3,blade,0.16399339,0.178759446
15,Caphorn,3,sheath,0.043191565,0.059553787
15,Caphorn,4,blade,0.34013048,0.369650452
15,Caphorn,4,internode,0.051950171,0.064731979
15,Caphorn,4,sheath,0.087963329,0.110129072
15,Caphorn,5,internode,0.117905025,0.172586722
15,Caphorn,6,internode,0.264067376,0.264037553
15,Soissons,1,blade,0.072611566,0.079654171
15,Soissons,1,sheath,0.032613275,0.035261738
15,Soissons,2,blade,0.116501113,0.123124421
15,Soissons,2,sheath,0.029266887,0.04223551
15,Soissons,3,blade,0.198794675,0.199337121
15,Soissons,3,sheath,0.044053435,0.059748939
15,Soissons,4,blade,0.374763977,0.384734195
15,Soissons,4,internode,0.056313026,0.077362881
15,Soissons,4,sheath,0.088679393,0.108686559
15,Soissons,5,internode,0.13387267,0.183308342
15,Soissons,6,internode,0.266855008,0.261949215
16,Caphorn,1,blade,0.073853653,0.053480377
16,Caphorn,1,sheath,0.031099698,0.027812754
16,Caphorn,2,blade,0.098464093,0.094502989
16,Caphorn,2,sheath,0.028427148,0.031824768
16,Caphorn,3,blade,0.16399339,0.179487214
16,Caphorn,3,sheath,0.043191565,0.044450649
16,Caphorn,4,blade,0.34013048,0.427204265
16,Caphorn,4,internode,0.051950171,0.066566562
16,Caphorn,4,sheath,0.087963329,0.11883863
16,Caphorn,5,internode,0.117905025,0.15727713
16,Caphorn,6,internode,0.264067376,0.358818793
16,Soissons,1,blade,0.072611566,0.052006383
16,Soissons,1,sheath,0.032613275,0.026515394
16,Soissons,2,blade,0.116501113,0.083779449
16,Soissons,2,sheath,0.029266887,0.031974352
16,Soissons,3,blade,0.198794675,0.157765113
16,Soissons,3,sheath,0.044053435,0.051284735
16,Soissons,4,blade,0.374763977,0.362267405
16,Soissons,4,internode,0.056313026,0.064938436
16,Soissons,4,sheath,0.088679393,0.117793471
16,Soissons,5,internode,0.13387267,0.181793382
16,Soissons,6,internode,0.266855008,0.355722105
17,Caphorn,1,blade,0.073853653,0.026184147
17,Caphorn,1,sheath,0.031099698,0.015352091
17,Caphorn,2,blade,0.098464093,0.065142534
17,Caphorn,2,sheath,0.028427148,0.012667716
17,Caphorn,3,blade,0.16399339,0.150848135
17,Caphorn,3,sheath,0.043191565,0.030585309
17,Caphorn,4,blade,0.34013048,0.498016988
17,Caphorn,4,internode,0.051950171,0.038998993
17,Caphorn,4,sheath,0.087963329,0.107435044
17,Caphorn,5,internode,0.117905025,0.159785056
17,Caphorn,6,internode,0.264067376,0.467069551
17,Soissons,1,blade,0.072611566,0.029061936
17,Soissons,1,sheath,0.032613275,0.012462483
17,Soissons,2,blade,0.116501113,0.050587071
17,Soissons,2,sheath,0.029266887,0.015027804
17,Soissons,3,blade,0.198794675,0.117672682
17,Soissons,3,sheath,0.044053435,0.028641952
17,Soissons,4,blade,0.374763977,0.339301752
17,Soissons,4,internode,0.056313026,0.052249661
17,Soissons,4,sheath,0.088679393,0.101708103
17,Soissons,5,internode,0.13387267,0.187016953
17,Soissons,6,internode,0.266855008,0.465382276
18,Caphorn,1,blade,0.073853653,0.006511039
18,Caphorn,1,sheath,0.031099698,0.001484056
18,Caphorn,2,blade,0.098464093,0.020131847
18,Caphorn,2,sheath,0.028427148,0.001957656
18,Caphorn,3,blade,0.16399339,0.084405726
18,Caphorn,3,sheath,0.043191565,0.009371951
18,Caphorn,4,blade,0.34013048,0.539680358
18,Caphorn,4,internode,0.051950171,0.015641774
18,Caphorn,4,sheath,0.087963329,0.055933933
18,Caphorn,5,internode,0.117905025,0.116982239
18,Caphorn,6,internode,0.264067376,0.609681357
18,Soissons,1,blade,0.072611566,0.005099815
18,Soissons,1,sheath,0.032613275,0.004518287
18,Soissons,2,blade,0.116501113,0.014988716
18,Soissons,2,sheath,0.029266887,0.002460593
18,Soissons,3,blade,0.198794675,0.048455212
18,Soissons,3,sheath,0.044053435,0.005547871
18,Soissons,4,blade,0.374763977,0.296350135
18,Soissons,4,internode,0.056313026,0.013980374
18,Soissons,4,sheath,0.088679393,0.052140761
18,Soissons,5,internode,0.13387267,0.141009266
18,Soissons,6,internode,0.266855008,0.626513895
19,Caphorn,1,blade,0.073853653,0
19,Caphorn,1,sheath,0.031099698,0
19,Caphorn,2,blade,0.098464093,3.48E-05
19,Caphorn,2,sheath,0.028427148,0
19,Caphorn,3,blade,0.16399339,0.003948938
19,Caphorn,3,sheath,0.043191565,9.61E-05
19,Caphorn,4,blade,0.34013048,0.414854724
19,Caphorn,4,internode,0.051950171,0
19,Caphorn,4,sheath,0.087963329,0.003856154
19,Caphorn,5,internode,0.117905025,0.040278877
19,Caphorn,6,internode,0.264067376,0.846346745
19,Soissons,1,blade,0.072611566,0
19,Soissons,1,sheath,0.032613275,0
19,Soissons,2,blade,0.116501113,0.000175093
19,Soissons,2,sheath,0.029266887,0
19,Soissons,3,blade,0.198794675,0.003858538
19,Soissons,3,sheath,0.044053435,7.95E-05
19,Soissons,4,blade,0.374763977,0.192444027
19,Soissons,4,internode,0.056313026,0.000397741
19,Soissons,4,sheath,0.088679393,0.003624286
19,Soissons,5,internode,0.13387267,0.032567438
19,Soissons,6,internode,0.266855008,0.813030068
20,Caphorn,1,blade,0,0
20,Caphorn,1,sheath,0,0
20,Caphorn,2,blade,0,0
20,Caphorn,2,sheath,0,0
20,Caphorn,3,blade,0,0
20,Caphorn,3,sheath,0,0
20,Caphorn,4,blade,0,0
20,Caphorn,4,internode,0,0
20,Caphorn,4,sheath,0,0
20,Caphorn,5,internode,0,0
20,Caphorn,6,internode,0,0
20,Soissons,1,blade,0,0
20,Soissons,1,sheath,0,0
20,Soissons,2,blade,0,0
20,Soissons,2,sheath,0,0
20,Soissons,3,blade,0,0
20,Soissons,3,sheath,0,0
20,Soissons,4,blade,0,0
20,Soissons,4,internode,0,0
20,Soissons,4,sheath,0,0
20,Soissons,5,internode,0,0
20,Soissons,6,internode,0,0
21,Caphorn,1,blade,0,0
21,Caphorn,1,sheath,0,0
21,Caphorn,2,blade,0,0
21,Caphorn,2,sheath,0,0
21,Caphorn,3,blade,0,0
21,Caphorn,3,sheath,0,0
21,Caphorn,4,blade,0,0
21,Caphorn,4,internode,0,0
21,Caphorn,4,sheath,0,0
21,Caphorn,5,internode,0,0
21,Caphorn,6,internode,0,0
21,Soissons,1,blade,0,0
21,Soissons,1,sheath,0,0
21,Soissons,2,blade,0,0
21,Soissons,2,sheath,0,0
21,Soissons,3,blade,0,0
21,Soissons,3,sheath,0,0
21,Soissons,4,blade,0,0
21,Soissons,4,internode,0,0
21,Soissons,4,sheath,0,0
21,Soissons,5,internode,0,0
21,Soissons,6,internode,0,0
22,Caphorn,1,blade,0,0
22,Caphorn,1,sheath,0,0
22,Caphorn,2,blade,0,0
22,Caphorn,2,sheath,0,0
22,Caphorn,3,blade,0,0
22,Caphorn,3,sheath,0,0
22,Caphorn,4,blade,0,0
22,Caphorn,4,internode,0,0
22,Caphorn,4,sheath,0,0
22,Caphorn,5,internode,0,0
22,Caphorn,6,internode,0,0
22,Soissons,1,blade,0,0
22,Soissons,1,sheath,0,0
22,Soissons,2,blade,0,0
22,Soissons,2,sheath,0,0
22,Soissons,3,blade,0,0
22,Soissons,3,sheath,0,0
22,Soissons,4,blade,0,0
22,Soissons,4,internode,0,0
22,Soissons,4,sheath,0,0
22,Soissons,5,internode,0,0
22,Soissons,6,internode,0,0
23,Caphorn,1,blade,0,0
23,Caphorn,1,sheath,0,0
23,Caphorn,2,blade,0,0
23,Caphorn,2,sheath,0,0
23,Caphorn,3,blade,0,0
23,Caphorn,3,sheath,0,0
23,Caphorn,4,blade,0,0
23,Caphorn,4,internode,0,0
23,Caphorn,4,sheath,0,0
23,Caphorn,5,internode,0,0
23,Caphorn,6,internode,0,0
23,Soissons,1,blade,0,0
23,Soissons,1,sheath,0,0
23,Soissons,2,blade,0,0
23,Soissons,2,sheath,0,0
23,Soissons,3,blade,0,0
23,Soissons,3,sheath,0,0
23,Soissons,4,blade,0,0
23,Soissons,4,internode,0,0
23,Soissons,4,sheath,0,0
23,Soissons,5,internode,0,0
23,Soissons,6,internode,0,0
24,Caphorn,1,blade,0,0
24,Caphorn,1,sheath,0,0
24,Caphorn,2,blade,0,0
24,Caphorn,2,sheath,0,0
24,Caphorn,3,blade,0,0
24,Caphorn,3,sheath,0,0
24,Caphorn,4,blade,0,0
24,Caphorn,4,internode,0,0
24,Caphorn,4,sheath,0,0
24,Caphorn,5,internode,0,0
24,Caphorn,6,internode,0,0
24,Soissons,1,blade,0,0
24,Soissons,1,sheath,0,0
24,Soissons,2,blade,0,0
24,Soissons,2,sheath,0,0
24,Soissons,3,blade,0,0
24,Soissons,3,sheath,0,0
24,Soissons,4,blade,0,0
24,Soissons,4,internode,0,0
24,Soissons,4,sheath,0,0
24,Soissons,5,internode,0,0
24,Soissons,6,internode,0,0
25,Caphorn,1,blade,0,0
25,Caphorn,1,sheath,0,0
25,Caphorn,2,blade,0,0
25,Caphorn,2,sheath,0,0
25,Caphorn,3,blade,0,0
25,Caphorn,3,sheath,0,0
25,Caphorn,4,blade,0,0
25,Caphorn,4,internode,0,0
25,Caphorn,4,sheath,0,0
25,Caphorn,5,internode,0,0
25,Caphorn,6,internode,0,0
25,Soissons,1,blade,0,0
25,Soissons,1,sheath,0,0
25,Soissons,2,blade,0,0
25,Soissons,2,sheath,0,0
25,Soissons,3,blade,0,0
25,Soissons,3,sheath,0,0
25,Soissons,4,blade,0,0
25,Soissons,4,internode,0,0
25,Soissons,4,sheath,0,0
25,Soissons,5,internode,0,0
25,Soissons,6,internode,0,0
26,Caphorn,1,blade,0,0
26,Caphorn,1,sheath,0,0
26,Caphorn,2,blade,0,0
26,Caphorn,2,sheath,0,0
26,Caphorn,3,blade,0,0
26,Caphorn,3,sheath,0,0
26,Caphorn,4,blade,0,0
26,Caphorn,4,internode,0,0
26,Caphorn,4,sheath,0,0
26,Caphorn,5,internode,0,0
26,Caphorn,6,internode,0,0
26,Soissons,1,blade,0,0
26,Soissons,1,sheath,0,0
26,Soissons,2,blade,0,0
26,Soissons,2,sheath,0,0
26,Soissons,3,blade,0,0
26,Soissons,3,sheath,0,0
26,Soissons,4,blade,0,0
26,Soissons,4,internode,0,0
26,Soissons,4,sheath,0,0
26,Soissons,5,internode,0,0
26,Soissons,6,internode,0,0
27,Caphorn,1,blade,0,0
27,Caphorn,1,sheath,0,0
27,Caphorn,2,blade,0,0
27,Caphorn,2,sheath,0,0
27,Caphorn,3,blade,0,0
27,Caphorn,3,sheath,0,0
27,Caphorn,4,blade,0,0
27,Caphorn,4,internode,0,0
27,Caphorn,4,sheath,0,0
27,Caphorn,5,internode,0,0
27,Caphorn,6,internode,0,0
27,Soissons,1,blade,0,0
27,Soissons,1,sheath,0,0
27,Soissons,2,blade,0,0
27,Soissons,2,sheath,0,0
27,Soissons,3,blade,0,0
27,Soissons,3,sheath,0,0
27,Soissons,4,blade,0,0
27,Soissons,4,internode,0,0
27,Soissons,4,sheath,0,0
27,Soissons,5,internode,0,0
27,Soissons,6,internode,0,0
28,Caphorn,1,blade,0,0
28,Caphorn,1,sheath,0,0
28,Caphorn,2,blade,0,0
28,Caphorn,2,sheath,0,0
28,Caphorn,3,blade,0,0
28,Caphorn,3,sheath,0,0
28,Caphorn,4,blade,0,0
28,Caphorn,4,internode,0,0
28,Caphorn,4,sheath,0,0
28,Caphorn,5,internode,0,0
28,Caphorn,6,internode,0,0
28,Soissons,1,blade,0,0
28,Soissons,1,sheath,0,0
28,Soissons,2,blade,0,0
28,Soissons,2,sheath,0,0
28,Soissons,3,blade,0,0
28,Soissons,3,sheath,0,0
28,Soissons,4,blade,0,0
28,Soissons,4,internode,0,0
28,Soissons,4,sheath,0,0
28,Soissons,5,internode,0,0
28,Soissons,6,internode,0,0
29,Caphorn,1,blade,0.073853653,0.00023769
29,Caphorn,1,sheath,0.031099698,0
29,Caphorn,2,blade,0.098464093,0.0001311
29,Caphorn,2,sheath,0.028427148,0
29,Caphorn,3,blade,0.16399339,0.004826838
29,Caphorn,3,sheath,0.043191565,0.000361032
29,Caphorn,4,blade,0.34013048,0.369703428
29,Caphorn,4,internode,0.051950171,0
29,Caphorn,4,sheath,0.087963329,0.004819451
29,Caphorn,5,internode,0.117905025,0.027517976
29,Caphorn,6,internode,0.264067376,0.836393919
29,Soissons,1,blade,0.072611566,0
29,Soissons,1,sheath,0.032613275,0
29,Soissons,2,blade,0.116501113,5.22E-05
29,Soissons,2,sheath,0.029266887,0
29,Soissons,3,blade,0.198794675,0.001909441
29,Soissons,3,sheath,0.044053435,0.000139137
29,Soissons,4,blade,0.374763977,0.209042104
29,Soissons,4,internode,0.056313026,0
29,Soissons,4,sheath,0.088679393,0.003388581
29,Soissons,5,internode,0.13387267,0.046012419
29,Soissons,6,internode,0.266855008,0.846253175
30,Caphorn,1,blade,0.073853653,0.00641544
