t,air_temperature,humidity,ambient_CO2,Wind,PARi,
155,17,0.55,360,2.8,1548.666667,
156,17,0.53,360,2.8,1795.555556,
157,17,0.43,360,2.8,1582.333333,
158,17,0.33,360,2.8,1464.5,
159,17,0.4,360,2.8,1189.555556,
160,17,0.39,360,2.8,892.1666667,
161,17,0.44,360,2.8,538.6666667,
162,17,0.5,360,2.8,207.6111111,
163,17,0.59,360,2.8,11.22222222,
164,17,0.64,360,2.8,0,
165,17,0.68,360,2.8,0,
166,17,0.77,360,2.8,0,
167,17,0.78,360,2.8,0,
168,17,0.83,360,2.8,0,
169,17,0.83,360,2.8,0,
170,17,0.76,360,2.8,0,
171,17,0.8,360,2.8,0,
172,17,0.9,360,2.8,67.33333333,
173,17,0.72,360,2.8,336.6666667,
174,17,0.68,360,2.8,667.7222222,
175,17,0.67,360,2.8,1026.833333,
176,17,0.63,360,2.8,1290.555556,
177,17,0.62,360,2.8,1548.666667,
178,17,0.57,360,2.8,1739.444444,
179,17,0.55,360,2.8,1548.666667,
180,17,0.53,360,2.8,1795.555556,
181,17,0.43,360,2.8,1582.333333,
182,17,0.33,360,2.8,1464.5,
183,17,0.4,360,2.8,1189.555556,
184,17,0.39,360,2.8,892.1666667,
185,17,0.44,360,2.8,538.6666667,
186,17,0.5,360,2.8,207.6111111,
187,17,0.59,360,2.8,11.22222222,
188,17,0.64,360,2.8,0,
189,17,0.68,360,2.8,0,
190,17,0.77,360,2.8,0,
191,17,0.78,360,2.8,0,
192,17,0.83,360,2.8,0,
193,17,0.83,360,2.8,0,
194,17,0.76,360,2.8,0,
195,17,0.8,360,2.8,0,
196,17,0.9,360,2.8,67.33333333,
197,17,0.72,360,2.8,336.6666667,
198,17,0.68,360,2.8,667.7222222,
199,17,0.67,360,2.8,1026.833333,
200,17,0.63,360,2.8,1290.555556,
201,17,0.62,360,2.8,1548.666667,
202,17,0.57,360,2.8,1739.444444,
203,17,0.55,360,2.8,1548.666667,
204,17,0.53,360,2.8,1795.555556,
205,17,0.43,360,2.8,1582.333333,
206,17,0.33,360,2.8,1464.5,
207,17,0.4,360,2.8,1189.555556,
208,17,0.39,360,2.8,892.1666667,
209,17,0.44,360,2.8,538.6666667,
210,17,0.5,360,2.8,207.6111111,
211,17,0.59,360,2.8,11.22222222,
212,17,0.64,360,2.8,0,
213,17,0.68,360,2.8,0,
214,17,0.77,360,2.8,0,
215,17,0.78,360,2.8,0,
216,17,0.83,360,2.8,0,
217,17,0.83,360,2.8,0,
218,17,0.76,360,2.8,0,
219,17,0.8,360,2.8,0,
220,17,0.9,360,2.8,67.33333333,
221,17,0.72,360,2.8,336.6666667,
222,17,0.68,360,2.8,667.7222222,
223,17,0.67,360,2.8,1026.833333,
224,17,0.63,360,2.8,1290.555556,
225,17,0.62,360,2.8,1548.666667,
226,17,0.57,360,2.8,1739.444444,
227,17,0.55,360,2.8,1548.666667,
228,17,0.53,360,2.8,1795.555556,
229,17,0.43,360,2.8,1582.333333,
230,17,0.33,360,2.8,1464.5,
231,17,0.4,360,2.8,1189.555556,
232,17,0.39,360,2.8,892.1666667,
233,17,0.44,360,2.8,538.6666667,
234,17,0.5,360,2.8,207.6111111,
235,17,0.59,360,2.8,11.22222222,
236,17,0.64,360,2.8,0,
237,17,0.68,360,2.8,0,
238,17,0.77,360,2.8,0,
239,17,0.78,360,2.8,0,
240,17,0.83,360,2.8,0,hi*
241,17,0.83,360,2.8,0,
242,17,0.76,360,2.8,0,
243,17,0.8,360,2.8,0,
244,17,0.9,360,2.8,67.33333333,
245,17,0.72,360,2.8,336.6666667,
246,17,0.68,360,2.8,667.7222222,
247,17,0.67,360,2.8,1026.833333,
248,17,0.63,360,2.8,1290.555556,
249,17,0.62,360,2.8,1548.666667,
250,17,0.57,360,2.8,1739.444444,
251,17,0.55,360,2.8,1548.666667,
252,17,0.53,360,2.8,1795.555556,
253,17,0.43,360,2.8,1582.333333,
254,17,0.33,360,2.8,1464.5,
255,17,0.4,360,2.8,1189.555556,
256,17,0.39,360,2.8,892.1666667,
257,17,0.44,360,2.8,538.6666667,
258,17,0.5,360,2.8,207.6111111,
259,17,0.59,360,2.8,11.22222222,
260,17,0.64,360,2.8,0,
261,17,0.68,360,2.8,0,
262,17,0.77,360,2.8,0,
263,17,0.78,360,2.8,0,
264,17,0.83,360,2.8,0,
265,17,0.83,360,2.8,0,
266,17,0.76,360,2.8,0,
267,17,0.8,360,2.8,0,
268,17,0.9,360,2.8,67.33333333,
269,17,0.72,360,2.8,336.6666667,
270,17,0.68,360,2.8,667.7222222,
271,17,0.67,360,2.8,1026.833333,
272,17,0.63,360,2.8,1290.555556,
273,17,0.62,360,2.8,1548.666667,
274,17,0.57,360,2.8,1739.444444,
275,17,0.55,360,2.8,1548.666667,
276,17,0.53,360,2.8,1795.555556,
277,17,0.43,360,2.8,1582.333333,
278,17,0.33,360,2.8,1464.5,
279,17,0.4,360,2.8,1189.555556,
280,17,0.39,360,2.8,892.1666667,
281,17,0.44,360,2.8,538.6666667,
282,17,0.5,360,2.8,207.6111111,
283,17,0.59,360,2.8,11.22222222,
284,17,0.64,360,2.8,0,
285,17,0.68,360,2.8,0,
286,17,0.77,360,2.8,0,
287,17,0.78,360,2.8,0,
288,17,0.83,360,2.8,0,
289,17,0.83,360,2.8,0,
290,17,0.76,360,2.8,0,
291,17,0.8,360,2.8,0,
292,17,0.9,360,2.8,67.33333333,
293,17,0.72,360,2.8,336.6666667,
294,17,0.68,360,2.8,667.7222222,
295,17,0.67,360,2.8,1026.833333,
296,17,0.63,360,2.8,1290.555556,
297,17,0.62,360,2.8,1548.666667,
298,17,0.57,360,2.8,1739.444444,
299,17,0.55,360,2.8,1548.666667,
300,17,0.53,360,2.8,1795.555556,
301,17,0.43,360,2.8,1582.333333,
302,17,0.33,360,2.8,1464.5,
303,17,0.4,360,2.8,1189.555556,
304,17,0.39,360,2.8,892.1666667,
305,17,0.44,360,2.8,538.6666667,
306,17,0.5,360,2.8,207.6111111,
307,17,0.59,360,2.8,11.22222222,
308,17,0.64,360,2.8,0,
309,17,0.68,360,2.8,0,
310,17,0.77,360,2.8,0,
311,17,0.78,360,2.8,0,
312,17,0.83,360,2.8,0,
313,17,0.83,360,2.8,0,
314,17,0.76,360,2.8,0,
315,17,0.8,360,2.8,0,
316,17,0.9,360,2.8,67.33333333,
317,17,0.72,360,2.8,336.6666667,
318,17,0.68,360,2.8,667.7222222,
319,17,0.67,360,2.8,1026.833333,
320,17,0.63,360,2.8,1290.555556,
321,17,0.62,360,2.8,1548.666667,
322,17,0.57,360,2.8,1739.444444,
323,17,0.55,360,2.8,1548.666667,
324,17,0.53,360,2.8,1795.555556,
325,17,0.43,360,2.8,1582.333333,
326,17,0.33,360,2.8,1464.5,
327,17,0.4,360,2.8,1189.555556,
328,17,0.39,360,2.8,892.1666667,
329,17,0.44,360,2.8,538.6666667,
330,17,0.5,360,2.8,207.6111111,
331,17,0.59,360,2.8,11.22222222,
332,17,0.64,360,2.8,0,
333,17,0.68,360,2.8,0,
334,17,0.77,360,2.8,0,
335,17,0.78,360,2.8,0,
336,17,0.83,360,2.8,0,
337,17,0.83,360,2.8,0,
338,17,0.76,360,2.8,0,
339,17,0.8,360,2.8,0,
340,17,0.9,360,2.8,67.33333333,
341,17,0.72,360,2.8,336.6666667,
342,17,0.68,360,2.8,667.7222222,
343,17,0.67,360,2.8,1026.833333,
344,17,0.63,360,2.8,1290.555556,
345,17,0.62,360,2.8,1548.666667,
346,17,0.57,360,2.8,1739.444444,
347,17,0.55,360,2.8,1548.666667,
348,17,0.53,360,2.8,1795.555556,
349,17,0.43,360,2.8,1582.333333,
350,17,0.33,360,2.8,1464.5,
351,17,0.4,360,2.8,1189.555556,
352,17,0.39,360,2.8,892.1666667,
353,17,0.44,360,2.8,538.6666667,
354,17,0.5,360,2.8,207.6111111,
355,17,0.59,360,2.8,11.22222222,
356,17,0.64,360,2.8,0,
357,17,0.68,360,2.8,0,
358,17,0.77,360,2.8,0,
359,17,0.78,360,2.8,0,
360,17,0.83,360,2.8,0,
361,17,0.83,360,2.8,0,
362,17,0.76,360,2.8,0,
363,17,0.8,360,2.8,0,
364,17,0.9,360,2.8,67.33333333,
365,17,0.72,360,2.8,336.6666667,
366,17,0.68,360,2.8,667.7222222,
367,17,0.67,360,2.8,1026.833333,
368,17,0.63,360,2.8,1290.555556,
369,17,0.62,360,2.8,1548.666667,
370,17,0.57,360,2.8,1739.444444,
371,17,0.55,360,2.8,1548.666667,
372,17,0.53,360,2.8,1795.555556,
373,17,0.43,360,2.8,1582.333333,
374,17,0.33,360,2.8,1464.5,
375,17,0.4,360,2.8,1189.555556,
376,17,0.39,360,2.8,892.1666667,
377,17,0.44,360,2.8,538.6666667,
378,17,0.5,360,2.8,207.6111111,
379,17,0.59,360,2.8,11.22222222,
380,17,0.64,360,2.8,0,
381,17,0.68,360,2.8,0,
382,17,0.77,360,2.8,0,
383,17,0.78,360,2.8,0,
384,17,0.83,360,2.8,0,
385,17,0.83,360,2.8,0,
386,17,0.76,360,2.8,0,
387,17,0.8,360,2.8,0,
388,17,0.9,360,2.8,67.33333333,
389,17,0.72,360,2.8,336.6666667,
390,17,0.68,360,2.8,667.7222222,
391,17,0.67,360,2.8,1026.833333,
392,17,0.63,360,2.8,1290.555556,
393,17,0.62,360,2.8,1548.666667,
394,17,0.57,360,2.8,1739.444444,
395,17,0.55,360,2.8,1548.666667,
396,17,0.53,360,2.8,1795.555556,
397,17,0.43,360,2.8,1582.333333,
398,17,0.33,360,2.8,1464.5,
399,17,0.4,360,2.8,1189.555556,
400,17,0.39,360,2.8,892.1666667,
401,17,0.44,360,2.8,538.6666667,
402,17,0.5,360,2.8,207.6111111,
403,17,0.59,360,2.8,11.22222222,
404,17,0.64,360,2.8,0,
405,17,0.68,360,2.8,0,
406,17,0.77,360,2.8,0,
407,17,0.78,360,2.8,0,
408,17,0.83,360,2.8,0,
409,17,0.83,360,2.8,0,
410,17,0.76,360,2.8,0,
411,17,0.8,360,2.8,0,
412,17,0.9,360,2.8,67.33333333,
413,17,0.72,360,2.8,336.6666667,
414,17,0.68,360,2.8,667.7222222,
415,17,0.67,360,2.8,1026.833333,
416,17,0.63,360,2.8,1290.555556,
417,17,0.62,360,2.8,1548.666667,
418,17,0.57,360,2.8,1739.444444,
419,17,0.55,360,2.8,1548.666667,
420,17,0.53,360,2.8,1795.555556,
421,17,0.43,360,2.8,1582.333333,
422,17,0.33,360,2.8,1464.5,
423,17,0.4,360,2.8,1189.555556,
424,17,0.39,360,2.8,892.1666667,
425,17,0.44,360,2.8,538.6666667,
426,17,0.5,360,2.8,207.6111111,
427,17,0.59,360,2.8,11.22222222,
428,17,0.64,360,2.8,0,
429,17,0.68,360,2.8,0,
430,17,0.77,360,2.8,0,
431,17,0.78,360,2.8,0,
432,17,0.83,360,2.8,0,
433,17,0.83,360,2.8,0,
434,17,0.76,360,2.8,0,
435,17,0.8,360,2.8,0,
436,17,0.9,360,2.8,67.33333333,
437,17,0.72,360,2.8,336.6666667,
438,17,0.68,360,2.8,667.7222222,
439,17,0.67,360,2.8,1026.833333,
440,17,0.63,360,2.8,1290.555556,
441,17,0.62,360,2.8,1548.666667,
442,17,0.57,360,2.8,1739.444444,
443,17,0.55,360,2.8,1548.666667,
444,17,0.53,360,2.8,1795.555556,
445,17,0.43,360,2.8,1582.333333,
446,17,0.33,360,2.8,1464.5,
447,17,0.4,360,2.8,1189.555556,
448,17,0.39,360,2.8,892.1666667,
449,17,0.44,360,2.8,538.6666667,
450,17,0.5,360,2.8,207.6111111,
451,17,0.59,360,2.8,11.22222222,
452,17,0.64,360,2.8,0,
453,17,0.68,360,2.8,0,
454,17,0.77,360,2.8,0,
455,17,0.78,360,2.8,0,
456,17,0.83,360,2.8,0,
457,17,0.83,360,2.8,0,
458,17,0.76,360,2.8,0,
459,17,0.8,360,2.8,0,
460,17,0.9,360,2.8,67.33333333,
461,17,0.72,360,2.8,336.6666667,
462,17,0.68,360,2.8,667.7222222,
463,17,0.67,360,2.8,1026.833333,
464,17,0.63,360,2.8,1290.555556,
465,17,0.62,360,2.8,1548.666667,
466,17,0.57,360,2.8,1739.444444,
467,17,0.55,360,2.8,1548.666667,
468,17,0.53,360,2.8,1795.555556,
469,17,0.43,360,2.8,1582.333333,
470,17,0.33,360,2.8,1464.5,
471,17,0.4,360,2.8,1189.555556,
472,17,0.39,360,2.8,892.1666667,
473,17,0.44,360,2.8,538.6666667,
474,17,0.5,360,2.8,207.6111111,
475,17,0.59,360,2.8,11.22222222,
476,17,0.64,360,2.8,0,
477,17,0.68,360,2.8,0,
478,17,0.77,360,2.8,0,
479,17,0.78,360,2.8,0,
480,17,0.83,360,2.8,0,
481,17,0.83,360,2.8,0,
482,17,0.76,360,2.8,0,
483,17,0.8,360,2.8,0,
484,17,0.9,360,2.8,67.33333333,
485,17,0.72,360,2.8,336.6666667,
486,17,0.68,360,2.8,667.7222222,
487,17,0.67,360,2.8,1026.833333,
488,17,0.63,360,2.8,1290.555556,
489,17,0.62,360,2.8,1548.666667,
490,17,0.57,360,2.8,1739.444444,
491,17,0.55,360,2.8,1548.666667,
492,17,0.53,360,2.8,1795.555556,
493,17,0.43,360,2.8,1582.333333,
494,17,0.33,360,2.8,1464.5,
495,17,0.4,360,2.8,1189.555556,
496,17,0.39,360,2.8,892.1666667,
497,17,0.44,360,2.8,538.6666667,
498,17,0.5,360,2.8,207.6111111,
499,17,0.59,360,2.8,11.22222222,
500,17,0.64,360,2.8,0,
501,17,0.68,360,2.8,0,
502,17,0.77,360,2.8,0,
503,17,0.78,360,2.8,0,
504,17,0.83,360,2.8,0,
505,17,0.83,360,2.8,0,
506,17,0.76,360,2.8,0,
507,17,0.8,360,2.8,0,
508,17,0.9,360,2.8,67.33333333,
509,17,0.72,360,2.8,336.6666667,
510,17,0.68,360,2.8,667.7222222,
511,17,0.67,360,2.8,1026.833333,
512,17,0.63,360,2.8,1290.555556,
513,17,0.62,360,2.8,1548.666667,
514,17,0.57,360,2.8,1739.444444,
515,17,0.55,360,2.8,1548.666667,
516,17,0.53,360,2.8,1795.555556,
517,17,0.43,360,2.8,1582.333333,
518,17,0.33,360,2.8,1464.5,
519,17,0.4,360,2.8,1189.555556,
520,17,0.39,360,2.8,892.1666667,
521,17,0.44,360,2.8,538.6666667,
522,17,0.5,360,2.8,207.6111111,
523,17,0.59,360,2.8,11.22222222,
524,17,0.64,360,2.8,0,
525,17,0.68,360,2.8,0,
526,17,0.77,360,2.8,0,
527,17,0.78,360,2.8,0,
528,17,0.83,360,2.8,0,
529,17,0.83,360,2.8,0,
530,17,0.76,360,2.8,0,
531,17,0.8,360,2.8,0,
532,17,0.9,360,2.8,67.33333333,
533,17,0.72,360,2.8,336.6666667,
534,17,0.68,360,2.8,667.7222222,
535,17,0.67,360,2.8,1026.833333,
536,17,0.63,360,2.8,1290.555556,
537,17,0.62,360,2.8,1548.666667,
538,17,0.57,360,2.8,1739.444444,
539,17,0.55,360,2.8,1548.666667,
540,17,0.53,360,2.8,1795.555556,
541,17,0.43,360,2.8,1582.333333,
542,17,0.33,360,2.8,1464.5,
543,17,0.4,360,2.8,1189.555556,
544,17,0.39,360,2.8,892.1666667,
545,17,0.44,360,2.8,538.6666667,
546,17,0.5,360,2.8,207.6111111,
547,17,0.59,360,2.8,11.22222222,
548,17,0.64,360,2.8,0,
549,17,0.68,360,2.8,0,
550,17,0.77,360,2.8,0,
551,17,0.78,360,2.8,0,
552,17,0.83,360,2.8,0,
553,17,0.83,360,2.8,0,
554,17,0.76,360,2.8,0,
555,17,0.8,360,2.8,0,
556,17,0.9,360,2.8,67.33333333,
557,17,0.72,360,2.8,336.6666667,
558,17,0.68,360,2.8,667.7222222,
559,17,0.67,360,2.8,1026.833333,
560,17,0.63,360,2.8,1290.555556,
561,17,0.62,360,2.8,1548.666667,
562,17,0.57,360,2.8,1739.444444,
563,17,0.55,360,2.8,1548.666667,
564,17,0.53,360,2.8,1795.555556,
565,17,0.43,360,2.8,1582.333333,
566,17,0.33,360,2.8,1464.5,
567,17,0.4,360,2.8,1189.555556,
568,17,0.39,360,2.8,892.1666667,
569,17,0.44,360,2.8,538.6666667,
570,17,0.5,360,2.8,207.6111111,
571,17,0.59,360,2.8,11.22222222,
572,17,0.64,360,2.8,0,
573,17,0.68,360,2.8,0,
574,17,0.77,360,2.8,0,
575,17,0.78,360,2.8,0,
576,17,0.83,360,2.8,0,
577,17,0.83,360,2.8,0,
578,17,0.76,360,2.8,0,
579,17,0.8,360,2.8,0,
580,17,0.9,360,2.8,67.33333333,
581,17,0.72,360,2.8,336.6666667,
582,17,0.68,360,2.8,667.7222222,
583,17,0.67,360,2.8,1026.833333,
584,17,0.63,360,2.8,1290.555556,
585,17,0.62,360,2.8,1548.666667,
586,17,0.57,360,2.8,1739.444444,
587,17,0.55,360,2.8,1548.666667,
588,17,0.53,360,2.8,1795.555556,
589,17,0.43,360,2.8,1582.333333,
590,17,0.33,360,2.8,1464.5,
591,17,0.4,360,2.8,1189.555556,
592,17,0.39,360,2.8,892.1666667,
593,17,0.44,360,2.8,538.6666667,
594,17,0.5,360,2.8,207.6111111,
595,17,0.59,360,2.8,11.22222222,
596,17,0.64,360,2.8,0,
597,17,0.68,360,2.8,0,
598,17,0.77,360,2.8,0,
599,17,0.78,360,2.8,0,
600,17,0.83,360,2.8,0,
601,17,0.83,360,2.8,0,
602,17,0.76,360,2.8,0,
603,17,0.8,360,2.8,0,
604,17,0.9,360,2.8,67.33333333,
605,17,0.72,360,2.8,336.6666667,
606,17,0.68,360,2.8,667.7222222,
607,17,0.67,360,2.8,1026.833333,
608,17,0.63,360,2.8,1290.555556,
609,17,0.62,360,2.8,1548.666667,
610,17,0.57,360,2.8,1739.444444,
611,17,0.55,360,2.8,1548.666667,
612,17,0.53,360,2.8,1795.555556,
613,17,0.43,360,2.8,1582.333333,
614,17,0.33,360,2.8,1464.5,
615,17,0.4,360,2.8,1189.555556,
616,17,0.39,360,2.8,892.1666667,
617,17,0.44,360,2.8,538.6666667,
618,17,0.5,360,2.8,207.6111111,
619,17,0.59,360,2.8,11.22222222,
620,17,0.64,360,2.8,0,
621,17,0.68,360,2.8,0,
622,17,0.77,360,2.8,0,
623,17,0.78,360,2.8,0,
624,17,0.83,360,2.8,0,
625,17,0.83,360,2.8,0,
626,17,0.76,360,2.8,0,
627,17,0.8,360,2.8,0,
628,17,0.9,360,2.8,67.33333333,
629,17,0.72,360,2.8,336.6666667,
630,17,0.68,360,2.8,667.7222222,
631,17,0.67,360,2.8,1026.833333,
632,17,0.63,360,2.8,1290.555556,
633,17,0.62,360,2.8,1548.666667,
634,17,0.57,360,2.8,1739.444444,
635,17,0.55,360,2.8,1548.666667,
636,17,0.53,360,2.8,1795.555556,
637,17,0.43,360,2.8,1582.333333,
638,17,0.33,360,2.8,1464.5,
639,17,0.4,360,2.8,1189.555556,
640,17,0.39,360,2.8,892.1666667,
641,17,0.44,360,2.8,538.6666667,
642,17,0.5,360,2.8,207.6111111,
643,17,0.59,360,2.8,11.22222222,
644,17,0.64,360,2.8,0,
645,17,0.68,360,2.8,0,
646,17,0.77,360,2.8,0,
647,17,0.78,360,2.8,0,
648,17,0.83,360,2.8,0,
649,17,0.83,360,2.8,0,
650,17,0.76,360,2.8,0,
651,17,0.8,360,2.8,0,
652,17,0.9,360,2.8,67.33333333,
653,17,0.72,360,2.8,336.6666667,
654,17,0.68,360,2.8,667.7222222,
655,17,0.67,360,2.8,1026.833333,
656,17,0.63,360,2.8,1290.555556,
657,17,0.62,360,2.8,1548.666667,
658,17,0.57,360,2.8,1739.444444,
659,17,0.55,360,2.8,1548.666667,
660,17,0.53,360,2.8,1795.555556,
661,17,0.43,360,2.8,1582.333333,
662,17,0.33,360,2.8,1464.5,
663,17,0.4,360,2.8,1189.555556,
664,17,0.39,360,2.8,892.1666667,
665,17,0.44,360,2.8,538.6666667,
666,17,0.5,360,2.8,207.6111111,
667,17,0.59,360,2.8,11.22222222,
668,17,0.64,360,2.8,0,
669,17,0.68,360,2.8,0,
670,17,0.77,360,2.8,0,
671,17,0.78,360,2.8,0,
672,17,0.83,360,2.8,0,
673,17,0.83,360,2.8,0,
674,17,0.76,360,2.8,0,
675,17,0.8,360,2.8,0,
676,17,0.9,360,2.8,67.33333333,
677,17,0.72,360,2.8,336.6666667,
678,17,0.68,360,2.8,667.7222222,
679,17,0.67,360,2.8,1026.833333,
680,17,0.63,360,2.8,1290.555556,
681,17,0.62,360,2.8,1548.666667,
682,17,0.57,360,2.8,1739.444444,
683,17,0.55,360,2.8,1548.666667,
684,17,0.53,360,2.8,1795.555556,
685,17,0.43,360,2.8,1582.333333,
686,17,0.33,360,2.8,1464.5,
687,17,0.4,360,2.8,1189.555556,
688,17,0.39,360,2.8,892.1666667,
689,17,0.44,360,2.8,538.6666667,
690,17,0.5,360,2.8,207.6111111,
691,17,0.59,360,2.8,11.22222222,
692,17,0.64,360,2.8,0,
693,17,0.68,360,2.8,0,
694,17,0.77,360,2.8,0,
695,17,0.78,360,2.8,0,
696,17,0.83,360,2.8,0,
697,17,0.83,360,2.8,0,
698,17,0.76,360,2.8,0,
699,17,0.8,360,2.8,0,
700,17,0.9,360,2.8,67.33333333,
701,17,0.72,360,2.8,336.6666667,
702,17,0.68,360,2.8,667.7222222,
703,17,0.67,360,2.8,1026.833333,
704,17,0.63,360,2.8,1290.555556,
705,17,0.62,360,2.8,1548.666667,
706,17,0.57,360,2.8,1739.444444,
707,17,0.55,360,2.8,1548.666667,
708,17,0.53,360,2.8,1795.555556,
709,17,0.43,360,2.8,1582.333333,
