t,DOY,hour,air_temperature,PARi,soil_temperature,humidity,ambient_CO2,Wind
179,354,23,4.3,0,3.187,0.94,360,3.1
180,354,24,4.2,0,3.2895,0.95,360,5.6
181,355,1,4.8,0,3.4215,0.97,360,5.6
182,355,2,5,0,3.6025,0.98,360,5.6
183,355,3,5,0,3.8075,0.98,360,5.6
184,355,4,5,0,3.949,0.98,360,5.6
185,355,5,5.3,0,4.072,0.98,360,5.6
186,355,6,5.7,0,4.2125,0.99,360,5.6
187,355,7,5.7,0,4.358,0.99,360,5.6
188,355,8,5.8,0,4.4785,0.99,360,5.6
189,355,9,6,33.66666667,4.617,0.99,360,5.6
190,355,10,6.5,89.77777778,4.808,0.99,360,5.6
191,355,11,7,157.1111111,5.0925,0.99,360,5.6
192,355,12,7.4,179.5555556,5.4285,0.99,360,5.6
193,355,13,8.3,224.4444444,5.865,0.98,360,5.6
194,355,14,8.7,134.6666667,6.272,0.96,360,5.6
195,355,15,9.1,112.2222222,6.5055,0.94,360,5.6
196,355,16,8.7,22.44444444,6.6535,0.93,360,5.6
197,355,17,8.4,0,6.688,0.96,360,5.6
198,355,18,8.7,0,6.6845,0.93,360,5.6
199,355,19,9,0,6.6835,0.9,360,5.6
200,355,20,8.9,0,6.668,0.89,360,5.6
201,355,21,9.2,0,6.6455,0.89,360,5.6
202,355,22,8.7,0,6.6425,0.9,360,5.6
203,355,23,9,0,6.7215,0.91,360,5.6
204,355,24,8.8,0,6.7995,0.92,360,6.8
205,356,1,9,0,6.8615,0.91,360,6.8
206,356,2,8.8,0,6.9095,0.93,360,6.8
207,356,3,8.6,0,6.9625,0.96,360,6.8
208,356,4,8.4,0,7.035,0.97,360,6.8
209,356,5,8.8,0,7.065,0.98,360,6.8
210,356,6,8.6,0,7.1,0.97,360,6.8
211,356,7,8,0,7.135,0.98,360,6.8
212,356,8,6.9,0,7.09,0.97,360,6.8
213,356,9,6.9,11.22222222,6.9455,0.98,360,6.8
214,356,10,6.8,33.66666667,6.8315,0.98,360,6.8
215,356,11,6.9,78.55555556,6.8295,0.99,360,6.8
216,356,12,6.9,89.77777778,6.871,0.98,360,6.8
217,356,13,7.3,89.77777778,6.896,0.97,360,6.8
218,356,14,8.1,78.55555556,6.8945,0.97,360,6.8
219,356,15,8.9,33.66666667,7.007,0.95,360,6.8
220,356,16,9,11.22222222,7.2,0.95,360,6.8
221,356,17,9.3,0,7.335,0.95,360,6.8
222,356,18,9.5,0,7.475,0.89,360,6.8
223,356,19,8.9,0,7.565,0.9,360,6.8
224,356,20,8.9,0,7.54,0.9,360,6.8
225,356,21,9.2,0,7.51,0.9,360,6.8
226,356,22,9.4,0,7.545,0.91,360,6.8
227,356,23,9.9,0,7.615,0.91,360,6.8
228,356,24,10.3,0,7.745,0.9,360,6.7
229,357,1,10.2,0,7.925,0.93,360,6.7
230,357,2,10.2,0,8.07,0.93,360,6.7
231,357,3,9.4,0,8.175,0.96,360,6.7
232,357,4,9.1,0,8.26,0.98,360,6.7
233,357,5,7.6,0,8.215,0.98,360,6.7
234,357,6,7.1,0,8.055,0.98,360,6.7
235,357,7,9.5,0,7.85,0.99,360,6.7
236,357,8,9.8,0,7.785,0.96,360,6.7
237,357,9,9.4,0,7.99,0.89,360,6.7
238,357,10,9.6,33.66666667,8.025,0.84,360,6.7
239,357,11,10.3,190.7777778,7.975,0.83,360,6.7
240,357,12,10.9,235.6666667,8.155,0.78,360,6.7
241,357,13,10.4,224.4444444,8.38,0.8,360,6.7
242,357,14,10.7,145.8888889,8.435,0.79,360,6.7
243,357,15,10.7,89.77777778,8.395,0.77,360,6.7
244,357,16,11.1,11.22222222,8.295,0.77,360,6.7
245,357,17,11.1,0,8.215,0.79,360,6.7
246,357,18,10.9,0,8.235,0.83,360,6.7
247,357,19,10.7,0,8.3,0.85,360,6.7
248,357,20,10.4,0,8.35,0.89,360,6.7
249,357,21,9.8,0,8.42,0.9,360,6.7
250,357,22,10.2,0,8.4,0.89,360,6.7
251,357,23,10,0,8.395,0.92,360,6.7
252,357,24,9.2,0,8.45,0.9,360,4.6
253,358,1,9.4,0,8.36,0.85,360,4.6
254,358,2,9.7,0,8.155,0.87,360,4.6
255,358,3,9.6,0,8.065,0.89,360,4.6
256,358,4,9.9,0,8.045,0.89,360,4.6
257,358,5,9.8,0,8.085,0.89,360,4.6
258,358,6,8.1,0,8.135,0.92,360,4.6
259,358,7,7.6,0,8.075,0.91,360,4.6
260,358,8,7.2,0,7.82,0.93,360,4.6
261,358,9,7,11.22222222,7.58,0.95,360,4.6
262,358,10,7.2,33.66666667,7.425,0.93,360,4.6
263,358,11,7.1,67.33333333,7.32,0.92,360,4.6
264,358,12,7.2,134.6666667,7.315,0.91,360,4.6
265,358,13,7,78.55555556,7.36,0.91,360,4.6
266,358,14,7,89.77777778,7.265,0.9,360,4.6
267,358,15,6.8,56.11111111,7.185,0.86,360,4.6
268,358,16,6.5,11.22222222,7.0285,0.85,360,4.6
