t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,mstruct,nitrates,proteins,rate_mstruct_death,rate_mstruct_growth,regul_transpiration,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi
3,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264.02752,NA,NA,NA,NA,NA,NA,NA,NA,NA,14171.83488,NA,NA
3,1,MS,roots,1.97362,10.35372,0.16028,0.02569,0.04368,44.04746,3.08334,0.01007,NA,0.95045,0.84758,NA,NA,1.58064,51.11667,0.92734,NA,0.00001,NA,NA,773.34445,1.24426,66.78653,2.13497,NA,54.18904,2.21517,0.51764,260.56646,NA,0.00000,0.00000,0.00274,NA,NA,181.96433,204.46667,3.37868
4,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,4.80870,NA,NA,NA,0.22180,NA,0.00000,11.77302,NA,NA,NA,NA,18000.00000,NA,NA,NA,NA,108.25314,NA,NA,NA,0.00000,2482.38346,NA,NA,NA
4,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278.89516,NA,NA,NA,NA,NA,NA,NA,NA,NA,14803.57430,NA,NA
4,1,MS,roots,1.28637,10.28464,0.12950,0.02553,0.04253,43.94113,10.31951,0.01009,NA,0.30297,0.21607,NA,NA,0.43042,33.31700,0.29356,NA,0.00000,NA,NA,764.53880,1.26958,67.38862,0.54426,NA,44.09701,2.17222,0.52124,260.80459,NA,0.00000,0.00000,0.00272,NA,NA,43.94800,133.26798,0.94946
5,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,4.83790,NA,NA,NA,0.22707,NA,0.00000,11.84452,NA,NA,NA,NA,21600.00000,NA,NA,NA,NA,108.47752,NA,NA,NA,0.00000,2489.36981,NA,NA,NA
5,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291.56112,NA,NA,NA,NA,NA,NA,NA,NA,NA,15208.71522,NA,NA
5,1,MS,roots,1.28637,10.26387,0.12000,0.02558,0.04170,43.50739,5.82821,0.01009,NA,0.46063,0.34574,NA,NA,0.67135,33.31700,0.44633,NA,0.00000,NA,NA,761.30242,1.29943,67.78209,0.87089,NA,40.86064,2.13011,0.52124,261.29286,NA,0.00000,0.00000,0.00272,NA,NA,71.95830,133.26798,1.47772
6,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,4.86210,NA,NA,NA,0.23299,NA,0.00000,11.90376,NA,NA,NA,NA,25200.00000,NA,NA,NA,NA,108.70755,NA,NA,NA,0.00000,2496.39488,NA,NA,NA
6,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302.91117,NA,NA,NA,NA,NA,NA,NA,NA,NA,15476.16168,NA,NA
6,1,MS,roots,0.68567,10.54058,0.10095,0.02836,0.04525,44.53162,17.90987,0.01010,NA,0.13530,0.09169,NA,NA,0.18160,17.75888,0.13061,NA,0.00000,NA,NA,752.12900,1.34125,68.52642,0.23095,NA,31.00155,2.08437,0.52316,261.28348,NA,0.00000,0.00000,0.00301,NA,NA,18.24548,71.03552,0.40859
7,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,4.88231,NA,NA,NA,0.23896,NA,0.00000,11.95325,NA,NA,NA,NA,28800.00000,NA,NA,NA,NA,108.94354,NA,NA,NA,0.00000,2503.45153,NA,NA,NA
7,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312.93782,NA,NA,NA,NA,NA,NA,NA,NA,NA,15654.02889,NA,NA
7,1,MS,roots,0.68567,10.91409,0.08611,0.02839,0.04428,45.53612,6.06220,0.01010,NA,0.33577,0.24128,NA,NA,0.46276,17.75888,0.32415,NA,0.00000,NA,NA,747.57145,1.38554,69.30853,0.60776,NA,26.44400,2.03961,0.52316,261.55822,NA,0.00000,0.00000,0.00301,NA,NA,47.60847,71.03552,1.03981
8,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,4.90115,NA,NA,NA,0.24500,NA,0.00000,11.99938,NA,NA,NA,NA,32400.00000,NA,NA,NA,NA,109.18556,NA,NA,NA,0.00000,2510.53671,NA,NA,NA
8,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322.13024,NA,NA,NA,NA,NA,NA,NA,NA,NA,15777.30057,NA,NA
8,1,MS,roots,0.48493,10.49545,0.13366,0.05979,0.08909,44.37254,10.44175,0.01010,NA,0.14364,0.09777,NA,NA,0.18936,12.55957,0.13831,NA,0.00000,NA,NA,741.10049,1.40410,68.76991,0.24627,NA,19.48811,1.94845,0.52451,261.52981,NA,0.00000,0.00000,0.00635,NA,NA,19.58833,50.23826,0.43077
9,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,4.91823,NA,NA,NA,0.25052,NA,0.00000,12.04118,NA,NA,NA,NA,36000.00000,NA,NA,NA,NA,109.43335,NA,NA,NA,0.00000,2517.64740,NA,NA,NA
9,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330.12080,NA,NA,NA,NA,NA,NA,NA,NA,NA,15867.38397,NA,NA
9,1,MS,roots,0.48493,9.46584,0.11915,0.05984,0.08511,40.97438,3.37354,0.01010,NA,0.30720,0.22160,NA,NA,0.42210,12.55957,0.29580,NA,0.00000,NA,NA,738.98375,1.39609,67.10357,0.55819,NA,17.37137,1.86136,0.52451,261.75226,NA,0.00000,0.00000,0.00635,NA,NA,48.74237,50.23826,0.95090
10,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,4.93632,NA,NA,NA,0.25577,NA,0.00000,12.08547,NA,NA,NA,NA,39600.00000,NA,NA,NA,NA,109.68660,NA,NA,NA,0.00000,2524.78371,NA,NA,NA
10,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337.94909,NA,NA,NA,NA,NA,NA,NA,NA,NA,15968.67721,NA,NA
10,1,MS,roots,0.48509,10.31834,0.13755,0.09008,0.11961,43.88072,6.71649,0.01011,NA,0.14741,0.10071,NA,NA,0.19219,12.56378,0.14157,NA,0.00000,NA,NA,735.41837,1.45347,68.67889,0.25368,NA,13.32091,1.73754,0.52587,261.70093,NA,0.00000,0.00000,0.00956,NA,NA,20.46451,50.25513,0.44031
11,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,4.95526,NA,NA,NA,0.26010,NA,0.00000,12.13184,NA,NA,NA,NA,43200.00000,NA,NA,NA,NA,109.94463,NA,NA,NA,0.00000,2531.94652,NA,NA,NA
11,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345.39700,NA,NA,NA,NA,NA,NA,NA,NA,NA,16110.42006,NA,NA
11,1,MS,roots,0.48509,12.60950,0.12075,0.09017,0.11165,50.82329,2.91913,0.01011,NA,0.39164,0.28391,NA,NA,0.52116,12.56378,0.37613,NA,0.00000,NA,NA,733.79181,1.55176,72.37920,0.71513,NA,11.69434,1.62198,0.52587,261.97485,NA,0.00000,0.00000,0.00956,NA,NA,50.51498,50.25513,1.19671
12,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,4.97976,NA,NA,NA,0.26234,NA,0.00000,12.19183,NA,NA,NA,NA,46800.00000,NA,NA,NA,NA,110.20622,NA,NA,NA,0.00000,2539.14034,NA,NA,NA
12,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352.79808,NA,NA,NA,NA,NA,NA,NA,NA,NA,16395.97112,NA,NA
12,1,MS,roots,0.57895,12.16451,0.13279,0.12226,0.13798,49.61465,7.63611,0.01012,NA,0.12400,0.08398,NA,NA,0.15671,14.99489,0.11873,NA,0.00000,NA,NA,732.15538,1.54971,72.02146,0.21153,NA,9.47896,1.47736,0.52749,261.82538,NA,0.00000,0.00000,0.01297,NA,NA,15.10023,59.97957,0.36469
13,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,5.01117,NA,NA,NA,0.26079,NA,0.00000,12.26874,NA,NA,NA,NA,50400.00000,NA,NA,NA,NA,110.46803,NA,NA,NA,0.00000,2546.37447,NA,NA,NA
13,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359.68926,NA,NA,NA,NA,NA,NA,NA,NA,NA,16921.24304,NA,NA
13,1,MS,roots,0.57895,13.47476,0.11366,0.12236,0.12567,53.14096,2.38203,0.01012,NA,0.37406,0.26947,NA,NA,0.48902,14.99489,0.35814,NA,0.00000,NA,NA,730.78958,1.58192,74.41977,0.67877,NA,8.11316,1.34563,0.52749,262.02826,NA,0.00000,0.00000,0.01297,NA,NA,45.89479,59.97957,1.13255
14,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,5.04599,NA,NA,NA,0.25816,NA,0.00000,12.35397,NA,NA,NA,NA,54000.00000,NA,NA,NA,NA,110.72756,NA,NA,NA,0.00000,2553.65829,NA,NA,NA
14,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366.95322,NA,NA,NA,NA,NA,NA,NA,NA,NA,17560.36941,NA,NA
14,1,MS,roots,0.58617,13.14233,0.09650,0.12041,0.11289,53.93266,6.99530,0.01013,NA,0.11720,0.07928,NA,NA,0.14546,15.18191,0.11186,NA,0.00000,NA,NA,730.25789,1.57625,75.43075,0.19969,NA,6.99530,1.22749,0.52914,261.84418,NA,0.00000,0.00000,0.01277,NA,NA,13.14233,60.72766,0.34193
15,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,5.07941,NA,NA,NA,0.25509,NA,0.00000,12.43579,NA,NA,NA,NA,57600.00000,NA,NA,NA,NA,110.98419,NA,NA,NA,0.00000,2560.99061,NA,NA,NA
15,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,373.58997,NA,NA,NA,NA,NA,NA,NA,NA,NA,18212.74989,NA,NA
15,1,MS,roots,0.58617,14.48691,0.08302,0.12050,0.10297,55.56580,1.94229,0.01013,NA,0.38121,0.27487,NA,NA,0.49294,15.18191,0.36386,NA,0.00000,NA,NA,729.28062,1.57939,76.99604,0.69236,NA,6.01803,1.11964,0.52914,262.04664,NA,0.00000,0.00000,0.01277,NA,NA,44.88649,60.72766,1.14902
16,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,5.11161,NA,NA,NA,0.25300,NA,0.00000,12.51463,NA,NA,NA,NA,61200.00000,NA,NA,NA,NA,111.23820,NA,NA,NA,0.00000,2568.37176,NA,NA,NA
16,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380.69000,NA,NA,NA,NA,NA,NA,NA,NA,NA,18830.77726,NA,NA
16,1,MS,roots,0.57543,13.97238,0.06829,0.11959,0.09335,54.25914,4.98480,0.01013,NA,0.12434,0.08451,NA,NA,0.15372,14.90360,0.11832,NA,0.00000,NA,NA,728.82283,1.55475,76.90543,0.21286,NA,4.98480,1.02203,0.53075,261.87232,NA,0.00000,0.00000,0.01269,NA,NA,13.97238,59.61441,0.36257
17,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,5.14096,NA,NA,NA,0.25108,NA,0.00000,12.58648,NA,NA,NA,NA,64800.00000,NA,NA,NA,NA,111.49020,NA,NA,NA,0.00000,2575.79694,NA,NA,NA
17,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386.88332,NA,NA,NA,NA,NA,NA,NA,NA,NA,19394.03793,NA,NA
17,1,MS,roots,0.57543,13.15408,0.06382,0.11968,0.08521,51.36440,1.32894,0.01013,NA,0.35883,0.26007,NA,NA,0.46628,14.90360,0.34146,NA,0.00000,NA,NA,728.49610,1.51791,76.09126,0.65508,NA,4.65808,0.93295,0.53075,262.06698,NA,0.00000,0.00000,0.01269,NA,NA,46.10632,59.61441,1.08518
18,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,5.16672,NA,NA,NA,0.25102,NA,0.00000,12.64955,NA,NA,NA,NA,68400.00000,NA,NA,NA,NA,111.74112,NA,NA,NA,0.00000,2583.26222,NA,NA,NA
18,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,393.15282,NA,NA,NA,NA,NA,NA,NA,NA,NA,19811.91753,NA,NA
18,1,MS,roots,0.46359,10.96754,0.04372,0.10133,0.06679,44.87103,1.81689,0.01014,NA,0.16300,0.11304,NA,NA,0.20770,12.00699,0.15473,NA,0.00000,NA,NA,728.07002,1.44863,72.99995,0.28473,NA,3.76840,0.86353,0.53204,262.01686,NA,0.00000,0.00000,0.01074,NA,NA,22.74767,48.02796,0.48373
19,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,5.18787,NA,NA,NA,0.25209,NA,0.00000,12.70133,NA,NA,NA,NA,72000.00000,NA,NA,NA,NA,111.99268,NA,NA,NA,0.00000,2590.76169,NA,NA,NA
19,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,398.29577,NA,NA,NA,NA,NA,NA,NA,NA,NA,20067.78805,NA,NA
19,1,MS,roots,0.46359,8.45119,0.04734,0.10140,0.06183,36.77059,0.64275,0.01014,NA,0.29242,0.21538,NA,NA,0.39818,12.00699,0.27758,NA,0.00000,NA,NA,728.38204,1.36130,68.58809,0.54251,NA,4.08043,0.79942,0.53204,262.20467,NA,0.00000,0.00000,0.01074,NA,NA,53.65134,48.02796,0.90597
20,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,5.20661,NA,NA,NA,0.25429,NA,0.00000,12.74723,NA,NA,NA,NA,75600.00000,NA,NA,NA,NA,112.24582,NA,NA,NA,0.00000,2598.28940,NA,NA,NA
20,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403.17710,NA,NA,NA,NA,NA,NA,NA,NA,NA,20210.49323,NA,NA
20,1,MS,roots,0.32071,6.69155,0.02343,0.05210,0.03052,30.87532,0.61947,0.01014,NA,0.19906,0.14366,NA,NA,0.27355,8.30634,0.18864,NA,0.00000,NA,NA,728.55409,1.29402,64.86681,0.36187,NA,3.93177,0.76830,0.53294,262.32133,NA,0.00000,0.00000,0.00552,NA,NA,42.47130,33.22538,0.61627
21,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,5.22296,NA,NA,NA,0.25721,NA,0.00000,12.78725,NA,NA,NA,NA,79200.00000,NA,NA,NA,NA,112.50155,NA,NA,NA,0.00000,2605.84214,NA,NA,NA
21,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407.57547,NA,NA,NA,NA,NA,NA,NA,NA,NA,20262.49241,NA,NA
21,1,MS,roots,0.32071,7.06562,0.02661,0.05216,0.02933,32.11317,0.43562,0.01014,NA,0.32982,0.25140,NA,NA,0.46811,8.30634,0.31256,NA,0.00000,NA,NA,729.08863,1.32285,65.76527,0.63325,NA,4.46630,0.73838,0.53294,262.63997,NA,0.00000,0.00000,0.00552,NA,NA,72.44276,33.22538,1.04933
22,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,5.23852,NA,NA,NA,0.26079,NA,0.00000,12.82535,NA,NA,NA,NA,82800.00000,NA,NA,NA,NA,112.76057,NA,NA,NA,0.00000,2613.41812,NA,NA,NA
22,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412.09526,NA,NA,NA,NA,NA,NA,NA,NA,NA,20266.48699,NA,NA
22,1,MS,roots,0.42752,6.99153,0.03091,0.06323,0.03387,31.97995,0.62859,0.01015,NA,0.22783,0.16611,NA,NA,0.31328,11.07266,0.21542,NA,0.00000,NA,NA,729.33188,1.33402,65.60592,0.41840,NA,4.28204,0.70370,0.53414,262.78348,NA,0.00000,0.00000,0.00668,NA,NA,47.62708,44.29065,0.70722
23,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,5.25312,NA,NA,NA,0.26430,NA,0.00000,12.86110,NA,NA,NA,NA,86400.00000,NA,NA,NA,NA,113.02314,NA,NA,NA,0.00000,2621.01572,NA,NA,NA
23,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415.94667,NA,NA,NA,NA,NA,NA,NA,NA,NA,20240.59981,NA,NA
23,1,MS,roots,0.42752,5.94500,0.03488,0.06330,0.03227,28.25952,0.37352,0.01015,NA,0.30432,0.23386,NA,NA,0.44225,11.07266,0.28775,NA,0.00000,NA,NA,729.88135,1.29576,63.05347,0.58906,NA,4.83152,0.67065,0.53414,263.07359,NA,0.00000,0.00000,0.00668,NA,NA,76.89807,44.29065,0.98043
24,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,5.26772,NA,NA,NA,0.26804,NA,0.00000,12.89682,NA,NA,NA,NA,90000.00000,NA,NA,NA,NA,113.28935,NA,NA,NA,0.00000,2628.63463,NA,NA,NA
24,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,419.87973,NA,NA,NA,NA,NA,NA,NA,NA,NA,20202.39054,NA,NA
24,1,MS,roots,0.37538,5.87885,0.02269,0.04089,0.02020,28.11705,0.49441,0.01016,NA,0.23737,0.17641,NA,NA,0.33700,9.72246,0.22400,NA,0.00000,NA,NA,730.29571,1.30659,62.86607,0.44436,NA,4.87049,0.65014,0.53519,263.27511,NA,0.00000,0.00000,0.00431,NA,NA,57.91318,38.88982,0.75079
25,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,5.28187,NA,NA,NA,0.27160,NA,0.00000,12.93147,NA,NA,NA,NA,93600.00000,NA,NA,NA,NA,113.55922,NA,NA,NA,0.00000,2636.27420,NA,NA,NA
25,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,423.31707,NA,NA,NA,NA,NA,NA,NA,NA,NA,20154.72909,NA,NA
25,1,MS,roots,0.37538,5.44519,0.02546,0.04094,0.01958,26.50381,0.34317,0.01016,NA,0.31450,0.24571,NA,NA,0.46674,9.72246,0.29678,NA,0.00000,NA,NA,730.88882,1.29559,61.68492,0.61891,NA,5.46359,0.63026,0.53519,263.61917,NA,0.00000,0.00000,0.00431,NA,NA,86.69178,38.88982,1.02694
26,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,5.29624,NA,NA,NA,0.27556,NA,0.00000,12.96665,NA,NA,NA,NA,97200.00000,NA,NA,NA,NA,113.83286,NA,NA,NA,0.00000,2643.93458,NA,NA,NA
26,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,427.21630,NA,NA,NA,NA,NA,NA,NA,NA,NA,20102.98998,NA,NA
26,1,MS,roots,0.48081,6.83059,0.03292,0.05473,0.02509,31.61630,0.65904,0.01016,NA,0.25382,0.18757,NA,NA,0.35230,12.45295,0.23893,NA,0.00000,NA,NA,731.19513,1.38444,65.14581,0.47247,NA,5.28910,0.60465,0.53654,263.81435,NA,0.00000,0.00000,0.00576,NA,NA,54.81845,49.81178,0.79369
27,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,5.31027,NA,NA,NA,0.27914,NA,0.00000,13.00100,NA,NA,NA,NA,100800.00000,NA,NA,NA,NA,114.11025,NA,NA,NA,0.00000,2651.61537,NA,NA,NA
27,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430.44269,NA,NA,NA,NA,NA,NA,NA,NA,NA,20047.83451,NA,NA
27,1,MS,roots,0.48081,5.32146,0.03644,0.05479,0.02407,26.14809,0.37272,0.01016,NA,0.30045,0.23352,NA,NA,0.44481,12.45295,0.28282,NA,0.00000,NA,NA,731.76132,1.31590,61.28795,0.58821,NA,5.85529,0.58009,0.53654,264.12223,NA,0.00000,0.00000,0.00576,NA,NA,83.59753,49.81178,0.97878
28,1,MS,grains,NA,NA,NA,NA,NA,NA,NA,NA,0.00000,NA,NA,0.00000,5.32477,NA,NA,NA,0.28273,NA,0.00000,13.03650,NA,NA,NA,NA,104400.00000,NA,NA,NA,NA,114.39123,NA,NA,NA,0.00000,2659.31671,NA,NA,NA
28,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433.78845,NA,NA,NA,NA,NA,NA,NA,NA,NA,20001.94021,NA,NA
28,1,MS,roots,0.35004,5.14776,0.02238,0.03296,0.01411,25.57657,0.45811,0.01017,NA,0.24444,0.18470,NA,NA,0.35593,9.06596,0.22968,NA,0.00000,NA,NA,732.23810,1.31812,60.77853,0.46523,NA,5.98203,0.56580,0.53752,264.35704,NA,0.00000,0.00000,0.00346,NA,NA,67.21949,36.26385,0.78507
