t,plant,axis,GA,SAM_height,SAM_temperature,Total_Transpiration,cohort,delta_teq,delta_teq_roots,mstruct,nb_leaves,senesced_mstruct,status,sum_TT,teq_since_primordium
19,1,MS,False,0,5.71200000,0.00002461,1,1634.23710079,1634.23710079,0.05558003,10,0.00000000,vegetative,4.45486809,32075.05026829
20,1,MS,False,0,5.84000000,0.00002972,1,1670.85866047,1670.85866047,0.05564656,10,0.00000000,vegetative,4.68693180,33745.90892876
21,1,MS,False,0,6.00100000,0.00003019,1,1716.92171601,1716.92171601,0.05571446,10,0.00000000,vegetative,4.92539315,35462.83064477
22,1,MS,False,0,6.20300000,0.00005137,1,1774.71511488,1774.71511488,0.05578414,10,0.00000000,vegetative,5.17188136,37237.54575965
23,1,MS,False,0,6.43300000,0.00005110,1,1840.51947993,1840.51947993,0.05586004,10,0.00000000,vegetative,5.42750906,39078.06523958
24,1,MS,False,0,6.62600000,0.00004104,1,1895.73792539,1895.73792539,0.05593783,10,0.00000000,vegetative,5.69080600,40973.80316497
25,1,MS,False,0,6.77300000,0.00005530,1,1937.79549784,1937.79549784,0.05601675,10,0.00000000,vegetative,5.95994426,42911.59866281
26,1,MS,False,0,6.93100000,0.00007659,1,1983.00023557,1983.00023557,0.05609692,10,0.00000000,vegetative,6.23536096,44894.59889838
27,1,MS,False,0,7.14000000,0.00004636,1,2042.79637599,2042.79637599,0.05618720,10,0.00000000,vegetative,6.51908268,46937.39527437
28,1,MS,False,0,7.30500000,0.00002776,1,2090.00385526,2090.00385526,0.05627468,10,0.00000000,vegetative,6.80936099,49027.39912963
29,1,MS,False,0,7.42500000,0.00002444,1,2124.33656747,2124.33656747,0.05636076,10,0.00000000,vegetative,7.10440774,51151.73569710
30,1,MS,False,0,7.50000000,0.00002462,1,2145.79451259,2145.79451259,0.05644708,10,0.00000000,vegetative,7.40243475,53297.53020969
31,1,MS,False,0,7.57000000,0.00003917,1,2165.82192804,2165.82192804,0.05653354,10,0.00000000,vegetative,7.70324335,55463.35213773
32,1,MS,False,0,7.53500000,0.00005001,1,2155.80822032,2155.80822032,0.05661889,10,0.00000000,vegetative,8.00266116,57619.16035805
33,1,MS,False,0,7.59000000,0.00005811,1,2171.54404674,2171.54404674,0.05670413,10,0.00000000,vegetative,8.30426450,59790.70440479
34,1,MS,False,0,7.52000000,0.00007222,1,2151.51663129,2151.51663129,0.05678778,10,0.00000000,vegetative,8.60308626,61942.22103608
35,1,MS,False,0,7.36500000,0.00006265,1,2107.17021137,2107.17021137,0.05686892,10,0.00000000,vegetative,8.89574878,64049.39124745
36,1,MS,False,0,7.43000000,0.00004401,1,2125.76709714,2125.76709714,0.05694997,10,0.00000000,vegetative,9.19099421,66175.15834459
37,1,MS,False,0,7.53000000,0.00007829,1,2154.37769064,2154.37769064,0.05703125,10,0.00000000,vegetative,9.49021334,68329.53603523
38,1,MS,False,0,7.46500000,0.00010560,1,2135.78080487,2135.78080487,0.05711092,10,0.00000000,vegetative,9.78684956,70465.31684010
39,1,MS,False,0,7.16000000,0.00007334,1,2048.51849469,2048.51849469,0.05718645,10,0.00000000,vegetative,10.07136602,72513.83533478
40,1,MS,False,0,7.01500000,0.00008654,1,2007.03313411,2007.03313411,0.05725961,10,0.00000000,vegetative,10.35012062,74520.86846890
41,1,MS,False,0,7.03500000,0.00008319,1,2012.75525281,2012.75525281,0.05733215,10,0.00000000,vegetative,10.62966996,76533.62372171
42,1,MS,False,0,6.99600000,0.00005295,1,2001.59712135,2001.59712135,0.05740342,10,0.00000000,vegetative,10.90766956,78535.22084305
43,1,MS,False,0,6.92800000,0.00005935,1,1982.14191776,1982.14191776,0.05747313,10,0.00000000,vegetative,11.18296705,80517.36276082
44,1,MS,False,0,6.72700000,0.00005739,1,1924.63462483,1924.63462483,0.05753995,10,0.00000000,vegetative,11.45027741,82441.99738564
45,1,MS,False,0,6.38100000,0.00030207,1,1825.64197131,1825.64197131,0.05760254,10,0.00000000,vegetative,11.70383880,84267.63935696
46,1,MS,False,0,6.25000000,0.00063356,1,1788.16209383,1788.16209383,0.05766330,10,0.00000000,vegetative,11.95219465,86055.80145078
47,1,MS,False,0,6.45200000,0.00066223,1,1845.95549270,1845.95549270,0.05772580,10,0.00000000,vegetative,12.20857735,87901.75694348
48,1,MS,False,0,6.75600000,0.00113053,1,1932.93169694,1932.93169694,0.05779143,10,0.00000000,vegetative,12.47704009,89834.68864042
49,1,MS,False,0,7.07500000,0.00100587,1,2024.19949021,2024.19949021,0.05786097,10,0.00000000,vegetative,12.75817891,91858.88813064
50,1,MS,False,0,7.19500000,0.00071363,1,2058.53220241,2058.53220241,0.05793305,10,0.00000000,vegetative,13.04408616,93917.42033305
51,1,MS,False,0,7.13500000,0.00054867,1,2041.36584631,2041.36584631,0.05800619,10,0.00000000,vegetative,13.32760919,95958.78617936
52,1,MS,False,0,7.03800000,0.00015385,1,2013.61357062,2013.61357062,0.05808002,10,0.00000000,vegetative,13.60727774,97972.39974998
53,1,MS,False,0,6.73600000,0.00009334,1,1927.20957824,1927.20957824,0.05815203,10,0.00000000,vegetative,13.87494574,99899.60932822
54,1,MS,False,0,6.37100000,0.00007282,1,1822.78091196,1822.78091196,0.05821923,10,0.00000000,vegetative,14.12810976,101722.39024018
55,1,MS,False,0,6.14300000,0.00004272,1,1757.54875878,1757.54875878,0.05828650,10,0.00000000,vegetative,14.37221375,103479.93899896
56,1,MS,False,0,5.92200000,0.00004794,1,1694.31934714,1694.31934714,0.05835185,10,0.00000000,vegetative,14.60753588,105174.25834611
57,1,MS,False,0,5.79200000,0.00005233,1,1657.12557559,1657.12557559,0.05841615,10,0.00000000,vegetative,14.83769221,106831.38392170
58,1,MS,False,0,5.71100000,0.00005236,1,1633.95099485,1633.95099485,0.05847982,10,0.00000000,vegetative,15.06462985,108465.33491655
59,1,MS,False,0,5.68600000,0.00003867,1,1626.79834648,1626.79834648,0.05854244,10,0.00000000,vegetative,15.29057406,110092.13326303
60,1,MS,False,0,5.67500000,0.00002925,1,1623.65118119,1623.65118119,0.05860599,10,0.00000000,vegetative,15.51608117,111715.78444422
61,1,MS,False,0,5.62100000,0.00002508,1,1608.20146070,1608.20146070,0.05866892,10,0.00000000,vegetative,15.73944249,113323.98590493
62,1,MS,False,0,5.53500000,0.00002475,1,1583.59635029,1583.59635029,0.05873082,10,0.00000000,vegetative,15.95938642,114907.58225522
63,1,MS,False,0,5.43300000,0.00002108,1,1554.41354492,1554.41354492,0.05879147,10,0.00000000,vegetative,16.17527719,116461.99580014
64,1,MS,False,0,5.35100000,0.00001758,1,1530.95285825,1530.95285825,0.05885106,10,0.00000000,vegetative,16.38790954,117992.94865839
65,1,MS,False,0,5.29800000,0.00001734,1,1515.78924369,1515.78924369,0.05890989,10,0.00000000,vegetative,16.59843582,119508.73790209
66,1,MS,False,0,5.24600000,0.00001748,1,1500.91173507,1500.91173507,0.05896794,10,0.00000000,vegetative,16.80689578,121009.64963716
67,1,MS,False,0,5.17400000,0.00002055,1,1480.31210775,1480.31210775,0.05902497,10,0.00000000,vegetative,17.01249469,122489.96174492
68,1,MS,False,0,5.08700000,0.00002056,1,1455.42089141,1455.42089141,0.05908080,10,0.00000000,vegetative,17.21463648,123945.38263632
69,1,MS,False,0,4.99800000,0.00003778,1,1429.95746319,1429.95746319,0.05913541,10,0.00000000,vegetative,17.41324168,125375.34009951
70,1,MS,False,0,4.94800000,0.00005687,1,1415.65216644,1415.65216644,0.05918923,10,0.00000000,vegetative,17.60986004,126790.99226595
71,1,MS,False,0,4.96700000,0.00011318,1,1421.08817921,1421.08817921,0.05924303,10,0.00000000,vegetative,17.80723340,128212.08044516
72,1,MS,False,0,5.11400000,0.00015631,1,1463.14575165,1463.14575165,0.05929827,10,0.00000000,vegetative,18.01044808,129675.22619681
73,1,MS,False,0,5.32800000,0.00021753,1,1524.37242175,1524.37242175,0.05935574,10,0.00000000,vegetative,18.22216647,131199.59861856
74,1,MS,False,0,5.43500000,0.00020828,1,1554.98575679,1554.98575679,0.05941437,10,0.00000000,vegetative,18.43813672,132754.58437535
75,1,MS,False,0,5.44200000,0.00021456,1,1556.98849834,1556.98849834,0.05947319,10,0.00000000,vegetative,18.65438512,134311.57287369
76,1,MS,False,0,5.25600000,0.00015065,1,1503.77279442,1503.77279442,0.05953019,10,0.00000000,vegetative,18.86324245,135815.34566811
77,1,MS,False,0,4.89800000,0.00006068,1,1401.34686969,1401.34686969,0.05958353,10,0.00000000,vegetative,19.05787396,137216.69253780
78,1,MS,False,0,4.39500000,0.00005496,1,1257.43558438,1257.43558438,0.05963158,10,0.00000000,vegetative,19.23251779,138474.12812218
79,1,MS,False,0,3.92600000,0.00004551,1,1123.25190086,1123.25190086,0.05967466,10,0.00000000,vegetative,19.38852500,139597.38002304
80,1,MS,False,0,3.53700000,0.00003590,1,1011.95669214,1011.95669214,0.05971361,10,0.00000000,vegetative,19.52907454,140609.33671517
81,1,MS,False,0,3.16000000,0.00003269,1,904.09475464,904.09475464,0.05974853,10,0.00000000,vegetative,19.65464326,141513.43146981
82,1,MS,False,0,2.84700000,0.00002562,1,814.54359698,814.54359698,0.05978009,10,0.00000000,vegetative,19.76777431,142327.97506679
83,1,MS,False,0,2.60500000,0.00002295,1,745.30596071,745.30596071,0.05980906,10,0.00000000,vegetative,19.87128903,143073.28102750
84,1,MS,False,0,2.49400000,0.00001696,1,713.54820192,713.54820192,0.05983687,10,0.00000000,vegetative,19.97039295,143786.82922942
85,1,MS,False,0,2.45700000,0.00001628,1,702.96228233,702.96228233,0.05986434,10,0.00000000,vegetative,20.06802660,144489.79151175
86,1,MS,False,0,2.40300000,0.00001415,1,687.51256183,687.51256183,0.05989125,10,0.00000000,vegetative,20.16351445,145177.30407358
87,1,MS,False,0,2.35400000,0.00001172,1,673.49337102,673.49337102,0.05991765,10,0.00000000,vegetative,20.25705520,145850.79744460
88,1,MS,False,0,2.30300000,0.00000881,1,658.90196833,658.90196833,0.05994350,10,0.00000000,vegetative,20.34856936,146509.69941293
89,1,MS,False,0,2.24100000,0.00000639,1,641.16340036,641.16340036,0.05996867,10,0.00000000,vegetative,20.43761984,147150.86281329
90,1,MS,False,0,2.17900000,0.00000675,1,623.42483239,623.42483239,0.05999314,10,0.00000000,vegetative,20.52420662,147774.28764569
91,1,MS,False,0,2.14300000,0.00000643,1,613.12501873,613.12501873,0.06001721,10,0.00000000,vegetative,20.60936287,148387.41266442
92,1,MS,False,0,2.07000000,0.00001060,1,592.23928548,592.23928548,0.06004045,10,0.00000000,vegetative,20.69161833,148979.65194989
93,1,MS,False,0,1.98800000,0.00016161,1,568.77859880,568.77859880,0.06006276,10,0.00000000,vegetative,20.77061535,149548.43054870
94,1,MS,False,0,1.93200000,0.00058693,1,552.75666644,552.75666644,0.06008447,10,0.00000000,vegetative,20.84738711,150101.18721514
95,1,MS,False,0,1.92100000,0.00084766,1,549.60950116,549.60950116,0.06010617,10,0.00000000,vegetative,20.92372177,150650.79671630
96,1,MS,False,0,2.04400000,0.00111631,1,584.80053116,584.80053116,0.06012949,10,0.00000000,vegetative,21.00494406,151235.59724746
97,1,MS,False,0,2.51600000,0.00086266,1,719.84253249,719.84253249,0.06015865,10,0.00000000,vegetative,21.10492219,151955.43977995
98,1,MS,False,0,2.92600000,0.00055659,1,837.14596585,837.14596585,0.06019321,10,0.00000000,vegetative,21.22119246,152792.58574580
99,1,MS,False,0,3.18900000,0.00043338,1,912.39182675,912.39182675,0.06023162,10,0.00000000,vegetative,21.34791355,153704.97757255
