t,plant,axis,metamer,organ,element,Ag,Amino_Acids_import,An,D_Fructan,D_Proteins,D_Starch,D_cytokinins,Loading_Amino_Acids,Loading_Sucrose,N_content_total,Nitrates_import,Nresidual,Nstruct,PARa,PARa_prim,Photosynthesis,R_Nnit_red,R_phloem_loading,R_residual,Rd,Regul_S_Fructan,S_Amino_Acids,S_Fructan,S_Proteins,S_Starch,S_Sucrose,Total_Organic_Nitrogen,Tr,Transpiration,Ts,Wmax,age,amino_acids,area_prim,cytokinins,cytokinins_import,fructan,green_area,gs,height,is_growing,is_over,length,max_mstruct,max_proteins,mstruct,nb_replications,nitrates,proteins,senesced_length_element,senesced_mstruct,starch,sucrose,sum_respi,triosesP,width
1,1,MS,3,blade,LeafElement1,13.23901307,0.00000000,13.11662564,0.00000073,1.73189512,76.05938005,1.84460636,-0.05063425,4.55680858,NA,0.00000000,0.00000000,0.00002090,326.65653630,NA,8.75396561,0.00000000,0.00011403,0.10079312,0.12238743,0.00000000,0.00000000,0.00000016,1.31574289,209.67471897,1889.18991730,24.29694494,1.04469721,0.00019188,10.16291812,0.00400000,80.48097587,0.36539389,NA,0.45520102,0.00000000,0.00000073,0.00018367,0.37982253,0.05149556,True,False,0.06391294,0.00417081,0.00000000,0.00417081,1.00000000,-0.00000000,22.43869390,0,0.00000000,0.70385561,7.42431676,0.10090716,0.00198654,0.00288350
1,1,MS,4,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24891216,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00001008,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000,NA,NA,NA
1,1,MS,5,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24891216,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00005042,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000,NA,NA,NA
2,1,MS,1,blade,LeafElement1,9.38743596,0.07514754,9.30902460,0.00000000,2.10700603,89.53275240,1.34642612,0.23716617,5.76276163,0.06661592,0.09526803,0.00000000,0.00002050,276.24302027,NA,6.60122902,0.09431535,0.00014200,0.09728598,0.07841136,0.00000000,23.19781156,0.00000013,2.37602284,135.47435329,1394.91137130,19.43708880,0.78449031,0.00015324,8.91356990,0.00300000,240.69615137,1.03377197,NA,0.35027817,0.01252927,0.00000000,0.00019533,0.34620601,0.04750747,False,False,0.08200000,0.00410677,4400.00000000,0.00410677,1.00000000,0.00011039,16.93903112,0,0.00000000,0.87346145,18.29672191,0.19174333,0.00134327,0.00232481
2,1,MS,1,sheath,StemElement,0.91801040,0.04057464,1.16938102,0.00000000,2.70893005,18.94027243,0.42862157,0.02951110,0.82623367,0.02310193,0.05143836,0.00000000,0.00000855,112.18727155,NA,0.88769973,0.05093485,0.00000848,0.01149057,0.00755538,0.00000001,30.08733328,0.00000251,1.81123348,28.34535346,390.90927988,2.89421299,0.30802561,0.00008274,7.58827324,NA,240.69615137,0.26476042,NA,0.04643019,0.00676497,0.00000000,0.00026861,0.17656182,0.01424321,False,False,0.02850000,0.00171000,1183.15614503,0.00171000,1.00000000,0.00014943,2.01873829,0,0.00000000,0.07693855,5.35463512,0.06243389,0.00011553,0.00300000
2,1,MS,2,blade,LeafElement1,9.66134521,0.08516896,9.57657848,0.00000000,1.76712237,101.43652372,1.58907035,0.31982198,7.32553960,0.07778229,0.10797265,0.00000000,0.00002420,258.86058056,NA,8.38459468,0.10689292,0.00021263,0.13208044,0.08476673,0.00000000,22.31926800,0.00000010,2.46180636,152.12084969,1506.97748909,26.68345525,0.72042288,0.00017367,8.56178945,0.00330000,160.69615137,1.30931340,NA,0.48697573,0.01420013,0.00000000,0.00024107,0.33735447,0.06200019,False,False,0.09200000,0.00483764,4887.08178364,0.00483764,1.00000000,0.00011975,23.64557042,0,0.00000000,1.16570810,22.48607136,0.23918599,0.00178034,0.00255729
2,1,MS,2,sheath,HiddenElement,0.00000000,0.00000000,0.00000000,2.52296027,3.18718455,0.00000000,0.53474151,0.02064516,0.53373553,0.03052583,0.00000000,0.00000000,0.00001140,NA,NA,0.00000000,0.00000000,0.00000730,0.01778534,0.00000000,0.00000005,0.00000000,0.00002070,1.66813857,0.00000000,0.00000000,4.94400167,0.00000000,0.00000000,6.26400000,NA,160.69615137,0.30995837,NA,0.07723410,0.00000000,6.69627154,0.00024800,0.00000000,NA,False,False,0.02850000,0.00228000,1678.21735658,0.00228000,1.00000000,0.00000000,3.81975759,0,0.00000000,0.00000000,6.42934164,0.01779264,0.00000000,0.00300000
2,1,MS,2,sheath,StemElement,1.18481036,0.00041277,1.50576292,0.00000002,3.08400461,19.93090587,0.56168000,0.00070233,0.00067217,0.03007359,0.00052329,0.00000000,0.00000020,58.05366974,NA,0.02009983,0.00051807,0.00000000,0.00028225,0.01322471,0.00014605,13.08246592,0.04953408,1.53868381,31.30820159,427.75475444,0.08609871,0.17861416,0.00000084,5.99780900,NA,160.69615137,0.00481276,NA,0.00142324,0.00006882,0.00000002,0.00000471,0.17078979,0.02873631,False,False,0.00050000,0.00004000,1678.21735000,0.00004000,1.00000000,0.00000139,0.06700023,0,0.00000000,0.00189386,0.09510630,0.00080032,0.00000299,0.00300000
2,1,MS,3,blade,LeafElement1,10.10815300,0.05898529,10.00919033,0.00000073,1.60124346,93.83310757,1.73281332,0.09184955,3.91230366,NA,0.07477840,0.00000000,0.00002090,233.32609736,NA,6.70460985,0.07403062,0.00009790,0.09366733,0.09896267,0.00000000,17.92898860,0.00000029,1.35076227,137.68492673,1410.29869597,24.34632908,0.65281881,0.00012028,8.31480074,0.00400000,80.69615137,0.41608233,NA,0.45782822,0.00983456,0.00000073,0.00018425,0.32388228,0.05165651,True,False,0.06405924,0.00417081,0.00000000,0.00417081,1.00000000,0.00008593,22.43738960,0,0.00000000,0.92968997,9.90371780,0.16779586,0.00138685,0.00288346
2,1,MS,4,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46408767,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00001012,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000,NA,NA,NA
2,1,MS,5,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46408767,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00005060,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000,NA,NA,NA
3,1,MS,1,blade,LeafElement1,5.19376904,0.04291540,5.13215127,0.00000000,1.87738974,75.55049343,1.22386377,0.16824253,3.74219960,0.06626154,0.05870379,0.00000000,0.00002050,110.49720809,NA,3.65224956,0.05811676,0.00009221,0.07480802,0.06161776,0.00000000,14.29440314,0.00000040,2.04390008,64.02031770,777.84685750,19.34611545,0.24419236,0.00004770,5.43644113,0.00300000,240.94343432,0.94199134,NA,0.35299283,0.00772342,0.00000000,0.00019533,0.21894555,0.04750747,False,False,0.08200000,0.00410677,4400.00000000,0.00410677,1.00000000,0.00010177,16.93983839,0,0.00000000,0.81714924,17.25208479,0.13301699,0.00069833,0.00232481
3,1,MS,1,sheath,StemElement,0.70485520,0.02787548,0.89578451,0.00000002,2.33788274,18.50884676,0.42259440,0.03889542,0.39891309,0.02369653,0.03813076,0.00000000,0.00000855,44.87490861,NA,0.68158245,0.03774946,0.00000409,0.00964892,0.00787600,0.00000006,22.29869549,0.00002003,1.75286866,21.66191381,302.89266228,2.92579953,0.11534551,0.00003098,4.75071737,NA,240.94343432,0.29751370,NA,0.05075192,0.00501671,0.00000002,0.00026861,0.14892666,0.01424321,False,False,0.02850000,0.00171000,1183.15614503,0.00171000,1.00000000,0.00013912,2.01757154,0,0.00000000,0.08335648,5.30335592,0.04740247,0.00009784,0.00300000
3,1,MS,2,blade,LeafElement1,5.18060992,0.04828087,5.11252117,0.00000000,1.58432049,84.18191321,1.43843824,0.21678456,4.76675729,0.07722150,0.06604320,0.00000000,0.00002420,103.54423221,NA,4.49599030,0.06538278,0.00013836,0.10259607,0.06808876,0.00000000,13.65194081,0.00000032,2.09815540,67.99071165,816.06125199,26.54437616,0.22260114,0.00005366,5.27849625,0.00330000,160.94343432,1.16752652,NA,0.48871726,0.00868904,0.00000000,0.00024107,0.20896231,0.06200019,False,False,0.09200000,0.00483764,4887.82872613,0.00483764,1.00000000,0.00011078,23.64827820,0,0.00000000,1.07254745,21.05614481,0.16811721,0.00087408,0.00255729
3,1,MS,2,sheath,HiddenElement,0.00000000,0.00000000,0.00000000,2.35332424,2.89903165,0.00000000,0.47551283,0.01235758,0.00701638,0.03035790,0.00000000,0.00000000,0.00001140,NA,NA,0.00000000,0.00000000,0.00000010,0.01646005,0.00000000,0.00923284,0.00000000,3.09049252,1.46538114,0.00000000,0.00000000,4.92848629,0.00000000,0.00000000,5.41500000,NA,160.94343432,0.29765069,NA,0.07614295,0.00000000,6.69128620,0.00024800,0.00000000,NA,False,False,0.02850000,0.00228000,1678.21735658,0.00228000,1.00000000,0.00000000,3.81654989,0,0.00000000,0.00000000,6.20964792,0.01646015,0.00000000,0.00300000
3,1,MS,2,sheath,StemElement,0.70860507,0.00028367,0.89127010,0.00017984,2.73890580,17.88289386,0.51749859,0.00055211,-0.00299812,0.03013503,0.00038803,0.00000000,0.00000020,23.22146789,NA,0.01202120,0.00038413,0.00000000,0.00025990,0.01719794,0.01500000,9.70027686,4.96491412,1.41265660,17.67112399,250.65269223,0.08617283,0.06690537,0.00000032,4.09717568,NA,160.94343432,0.00494122,NA,0.00145379,0.00005105,0.00017984,0.00000471,0.12446379,0.02873631,False,False,0.00050000,0.00004000,1678.21735000,0.00004000,1.00000000,0.00000164,0.06694590,0,0.00000000,0.00188392,0.10707529,0.00064403,0.00000187,0.00300000
3,1,MS,3,blade,LeafElement1,5.13268331,0.03303305,5.05116737,0.00000074,1.44743538,76.55018752,1.56102187,0.05102071,1.90050988,NA,0.04518577,0.00000000,0.00002090,93.33043893,NA,3.41692780,0.04473389,0.00004756,0.07969967,0.08151594,0.00000001,10.83380568,0.00000247,1.28224248,58.64914265,724.63057819,24.37670303,0.19854277,0.00003671,5.17766787,0.00400000,80.94343432,0.44725532,NA,0.45725876,0.00594491,0.00000074,0.00018492,0.19291207,0.05178563,True,False,0.06423247,0.00417081,0.00000000,0.00417081,1.00000000,0.00008211,22.43659057,0,0.00000000,0.84087332,11.34659242,0.12448112,0.00064925,0.00288341
3,1,MS,4,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71137062,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00001016,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000,NA,NA,NA
3,1,MS,5,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71137062,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00005082,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000,NA,NA,NA
4,1,MS,1,blade,LeafElement1,0.93787364,0.01173666,0.83126739,0.00000001,1.88498607,54.63351843,1.20369431,0.11196310,1.89846833,0.06595139,0.01644667,0.00000000,0.00002050,15.72618551,NA,0.65951115,0.01628220,0.00004678,0.06410387,0.10660624,0.00000001,4.00477115,0.00000286,1.89981281,9.43299154,137.86245234,19.23978053,0.03430735,0.00000670,3.76259162,0.00300000,241.18014724,0.83533060,NA,0.35018720,0.00215566,0.00000001,0.00019533,0.08076346,0.04750747,False,False,0.08200000,0.00410677,4400.00000000,0.00410677,1.00000000,0.00011872,16.94016422,0,0.00000000,0.59603875,15.39656749,0.08043285,0.00010304,0.00232481
4,1,MS,1,sheath,StemElement,0.22446231,0.01237578,0.27306212,0.00000026,2.27970852,14.49707500,0.43171173,0.03391902,0.14590390,0.02395505,0.01734227,0.00000000,0.00000855,6.35329557,NA,0.21705107,0.01716886,0.00000150,0.00896154,0.01471007,0.00000113,10.14168794,0.00040142,1.71958463,5.89824948,87.36182464,2.91957545,0.02630719,0.00000707,3.61799917,NA,241.18014724,0.29226512,NA,0.05229665,0.00227304,0.00000026,0.00026861,0.08162481,0.01424321,False,False,0.02850000,0.00171000,1183.15614503,0.00171000,1.00000000,0.00019741,2.01659605,0,0.00000000,0.06585544,5.21011139,0.02613190,0.00002681,0.00300000
4,1,MS,2,blade,LeafElement1,0.90207036,0.01365106,0.78099171,0.00000001,1.59496511,60.57030139,1.41335066,0.14252901,2.44057023,0.07681898,0.01912932,0.00000000,0.00002420,14.71136177,NA,0.78286141,0.01893803,0.00007084,0.08852644,0.12107865,0.00000001,3.95426545,0.00000223,1.94373001,9.52598043,139.17289036,26.40490847,0.03233272,0.00000779,3.73660633,0.00330000,161.18014724,1.02603732,NA,0.48435928,0.00250727,0.00000001,0.00024107,0.07791857,0.06200019,False,False,0.09200000,0.00483764,4888.38845778,0.00483764,1.00000000,0.00013686,23.65029972,0,0.00000000,0.77841054,18.63476750,0.10753531,0.00012258,0.00255729
4,1,MS,2,sheath,HiddenElement,0.00000000,0.00000000,0.00000000,2.30616305,2.89752639,0.00000000,0.46481942,0.00832670,-0.17257754,0.03026264,0.00000000,0.00000000,0.00001140,NA,NA,0.00000000,0.00000000,0.00000000,0.01743283,0.00000000,0.01500000,0.00000000,5.01657622,1.43114452,0.00000000,0.00000000,4.91849248,0.00000000,0.00000000,6.22300000,NA,161.18014724,0.29095576,NA,0.07507632,0.00000000,6.69847681,0.00024800,0.00000000,NA,False,False,0.02850000,0.00228000,1678.21735658,0.00228000,1.00000000,0.00000000,3.81325101,0,0.00000000,0.00000000,6.28479985,0.01743283,0.00000000,0.00300000
4,1,MS,2,sheath,StemElement,0.12749940,0.00015740,0.13668866,0.00038054,2.70264928,12.93829490,0.51598541,0.00038819,-0.00558187,0.03016106,0.00022057,0.00000000,0.00000020,3.27678587,NA,0.00216298,0.00021793,0.00000000,0.00025554,0.02677211,0.01500000,5.50325200,5.10550480,1.39673400,2.23223250,33.53038103,0.08610046,0.01907159,0.00000009,3.53186569,NA,161.18014724,0.00492135,NA,0.00146211,0.00002891,0.00038054,0.00000471,0.06352180,0.02873631,False,False,0.00050000,0.00004000,1678.21735000,0.00004000,1.00000000,0.00000642,0.06689339,0,0.00000000,0.00137484,0.11332169,0.00047347,0.00000024,0.00300000
4,1,MS,3,blade,LeafElement1,0.86803248,0.00986624,0.71891801,0.02090153,1.46074366,54.92444251,1.53200362,0.00975495,-0.04373575,NA,0.01382564,0.00000000,0.00002090,13.47399675,NA,0.57990710,0.01368738,0.00000000,0.07391157,0.14911447,0.01500000,3.31485646,5.18510119,1.30558027,8.16286458,119.87125431,24.39352200,0.03035636,0.00000563,3.72299432,0.00400000,81.18014724,0.46473522,NA,0.45265162,0.00181212,0.02090153,0.00018558,0.07434054,0.05193718,True,False,0.06440020,0.00417081,0.00000000,0.00417081,1.00000000,0.00011355,22.43592964,0,0.00000000,0.60855694,12.10724757,0.08759895,0.00009054,0.00288336
4,1,MS,4,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94808354,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00001021,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000,NA,NA,NA
4,1,MS,5,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94808354,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00005103,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000,NA,NA,NA
5,1,MS,1,blade,LeafElement1,0.00000000,0.00173090,0.00000000,0.00000005,1.94171946,37.81688646,1.19806884,0.07453357,0.93200853,0.06558895,0.00243269,0.00000000,0.00002050,0.00000000,NA,0.00000000,0.00000000,0.00002297,0.06129318,0.15957761,0.00000006,0.00000000,0.00002322,1.79850217,0.00000000,0.00000000,19.15080265,0.01070827,0.00000209,3.57061335,0.00300000,241.40795910,0.74664341,NA,0.34555293,0.00031731,0.00000005,0.00019533,0.05000000,0.04750747,False,False,0.08200000,0.00410677,4400.00000000,0.00410677,1.00000000,0.00254873,16.93987353,0,0.00000000,0.40902499,14.18340437,0.06131615,-0.00000186,0.00232481
5,1,MS,1,sheath,StemElement,0.00000000,0.00217460,0.00000000,0.00012487,2.30680240,10.03485088,0.43259726,0.02265793,0.00982994,0.02390457,0.00305629,0.00000000,0.00000855,0.00000000,NA,0.00000000,0.00000000,0.00000010,0.00886980,0.01758912,0.00295769,0.00000000,1.05588700,1.64590854,0.00000000,0.00000000,2.89423293,0.00978333,0.00000263,3.55595413,NA,241.40795910,0.26797934,NA,0.05195323,0.00039865,0.00012487,0.00026861,0.05000000,0.01424321,False,False,0.02850000,0.00171000,1183.15614503,0.00171000,1.00000000,0.00325147,2.01553930,0,0.00000000,0.04519298,5.15382790,0.00886990,-0.00000080,0.00300000
5,1,MS,2,blade,LeafElement1,0.00000000,0.00214703,0.00000000,0.00000004,1.64594424,41.92624309,1.40661304,0.09454675,1.23023211,0.07641544,0.00301754,0.00000000,0.00002420,0.00000000,NA,0.00000000,0.00000000,0.00003571,0.08468545,0.17746791,0.00000004,0.00000000,0.00001670,1.83594862,0.00000000,0.00000000,26.29178731,0.01076265,0.00000259,3.57147484,0.00330000,161.40795910,0.91163850,NA,0.47790447,0.00039359,0.00000004,0.00024107,0.05000000,0.06200019,False,False,0.09200000,0.00483764,4888.80633019,0.00483764,1.00000000,0.00315127,23.65157738,0,0.00000000,0.53417514,17.05417124,0.08472116,-0.00000220,0.00255729
