t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi
9,1,MS,roots,0.01717446,0.00000000,0.00098060,0.00136732,0.00017489,0.98464220,0.00000000,0.00017484,NA,0.06947172,0.07668876,NA,NA,NA,0.05160537,0.59309131,1.00450163,NA,0.89176319,NA,NA,14.32153260,0.00000000,-28.18921715,0.19317069,NA,1.83264406,8.80733049,0.00004809,0.03492949,22.99845531,NA,0.00000000,0.00000330,0.00000000,NA,NA,118.78706260,1.72225472,0.19776586
10,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.17062790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.42259788,NA,NA
10,1,MS,roots,0.01702215,0.00000000,0.00101078,0.00140574,0.00017924,0.98133451,0.00000000,0.00017508,NA,0.06934742,0.07494140,NA,NA,NA,0.05121253,0.58783173,1.00133796,NA,0.88830277,NA,NA,14.35556180,0.00000000,-18.39656542,0.18876927,NA,1.84965111,8.83822904,0.00004766,0.03497715,23.15152861,NA,0.00000000,0.00000337,0.00000000,NA,NA,115.53661489,1.70698162,0.19550135
11,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.11497316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.04224661,NA,NA
11,1,MS,roots,0.01693959,0.00000000,0.00100024,0.00138722,0.00017636,0.97989886,0.00000000,0.00017532,NA,0.06935358,0.07344861,NA,NA,NA,0.05091726,0.58498037,1.00007077,NA,0.88636388,NA,NA,14.38960190,0.00000000,-10.55295792,0.18500909,NA,1.86675162,8.86910221,0.00004743,0.03502458,23.30073125,NA,0.00000000,0.00000331,0.00000000,NA,NA,112.57299458,1.69870167,0.19371945
12,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.05253086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.18380671,NA,NA
12,1,MS,roots,0.01674560,0.00000000,0.00212450,0.00293929,0.00037267,0.97554202,0.00000000,0.00017555,NA,0.06914568,0.07183076,NA,NA,NA,0.05051073,0.57828152,0.99573991,NA,0.88155377,NA,NA,14.42241697,0.00000000,-4.71505752,0.18093389,NA,1.88282109,8.89965008,0.00004689,0.03507147,23.44430664,NA,0.00000000,0.00000697,0.00000000,NA,NA,109.84242092,1.67924917,0.19148716
13,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.98589319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.19656121,NA,NA
13,1,MS,roots,0.01643569,0.00872553,0.00434351,0.00599965,0.00075884,0.96818074,0.00015421,0.00017578,NA,0.06871335,0.07008731,NA,NA,NA,0.04998450,0.56757908,0.98821731,NA,0.87378132,NA,NA,14.45285196,0.00154347,0.04362767,0.17654235,NA,1.89682039,8.92957790,0.00004602,0.03511749,23.58055184,NA,0.00000000,0.00001414,0.00000000,NA,NA,107.32370499,1.64817074,0.18878516
14,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.91395937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.10715574,NA,NA
14,1,MS,roots,0.01619450,0.81390134,0.00438884,0.00603740,0.00076188,0.96268287,0.01485313,0.00017601,NA,0.06840702,0.06854876,NA,NA,NA,0.04953636,0.55925007,0.98254313,NA,0.86750454,NA,NA,14.48755598,0.14316403,4.06950670,0.17266691,NA,1.91532990,8.95932016,0.00004534,0.03516283,23.71299018,NA,0.00000000,0.00001414,0.00000000,NA,NA,104.95359306,1.62398446,0.18649215
15,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.83331387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.90918006,NA,NA
15,1,MS,roots,0.01607545,1.54008740,0.00463171,0.00633244,0.00079741,0.96057905,0.02905557,0.00017624,NA,0.06833518,0.06730359,NA,NA,NA,0.04924857,0.55513900,0.98025652,NA,0.86406850,NA,NA,14.52592833,0.26912280,7.70043702,0.16953044,NA,1.93762681,8.98894340,0.00004501,0.03520784,23.84198716,NA,0.00000000,0.00001476,0.00000000,NA,NA,102.70370244,1.61204649,0.18488734
16,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.74666047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.61093588,NA,NA
16,1,MS,roots,0.01611383,2.18978817,0.00603252,0.00818755,0.00102901,0.96296605,0.04273364,0.00017646,NA,0.06857196,0.06640125,NA,NA,NA,0.04915579,0.55646435,0.98239409,NA,0.86434935,NA,NA,14.56646775,0.37992567,10.94894083,0.16725755,NA,1.96205240,9.01838249,0.00004512,0.03525296,23.96669264,NA,0.00000000,0.00001898,0.00000000,NA,NA,100.54092311,1.61589512,0.18412900
17,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.65603507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.21997690,NA,NA
17,1,MS,roots,0.01624834,2.77187460,0.00624862,0.00840726,0.00105470,0.96824696,0.05601464,0.00017669,NA,0.06900752,0.06570848,NA,NA,NA,0.04918337,0.56110920,0.98735986,NA,0.86690561,NA,NA,14.61000322,0.47734205,13.85937300,0.16551255,NA,1.98933952,9.04792358,0.00004550,0.03529846,24.08917582,NA,0.00000000,0.00001939,0.00000000,NA,NA,98.44212236,1.62938313,0.18389937
18,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56126886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.73606421,NA,NA
18,1,MS,roots,0.01644303,3.30636582,0.00782211,0.01042697,0.00130590,0.97561349,0.06921337,0.00017692,NA,0.06957931,0.06515542,NA,NA,NA,0.04929413,0.56783252,0.99424421,NA,0.87089565,NA,NA,14.65491789,0.56495127,16.53182908,0.16411945,NA,2.01781117,9.07739269,0.00004604,0.03534450,24.20791951,NA,0.00000000,0.00002393,0.00000000,NA,NA,96.39208996,1.64890672,0.18402886
19,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.46327363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.16770921,NA,NA
19,1,MS,roots,0.01663110,3.79180990,0.00816567,0.01077429,0.00134730,0.98320699,0.08229065,0.00017715,NA,0.07015852,0.06461122,NA,NA,NA,0.04940675,0.57432732,1.00120177,NA,0.87467690,NA,NA,14.70209965,0.64267511,18.95904952,0.16274866,NA,2.04836183,9.10699254,0.00004657,0.03539107,24.32461812,NA,0.00000000,0.00002461,0.00000000,NA,NA,94.38494678,1.66776671,0.18417650
20,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.36154700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.51338615,NA,NA
20,1,MS,roots,0.01685511,4.24315265,0.01001070,0.01307287,0.00163245,0.99236542,0.09547149,0.00017739,NA,0.07083474,0.06415733,NA,NA,NA,0.04957374,0.58206326,1.00950554,NA,0.87932138,NA,NA,14.74984798,0.71310198,21.21576324,0.16160536,NA,2.07925504,9.13651102,0.00004719,0.03543826,24.43749813,NA,0.00000000,0.00002972,0.00000000,NA,NA,92.41080205,1.69023080,0.18456581
21,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.28829310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.07780709,NA,NA
21,1,MS,roots,0.01716133,4.70432422,0.01032959,0.01334000,0.00166365,1.00450252,0.10984008,0.00017763,NA,0.07171311,0.06387360,NA,NA,NA,0.04984611,0.59263799,1.02063978,NA,0.88607044,NA,NA,14.79986652,0.78688608,23.52162110,0.16089067,NA,2.11211226,9.16627705,0.00004805,0.03548631,24.54891937,NA,0.00000000,0.00003019,0.00000000,NA,NA,90.45933848,1.72093834,0.18543282
22,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.19705045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.59123832,NA,NA
22,1,MS,roots,0.01756833,5.50979447,0.01781788,0.02279148,0.00283963,1.02074796,0.13320913,0.00017787,NA,0.07285329,0.06383940,NA,NA,NA,0.05026664,0.60669284,1.03543176,NA,0.89562086,NA,NA,14.84654069,0.90851116,27.54897233,0.16080453,NA,2.14121810,9.19524662,0.00004919,0.03553550,24.65016413,NA,0.00000000,0.00005137,0.00000000,NA,NA,88.56503518,1.76175167,0.18695932
23,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.10715714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.24370496,NA,NA
23,1,MS,roots,0.01803903,6.24869996,0.01799191,0.02276657,0.00283401,1.03977603,0.15662219,0.00017813,NA,0.07418330,0.06395173,NA,NA,NA,0.05077001,0.62294788,1.05283823,NA,0.90700493,NA,NA,14.89671311,1.01476535,31.24349982,0.16108749,NA,2.17335148,9.22466603,0.00005051,0.03558601,24.75099341,NA,0.00000000,0.00005110,0.00000000,NA,NA,86.70943582,1.80895404,0.18890504
24,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.01728377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.66231625,NA,NA
24,1,MS,roots,0.01838854,6.91264467,0.01470176,0.01835966,0.00228332,1.05573556,0.18006190,0.00017838,NA,0.07529773,0.06385352,NA,NA,NA,0.05115341,0.63501760,1.06711063,NA,0.91525971,NA,NA,14.95322677,1.10692542,34.56322337,0.16084010,NA,2.21147660,9.25496930,0.00005149,0.03563750,24.85537070,NA,0.00000000,0.00004104,0.00000000,NA,NA,84.89942596,1.84400283,0.19030466
25,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.92400442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.69637224,NA,NA
25,1,MS,roots,0.01859565,7.76773634,0.02013440,0.02483769,0.00308687,1.06809789,0.20987044,0.00017864,NA,0.07613431,0.06355206,NA,NA,NA,0.05140459,0.64216993,1.07739246,NA,0.91976481,NA,NA,15.00779937,1.22046119,38.83868172,0.16008077,NA,2.24745356,9.28467021,0.00005207,0.03568957,24.95201559,NA,0.00000000,0.00005530,0.00000000,NA,NA,83.18287729,1.86477222,0.19109097
26,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.82943666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.30222420,NA,NA
26,1,MS,roots,0.01882519,8.82897416,0.02827728,0.03451660,0.00428828,1.08205269,0.24663798,0.00017891,NA,0.07705798,0.06338025,NA,NA,NA,0.05170544,0.65009647,1.08885541,NA,0.92504980,NA,NA,15.05828751,1.35532004,44.14487081,0.15964798,NA,2.27911650,9.31339803,0.00005271,0.03574228,25.03799198,NA,0.00000000,0.00007659,0.00000000,NA,NA,81.58621979,1.88778978,0.19214367
27,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.73990833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.38371982,NA,NA
27,1,MS,roots,0.01918848,9.59953649,0.01745547,0.02097817,0.00260460,1.10041900,0.27869552,0.00017918,NA,0.07832896,0.06346363,NA,NA,NA,0.05217926,0.66264229,1.10515341,NA,0.93410198,NA,NA,15.12235457,1.44554097,47.99768243,0.15985802,NA,2.32399509,9.34416804,0.00005373,0.03579601,25.13701224,NA,0.00000000,0.00004636,0.00000000,NA,NA,80.04892100,1.92422109,0.19397185
28,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.64397502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.28297456,NA,NA
28,1,MS,roots,0.01942180,10.00353653,0.01068632,0.01261219,0.00156465,1.11467097,0.30270548,0.00017945,NA,0.07932175,0.06328817,NA,NA,NA,0.05253696,0.67069959,1.11746316,NA,0.93931689,NA,NA,15.19431070,1.48628390,50.01768263,0.15941605,NA,2.37652941,9.37620462,0.00005438,0.03585039,25.24341515,NA,0.00000000,0.00002776,0.00000000,NA,NA,78.53739062,1.94761837,0.19514687
29,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.54094255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.25723011,NA,NA
29,1,MS,roots,0.01952155,10.03665240,0.00961922,0.01115157,0.00138238,1.12484577,0.31661692,0.00017972,NA,0.08001388,0.06284699,NA,NA,NA,0.05274222,0.67414424,1.12549770,NA,0.94034446,NA,NA,15.26691023,1.47726826,50.18326199,0.15830476,NA,2.42960739,9.40850568,0.00005466,0.03590505,25.34980334,NA,0.00000000,0.00002444,0.00000000,NA,NA,77.01775614,1.95762116,0.19560309
30,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.43698588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.83297183,NA,NA
30,1,MS,roots,0.01948588,9.87113907,0.00989722,0.01128171,0.00139756,1.13090422,0.32447649,0.00018000,NA,0.08039538,0.06214328,NA,NA,NA,0.05276437,0.67291251,1.12914815,NA,0.93706559,NA,NA,15.33794130,1.44231204,49.35569537,0.15653218,NA,2.48115257,9.44072156,0.00005456,0.03595961,25.45409710,NA,0.00000000,0.00002462,0.00000000,NA,NA,75.48097611,1.95404439,0.19530303
31,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.33574687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.22310634,NA,NA
31,1,MS,roots,0.01941908,9.59727416,0.01602397,0.01801541,0.00223073,1.13686990,0.32785282,0.00018027,NA,0.08072986,0.06139795,NA,NA,NA,0.05273681,0.67060548,1.13213414,NA,0.93248941,NA,NA,15.40124691,1.39426636,47.98637082,0.15465478,NA,2.52503911,9.47199074,0.00005437,0.03601398,25.54962112,NA,0.00000000,0.00003917,0.00000000,NA,NA,73.91576678,1.94734510,0.19486462
32,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.23625211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.53904622,NA,NA
32,1,MS,roots,0.01906540,9.39689396,0.02076246,0.02307640,0.00285673,1.13311896,0.33276541,0.00018053,NA,0.08034608,0.06013446,NA,NA,NA,0.05229094,0.65839164,1.12508438,NA,0.91915339,NA,NA,15.45820511,1.35825955,46.98446981,0.15147219,NA,2.56293191,9.50220289,0.00005338,0.03606736,25.63710218,NA,0.00000000,0.00005001,0.00000000,NA,NA,72.37410726,1.91187782,0.19277148
33,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.14600683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.85023939,NA,NA
33,1,MS,roots,0.01893077,9.00659381,0.02443343,0.02690249,0.00333015,1.13816826,0.33017537,0.00018080,NA,0.08055230,0.05930613,NA,NA,NA,0.05212170,0.65374258,1.12631675,NA,0.91177040,NA,NA,15.50955800,1.29792622,45.03296904,0.14938572,NA,2.59535404,9.53172623,0.00005301,0.03612037,25.71859114,NA,0.00000000,0.00005811,0.00000000,NA,NA,70.79661890,1.89837757,0.19198013
34,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.06145644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141.18402259,NA,NA
34,1,MS,roots,0.01846578,8.72366146,0.03065705,0.03352847,0.00415103,1.13164787,0.33008840,0.00018106,NA,0.07990700,0.05788781,NA,NA,NA,0.05147694,0.63768502,1.11569682,NA,0.89428236,NA,NA,15.55283882,1.25477269,43.61830729,0.14581313,NA,2.62016907,9.55984801,0.00005170,0.03617208,25.79022933,NA,0.00000000,0.00007222,0.00000000,NA,NA,69.24650384,1.85174865,0.18927175
35,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.98318531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.55892869,NA,NA
35,1,MS,roots,0.01779308,8.45947869,0.02686966,0.02916494,0.00361121,1.11702352,0.33053659,0.00018131,NA,0.07869833,0.05610882,NA,NA,NA,0.05051823,0.61445432,1.09730946,NA,0.87044192,NA,NA,15.59790775,1.21593287,42.29739344,0.14133204,NA,2.64744492,9.58768882,0.00004982,0.03622190,25.86237109,NA,0.00000000,0.00006265,0.00000000,NA,NA,67.75650441,1.78428993,0.18532538
36,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.90824519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.94879519,NA,NA
36,1,MS,roots,0.01765462,8.20853503,0.01911894,0.02055177,0.00254458,1.12284744,0.33222718,0.00018155,NA,0.07893753,0.05534773,NA,NA,NA,0.05032083,0.60967285,1.09914474,NA,0.86195696,NA,NA,15.64950980,1.17989157,41.04267514,0.13941493,NA,2.68139235,9.61632509,0.00004943,0.03627133,25.94109199,NA,0.00000000,0.00004401,0.00000000,NA,NA,66.25075948,1.77040521,0.18460609
37,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.83453878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.35093656,NA,NA
