t,species,metamer,organ,Eabs
607,Caphorn,5,internode,0.039086207
607,Caphorn,6,internode,0.14268521
608,Caphorn,1,blade,0.011908449
608,Caphorn,1,sheath,0.004855355
608,Caphorn,2,blade,0.017198719
608,Caphorn,2,sheath,0.002165976
608,Caphorn,3,blade,0.048405249
608,Caphorn,3,sheath,0.00612734
608,Caphorn,4,blade,0.151492197
608,Caphorn,4,internode,0.011737101
608,Caphorn,4,sheath,0.03116017
608,Caphorn,5,internode,0.039086207
608,Caphorn,6,internode,0.14268521
609,Caphorn,1,blade,0.011908449
609,Caphorn,1,sheath,0.004855355
609,Caphorn,2,blade,0.017198719
609,Caphorn,2,sheath,0.002165976
609,Caphorn,3,blade,0.048405249
609,Caphorn,3,sheath,0.00612734
609,Caphorn,4,blade,0.151492197
609,Caphorn,4,internode,0.011737101
609,Caphorn,4,sheath,0.03116017
609,Caphorn,5,internode,0.039086207
609,Caphorn,6,internode,0.14268521
610,Caphorn,1,blade,0.011908449
610,Caphorn,1,sheath,0.004855355
610,Caphorn,2,blade,0.017198719
610,Caphorn,2,sheath,0.002165976
610,Caphorn,3,blade,0.048405249
610,Caphorn,3,sheath,0.00612734
610,Caphorn,4,blade,0.151492197
610,Caphorn,4,internode,0.011737101
610,Caphorn,4,sheath,0.03116017
610,Caphorn,5,internode,0.039086207
610,Caphorn,6,internode,0.14268521
611,Caphorn,1,blade,0.011908449
611,Caphorn,1,sheath,0.004855355
611,Caphorn,2,blade,0.017198719
611,Caphorn,2,sheath,0.002165976
611,Caphorn,3,blade,0.048405249
611,Caphorn,3,sheath,0.00612734
611,Caphorn,4,blade,0.151492197
611,Caphorn,4,internode,0.011737101
611,Caphorn,4,sheath,0.03116017
611,Caphorn,5,internode,0.039086207
611,Caphorn,6,internode,0.14268521
612,Caphorn,1,blade,0.011908449
612,Caphorn,1,sheath,0.004855355
612,Caphorn,2,blade,0.017198719
612,Caphorn,2,sheath,0.002165976
612,Caphorn,3,blade,0.048405249
612,Caphorn,3,sheath,0.00612734
612,Caphorn,4,blade,0.151492197
612,Caphorn,4,internode,0.011737101
612,Caphorn,4,sheath,0.03116017
612,Caphorn,5,internode,0.039086207
612,Caphorn,6,internode,0.14268521
613,Caphorn,1,blade,0.011908449
613,Caphorn,1,sheath,0.004855355
613,Caphorn,2,blade,0.017198719
613,Caphorn,2,sheath,0.002165976
613,Caphorn,3,blade,0.048405249
613,Caphorn,3,sheath,0.00612734
613,Caphorn,4,blade,0.151492197
613,Caphorn,4,internode,0.011737101
613,Caphorn,4,sheath,0.03116017
613,Caphorn,5,internode,0.039086207
613,Caphorn,6,internode,0.14268521
614,Caphorn,1,blade,0.011908449
614,Caphorn,1,sheath,0.004855355
614,Caphorn,2,blade,0.017198719
614,Caphorn,2,sheath,0.002165976
614,Caphorn,3,blade,0.048405249
614,Caphorn,3,sheath,0.00612734
614,Caphorn,4,blade,0.151492197
614,Caphorn,4,internode,0.011737101
614,Caphorn,4,sheath,0.03116017
614,Caphorn,5,internode,0.039086207
614,Caphorn,6,internode,0.14268521
615,Caphorn,1,blade,0.011908449
615,Caphorn,1,sheath,0.004855355
615,Caphorn,2,blade,0.017198719
615,Caphorn,2,sheath,0.002165976
615,Caphorn,3,blade,0.048405249
615,Caphorn,3,sheath,0.00612734
615,Caphorn,4,blade,0.151492197
615,Caphorn,4,internode,0.011737101
615,Caphorn,4,sheath,0.03116017
615,Caphorn,5,internode,0.039086207
615,Caphorn,6,internode,0.14268521
616,Caphorn,1,blade,0.011908449
616,Caphorn,1,sheath,0.004855355
616,Caphorn,2,blade,0.017198719
616,Caphorn,2,sheath,0.002165976
616,Caphorn,3,blade,0.048405249
