"t","hour","air_temperature","PARi","soil_temperature","DOY","humidity","ambient_CO2","Wind"
119,11,6.69412368725371,267.065957021393,5.83853579803469,352,0.75,360,2.2
120,12,7.05209057394605,328.162508818225,6.12787298155316,352,0.75,360,2.2
121,13,7.39794875712191,313.564055367977,6.40257866685982,352,0.75,360,2.2
122,14,7.48898867744562,248.155828266411,6.57042456793573,352,0.75,360,2.2
123,15,7.33195860921002,152.366587862397,6.67159370923363,352,0.75,360,2.2
124,16,6.93178242898594,44.9207413377063,6.46819289209564,352,0.75,360,2.2
125,17,6.66930523184605,12.8728807851909,6.22239872857664,352,0.75,360,2.2
126,18,6.30297908151311,4.91638030568387,5.93517111554965,352,0.75,360,2.2
127,19,6.07421004608394,0,5.60473805778008,352,0.75,360,2.2
128,20,6.02105886028517,0,5.37641072720216,352,0.75,360,2.2
129,21,5.97322415763179,0,5.27350116586028,352,0.75,360,2.2
130,22,5.90575257979887,0,5.20373500853433,352,0.75,360,2.2
131,23,5.78188113669515,0,5.14233689062575,352,0.75,360,2.2
132,24,5.71023953434055,0,5.11257491410802,352,0.75,360,2.2
133,1,5.44263645237979,0,5.05417303023003,353,0.75,360,2.2
134,2,5.4186340172698,0,5.02592764924656,353,0.75,360,2.2
135,3,5.30624214547045,0,5.01688613521826,353,0.75,360,2.2
136,4,5.3193582847259,0.00130287630299147,5.01732384050594,353,0.75,360,2.2
137,5,5.18217911076872,0,5.01336782579155,353,0.75,360,2.2
138,6,5.02414986888893,0,4.98740931144601,353,0.75,360,2.2
139,7,5.07455553856669,8.48590357979509,5.09873924570094,353,0.75,360,2.2
140,8,5.04713738790675,16.9890190144725,5.25166003642653,353,0.75,360,2.2
141,9,5.35597966865028,81.2531772884006,5.41130206701269,353,0.75,360,2.2
142,10,5.99546618281926,187.794338431905,5.54670780790234,353,0.75,360,2.2
143,11,6.65104678590849,265.016402140243,5.69692254652173,353,0.75,360,2.2
144,12,7.00551759260731,323.837124151182,5.96118499452049,353,0.75,360,2.2
145,13,7.35630167648931,312.956878527093,6.24560951266903,353,0.75,360,2.2
146,14,7.44937775909406,249.1889810126,6.42416212082023,353,0.75,360,2.2
147,15,7.29333673301061,153.020331095743,6.5344421146773,353,0.75,360,2.2
148,16,6.88169376547323,44.5590004731763,6.36307175239811,353,0.75,360,2.2
149,17,6.59593034071084,9.44917701083696,6.1297448992723,353,0.75,360,2.2
150,18,6.24554505671576,4.22039407006853,5.86361893687791,353,0.75,360,2.2
151,19,6.03256330901836,0,5.57178939173779,353,0.75,360,2.2
152,20,5.97396895488199,0,5.36012530007005,353,0.75,360,2.2
153,21,5.93592211300426,0,5.26155127295528,353,0.75,360,2.2
154,22,5.86208080789385,0,5.19481749906102,353,0.75,360,2.2
155,23,5.74895326364327,0,5.13952643562958,353,0.75,360,2.2
156,24,5.68447187422824,0,5.11451858084015,353,0.75,360,2.2
157,1,5.43452704561636,0,5.06298034020096,354,0.75,360,2.2
158,2,5.40484969765212,0,5.03773525934032,354,0.75,360,2.2
159,3,5.29761735362066,0,5.02371197183989,354,0.75,360,2.2
160,4,5.30717123773129,0,5.02316922072843,354,0.75,360,2.2
161,5,5.17623971427481,0,5.02110183977835,354,0.75,360,2.2
162,6,5.02811843898692,0,5.00363592710655,354,0.75,360,2.2
163,7,5.06052340493127,7.56763427255821,5.0928939383781,354,0.75,360,2.2
164,8,5.008157206662,13.4678062705122,5.20460215712745,354,0.75,360,2.2
165,9,5.31752306558723,78.3558417572044,5.30913366687374,354,0.75,360,2.2
166,10,5.95495260256922,184.369531822884,5.41309800952244,354,0.75,360,2.2
167,11,6.60920291269528,263.234565230752,5.56228327845914,354,0.75,360,2.2
