t,plant,axis,Total_Transpiration,mstruct
594,1,MS,0.01185,2.17843
595,1,MS,0.01185,2.17843
596,1,MS,0.00511,2.17677
597,1,MS,0.00511,2.17677
598,1,MS,0.00414,2.17535
599,1,MS,0.00414,2.17535
600,1,MS,0.00069,2.17462
601,1,MS,0.00069,2.17462
602,1,MS,0.00036,2.17395
603,1,MS,0.00036,2.17395
604,1,MS,0.00084,2.17322
605,1,MS,0.00084,2.17322
606,1,MS,0.00861,2.17198
607,1,MS,0.00861,2.17198
608,1,MS,0.01987,2.17005
609,1,MS,0.01987,2.17005
610,1,MS,0.02689,2.16763
611,1,MS,0.02689,2.16763
612,1,MS,0.02958,2.16496
613,1,MS,0.02958,2.16496
614,1,MS,0.02704,2.16222
615,1,MS,0.02704,2.16222
616,1,MS,0.02039,2.15952
617,1,MS,0.02039,2.15952
618,1,MS,0.00940,2.15724
619,1,MS,0.00940,2.15724
620,1,MS,0.00287,2.15571
621,1,MS,0.00287,2.15571
622,1,MS,0.00155,2.15449
623,1,MS,0.00155,2.15449
624,1,MS,0.00098,2.15275
625,1,MS,0.00098,2.15275
626,1,MS,0.00056,2.15120
627,1,MS,0.00056,2.15120
628,1,MS,0.00070,2.14960
629,1,MS,0.00070,2.14960
630,1,MS,0.00693,2.14746
631,1,MS,0.00693,2.14746
632,1,MS,0.01601,2.14480
633,1,MS,0.01601,2.14480
634,1,MS,0.01490,2.14196
635,1,MS,0.01490,2.14196
636,1,MS,0.01677,2.13890
637,1,MS,0.01677,2.13890
638,1,MS,0.00807,2.13638
639,1,MS,0.00807,2.13638
640,1,MS,0.00973,2.13384
641,1,MS,0.00973,2.13384
642,1,MS,0.00765,2.13150
643,1,MS,0.00765,2.13150
644,1,MS,0.00353,2.12947
645,1,MS,0.00353,2.12947
646,1,MS,0.00281,2.12755
647,1,MS,0.00281,2.12755
648,1,MS,0.00397,2.12599
649,1,MS,0.00397,2.12599
650,1,MS,0.00156,2.12494
651,1,MS,0.00156,2.12494
652,1,MS,0.00213,2.12385
653,1,MS,0.00213,2.12385
654,1,MS,0.01187,2.12186
655,1,MS,0.01187,2.12186
656,1,MS,0.02193,2.11925
657,1,MS,0.02193,2.11925
658,1,MS,0.01512,2.11660
659,1,MS,0.01512,2.11660
660,1,MS,0.00996,2.11411
661,1,MS,0.00996,2.11411
662,1,MS,0.01652,2.11127
663,1,MS,0.01652,2.11127
664,1,MS,0.01008,2.10857
665,1,MS,0.01008,2.10857
666,1,MS,0.00848,2.10402
667,1,MS,0.00848,2.10402
668,1,MS,0.00351,2.10045
669,1,MS,0.00351,2.10045
670,1,MS,0.00224,2.09763
671,1,MS,0.00224,2.09763
672,1,MS,0.00161,2.09549
673,1,MS,0.00161,2.09549
674,1,MS,0.00198,2.09351
675,1,MS,0.00198,2.09351
676,1,MS,0.00255,2.09161
677,1,MS,0.00255,2.09161
678,1,MS,0.00446,2.08942
679,1,MS,0.00446,2.08942
680,1,MS,0.00581,2.08700
681,1,MS,0.00581,2.08700
682,1,MS,0.00648,2.08454
683,1,MS,0.00648,2.08454
684,1,MS,0.01165,2.08151
685,1,MS,0.01165,2.08151
686,1,MS,0.01082,2.07832
687,1,MS,0.01082,2.07832
688,1,MS,0.00838,2.07517
689,1,MS,0.00838,2.07517
690,1,MS,0.00744,2.07223
691,1,MS,0.00744,2.07223
692,1,MS,0.00180,2.07036
693,1,MS,0.00180,2.07036
694,1,MS,0.00098,2.06898
695,1,MS,0.00098,2.06898
696,1,MS,0.00068,2.06673
697,1,MS,0.00068,2.06673
698,1,MS,0.00062,2.06481
699,1,MS,0.00062,2.06481
700,1,MS,0.00098,2.06274
701,1,MS,0.00098,2.06274
702,1,MS,0.00785,2.05922
703,1,MS,0.00785,2.05922
704,1,MS,0.01803,2.05351
705,1,MS,0.01803,2.05351
706,1,MS,0.02332,2.04703
707,1,MS,0.02332,2.04703
708,1,MS,0.02387,2.03165
709,1,MS,0.02387,2.03165
710,1,MS,0.02313,2.02456
711,1,MS,0.02313,2.02456
712,1,MS,0.01622,2.00709
713,1,MS,0.01622,2.00709
714,1,MS,0.00750,1.98788
715,1,MS,0.00750,1.98788
716,1,MS,0.00352,1.97622
717,1,MS,0.00352,1.97622
718,1,MS,0.00152,1.97023
719,1,MS,0.00152,1.97023
720,1,MS,0.00112,1.96012
721,1,MS,0.00112,1.96012
722,1,MS,0.00067,1.95474
723,1,MS,0.00067,1.95474
724,1,MS,0.00106,1.94883
725,1,MS,0.00106,1.94883
726,1,MS,0.00810,1.92892
727,1,MS,0.00810,1.92892
728,1,MS,0.01421,1.89650
729,1,MS,0.01421,1.89650
730,1,MS,0.02030,1.87805
731,1,MS,0.02030,1.87805
732,1,MS,0.02182,1.86250
733,1,MS,0.02182,1.86250
734,1,MS,0.01674,1.84207
735,1,MS,0.01674,1.84207
736,1,MS,0.00885,1.82700
737,1,MS,0.00885,1.82700
738,1,MS,0.00549,1.80687
739,1,MS,0.00549,1.80687
740,1,MS,0.00267,1.79461
741,1,MS,0.00267,1.79461
742,1,MS,0.00239,1.77228
743,1,MS,0.00239,1.77228
744,1,MS,0.00089,1.76666
745,1,MS,0.00089,1.76666
746,1,MS,0.00078,1.76142
747,1,MS,0.00078,1.76142
748,1,MS,0.00101,1.74865
749,1,MS,0.00101,1.74865
750,1,MS,0.00791,1.72532
751,1,MS,0.00791,1.72532
752,1,MS,0.01634,1.71047
753,1,MS,0.01634,1.71047
754,1,MS,0.02050,1.69960
755,1,MS,0.02050,1.69960
756,1,MS,0.02139,1.68692
757,1,MS,0.02139,1.68692
758,1,MS,0.01855,1.66680
759,1,MS,0.01855,1.66680
760,1,MS,0.01260,1.64518
761,1,MS,0.01260,1.64518
762,1,MS,0.00622,1.63086
763,1,MS,0.00622,1.63086
764,1,MS,0.00326,1.62160
765,1,MS,0.00326,1.62160
766,1,MS,0.00161,1.61434
767,1,MS,0.00161,1.61434
768,1,MS,0.00071,1.60764
769,1,MS,0.00071,1.60764
770,1,MS,0.00056,1.60308
771,1,MS,0.00056,1.60308
772,1,MS,0.00087,1.59588
773,1,MS,0.00087,1.59588
774,1,MS,0.00553,1.57863
775,1,MS,0.00553,1.57863
776,1,MS,0.01182,1.56456
777,1,MS,0.01182,1.56456
778,1,MS,0.01800,1.54918
779,1,MS,0.01800,1.54918
780,1,MS,0.01632,1.53800
781,1,MS,0.01632,1.53800
782,1,MS,0.01873,1.52592
783,1,MS,0.01873,1.52592
784,1,MS,0.01643,1.50761
785,1,MS,0.01643,1.50761
786,1,MS,0.01009,1.50101
787,1,MS,0.01009,1.50101
788,1,MS,0.00269,1.48815
