t,species,metamer,organ,Eabs
676,Soissons,4,sheath,0
676,Soissons,5,internode,0
676,Soissons,6,internode,0
677,Soissons,1,blade,0.002670997
677,Soissons,1,sheath,0.001338667
677,Soissons,2,blade,0.007923079
677,Soissons,2,sheath,0.000537096
677,Soissons,3,blade,0.034731206
677,Soissons,3,sheath,0.00199238
677,Soissons,4,blade,0.172977039
677,Soissons,4,internode,0.005791393
677,Soissons,4,sheath,0.016486976
677,Soissons,5,internode,0.052784479
677,Soissons,6,internode,0.157470239
678,Soissons,1,blade,0.002670997
678,Soissons,1,sheath,0.001338667
678,Soissons,2,blade,0.007923079
678,Soissons,2,sheath,0.000537096
678,Soissons,3,blade,0.034731206
678,Soissons,3,sheath,0.00199238
678,Soissons,4,blade,0.172977039
678,Soissons,4,internode,0.005791393
678,Soissons,4,sheath,0.016486976
678,Soissons,5,internode,0.052784479
678,Soissons,6,internode,0.157470239
679,Soissons,1,blade,0.002670997
679,Soissons,1,sheath,0.001338667
679,Soissons,2,blade,0.007923079
679,Soissons,2,sheath,0.000537096
679,Soissons,3,blade,0.034731206
679,Soissons,3,sheath,0.00199238
679,Soissons,4,blade,0.172977039
679,Soissons,4,internode,0.005791393
679,Soissons,4,sheath,0.016486976
679,Soissons,5,internode,0.052784479
679,Soissons,6,internode,0.157470239
680,Soissons,1,blade,0.002670997
680,Soissons,1,sheath,0.001338667
680,Soissons,2,blade,0.007923079
680,Soissons,2,sheath,0.000537096
680,Soissons,3,blade,0.034731206
680,Soissons,3,sheath,0.00199238
680,Soissons,4,blade,0.172977039
680,Soissons,4,internode,0.005791393
680,Soissons,4,sheath,0.016486976
680,Soissons,5,internode,0.052784479
680,Soissons,6,internode,0.157470239
681,Soissons,1,blade,0.002670997
681,Soissons,1,sheath,0.001338667
681,Soissons,2,blade,0.007923079
681,Soissons,2,sheath,0.000537096
681,Soissons,3,blade,0.034731206
681,Soissons,3,sheath,0.00199238
681,Soissons,4,blade,0.172977039
681,Soissons,4,internode,0.005791393
681,Soissons,4,sheath,0.016486976
681,Soissons,5,internode,0.052784479
681,Soissons,6,internode,0.157470239
682,Soissons,1,blade,0.002670997
682,Soissons,1,sheath,0.001338667
682,Soissons,2,blade,0.007923079
682,Soissons,2,sheath,0.000537096
682,Soissons,3,blade,0.034731206
682,Soissons,3,sheath,0.00199238
682,Soissons,4,blade,0.172977039
682,Soissons,4,internode,0.005791393
682,Soissons,4,sheath,0.016486976
682,Soissons,5,internode,0.052784479
682,Soissons,6,internode,0.157470239
683,Soissons,1,blade,0.002670997
683,Soissons,1,sheath,0.001338667
683,Soissons,2,blade,0.007923079
683,Soissons,2,sheath,0.000537096
683,Soissons,3,blade,0.034731206
683,Soissons,3,sheath,0.00199238
683,Soissons,4,blade,0.172977039
683,Soissons,4,internode,0.005791393
683,Soissons,4,sheath,0.016486976
683,Soissons,5,internode,0.052784479
683,Soissons,6,internode,0.157470239
684,Soissons,1,blade,0.002670997
684,Soissons,1,sheath,0.001338667
684,Soissons,2,blade,0.007923079
684,Soissons,2,sheath,0.000537096
684,Soissons,3,blade,0.034731206
684,Soissons,3,sheath,0.00199238
684,Soissons,4,blade,0.172977039
684,Soissons,4,internode,0.005791393
684,Soissons,4,sheath,0.016486976
684,Soissons,5,internode,0.052784479
684,Soissons,6,internode,0.157470239
685,Soissons,1,blade,0.002670997
685,Soissons,1,sheath,0.001338667
685,Soissons,2,blade,0.007923079
685,Soissons,2,sheath,0.000537096
685,Soissons,3,blade,0.034731206
685,Soissons,3,sheath,0.00199238
685,Soissons,4,blade,0.172977039
685,Soissons,4,internode,0.005791393
685,Soissons,4,sheath,0.016486976
685,Soissons,5,internode,0.052784479
685,Soissons,6,internode,0.157470239
686,Soissons,1,blade,0.002670997
686,Soissons,1,sheath,0.001338667
686,Soissons,2,blade,0.007923079
686,Soissons,2,sheath,0.000537096
686,Soissons,3,blade,0.034731206
686,Soissons,3,sheath,0.00199238
686,Soissons,4,blade,0.172977039
686,Soissons,4,internode,0.005791393
686,Soissons,4,sheath,0.016486976
686,Soissons,5,internode,0.052784479
686,Soissons,6,internode,0.157470239
687,Soissons,1,blade,0.002670997
687,Soissons,1,sheath,0.001338667
687,Soissons,2,blade,0.007923079
687,Soissons,2,sheath,0.000537096
687,Soissons,3,blade,0.034731206
687,Soissons,3,sheath,0.00199238
687,Soissons,4,blade,0.172977039
687,Soissons,4,internode,0.005791393
687,Soissons,4,sheath,0.016486976
687,Soissons,5,internode,0.052784479
687,Soissons,6,internode,0.157470239
688,Soissons,1,blade,0.002670997
688,Soissons,1,sheath,0.001338667
688,Soissons,2,blade,0.007923079
688,Soissons,2,sheath,0.000537096
688,Soissons,3,blade,0.034731206
688,Soissons,3,sheath,0.00199238
688,Soissons,4,blade,0.172977039
688,Soissons,4,internode,0.005791393
688,Soissons,4,sheath,0.016486976
688,Soissons,5,internode,0.052784479
688,Soissons,6,internode,0.157470239
689,Soissons,1,blade,0.002670997
689,Soissons,1,sheath,0.001338667
689,Soissons,2,blade,0.007923079
689,Soissons,2,sheath,0.000537096
689,Soissons,3,blade,0.034731206
689,Soissons,3,sheath,0.00199238
689,Soissons,4,blade,0.172977039
689,Soissons,4,internode,0.005791393
689,Soissons,4,sheath,0.016486976
689,Soissons,5,internode,0.052784479
689,Soissons,6,internode,0.157470239
690,Soissons,1,blade,0.002670997
690,Soissons,1,sheath,0.001338667
690,Soissons,2,blade,0.007923079
690,Soissons,2,sheath,0.000537096
690,Soissons,3,blade,0.034731206
690,Soissons,3,sheath,0.00199238
690,Soissons,4,blade,0.172977039
690,Soissons,4,internode,0.005791393
690,Soissons,4,sheath,0.016486976
690,Soissons,5,internode,0.052784479
690,Soissons,6,internode,0.157470239
691,Soissons,1,blade,0.002670997
691,Soissons,1,sheath,0.001338667
691,Soissons,2,blade,0.007923079
691,Soissons,2,sheath,0.000537096
691,Soissons,3,blade,0.034731206
691,Soissons,3,sheath,0.00199238
691,Soissons,4,blade,0.172977039
691,Soissons,4,internode,0.005791393
691,Soissons,4,sheath,0.016486976
691,Soissons,5,internode,0.052784479
691,Soissons,6,internode,0.157470239
692,Soissons,1,blade,0
692,Soissons,1,sheath,0
692,Soissons,2,blade,0
692,Soissons,2,sheath,0
692,Soissons,3,blade,0
692,Soissons,3,sheath,0
692,Soissons,4,blade,0
692,Soissons,4,internode,0
692,Soissons,4,sheath,0
692,Soissons,5,internode,0
692,Soissons,6,internode,0
693,Soissons,1,blade,0
693,Soissons,1,sheath,0
693,Soissons,2,blade,0
693,Soissons,2,sheath,0
693,Soissons,3,blade,0
693,Soissons,3,sheath,0
693,Soissons,4,blade,0
693,Soissons,4,internode,0
693,Soissons,4,sheath,0
693,Soissons,5,internode,0
693,Soissons,6,internode,0
694,Soissons,1,blade,0
694,Soissons,1,sheath,0
694,Soissons,2,blade,0
694,Soissons,2,sheath,0
694,Soissons,3,blade,0
694,Soissons,3,sheath,0
694,Soissons,4,blade,0
694,Soissons,4,internode,0
694,Soissons,4,sheath,0
694,Soissons,5,internode,0
694,Soissons,6,internode,0
695,Soissons,1,blade,0
